"","id","adj.P.Val.XBirA.over.No_BirA","AveExpr.XBirA.over.No_BirA","Log.P.Value.XBirA.over.No_BirA","logFC.XBirA.over.No_BirA","P.Value.XBirA.over.No_BirA","t.XBirA.over.No_BirA","Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian","Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian","Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian","Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian","Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian","Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian","id.query","id.mapped","id.concat","id.1","geneSymbol","numColumnsProteinObserved","numSpectraProteinObserved","numPepsUnique","numPepsUniqueSubgroupSpecificCI","accession_numbers","species","protein_mw","percentCoverage","groupNum","subgroupNum","scoreUnique","scoreUniqueSubgroupSpecificCI","orfCategory","sequenceLength","entry_name","cellular_component","biological_process","molecular_function","Proteome.unique_peptides","Proteome.numSpectra","Proteome.totalIntensity","Proteome.pct_cov"
"1125","Q9CQE7-2",6.02967e-06,-0.343666667,65.83332806,2.286333333,2.61016e-07,20.95187181,-1.4235,-1.329,-1.708,0.808,0.704,0.8865,"Q9CQE7","Ergic3","Q9CQE7-2_Ergic3","Q9CQE7-2","Ergic3",1,36,13,13,"Q9CQE7-2|Q9CQE7","MOUSE",45028.6,22.3,925,925.1,145.87,145.87,NA,383,"Isoform 2 of Endoplasmic reticulum-Golgi intermediate compartment protein 3","endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|membrane|integral component of membrane|endoplasmic reticulum-Golgi intermediate compartment membrane|","ER to Golgi vesicle-mediated transport|","",13,36,6.72e+11,"22.3%"
"553","Q9QWR8",8.07581e-06,-0.348,63.57912992,2.285666667,4.38619e-07,19.35310841,-1.4045,-1.343,-1.725,0.838,0.655,0.8915,"Q9QWR8","Naga","Q9QWR8_Naga","Q9QWR8","Naga",1,62,20,20,"Q9QWR8","MOUSE",47747.3,46.2,419,419.1,259.2,259.2,NA,415,"Alpha-N-acetylgalactosaminidase","cytoplasm|lysosome|extracellular exosome|","oligosaccharide metabolic process|carbohydrate catabolic process|glycoside catabolic process|glycolipid catabolic process|glycosylceramide catabolic process|","alpha-galactosidase activity|alpha-N-acetylgalactosaminidase activity|protein homodimerization activity|",20,62,8.48e+10,"46.2%"
"1253","O89023",6.02967e-06,-0.360666667,66.11836544,2.283,2.44435e-07,21.16295809,-1.3915,-1.397,-1.718,0.808,0.665,0.8695,"O89023","Tpp1","O89023_Tpp1","O89023","Tpp1",1,16,8,8,"O89023","MOUSE",61797.5,23.3,1030,1030.1,130.68,130.68,NA,562,"Tripeptidyl-peptidase 1","mitochondrion|lysosome|melanosome|extracellular exosome|","proteolysis|lysosome organization|nervous system development|central nervous system development|epithelial cell differentiation|peptide catabolic process|bone resorption|neuromuscular process controlling balance|","endopeptidase activity|serine-type endopeptidase activity|protein binding|peptidase activity|serine-type peptidase activity|tripeptidyl-peptidase activity|metal ion binding|",8,16,3.13e+10,"23.3%"
"646","Q9R1E6-2",9.17219e-05,-0.060166667,48.90577511,2.28,1.28654e-05,11.46767965,-1.1705,-1.087,-1.343,1.315,0.607,1.3175,"Q9R1E6","Enpp2","Q9R1E6-2_Enpp2","Q9R1E6-2","Enpp2",1,37,19,19,"Q9R1E6-2|G3UXY9|Q9R1E6-3|Q9R1E6","MOUSE",106969.5,25.4,495,495.1,232.2,232.2,NA,862,"Isoform 2 of Ectonucleotide pyrophosphatase/phosphodiesterase family member 2","extracellular space|integral component of plasma membrane|","receptor-mediated endocytosis|chemotaxis|immune response|phospholipid catabolic process|positive regulation of epithelial cell migration|regulation of cell migration|phosphatidylcholine catabolic process|regulation of angiogenesis|positive regulation of peptidyl-tyrosine phosphorylation|nucleic acid phosphodiester bond hydrolysis|positive regulation of lamellipodium morphogenesis|","nucleic acid binding|phosphodiesterase I activity|nucleotide diphosphatase activity|lysophospholipase activity|scavenger receptor activity|calcium ion binding|zinc ion binding|polysaccharide binding|alkylglycerophosphoethanolamine phosphodiesterase activity|",19,37,1.33e+10,"25.4%"
"531","Q8BK48",9.53404e-06,-0.210666667,62.28864266,2.272333333,5.90386e-07,18.4917898,-1.3205,-1.394,-1.326,1.007,0.647,1.1225,"Q8BK48","Ces2e","Q8BK48_Ces2e","Q8BK48","Ces2e",1,67,19,14,"Q8BK48|Q08ED5|Q149K3|F6Z9B9","MOUSE",62716,38.6,402,402.1,238.21,180.22,NA,559,"Pyrethroid hydrolase Ces2e","endoplasmic reticulum|","metabolic process|","carboxylic ester hydrolase activity|",19,67,1.39e+11,"38.6%"
"1360","O09164",9.84783e-06,-0.237,62.06366581,2.270333333,6.21775e-07,18.34547724,-1.2315,-1.306,-1.579,1.066,0.716,0.9125,"O09164","Sod3","O09164_Sod3","O09164","Sod3",1,39,7,7,"O09164","MOUSE",27733.7,37.4,1131,1131.1,116.93,116.93,NA,251,"Extracellular superoxide dismutase [Cu-Zn]","extracellular space|nucleus|cytoplasm|Golgi lumen|trans-Golgi network|extracellular exosome|extracellular matrix|","response to hypoxia|removal of superoxide radicals|response to copper ion|oxidation-reduction process|","superoxide dismutase activity|copper ion binding|protein binding|zinc ion binding|",7,39,2.87e+10,"37.4%"
"933","P97449",1.3477e-05,-0.356666667,59.82852568,2.269,1.04027e-06,16.95120696,-1.4205,-1.271,-1.782,0.86,0.681,0.7925,"P97449","Anpep","P97449_Anpep","P97449","Anpep",1,26,14,14,"P97449","MOUSE",110105.6,15.8,754,754.1,173.15,173.15,NA,966,"Aminopeptidase N","extracellular space|lysosomal membrane|endoplasmic reticulum-Golgi intermediate compartment|external side of plasma membrane|integral component of membrane|extracellular exosome|","angiogenesis|proteolysis|cell differentiation|","aminopeptidase activity|metallopeptidase activity|zinc ion binding|",14,26,1.98e+10,"15.8%"
"1641","Q3TCN2",1.91216e-05,-0.39,57.39226455,2.267666667,1.82294e-06,15.54744138,-1.4965,-1.243,-1.832,0.723,0.675,0.8335,"Q3TCN2","Plbd2","Q3TCN2_Plbd2","Q3TCN2","Plbd2",1,10,6,6,"Q3TCN2|Q3TCN2-2","MOUSE",66687.6,16.3,1396,1396.1,90.93,90.93,NA,594,"Putative phospholipase B-like 2","lysosome|lysosomal lumen|extracellular exosome|","lipid catabolic process|","hydrolase activity|",6,10,2.46e+09,"16.3%"
"1452","Q6PDJ1",0.000248484,-0.405833333,43.7664315,2.267333333,4.20104e-05,9.502430166,-1.4475,-1.077,-2.094,0.702,0.664,0.8175,"Q6PDJ1","Cachd1","Q6PDJ1_Cachd1","Q6PDJ1","Cachd1",1,16,9,9,"Q6PDJ1|Q6PDJ1-2|Z4YK18","MOUSE",145978,7.7,1220,1220.1,106.78,106.78,NA,1288,"VWFA and cache domain-containing protein 1","integral component of membrane|","calcium ion transport|","",9,16,8.7e+08,"7.7%"
"930","G5E8J0",1.61939e-05,-0.350666667,58.4202014,2.265,1.43873e-06,16.12561241,-1.2415,-1.415,-1.793,0.854,0.693,0.7985,"G5E8J0","Notch2","G5E8J0_Notch2","G5E8J0","Notch2",1,30,12,12,"G5E8J0|O35516|O35516-2","MOUSE",279492.6,7.5,751,751.1,173.8,173.8,NA,2473,"Neurogenic locus notch homolog protein 2","nucleus|integral component of plasma membrane|cell surface|receptor complex|","pulmonary valve morphogenesis|cell cycle arrest|Notch signaling pathway|negative regulation of cell proliferation|cell growth|cell differentiation|positive regulation of Ras protein signal transduction|bone remodeling|regulation of developmental process|atrial septum morphogenesis|","calcium ion binding|",12,30,4.07e+09,"7.5%"
"89","Q8C7X2",1.31561e-06,-0.371166667,85.23434707,2.264,2.99616e-09,40.3630709,-1.5045,-1.448,-1.557,0.764,0.735,0.7835,"Q8C7X2","Emc1","Q8C7X2_Emc1","Q8C7X2","Emc1",1,230,43,43,"Q8C7X2|Z4YJW0|Q8C7X2-2|Q8C7X2-3","MOUSE",112002.5,47.6,65,65.1,672.46,672.46,NA,997,"ER membrane protein complex subunit 1","endoplasmic reticulum|integral component of membrane|ER membrane protein complex|","","",43,230,8.96e+11,"47.6%"
"2226","Q8C7V8",5.6572e-06,-0.403166667,66.67404581,2.264,2.15078e-07,21.58044479,-1.4195,-1.427,-1.759,0.707,0.67,0.8095,"Q8C7V8","Ccdc134","Q8C7V8_Ccdc134","Q8C7V8","Ccdc134",1,6,4,4,"Q8C7V8|Q8C7V8-2","MOUSE",26551.1,20.5,1956,1956.1,50.46,50.46,NA,229,"Coiled-coil domain-containing protein 134","extracellular region|membrane|","","",4,6,1.32e+09,"20.5%"
"2157","P35846",9.53404e-06,-0.259,62.30222716,2.263,5.88542e-07,18.50066041,-1.2445,-1.364,-1.563,1.004,0.653,0.9605,"P35846","Folr1","P35846_Folr1","P35846","Folr1",1,9,5,5,"P35846","MOUSE",30475.8,32.1,1888,1888.1,54.67,54.67,NA,255,"Folate receptor alpha","nucleus|endosome|cell surface|membrane|apical plasma membrane|clathrin-coated vesicle|anchored component of external side of plasma membrane|extracellular exosome|","heart looping|neural crest cell migration involved in heart formation|cardiac neural crest cell migration involved in outflow tract morphogenesis|posttranslational protein targeting to membrane|folic acid transport|regulation of transforming growth factor beta receptor signaling pathway|folic acid metabolic process|regulation of canonical Wnt signaling pathway|pharyngeal arch artery morphogenesis|","receptor activity|folic acid binding|folic acid transporter activity|",5,9,1.02e+09,"32.1%"
"778","Q8BP92",1.62306e-05,-0.296833333,58.34958112,2.261333333,1.46232e-06,16.08524349,-1.2325,-1.342,-1.708,0.853,0.669,0.9795,"Q8BP92","Rcn2","Q8BP92_Rcn2","Q8BP92","Rcn2",1,26,15,15,"Q8BP92|D6RHL9","MOUSE",37270.1,45.9,616,616.1,205.21,205.21,NA,320,"Reticulocalbin-2","nucleolus|endoplasmic reticulum|endoplasmic reticulum lumen|","","calcium ion binding|protein binding|",15,26,1.43e+10,"45.9%"
"63","Q8BHN3-2",2.18797e-06,-0.311,78.05531417,2.256333333,1.56484e-08,31.50673043,-1.4145,-1.428,-1.475,0.884,0.688,0.8795,"Q8BHN3","Ganab","Q8BHN3-2_Ganab","Q8BHN3-2","Ganab",1,255,54,3,"Q8BHN3-2|Q8BHN3-3","MOUSE",109858.4,57.1,43,43.1,840.67,53.85,NA,944,"Isoform 2 of Neutral alpha-glucosidase AB","endoplasmic reticulum|Golgi apparatus|membrane|glucosidase II complex|melanosome|extracellular exosome|","N-glycan processing|","protein binding|glucosidase activity|carbohydrate binding|glucan 1,3-alpha-glucosidase activity|poly(A) RNA binding|",54,255,9.02e+11,"57.1%"
"265","Q8BRH0",6.02967e-06,-0.3915,65.87310977,2.248666667,2.58636e-07,20.98120882,-1.4215,-1.374,-1.752,0.683,0.727,0.7885,"Q8BRH0","Tmtc3","Q8BRH0_Tmtc3","Q8BRH0","Tmtc3",1,110,29,29,"G5E8C4|Q8BRH0|A0A0R4J173|Q8BRH0-2","MOUSE",105108.6,36.3,192,192.1,411.52,411.52,NA,920,"Transmembrane and TPR repeat-containing protein 3","integral component of membrane|","post-embryonic development|regulation of gene expression|cell differentiation|lung development|lung alveolus development|muscle fiber development|bud outgrowth involved in lung branching|","",29,110,2.32e+11,"36.3%"
"578","O88338",3.18326e-06,-0.283166667,72.35313657,2.244666667,5.81683e-08,26.253547,-1.4495,-1.266,-1.501,0.939,0.748,0.8305,"O88338","Cdh16","O88338_Cdh16","O88338","Cdh16",1,66,15,15,"O88338|Q8C730|Q3TPA4","MOUSE",90257.9,32.6,438,438.1,252.23,252.23,NA,830,"Cadherin-16","plasma membrane|integral component of membrane|basolateral plasma membrane|extracellular exosome|","homophilic cell adhesion via plasma membrane adhesion molecules|calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules|","calcium ion binding|",15,66,2.34e+11,"32.6%"
"1294","P11152",0.000286628,-0.089666667,43.04387388,2.241,4.9615e-05,9.251684508,-1.2715,-0.972,-1.387,1.076,0.526,1.4905,"P11152","Lpl","P11152_Lpl","P11152","Lpl",1,28,8,8,"P11152","MOUSE",53679,24.2,1068,1068.1,125.59,125.59,NA,474,"Lipoprotein lipase","extracellular space|plasma membrane|cell surface|extracellular matrix|anchored component of membrane|very-low-density lipoprotein particle|chylomicron|extracellular exosome|","fatty acid biosynthetic process|response to cold|positive regulation of macrophage derived foam cell differentiation|positive regulation of cholesterol storage|positive regulation of sequestering of triglyceride|triglyceride biosynthetic process|triglyceride catabolic process|very-low-density lipoprotein particle remodeling|response to drug|triglyceride homeostasis|","lipoprotein lipase activity|triglyceride lipase activity|receptor binding|protein binding|heparin binding|triglyceride binding|apolipoprotein binding|",8,28,2.88e+10,"24.2%"
"195","Q8CJH3",9.23297e-06,-0.355666667,62.61512701,2.235666667,5.4763e-07,18.70612477,-1.3215,-1.36,-1.739,0.799,0.674,0.8135,"Q8CJH3","Plxnb1","Q8CJH3_Plxnb1","Q8CJH3","Plxnb1",1,92,36,36,"Q8CJH3","MOUSE",234738.4,22.3,139,139.1,498.21,498.21,NA,2119,"Plexin-B1","semaphorin receptor complex|integral component of plasma membrane|","negative regulation of cell adhesion|regulation of cell shape|positive regulation of phosphatidylinositol 3-kinase signaling|negative regulation of osteoblast proliferation|positive regulation of GTPase activity|ossification involved in bone maturation|neuron projection morphogenesis|positive regulation of axonogenesis|regulation of cytoskeleton organization|semaphorin-plexin signaling pathway|semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis|","protein binding|semaphorin receptor activity|GTPase activating protein binding|",36,92,3.39e+10,"22.3%"
"959","P49935",6.02967e-06,-0.292,65.86721292,2.233666667,2.58987e-07,20.97685767,-1.3325,-1.291,-1.603,0.925,0.684,0.8655,"P49935","Ctsh","P49935_Ctsh","P49935","Ctsh",1,46,12,12,"P49935","MOUSE",37740.2,46.5,779,779.1,168.44,168.44,NA,333,"Pro-cathepsin H","extracellular space|lysosome|cytosol|extracellular exosome|alveolar lamellar body|","metanephros development|T cell mediated cytotoxicity|immune response-regulating signaling pathway|proteolysis|apoptotic process|activation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of cell proliferation|positive regulation of gene expression|positive regulation of epithelial cell migration|neuropeptide catabolic process|bradykinin catabolic process|positive regulation of peptidase activity|positive regulation of cell migration|zymogen activation|protein destabilization|response to retinoic acid|membrane protein proteolysis|negative regulation of apoptotic process|surfactant homeostasis|positive regulation of angiogenesis|proteolysis involved in cellular protein catabolic process|dichotomous subdivision of terminal units involved in lung branching|ERK1 and ERK2 cascade|cellular response to thyroid hormone stimulus|positive regulation of apoptotic signaling pathway|","endopeptidase activity|aminopeptidase activity|cysteine-type endopeptidase activity|serine-type endopeptidase activity|peptidase activity|cysteine-type peptidase activity|cysteine-type endopeptidase activator activity involved in apoptotic process|peptidase activator activity involved in apoptotic process|HLA-A specific activating MHC class I receptor activity|thyroid hormone binding|",12,46,3.55e+10,"46.5%"
"1631","P16882",1.93646e-05,-0.233166667,57.21303209,2.232,1.89975e-06,15.44867678,-1.3105,-1.175,-1.562,0.981,0.619,1.0485,"P16882","Ghr","P16882_Ghr","P16882","Ghr",1,14,7,7,"P16882|Q3UP14|P16882-2","MOUSE",73751.8,11.8,1386,1386.1,91.68,91.68,NA,650,"Growth hormone receptor","extracellular region|extracellular space|nucleus|plasma membrane|integral component of plasma membrane|cell surface|integral component of membrane|extrinsic component of membrane|receptor complex|growth hormone receptor complex|","allantoin metabolic process|citrate metabolic process|2-oxoglutarate metabolic process|succinate metabolic process|oxaloacetate metabolic process|isoleucine metabolic process|valine metabolic process|creatine metabolic process|fatty acid metabolic process|endocytosis|cytokine-mediated signaling pathway|taurine metabolic process|response to estradiol|cellular response to hormone stimulus|regulation of multicellular organism growth|positive regulation of multicellular organism growth|multicellular organismal metabolic process|creatinine metabolic process|insulin-like growth factor receptor signaling pathway|positive regulation of peptidyl-tyrosine phosphorylation|growth hormone receptor signaling pathway|","growth hormone receptor activity|protein binding|peptide hormone binding|growth factor binding|protein homodimerization activity|",7,14,1.76e+09,"11.8%"
"1311","Q8VCS3",2.36007e-06,-0.364333333,75.9168631,2.227666667,2.56043e-08,29.41567996,-1.3895,-1.502,-1.543,0.746,0.65,0.8525,"Q8VCS3","Fam20b","Q8VCS3_Fam20b","Q8VCS3","Fam20b",1,24,9,9,"Q8VCS3","MOUSE",47036.2,27.6,1085,1085.1,122.53,122.53,NA,409,"Glycosaminoglycan xylosylkinase","Golgi membrane|nucleoplasm|Golgi apparatus|integral component of membrane|","phosphorylation|positive regulation of protein targeting to mitochondrion|","ATP binding|kinase activity|phosphotransferase activity, alcohol group as acceptor|",9,24,1.46e+10,"27.6%"
"7","A2ARV4",2.88919e-05,-0.238833333,54.84306779,2.224,3.27864e-06,14.19749123,-1.1675,-1.252,-1.633,0.926,0.631,1.0625,"A2ARV4","Lrp2","A2ARV4_Lrp2","A2ARV4","Lrp2",1,1202,242,242,"A2ARV4|A2ARV5|Q3V346","MOUSE",537969.9,54.9,3,3.1,3572.42,3572.42,NA,4660,"Low-density lipoprotein receptor-related protein 2","lysosomal membrane|endosome|endoplasmic reticulum|Golgi apparatus|brush border|coated pit|membrane|integral component of membrane|apical plasma membrane|endocytic vesicle|brush border membrane|receptor complex|apical part of cell|extracellular exosome|","vitamin metabolic process|receptor-mediated endocytosis|cell proliferation|forebrain development|Wnt signaling pathway involved in dorsal/ventral axis specification|canonical Wnt signaling pathway|","receptor activity|calcium ion binding|protein binding|SH3 domain binding|Wnt-protein binding|Wnt-activated receptor activity|",242,1202,3.67e+12,"54.9%"
"2697","Q8BW41",7.37881e-06,-0.3745,64.22173389,2.216666667,3.78292e-07,19.7963767,-1.2885,-1.507,-1.653,0.879,0.63,0.6925,"Q8BW41","Pomgnt2","Q8BW41_Pomgnt2","Q8BW41","Pomgnt2",1,4,3,3,"Q8BW41|Q8BW41-2","MOUSE",70004.6,5.2,2426,2426.1,31.52,31.52,NA,605,"Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2","endoplasmic reticulum|endoplasmic reticulum membrane|integral component of membrane|","neuron migration|protein O-linked glycosylation|protein O-linked mannosylation|","acetylglucosaminyltransferase activity|protein O-GlcNAc transferase activity|",3,4,1.67e+08,"5.2%"
"522","O08912",8.33011e-06,-0.333,63.31429868,2.213,4.66198e-07,19.17324148,-1.2775,-1.37,-1.671,0.885,0.666,0.7695,"O08912","Galnt1","O08912_Galnt1","O08912","Galnt1",1,35,20,20,"O08912|Q8CF93-2|Q8CF93","MOUSE",65166.7,39.8,395,395.1,270.49,270.49,NA,559,"Polypeptide N-acetylgalactosaminyltransferase 1","extracellular region|membrane|integral component of membrane|Golgi cisterna membrane|perinuclear region of cytoplasm|Golgi apparatus|","protein O-linked glycosylation|protein O-linked glycosylation via serine|protein O-linked glycosylation via threonine|","polypeptide N-acetylgalactosaminyltransferase activity|manganese ion binding|carbohydrate binding|",20,35,1.38e+10,"39.8%"
"1923","Q9CZX9",1.90316e-05,-0.280666667,57.4655609,2.213,1.79244e-06,15.5880038,-1.2375,-1.291,-1.633,0.777,0.649,1.0515,"Q9CZX9","Emc4","Q9CZX9_Emc4","Q9CZX9","Emc4",1,25,5,5,"Q9CZX9","MOUSE",20287.5,33.3,1663,1663.1,68.39,68.39,NA,183,"ER membrane protein complex subunit 4","integral component of membrane|ER membrane protein complex|","apoptotic process|","",5,25,1.59e+10,"33.3%"
"356","Q8JZZ0",3.25529e-06,-0.320666667,71.96724915,2.211,6.35733e-08,25.90182507,-1.4175,-1.302,-1.559,0.874,0.698,0.7825,"Q8JZZ0","Ugt3a2","Q8JZZ0_Ugt3a2","Q8JZZ0","Ugt3a2",1,174,21,17,"Q8JZZ0","MOUSE",59842.7,38.6,271,271.1,341.48,269.95,NA,523,"UDP-glucuronosyltransferase 3A2","integral component of membrane|intracellular membrane-bounded organelle|","flavonoid biosynthetic process|cellular response to hormone stimulus|flavonoid glucuronidation|cellular response to genistein|","UDP-glycosyltransferase activity|glucuronosyltransferase activity|",21,174,1.79e+12,"38.6%"
"2091","Q99JW5",1.37464e-05,-0.317666667,59.66228778,2.208333333,1.08086e-06,16.85168517,-1.3555,-1.371,-1.539,0.673,0.612,1.0745,"Q99JW5","Epcam","Q99JW5_Epcam","Q99JW5","Epcam",1,8,5,5,"Q99JW5","MOUSE",35703,19.3,1824,1824.1,58.46,58.46,NA,315,"Epithelial cell adhesion molecule","plasma membrane|bicellular tight junction|cell surface|integral component of membrane|basolateral plasma membrane|apical plasma membrane|lateral plasma membrane|extracellular exosome|","ureteric bud development|positive regulation of cell proliferation|signal transduction involved in regulation of gene expression|negative regulation of apoptotic process|positive regulation of transcription from RNA polymerase II promoter|stem cell differentiation|cell-cell adhesion|negative regulation of cell-cell adhesion mediated by cadherin|positive regulation of cell motility|positive regulation of stem cell proliferation|","protein complex binding|cadherin binding involved in cell-cell adhesion|",5,8,6.15e+08,"19.3%"
"405","O08807",6.02967e-06,-0.281833333,65.79317552,2.204666667,2.6344e-07,20.92230184,-1.2465,-1.456,-1.45,0.898,0.625,0.9385,"O08807","Prdx4","O08807_Prdx4","O08807","Prdx4",1,26,8,6,"O08807","MOUSE",31280.1,24.4,308,308.2,121.44,90.64,NA,274,"Peroxiredoxin-4","extracellular space|nucleus|cytoplasm|mitochondrion|endoplasmic reticulum|smooth endoplasmic reticulum|cytosol|extracellular exosome|","spermatogenesis|male gonad development|4-hydroxyproline metabolic process|protein maturation by protein folding|extracellular matrix organization|cell redox homeostasis|oxidation-reduction process|reactive oxygen species metabolic process|negative regulation of male germ cell proliferation|","peroxidase activity|protein homodimerization activity|peroxiredoxin activity|",6,26,3.42e+10,"20.4%"
"2241","E9PZD8",1.85509e-05,-0.336333333,57.63013114,2.202333333,1.72579e-06,15.67944529,-1.1885,-1.467,-1.657,0.956,0.612,0.7265,"E9PZD8","Cp","E9PZD8_Cp","E9PZD8","Cp",1,7,5,5,"E9PZD8|G3X8Q5|Q61147|G3X9T8","MOUSE",125007.5,4.1,1971,1971.1,49.42,49.42,NA,1086,"Ceruloplasmin","extracellular space|lysosomal membrane|extracellular exosome|blood microparticle|","copper ion transport|cellular iron ion homeostasis|oxidation-reduction process|","ferroxidase activity|copper ion binding|chaperone binding|",5,7,3.72e+08,"4.1%"
"23","Q9JLB4",1.46986e-05,-0.2185,59.21518287,2.202,1.19807e-06,16.58679017,-1.2025,-1.254,-1.502,0.961,0.63,1.0565,"Q9JLB4","Cubn","Q9JLB4_Cubn","Q9JLB4","Cubn",1,337,92,92,"Q9JLB4","MOUSE",407932.7,29.5,14,14.1,1293.13,1293.13,NA,3623,"Cubilin","cytoplasm|lysosomal membrane|endosome|endoplasmic reticulum|Golgi apparatus|brush border|coated pit|endosome membrane|apical plasma membrane|endocytic vesicle|apical part of cell|extracellular exosome|","receptor-mediated endocytosis|cholesterol metabolic process|lipoprotein transport|","receptor activity|calcium ion binding|protein binding|cobalamin binding|protein homodimerization activity|",92,337,3.91e+11,"29.5%"
"496","Q3TDQ1",5.07982e-06,-0.3725,67.91769993,2.200666667,1.61521e-07,22.54413639,-1.3605,-1.371,-1.687,0.719,0.701,0.7635,"Q3TDQ1","Stt3b","Q3TDQ1_Stt3b","Q3TDQ1","Stt3b",1,70,21,21,"A0A0R4J0D3|Q3TDQ1","MOUSE",93814.5,21,372,372.1,279.46,279.46,NA,823,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B","endoplasmic reticulum|oligosaccharyltransferase complex|membrane|integral component of membrane|","glycoprotein catabolic process|response to unfolded protein|protein N-linked glycosylation via asparagine|ER-associated ubiquitin-dependent protein catabolic process|co-translational protein modification|post-translational protein modification|","dolichyl-diphosphooligosaccharide-protein glycotransferase activity|dolichyl-diphosphooligosaccharide-protein glycotransferase activity|",21,70,1.1e+11,"21.0%"
"1540","Q61789",6.02967e-06,-0.357166667,65.7272793,2.199333333,2.67468e-07,20.8738612,-1.3805,-1.324,-1.666,0.737,0.647,0.8435,"Q61789","Lama3","Q61789_Lama3","Q61789","Lama3",1,12,9,9,"Q61789|Q61789-2","MOUSE",375292.2,3.6,1302,1302.1,99.66,99.66,NA,3330,"Laminin subunit alpha-3","extracellular region|basement membrane|laminin-5 complex|extracellular exosome|basement membrane|","cell adhesion|regulation of cell adhesion|regulation of cell migration|endodermal cell differentiation|regulation of embryonic development|","receptor binding|",9,12,3.4e+08,"3.6%"
"894","Q8BQ47",1.11576e-05,-0.232333333,61.29398173,2.199,7.42338e-07,17.8533218,-1.1945,-1.327,-1.474,0.99,0.625,0.9865,"Q8BQ47","Cnpy4","Q8BQ47_Cnpy4","Q8BQ47","Cnpy4",1,55,12,12,"Q8BQ47","MOUSE",28492.6,43.6,718,718.1,181.42,181.42,NA,245,"Protein canopy homolog 4","extracellular region|","regulation of protein localization|","receptor binding|",12,55,5.64e+10,"43.6%"
"830","Q640L3-2",2.50437e-05,-0.268333333,55.69010433,2.195666667,2.69767e-06,14.63321286,-1.1955,-1.311,-1.592,0.734,0.65,1.1045,"Q640L3","Ccpg1","Q640L3-2_Ccpg1","Q640L3-2","Ccpg1",1,25,15,15,"Q640L3-2|D3Z7R9|Q640L3|Q640L3-3","MOUSE",92733.4,18.5,663,663.1,195,195,NA,753,"Isoform 2 of Cell cycle progression protein 1","membrane|integral component of membrane|","cell cycle|positive regulation of cell proliferation|positive regulation of cell cycle|positive regulation of transcription from RNA polymerase II promoter|regulation of Rho guanyl-nucleotide exchange factor activity|","protein binding|",15,25,2.28e+10,"18.5%"
"2883","Q9JI33",5.2409e-05,-0.141666667,51.75751169,2.194333333,6.67189e-06,12.71127561,-1.0765,-1.181,-1.459,0.997,0.625,1.2445,"Q9JI33","Ntn4","Q9JI33_Ntn4","Q9JI33","Ntn4",1,5,3,3,"Q9JI33","MOUSE",72604.3,6.3,2612,2612.1,26.2,26.2,NA,628,"Netrin-4","basement membrane|plasma membrane|","neuron remodeling|regulation of branching involved in salivary gland morphogenesis by extracellular matrix-epithelial cell signaling|","laminin-1 binding|",3,5,3.23e+08,"6.3%"
"2299","Q61292",8.07581e-06,-0.270166667,63.56562701,2.189333333,4.39984e-07,19.34389814,-1.2785,-1.367,-1.449,0.836,0.608,1.0295,"Q61292","Lamb2","Q61292_Lamb2","Q61292","Lamb2",1,7,6,6,"Q61292","MOUSE",203707.4,3.6,2028,2028.1,46.47,46.47,NA,1799,"Laminin subunit beta-2","extracellular region|basement membrane|basal lamina|laminin-3 complex|laminin complex|synapse|extracellular exosome|extracellular matrix|","cell morphogenesis involved in differentiation|cell adhesion|axon guidance|neuromuscular junction development|visual perception|astrocyte development|Schwann cell development|neuron projection development|axon extension involved in regeneration|synapse organization|retina development in camera-type eye|metanephric glomerular visceral epithelial cell development|metanephric glomerular basement membrane development|","integrin binding|",6,7,6.2e+08,"3.6%"
"1343","Q9ER41",2.5176e-06,-0.395666667,74.07200025,2.179666667,3.91561e-08,27.63611702,-1.5275,-1.332,-1.597,0.696,0.682,0.7045,"Q9ER41","Tor1b","Q9ER41_Tor1b","Q9ER41","Tor1b",1,23,7,7,"Q9ER41|D6REF0","MOUSE",38159.2,24.4,1116,1116.1,118.91,118.91,NA,336,"Torsin-1B","nuclear envelope|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|nuclear membrane|extracellular exosome|","endoplasmic reticulum organization|chaperone mediated protein folding requiring cofactor|protein homooligomerization|nuclear membrane organization|","protein binding|ATP binding|ATPase activity|",7,23,3.68e+09,"24.4%"
