R128126,R128127,R128131,R129126,R129127,R129131,R130126,R130127,R130131,id,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Proteome.unique_peptides,Proteome.numSpectra,Proteome.totalIntensity,Proteome.pct_cov,adj.P.Val.XBirA.over.No_BirA,AveExpr.XBirA.over.No_BirA,Log.P.Value.XBirA.over.No_BirA,logFC.XBirA.over.No_BirA,P.Value.XBirA.over.No_BirA,t.XBirA.over.No_BirA,Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian,Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian,Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian,Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian,Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian,Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian,PCorNC,ES_score,signalP,TM  
0.949,1.173,1.097,0.985,1.1535,1.1385,1.011,1.133,1.0665,Q8VHE0,Q8VHE0,Sec63,1,31,13,13,Q8VHE0,MOUSE,88267.8,20.6,731,731.1,178.54,178.54,NA,760,Translocation protein SEC63 homolog,endoplasmic reticulum membrane|membrane|integral component of membrane|,"liver development|SRP-dependent cotranslational protein targeting to membrane|posttranslational protein targeting to membrane|nitrogen compound metabolic process|multicellular organismal aging|posttranslational protein targeting to membrane, translocation|renal system development|",protein transporter activity|poly(A) RNA binding|,13,31,1.40E+10,0.206,1.19E-05,-0.118333333,60.85081475,1.093666667,8.22E-07,17.31786482,-0.5675,-0.701,-0.727,0.41,0.423,0.4525,undefined,9,NA,TRUE
2.76,2.543,2.973,2.366,2.3115,2.6555,2.747,2.605,3.0285,Q9R097,Q9R097,Spint1,1,23,15,15,Q9R097,MOUSE,58358.6,33.3,735,735.1,177.67,177.67,NA,507,Kunitz-type protease inhibitor 1,extracellular space|plasma membrane|extracellular exosome|,neural tube closure|embryonic placenta development|negative regulation of endopeptidase activity|extracellular matrix organization|branching involved in labyrinthine layer morphogenesis|placenta blood vessel development|,serine-type endopeptidase inhibitor activity|,15,23,4.43E+09,0.333,1.92E-05,-0.456166667,57.28653122,2.682,1.87E-06,15.48910537,-1.6775,-1.532,-2.182,0.901,0.733,1.0205,PC,9,TRUE,TRUE
2.293,2.132,2.505,2.056,1.9755,2.2455,2.314,2.169,2.5595,P97449,P97449,Anpep,1,26,14,14,P97449,MOUSE,110105.6,15.8,754,754.1,173.15,173.15,NA,966,Aminopeptidase N,extracellular space|lysosomal membrane|endoplasmic reticulum-Golgi intermediate compartment|external side of plasma membrane|integral component of membrane|extracellular exosome|,angiogenesis|proteolysis|cell differentiation|,aminopeptidase activity|metallopeptidase activity|zinc ion binding|,14,26,1.98E+10,0.158,1.35E-05,-0.356666667,59.82852568,2.269,1.04E-06,16.95120696,-1.4205,-1.271,-1.782,0.86,0.681,0.7925,undefined,9,NA,TRUE
1.802,1.926,2.159,1.558,1.7555,1.8835,1.895,2.101,2.2805,B8JJN0,B8JJN0,Gm20547,1,28,15,15,B8JJN0|B8JJM5|P04186|B8JJM6|F6XQ00|P21180|P21180-2|B8JJN2|B8JJM9,MOUSE,144605,13.7,791,791.1,166.63,166.63,NA,1276,Predicted gene 20547,NA,proteolysis|,serine-type endopeptidase activity|,15,28,3.28E+09,0.137,2.31E-05,-0.193333333,56.12736922,1.971,2.44E-06,14.8630686,-1.0085,-1.139,-1.389,0.821,0.584,0.9715,undefined,9,TRUE,NA
2.21,2.286,2.537,2.005,2.1245,2.3655,2.199,2.271,2.4405,Q9ESG4,Q9ESG4,Tmem27,1,48,10,10,Q9ESG4,MOUSE,25354.8,34.2,798,798.1,165.85,165.85,NA,222,Collectrin,cytoplasm|integral component of membrane|brush border membrane|extracellular exosome|,proteolysis|positive regulation of SNARE complex assembly|positive regulation of insulin secretion involved in cellular response to glucose stimulus|positive regulation of calcium ion-dependent exocytosis|positive regulation of amino acid transport|,protein binding|metallopeptidase activity|peptidyl-dipeptidase activity|,10,48,2.87E+11,0.342,3.02E-06,-0.303833333,73.1253471,2.156,4.87E-08,26.74114074,-1.2415,-1.397,-1.507,0.767,0.727,0.8285,undefined,9,TRUE,TRUE
1.879,1.923,1.818,1.762,1.6945,1.8795,1.699,1.75,1.6685,Q5RKT9,Q5RKT9,Mgat3,1,20,13,13,Q5RKT9|Q10470,MOUSE,62620.1,31.7,822,822.1,162.16,162.16,NA,538,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",membrane|,protein N-linked glycosylation|,"beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity|",13,20,4.69E+09,0.317,3.57E-06,-0.273666667,71.37484094,1.771666667,7.29E-08,24.99240082,-1.1505,-1.057,-1.271,0.635,0.634,0.5675,undefined,9,NA,TRUE
2.02,2.05,2.131,1.729,1.6845,1.8655,2.135,2.157,2.3395,Q61592,Q61592,Gas6,1,30,16,16,Q61592,MOUSE,76548.1,28.1,826,826.1,161.82,161.82,NA,674,Growth arrest-specific protein 6,extracellular space|cytoplasm|extracellular exosome|,"neuron migration|positive regulation of protein phosphorylation|positive regulation of cytokine-mediated signaling pathway|positive regulation of glomerular filtration|protein phosphorylation|phagocytosis|signal transduction|enzyme linked receptor protein signaling pathway|blood coagulation|cellular response to starvation|positive regulation of gene expression|negative regulation of tumor necrosis factor-mediated signaling pathway|macrophage cytokine production|peptidyl-serine phosphorylation|fusion of virus membrane with host plasma membrane|viral genome replication|organ regeneration|cell-substrate adhesion|positive regulation of TOR signaling|activation of protein kinase B activity|negative regulation of interferon-gamma production|negative regulation of interleukin-6 production|negative regulation of tumor necrosis factor production|positive regulation of natural killer cell differentiation|positive regulation of peptidyl-serine phosphorylation|negative regulation of protein import into nucleus, translocation|cellular response to interferon-alpha|cellular response to drug|B cell chemotaxis|regulation of growth|negative regulation of apoptotic process|negative regulation of cysteine-type endopeptidase activity involved in apoptotic process|apoptotic cell clearance|negative regulation of sequence-specific DNA binding transcription factor activity|protein kinase B signaling|positive regulation of protein kinase activity|negative regulation of transcription, DNA-templated|viral entry into host cell|receptor-mediated virion attachment to host cell|positive regulation of protein export from nucleus|positive regulation of fibroblast proliferation|negative regulation of interleukin-1 secretion|positive regulation of phagocytosis|positive regulation of protein kinase B signaling|positive regulation of protein tyrosine kinase activity|negative regulation of biomineral tissue development|positive regulation of ERK1 and ERK2 cascade|calcium ion transmembrane transport|cellular response to vitamin K|cellular response to glucose stimulus|cellular response to growth factor stimulus|protein targeting to plasma membrane|extracellular matrix assembly|dendritic cell differentiation|hematopoietic stem cell migration to bone marrow|negative regulation of oligodendrocyte apoptotic process|negative regulation of interleukin-6 secretion|negative regulation of fibroblast apoptotic process|negative regulation of endothelial cell apoptotic process|positive regulation of dendritic cell chemotaxis|negative regulation of renal albumin absorption|negative regulation of dendritic cell apoptotic process|","phosphatidylserine binding|receptor binding|voltage-gated calcium channel activity|calcium ion binding|protein tyrosine kinase activator activity|receptor tyrosine kinase binding|cysteine-type endopeptidase inhibitor activity involved in apoptotic process|receptor agonist activity|binding, bridging|",16,30,4.01E+09,0.281,2.12E-05,-0.217333333,56.63429009,2.047666667,2.17E-06,15.13382688,-1.1595,-1.098,-1.466,0.784,0.618,1.0175,PC,9,TRUE,NA
1.793,1.565,1.603,1.531,1.4035,1.3675,1.71,1.581,1.5485,Q920A5,Q920A5,Scpep1,1,37,13,13,Q920A5,MOUSE,51249,28.7,831,831.1,161.21,161.21,NA,452,Retinoid-inducible serine carboxypeptidase,cytosol|extracellular exosome|,proteolysis|retinoic acid metabolic process|negative regulation of blood pressure|positive regulation of vasodilation|,NA,13,37,3.29E+10,0.287,4.51E-06,-0.179333333,68.91086555,1.566333333,1.29E-07,22.94255893,-1.0425,-0.876,-0.969,0.652,0.53,0.6295,PC,9,TRUE,TRUE
0.84,0.744,0.609,0.818,0.7375,0.6025,0.748,0.648,0.5175,Q8R4U6,Q8R4U6,Top1mt,1,3,5,3,Q8R4U6,MOUSE,69743.8,9.7,844,844.2,37.21,18.58,NA,593,"DNA topoisomerase I, mitochondrial",nucleus|mitochondrion|mitochondrial nucleoid|nucleolus|replication fork protection complex|,DNA replication|DNA topological change|chromatin remodeling|chromosome segregation|,DNA binding|DNA topoisomerase type I activity|DNA topoisomerase type II (ATP-hydrolyzing) activity|,3,3,3.04E+09,0.06,0.000234722,-0.097166667,44.06525998,0.711333333,3.92E-05,9.540308689,-0.5625,-0.459,-0.337,0.281,0.298,0.1965,NC,9,NA,NA
1.037,1.005,1.24,0.959,0.8925,1.1505,1.169,1.097,1.2605,Q80TN4,Q80TN4,Dnajc16,1,24,14,14,Q80TN4,MOUSE,89533.5,25.2,861,861.1,156.14,156.14,NA,772,DnaJ homolog subfamily C member 16,cell|integral component of membrane|,cell redox homeostasis|,NA,14,24,2.01E+09,0.252,2.87E-05,-0.0725,54.91945605,1.12,3.22E-06,14.1206897,-0.6135,-0.544,-0.74,0.457,0.409,0.5965,undefined,9,TRUE,TRUE
0.465,0.323,0.607,0.328,0.2925,0.5285,0.481,0.405,0.6315,E9Q9B7,E9Q9B7,Kidins220,1,20,14,14,E9Q9B7|A0A1Y7VME9|A0A1Y7VMH7,MOUSE,200835.2,10.3,864,864.1,155.88,155.88,NA,1793,Kinase D-interacting substrate 220,nucleoplasm|membrane|,in utero embryonic development|nerve growth factor signaling pathway|regulation of protein kinase activity|dendrite morphogenesis|,protein kinase regulator activity|PDZ domain binding|,14,20,2.97E+09,0.103,0.00336364,-0.005833333,30.64380215,0.454666667,0.000862223,5.709543269,-0.1735,-0.143,-0.383,0.188,0.197,0.2795,undefined,5,NA,TRUE
0.566,0.607,0.564,0.538,0.5095,0.5245,0.489,0.482,0.4855,Q923I7,Q923I7,Slc5a2,1,64,12,11,Q923I7|A0A0U1RNI8|A0A0U1RNT9,MOUSE,73976.7,15.9,870,870.1,155.26,146.4,NA,670,Sodium/glucose cotransporter 2,integral component of membrane|brush border membrane|extracellular exosome|,sodium ion transport|glucose transport|transmembrane transport|,glucose:sodium symporter activity|protein binding|,12,64,1.40E+11,0.159,0.000190821,-0.027333333,45.07136095,0.517666667,3.11E-05,9.871351234,-0.2965,-0.263,-0.299,0.26,0.241,0.1935,undefined,9,NA,TRUE
2.061,2.234,2.181,1.761,1.6215,1.8895,2.293,2.458,2.6455,E9Q5D9,E9Q5D9,Igfbp7,1,27,11,11,E9Q5D9|F8WH23|Q61581,MOUSE,33887.1,40.2,879,879.1,153.25,153.25,NA,313,Insulin-like growth factor-binding protein 7,extracellular space|extracellular matrix|extracellular exosome|,regulation of cell growth|cell adhesion|,insulin-like growth factor binding|,11,27,7.79E+09,0.402,6.19E-05,-0.0965,50.91193671,2.128666667,8.11E-06,12.3301212,-1.1715,-1.015,-1.296,0.977,0.622,1.3045,PC,9,TRUE,NA
1.953,2.119,2.243,1.205,1.3645,1.4715,2.208,2.34,2.5465,Q91V88,Q91V88,Npnt,1,23,10,10,Q91V88|D3Z4D3|Q91V88-3|Q91V88-2|Q91V88-4|D3YT,MOUSE,63657.2,23.7,882,882.1,152.39,152.39,NA,561,Nephronectin,extracellular region|proteinaceous extracellular matrix|basement membrane|smooth muscle contractile fiber|extracellular matrix|extracellular exosome|integrin alpha8-beta1 complex|,ureteric bud development|branching involved in ureteric bud morphogenesis|cell-matrix adhesion|positive regulation of alkaline phosphatase activity|positive regulation of cell-substrate adhesion|extracellular matrix organization|positive regulation of transforming growth factor beta receptor signaling pathway|cell-cell adhesion mediated by integrin|establishment of protein localization|positive regulation of osteoblast differentiation|positive regulation of smooth muscle contraction|positive regulation of ERK1 and ERK2 cascade|cellular response to tumor necrosis factor|pilomotor reflex|positive regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation|,integrin binding|calcium ion binding|,10,23,3.99E+09,0.237,0.000939818,0.043166667,36.87866755,1.935333333,0.000205179,7.33266446,-0.7155,-0.848,-1.21,1.139,0.44,1.4535,PC,9,TRUE,NA
1.65,1.839,1.851,1.662,1.7015,1.7605,1.834,2.04,1.9425,Q9Z222,Q9Z222,B3GNT2,1,23,12,12,Q9Z222|G3UWI7,MOUSE,46281.5,31.2,897,897.1,149.44,149.44,NA,397,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2",Golgi membrane|integral component of membrane|extracellular exosome|,protein glycosylation|axon guidance|sensory perception of smell|poly-N-acetyllactosamine biosynthetic process|,"galactosyltransferase activity|N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity|",12,23,3.75E+09,0.312,5.54E-06,-0.244666667,66.96425012,1.831,2.01E-07,21.73942493,-1.0805,-1.103,-1.297,0.617,0.614,0.7815,undefined,9,NA,NA
2.037,2.099,2.186,1.358,1.3985,1.6795,1.905,2.061,2.2445,P51655,P51655,Gpc4,1,20,10,10,P51655,MOUSE,63669.2,29.6,914,914.1,146.92,146.92,NA,557,Glypican-4,proteinaceous extracellular matrix|extracellular space|nucleus|Golgi lumen|external side of plasma membrane|anchored component of membrane|extracellular exosome|,NA,heparan sulfate proteoglycan binding|,10,20,9.16E+09,0.296,0.000120163,-0.030666667,47.41476571,1.853,1.81E-05,10.86290279,-0.8955,-0.834,-1.142,1.127,0.523,1.0375,PC,9,TRUE,NA
1.927,1.969,2.046,1.835,1.7835,1.8605,2.234,2.278,2.3595,Q6S9I3,Q6S9I3,Kng2,1,9,8,7,Q6S9I3|Q6S9I2|Q6S9I0|E0CYI5,MOUSE,72355.1,15,921,921.2,89.12,77.91,NA,644,HMW kininogen-II,extracellular space|cytosol|extracellular exosome|blood microparticle|,negative regulation of endopeptidase activity|,cysteine-type endopeptidase inhibitor activity|receptor binding|,7,9,2.30E+09,0.15,1.93E-05,-0.261666667,57.24580308,2.087666667,1.89E-06,15.46669021,-1.2425,-1.19,-1.484,0.701,0.601,1.0445,PC,9,TRUE,NA
0.363,0.61,0.485,0.272,0.5925,0.4715,0.207,0.484,0.2845,Q99KC8,Q99KC8,Vwa5a,1,19,12,12,Q99KC8,MOUSE,87882.9,17.2,924,924.1,146.01,146.01,NA,793,von Willebrand factor A domain-containing protein 5A,nucleus|nucleoplasm|,NA,NA,12,19,3.31E+09,0.172,0.006630882,-0.036833333,27.16842342,0.412,0.001919365,4.951063639,-0.1035,-0.342,-0.283,0.243,0.187,0.0775,NC,5,NA,NA
2.395,2.529,2.627,2.202,2.3035,2.5815,2.392,2.609,3.0755,Q8K154,Q8K154,Ugt2b34,1,33,9,9,Q8K154|E9PZ30|A0A0J9YU36|Q8BWQ1|Q80X89|Q6PDD0|D3YUX6,MOUSE,61389.4,25.7,935,935.1,144.71,144.71,NA,532,UDP-glucuronosyltransferase,intracellular membrane-bounded organelle|,flavonoid biosynthetic process|cellular response to hormone stimulus|flavonoid glucuronidation|,glucuronosyltransferase activity|,9,33,4.57E+10,0.257,4.04E-05,-0.469833333,53.06848916,2.604666667,4.93E-06,13.32396694,-1.5335,-1.552,-2.231,0.792,0.715,0.9905,undefined,9,TRUE,TRUE
1.349,1.121,1.286,1.055,1.0475,1.1515,1.303,1.146,1.2485,O35657,O35657,Neu1,1,30,11,11,O35657,MOUSE,45046.9,27.8,936,936.1,144.67,144.67,NA,409,Sialidase-1,lysosome|lysosomal membrane|plasma membrane|cell surface|cytoplasmic membrane-bounded vesicle|cell junction|lysosomal lumen|intracellular membrane-bounded organelle|extracellular exosome|,oligosaccharide catabolic process|positive regulation of neuron projection development|lipid catabolic process|regulation of myoblast proliferation|,exo-alpha-sialidase activity|protein binding|exo-alpha-(2->3)-sialidase activity|exo-alpha-(2->6)-sialidase activity|exo-alpha-(2->8)-sialidase activity|,11,30,2.30E+10,0.278,1.98E-05,-0.094833333,57.00004963,1.204666667,2.00E-06,15.2014677,-0.7055,-0.589,-0.797,0.544,0.403,0.5755,undefined,9,TRUE,NA
0.637,0.637,0.554,0.363,0.4815,0.3505,0.457,0.545,0.3805,Q925E7,Q925E7,Ppp2r2d,1,4,6,3,Q925E7|F6RV17,MOUSE,52527.1,17.8,940,940.2,64.86,25.81,NA,453,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform,protein phosphatase type 2A complex|cytoplasm|,mitotic nuclear division|signal transduction|exit from mitosis|regulation of protein phosphatase type 2A activity|cell division|,protein phosphatase type 2A regulator activity|,3,4,1.91E+09,0.088,0.001493816,0.030666667,34.66462212,0.498333333,0.000341616,6.694645913,-0.2015,-0.262,-0.192,0.392,0.155,0.2925,undefined,6,NA,NA
1.641,1.286,1.585,1.28,0.9455,1.1705,1.825,1.357,1.5825,P46412,P46412,Gpx3,1,44,11,11,P46412|P21765,MOUSE,25581.2,42.4,957,957.1,141.73,141.73,NA,226,Glutathione peroxidase 3,extracellular space|extracellular exosome|,response to oxidative stress|hydrogen peroxide catabolic process|protein homotetramerization|oxidation-reduction process|,glutathione peroxidase activity|selenium binding|,11,44,1.11E+11,0.424,0.000132405,-0.042,46.91948365,1.420333333,2.03E-05,10.66851333,-0.8785,-0.549,-0.829,0.716,0.437,0.8515,PC,9,TRUE,NA
0.746,0.74,0.527,0.418,0.5215,0.2755,0.45,0.48,0.4615,P57016,P57016,Lad1,1,30,13,13,P57016,MOUSE,58920,26.7,959,959.1,141.42,141.42,NA,528,Ladinin-1,extracellular exosome|,NA,NA,13,30,6.02E+09,0.267,0.001497922,0.03,34.64177503,0.617666667,0.000343418,6.723190918,-0.2255,-0.394,-0.217,0.49,0.209,0.3175,PC,8,NA,NA
1.347,1.407,1.491,1.345,1.3575,1.5415,1.508,1.508,1.6255,P01901,P01901,H2-K1,1,25,10,8,P01901|Q3TH01|P04223|P04223-2|P14426|P03991|A0A0B4J1G3|P01900|P14427|P01895-2,MOUSE,41700.5,35.7,1005,1005.1,134.66,105.6,NA,369,"H-2 class I histocompatibility antigen, K-B alpha chain",endoplasmic reticulum|Golgi apparatus|Golgi medial cisterna|external side of plasma membrane|cell surface|membrane|phagocytic vesicle membrane|MHC class I protein complex|extracellular exosome|endoplasmic reticulum exit site|integral component of lumenal side of endoplasmic reticulum membrane|,"positive regulation of T cell mediated cytotoxicity|antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent|immune response|antigen processing and presentation of exogenous peptide antigen via MHC class I|defense response to bacterium|inner ear development|",receptor binding|protein binding|beta-2-microglobulin binding|peptide antigen binding|T cell receptor binding|poly(A) RNA binding|TAP binding|,10,25,6.53E+09,0.357,1.19E-05,-0.181,60.96721586,1.495666667,8.00E-07,17.60358491,-0.8285,-0.867,-1.091,0.51,0.557,0.6335,undefined,9,TRUE,TRUE
1.678,1.696,1.477,1.31,1.4855,1.2865,1.729,1.853,1.6145,P01899,P01899,H2-D1,1,8,9,6,P01899|P01897|Q8HWB2|P01898|Q4KN81|G3UXE9|E9Q0G4|A7VMS6|O19441|E9PX63|Q05A75|G3UZL7,MOUSE,41120.7,26.7,1005,1005.2,88.87,52.53,NA,362,"H-2 class I histocompatibility antigen, D-B alpha chain",endoplasmic reticulum|Golgi apparatus|Golgi medial cisterna|plasma membrane|external side of plasma membrane|cell surface|membrane|phagocytic vesicle membrane|MHC class I protein complex|extracellular exosome|endoplasmic reticulum exit site|integral component of lumenal side of endoplasmic reticulum membrane|,"positive regulation of T cell mediated cytotoxicity|antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent|immune response|",receptor binding|protein binding|beta-2-microglobulin binding|peptide antigen binding|T cell receptor binding|poly(A) RNA binding|TAP binding|,6,8,2.53E+09,0.176,9.85E-06,-0.126666667,62.04816372,1.545,6.24E-07,18.28796847,-0.8595,-0.966,-0.872,0.735,0.482,0.7205,PC,9,TRUE,TRUE
0.368,0.412,0.473,0.409,0.4505,0.4505,0.38,0.43,0.4425,A0A0R4J0B5,A0A0R4J0B5,BC017158,1,20,10,2,A0A0R4J0B5|D6RDS0|Q91W34-2,MOUSE,50928.7,24.8,1013,1013.1,132.73,30.09,NA,466,cDNA sequence BC017158,NA,NA,NA,10,20,3.10E+09,0.248,0.001494344,-0.005,34.65761878,0.404333333,0.000342167,6.679920811,-0.1415,-0.196,-0.284,0.167,0.23,0.1945,undefined,5,NA,NA
1.285,1.183,1.054,1.167,1.0165,0.9575,1.32,1.117,1.0915,Q91YL7,Q91YL7,Cwh43,1,20,11,11,Q91YL7|Q91YL7-2,MOUSE,78577.6,19,1027,1027.1,131.07,131.07,NA,699,PGAP2-interacting protein,integral component of membrane|,GPI anchor biosynthetic process|,NA,11,20,3.09E+11,0.19,1.92E-05,-0.1105,57.33765231,1.130666667,1.85E-06,15.36356596,-0.8115,-0.612,-0.604,0.469,0.416,0.4795,undefined,9,NA,TRUE
1.004,1.009,1.222,1.038,1.1125,1.2645,1.186,1.209,1.4155,P09803,P09803,Cdh1,1,26,14,14,A0A0R4IZW5|P09803,MOUSE,98767.5,22,1033,1033.1,130.6,130.6,NA,884,Cadherin-1,cytoplasm|endosome|trans-Golgi network|plasma membrane|cell-cell junction|adherens junction|cell-cell adherens junction|focal adhesion|cytoplasmic side of plasma membrane|cell surface|actin cytoskeleton|integral component of membrane|aggresome|basolateral plasma membrane|lateral plasma membrane|catenin complex|flotillin complex|lamellipodium|cell junction|axon|node of Ranvier|lateral loop|Schmidt-Lanterman incisure|apical junction complex|axon terminus|apical part of cell|perinuclear region of cytoplasm|extracellular exosome|cell periphery|catenin complex|cortical actin cytoskeleton|,"in utero embryonic development|trophectodermal cell differentiation|epithelial cell morphogenesis|homophilic cell adhesion via plasma membrane adhesion molecules|embryo implantation|sensory perception of sound|single organismal cell-cell adhesion|calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules|protein metabolic process|negative regulation of cell-cell adhesion|regulation of protein localization|regulation of water loss via skin|adherens junction organization|uterine epithelium development|positive regulation of transcription factor import into nucleus|regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of transcription, DNA-templated|decidualization|negative regulation of epithelial cell proliferation|protein homooligomerization|intestinal epithelial cell development|salivary gland cavitation|regulation of branching involved in salivary gland morphogenesis|bicellular tight junction assembly|cellular response to amino acid stimulus|cellular response to lithium ion|cellular response to indole-3-methanol|protein localization to plasma membrane|establishment of protein localization to plasma membrane|negative regulation of canonical Wnt signaling pathway|cochlea development|regulation of protein localization to cell surface|regulation of neuron migration|",glycoprotein binding|calcium ion binding|protein binding|beta-catenin binding|protein phosphatase binding|protein domain specific binding|ankyrin binding|GTPase activating protein binding|gamma-catenin binding|cell adhesion molecule binding|,14,26,4.94E+10,0.22,6.22E-05,-0.1005,50.87858669,1.217333333,8.17E-06,12.31530785,-0.6155,-0.616,-0.896,0.418,0.487,0.6195,PC,9,TRUE,TRUE
2.569,2.783,2.725,2.177,2.3955,2.3675,2.529,2.811,2.6945,A6PW84,A6PW84,P3h1,1,24,10,10,A6PW84|A2A7Q5|Q3V1T4|Q3V1T4-3|Q3V1T4-2|F2Z499,MOUSE,85441.4,17.9,1043,1043.1,129.23,129.23,NA,746,Prolyl 3-hydroxylase 1,basement membrane|nucleus|cytoplasm|endoplasmic reticulum|plasma membrane|membrane|extracellular exosome|,protein folding|cell growth|protein hydroxylation|peptidyl-proline hydroxylation|collagen fibril organization|regulation of ossification|collagen metabolic process|regulation of protein secretion|protein stabilization|oxidation-reduction process|bone development|negative regulation of post-translational protein modification|,iron ion binding|procollagen-proline 3-dioxygenase activity|L-ascorbic acid binding|,10,24,5.24E+09,0.179,5.29E-06,-0.411833333,67.45444998,2.546,1.80E-07,22.18035776,-1.5205,-1.648,-1.886,0.961,0.703,0.9195,PC,9,TRUE,NA
1.716,1.847,2.033,1.444,1.6345,1.6635,1.835,1.896,2.0965,A0A087WR24,A0A087WR24,Edem3,1,20,10,10,A0A087WR24|Q2HXL6|A0A087WQK5|B7ZNP0,MOUSE,106696.6,14.5,1046,1046.1,128.75,128.75,NA,947,"alpha-1,2-Mannosidase",endoplasmic reticulum lumen|membrane|,N-glycan processing|glycoprotein catabolic process|ER-associated ubiquitin-dependent protein catabolic process|endoplasmic reticulum unfolded protein response|proteasome-mediated ubiquitin-dependent protein catabolic process|glycoprotein ERAD pathway|,"glycoprotein endo-alpha-1,2-mannosidase activity|mannosyl-oligosaccharide 1,2-alpha-mannosidase activity|calcium ion binding|",10,20,1.68E+09,0.145,2.18E-05,-0.166166667,56.50275159,1.791333333,2.24E-06,15.06312257,-0.9305,-1.016,-1.239,0.725,0.55,0.9135,undefined,9,TRUE,TRUE
2.31,2.124,2.305,1.742,1.5195,1.7885,2.616,2.494,2.6245,P11152,P11152,Lpl,1,28,8,8,P11152,MOUSE,53679,24.2,1068,1068.1,125.59,125.59,NA,474,Lipoprotein lipase,extracellular space|plasma membrane|cell surface|extracellular matrix|anchored component of membrane|very-low-density lipoprotein particle|chylomicron|extracellular exosome|,fatty acid biosynthetic process|response to cold|positive regulation of macrophage derived foam cell differentiation|positive regulation of cholesterol storage|positive regulation of sequestering of triglyceride|triglyceride biosynthetic process|triglyceride catabolic process|very-low-density lipoprotein particle remodeling|response to drug|triglyceride homeostasis|,lipoprotein lipase activity|triglyceride lipase activity|receptor binding|protein binding|heparin binding|triglyceride binding|apolipoprotein binding|,8,28,2.88E+10,0.242,0.000286628,-0.089666667,43.04387388,2.241,4.96E-05,9.251684508,-1.2715,-0.972,-1.387,1.076,0.526,1.4905,PC,9,TRUE,NA
2.997,2.848,3.04,2.813,2.8015,2.8795,3.039,2.904,3.2195,Q9R0Q3,Q9R0Q3,Tmed2,1,43,9,9,Q9R0Q3,MOUSE,22818.8,43.2,1079,1079.1,124.2,124.2,NA,201,Transmembrane emp24 domain-containing protein 2,endoplasmic reticulum|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|integral component of membrane|COPI-coated vesicle|COPI-coated vesicle membrane|Golgi cisterna membrane|endoplasmic reticulum-Golgi intermediate compartment membrane|zymogen granule membrane|,maternal placenta development|Golgi organization|vesicle-mediated transport|negative regulation of GTPase activity|embryonic morphogenesis|labyrinthine layer blood vessel development|protein targeting to plasma membrane|,NA,9,43,1.61E+10,0.432,1.32E-06,-0.566666667,87.15005939,2.921666667,1.93E-09,43.12033805,-2.0865,-2.06,-1.936,0.856,0.856,0.9705,PC,9,TRUE,TRUE
0.862,0.577,0.735,0.817,0.6475,0.6915,0.799,0.683,0.5435,Q9WVA4,Q9WVA4,Tagln2,1,18,11,11,Q9WVA4|Q9R1Q8,MOUSE,22566.2,56.2,1080,1080.1,123.27,123.27,NA,199,Transgelin-2,vesicle|extracellular exosome|,epithelial cell differentiation|,actin filament binding|,11,18,3.77E+09,0.562,9.34E-05,-0.0585,48.7834942,0.717333333,1.32E-05,11.29108708,-0.5105,-0.372,-0.369,0.325,0.32,0.2555,undefined,9,NA,NA
1.98,1.87,2.265,1.912,1.8505,2.3115,2.071,1.982,2.4665,Q61847-2,Q61847,Mep1b,1,20,11,11,Q61847-2|Q61847,MOUSE,81373.1,21.3,1081,1081.1,123.23,123.23,NA,704,Isoform 2 of Meprin A subunit beta,plasma membrane|membrane|integral component of membrane|,proteolysis|inflammatory response|toxin transport|,metalloendopeptidase activity|zinc ion binding|,11,20,8.69E+09,0.213,5.48E-05,-0.362833333,51.50207391,2.136,7.08E-06,12.59499563,-1.3005,-1.158,-1.834,0.657,0.68,0.7785,PC,9,TRUE,TRUE
