id,adj.P.Val.XBirA.over.No_BirA,AveExpr.XBirA.over.No_BirA,Log.P.Value.XBirA.over.No_BirA,logFC.XBirA.over.No_BirA,P.Value.XBirA.over.No_BirA,t.XBirA.over.No_BirA,Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian,Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian,Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian,Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian,Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian,Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian,id.query,id.mapped,id.concat,id.1,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Proteome.unique_peptides,Proteome.numSpectra,Proteome.totalIntensity,Proteome.pct_cov
Q99JY0,0.044983742,0.021833333,16.86673635,-0.193333333,0.020574361,-3.015404937,0.0815,0.076,0.198,-0.035,-0.045,-0.1445,Q99JY0,Hadhb,Q99JY0_Hadhb,Q99JY0,Hadhb,1,161,35,35,Q99JY0,MOUSE,51670.7,68.4,127,127.1,518.85,518.85,,475,"Trifunctional enzyme subunit beta, mitochondrial",mitochondrion|mitochondrial outer membrane|mitochondrial inner membrane|endoplasmic reticulum|mitochondrial fatty acid beta-oxidation multienzyme complex|mitochondrial nucleoid|extracellular exosome|,fatty acid beta-oxidation|,acetyl-CoA C-acyltransferase activity|long-chain-3-hydroxyacyl-CoA dehydrogenase activity|poly(A) RNA binding|,35,161,3.65E+11,68.4%
Q99KQ4,0.011583549,0.030333333,24.17174642,-0.254333333,0.003826708,-4.326761807,0.0995,0.169,0.204,-0.085,-0.056,-0.1495,Q99KQ4,Nampt,Q99KQ4_Nampt,Q99KQ4,Nampt,1,146,34,34,Q99KQ4,MOUSE,55731.1,69,128,128.1,514.26,514.26,,491,Nicotinamide phosphoribosyltransferase,extracellular space|nucleus|cytoplasm|cytosol|extracellular exosome|,female pregnancy|circadian rhythm|NAD biosynthetic process|response to organic cyclic compound|circadian regulation of gene expression|positive regulation of transcription from RNA polymerase II promoter|positive regulation of smooth muscle cell proliferation|positive regulation of nitric-oxide synthase biosynthetic process|,nicotinate-nucleotide diphosphorylase (carboxylating) activity|cytokine activity|drug binding|protein homodimerization activity|nicotinamide phosphoribosyltransferase activity|,34,146,4.59E+11,69.0%
Q8R180,3.92006E-06,-0.442333333,70.46071504,2.663666667,8.99349E-08,24.64750141,-1.6235,-1.756,-1.943,0.933,0.73,1.0055,Q8R180,Ero1l,Q8R180_Ero1l,Q8R180,Ero1a,1,120,33,31,Q8R180,MOUSE,54939.2,72.8,129,129.1,512.92,485.14,,464,ERO1-like protein alpha,endoplasmic reticulum|membrane|integral component of endoplasmic reticulum membrane|,protein folding|4-hydroxyproline metabolic process|protein maturation by protein folding|extracellular matrix organization|endoplasmic reticulum unfolded protein response|response to endoplasmic reticulum stress|cell redox homeostasis|brown fat cell differentiation|chaperone mediated protein folding requiring cofactor|release of sequestered calcium ion into cytosol|oxidation-reduction process|intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress|,"protein disulfide isomerase activity|protein disulfide oxidoreductase activity|oxidoreductase activity|oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor|",33,120,2.58E+11,72.8%
Q8R2E9,1.93646E-05,-0.0865,57.20815975,1.736,1.90188E-06,15.44600027,-1.0775,-1.006,-0.78,0.817,0.603,0.9245,Q8R2E9,Ero1lb,Q8R2E9_Ero1lb,Q8R2E9,Ero1b,1,13,10,8,A0A1Y7VNF4|A0A1Y7VJM4|Q8R2E9,MOUSE,54315.8,24.1,129,129.2,123.49,95.71,,467,ERO1-like protein beta,endoplasmic reticulum membrane|membrane|,4-hydroxyproline metabolic process|protein maturation by protein folding|insulin processing|extracellular matrix organization|glucose homeostasis|cell redox homeostasis|oxidation-reduction process|,"protein disulfide isomerase activity|protein disulfide oxidoreductase activity|oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor|",8,13,6870000000,20.5%
Q9D0F3,2.18797E-06,-0.522666667,77.99979241,2.804333333,1.58497E-08,32.08280527,-1.7805,-1.942,-2.052,0.854,0.809,0.9755,Q9D0F3,Lman1,Q9D0F3_Lman1,Q9D0F3,Lman1,1,192,35,35,Q9D0F3,MOUSE,58073,53.3,130,130.1,509.29,509.29,,517,Protein ERGIC-53,Golgi membrane|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|membrane|integral component of membrane|sarcomere|ER to Golgi transport vesicle|endoplasmic reticulum-Golgi intermediate compartment membrane|host cell perinuclear region of cytoplasm|extracellular exosome|,ER to Golgi vesicle-mediated transport|endoplasmic reticulum organization|Golgi organization|positive regulation of organelle organization|protein transport|,carbohydrate binding|metal ion binding|,35,192,1.11E+12,53.3%
Q9WVK4,0.738806598,0.0035,1.716752367,-0.028666667,0.673480093,-0.440440462,0.0575,0.076,-0.08,0.007,-0.059,0.0195,Q9WVK4,Ehd1,Q9WVK4_Ehd1,Q9WVK4,Ehd1,1,128,35,23,Q9WVK4,MOUSE,60658.7,60.1,131,131.1,507.78,341.72,,534,EH domain-containing protein 1,endosome|early endosome|lipid particle|plasma membrane|endosome membrane|membrane|endocytic vesicle|platelet dense tubular network membrane|early endosome membrane|myelin sheath|perinuclear region of cytoplasm|recycling endosome membrane|extracellular exosome|,intracellular protein transport|endocytosis|positive regulation of cholesterol storage|endosomal transport|neuron projection development|endocytic recycling|low-density lipoprotein particle clearance|cholesterol homeostasis|protein homooligomerization|positive regulation of myoblast fusion|cellular response to nerve growth factor stimulus|positive regulation of endocytic recycling|,protein binding|ATP binding|GTP binding|Rab GTPase binding|,35,128,1.29E+11,60.1%
Q9EQP2,0.306894766,-0.0015,6.456252522,-0.086666667,0.226138625,-1.33281735,0.1425,-0.009,-0.008,-0.088,-0.021,-0.0255,Q9EQP2,Ehd4,Q9EQP2_Ehd4,Q9EQP2,Ehd4,1,126,34,25,Q9EQP2,MOUSE,61707.7,62.2,131,131.2,470.76,371.73,,541,EH domain-containing protein 4,endoplasmic reticulum|plasma membrane|membrane|early endosome membrane|perinuclear region of cytoplasm|recycling endosome membrane|extracellular exosome|,pinocytosis|regulation of endocytosis|endocytic recycling|positive regulation of peptidyl-tyrosine phosphorylation|protein homooligomerization|cellular response to growth factor stimulus|,calcium ion binding|protein binding|ATP binding|GTP binding|,25,126,2.44E+11,53.0%
Q9QXY6,0.218363505,0.002666667,8.305166429,0.087,0.147734987,1.636219044,-0.0235,-0.065,-0.034,0.019,0.029,0.0905,Q9QXY6,Ehd3,Q9QXY6_Ehd3,Q9QXY6,Ehd3,1,66,32,19,Q9QXY6,MOUSE,60877,53.2,131,131.3,442.13,263.74,,535,EH domain-containing protein 3,cytoplasm|plasma membrane|focal adhesion|endocytic vesicle|myelin sheath|perinuclear region of cytoplasm|recycling endosome membrane|,endocytic recycling|protein homooligomerization|protein targeting to plasma membrane|regulation of cardiac muscle cell membrane potential|,calcium ion binding|protein binding|ATP binding|GTP binding|,19,66,44100000000,31.7%
Q8BH64,0.4425579,0.043333333,4.510337395,0.110333333,0.353969841,0.996472257,0.0405,-0.01,-0.066,0.342,-0.065,0.0185,Q8BH64,Ehd2,Q8BH64_Ehd2,Q8BH64,Ehd2,1,30,20,16,Q8BH64,MOUSE,61344.5,32.9,131,131.4,247.19,207.8,,543,EH domain-containing protein 2,plasma membrane|caveola|membrane|perinuclear region of cytoplasm|recycling endosome membrane|extracellular exosome|,endocytosis|metabolic process|cortical actin cytoskeleton organization|endocytic recycling|protein localization to plasma membrane|positive regulation of myoblast fusion|positive regulation of endocytic recycling|,calcium ion binding|protein binding|ATP binding|GTP binding|hydrolase activity|protein domain specific binding|,16,30,14900000000,29.6%
P14685,0.137579357,0.009,10.81880155,-0.115666667,0.082817067,-2.037621196,0.0735,0.101,0.026,-0.097,0.003,-0.0525,P14685,Psmd3,P14685_Psmd3,P14685,Psmd3,1,123,37,37,P14685,MOUSE,60831.3,61.3,132,132.1,507.71,507.71,,530,26S proteasome non-ATPase regulatory subunit 3,"proteasome complex|nucleus|nucleoplasm|cytoplasm|proteasome regulatory particle|proteasome regulatory particle, lid subcomplex|membrane|proteasome accessory complex|extracellular exosome|",ubiquitin-dependent protein catabolic process|regulation of protein catabolic process|regulation of catalytic activity|,protein binding|enzyme regulator activity|,37,123,1.5E+11,61.3%
P09411,0.007998348,0.030166667,26.19946663,-0.479333333,0.002399128,-4.754401811,0.4365,0.289,0.084,-0.129,-0.299,-0.2005,P09411,Pgk1,P09411_Pgk1,P09411,Pgk1,1,187,34,34,P09411|S4R2M7|P09041,MOUSE,44949.1,84.1,133,133.1,505.87,505.87,,417,Phosphoglycerate kinase 1,cytoplasm|,glycolytic process|phosphorylation|,phosphoglycerate kinase activity|ATP binding|,34,187,5.62E+11,84.1%
P62814,0.006454975,0.023166667,27.31554589,0.374666667,0.001855434,4.969796899,-0.2575,-0.069,-0.166,0.3,0.128,0.2035,P62814,Atp6v1b2,P62814_Atp6v1b2,P62814,Atp6v1b2,1,151,33,23,P62814,MOUSE,56892.1,81,134,134.1,505.13,354.28,,511,"V-type proton ATPase subunit B, brain isoform","ruffle|cytoplasm|lysosomal membrane|cytosol|plasma membrane|microvillus|endomembrane system|integral component of membrane|proton-transporting V-type ATPase, V1 domain|melanosome|myelin sheath|intracellular membrane-bounded organelle|extracellular exosome|",ATP hydrolysis coupled proton transport|ATP metabolic process|,"ATP binding|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|",33,151,2.72E+11,81.0%
Q91YH6,0.161457646,0.023166667,9.95486646,-0.168,0.101044657,-1.903227535,-0.0235,0.158,0.187,0.008,0.006,-0.1965,Q91YH6,Atp6v1b1,Q91YH6_Atp6v1b1,Q91YH6,Atp6v1b1,1,93,30,20,Q91YH6|A0A0U1RPW7,MOUSE,57189,76.9,134,134.2,470.51,319.66,,513,"ATPase, H+ transporting, lysosomal V1 subunit B1, isoform CRA_a","cytoplasm|cytosol|microvillus|membrane|basolateral plasma membrane|apical plasma membrane|lateral plasma membrane|vacuolar proton-transporting V-type ATPase complex|proton-transporting V-type ATPase, V1 domain|extracellular exosome|",ossification|regulation of pH|excretion|sensory perception of sound|ATP hydrolysis coupled proton transport|proton transport|pH reduction|ATP metabolic process|calcium ion homeostasis|sensory perception of sound|inner ear morphogenesis|,"ATP binding|hydrogen ion transmembrane transporter activity|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|protein complex binding|",20,93,1.35E+11,56.1%
Q9QZE5,0.179939314,0.004166667,9.36564934,-0.094666667,0.115727099,-1.806402234,0.0935,0.039,0.022,-0.052,-0.049,-0.0285,Q9QZE5,Copg1,Q9QZE5_Copg1,Q9QZE5,Copg1,1,105,37,33,Q9QZE5|Q7TNQ1,MOUSE,98766.3,46.4,135,135.1,504.1,452.73,,874,Coatomer subunit gamma-1,cytosol|COPI vesicle coat|,intracellular protein transport|vesicle-mediated transport|,structural molecule activity|,37,105,60600000000,46.4%
Q9QXK3,0.311854506,0.009833333,6.368635882,-0.07,0.230747185,-1.318123213,0.0545,0.072,0.008,0.008,-0.045,-0.0385,Q9QXK3,Copg2,Q9QXK3_Copg2,Q9QXK3,Copg2,1,32,21,17,Q9QXK3|Q9QXK3-4|Q9QXK3-3|Q9QXK3-2,MOUSE,98876.9,27.8,135,135.2,247.62,196.25,,871,Coatomer subunit gamma-2,cytosol|COPI vesicle coat|,intracellular protein transport|intra-Golgi vesicle-mediated transport|,structural molecule activity|,17,32,25200000000,22.8%
Q9D826,8.36167E-05,-0.032833333,49.4067962,-0.969333333,1.14636E-05,-11.64547201,0.5305,0.526,0.299,-0.439,-0.537,-0.5765,Q9D826,Pipox,Q9D826_Pipox,Q9D826,Pipox,1,171,33,33,Q9D826,MOUSE,44473.4,84.3,136,136.1,504.07,504.07,,390,Peroxisomal sarcosine oxidase,peroxisome|,L-lysine catabolic process to acetyl-CoA via L-pipecolate|tetrahydrofolate metabolic process|oxidation-reduction process|,receptor binding|sarcosine oxidase activity|L-pipecolate oxidase activity|,33,171,7.63E+11,84.3%
P19096,0.598210976,0.104333333,2.867488736,0.157666667,0.516715068,0.684728974,0.1255,0.151,-0.2,0.716,-0.108,-0.0585,P19096,Fasn,P19096_Fasn,P19096,Fasn,1,91,43,43,P19096|A0A0U1RNJ1,MOUSE,275162,19,137,137.1,503.19,503.19,,2504,Fatty acid synthase,cytoplasm|mitochondrion|Golgi apparatus|plasma membrane|membrane|melanosome|glycogen granule|extracellular exosome|,osteoblast differentiation|acetyl-CoA metabolic process|fatty acid biosynthetic process|mammary gland development|oxidation-reduction process|cellular response to interleukin-4|,"[acyl-carrier-protein] S-acetyltransferase activity|[acyl-carrier-protein] S-malonyltransferase activity|3-oxoacyl-[acyl-carrier-protein] synthase activity|3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity|3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity|enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity|oleoyl-[acyl-carrier-protein] hydrolase activity|drug binding|zinc ion binding|myristoyl-[acyl-carrier-protein] hydrolase activity|palmitoyl-[acyl-carrier-protein] hydrolase activity|protein homodimerization activity|poly(A) RNA binding|enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity|3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity|NADPH binding|",43,91,43600000000,19.0%
Q8K0L3-2,0.193765677,0.0125,8.957491468,-0.194666667,0.127130821,-1.743490963,0.0555,-0.057,0.331,-0.031,-0.022,-0.2015,Q8K0L3,Acsm2,Q8K0L3-2_Acsm2,Q8K0L3-2,Acsm2,1,151,33,31,Q8K0L3-2|Q8K0L3|Q8K0L3-3,MOUSE,67569.6,58,138,138.1,501.66,475.96,,575,"Isoform 2 of Acyl-coenzyme A synthetase ACSM2, mitochondrial",mitochondrion|mitochondrial matrix|,fatty acid metabolic process|medium-chain fatty-acyl-CoA metabolic process|,ATP binding|metal ion binding|butyrate-CoA ligase activity|,33,151,2.9E+11,58.0%
Q91VA0,0.084350999,0.021,13.45082695,-0.265,0.045176991,-2.462270162,0.2805,0.218,-0.038,0.036,-0.215,-0.1555,Q91VA0,Acsm1,Q91VA0_Acsm1,Q91VA0,Acsm1,1,45,18,16,Q91VA0|Q91VA0-2,MOUSE,65558,46.9,138,138.2,257.76,232.06,,573,"Acyl-coenzyme A synthetase ACSM1, mitochondrial",mitochondrion|mitochondrial matrix|extracellular exosome|blood microparticle|,fatty acid biosynthetic process|,acyl-CoA ligase activity|ATP binding|GTP binding|fatty acid ligase activity|metal ion binding|butyrate-CoA ligase activity|,16,45,30900000000,45.2%
Q8CJH3,9.23297E-06,-0.355666667,62.61512701,2.235666667,5.4763E-07,18.70612477,-1.3215,-1.36,-1.739,0.799,0.674,0.8135,Q8CJH3,Plxnb1,Q8CJH3_Plxnb1,Q8CJH3,Plxnb1,1,92,36,36,Q8CJH3,MOUSE,234738.4,22.3,139,139.1,498.21,498.21,,2119,Plexin-B1,semaphorin receptor complex|integral component of plasma membrane|,negative regulation of cell adhesion|regulation of cell shape|positive regulation of phosphatidylinositol 3-kinase signaling|negative regulation of osteoblast proliferation|positive regulation of GTPase activity|ossification involved in bone maturation|neuron projection morphogenesis|positive regulation of axonogenesis|regulation of cytoskeleton organization|semaphorin-plexin signaling pathway|semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis|,protein binding|semaphorin receptor activity|GTPase activating protein binding|,36,92,33900000000,22.3%
Q9Z1T1,0.52645725,-0.001333333,3.572681108,-0.041666667,0.439270349,-0.822153998,0.0085,0.037,0.013,-0.039,0.001,-0.0285,Q9Z1T1,Ap3b1,Q9Z1T1_Ap3b1,Q9Z1T1,Ap3b1,1,99,41,41,Q9Z1T1|Q9JME5,MOUSE,123365.7,30.9,140,140.1,496.94,496.94,,1105,AP-3 complex subunit beta-1,lysosomal membrane|trans-Golgi network|membrane|AP-3 adaptor complex|clathrin-coated vesicle membrane|,"protein targeting to lysosome|zinc II ion transport|intracellular protein transport|blood coagulation|anterograde axon cargo transport|vesicle-mediated transport|antigen processing and presentation|melanosome organization|antigen processing and presentation, exogenous lipid antigen via MHC class Ib|anterograde synaptic vesicle transport|positive regulation of NK T cell differentiation|",protein phosphatase binding|GTP-dependent protein binding|,41,99,79200000000,30.9%
P68373,0.326603416,-0.000666667,6.11739661,-0.069,0.244489571,-1.275781848,0.0605,0.011,0.03,-0.02,-0.002,-0.0835,P68373,Tuba1c,P68373_Tuba1c,P68373,Tuba1c,1,382,32,2,P68373,MOUSE,50593.1,76.8,141,141.1,493.06,38.46,,449,Tubulin alpha-1C chain,nucleus|cytoplasmic microtubule|vesicle|,microtubule-based process|metabolic process|protein polymerization|,GTPase activity|structural constituent of cytoskeleton|GTP binding|,32,382,7.07E+12,76.8%
P68368,0.366926376,-0.005,5.515325084,0.088333333,0.280845514,1.17319233,0.0475,-0.02,-0.175,0.094,0.043,-0.0195,P68368,Tuba4a,P68368_Tuba4a,P68368,Tuba4a,1,52,30,6,P68368,MOUSE,50665.2,65.1,141,141.3,473.8,106.58,,448,Tubulin alpha-4A chain,cytoplasm|microtubule|extracellular exosome|,microtubule-based process|metabolic process|protein polymerization|,GTPase activity|structural constituent of cytoskeleton|GTP binding|,6,52,6.7E+11,14.0%
Q9JJZ2,0.091276568,-0.010333333,13.02840441,0.171666667,0.049791999,2.389443016,-0.1675,-0.102,-0.019,0.134,0.121,-0.0285,Q9JJZ2,Tuba8,Q9JJZ2_Tuba8,Q9JJZ2,Tuba8,1,67,20,4,Q9JJZ2,MOUSE,50735.3,46.1,141,141.4,299.18,52.81,,449,Tubulin alpha-8 chain,cytoplasm|microtubule|,microtubule cytoskeleton organization|metabolic process|protein polymerization|,GTPase activity|structural constituent of cytoskeleton|GTP binding|,4,67,2.28E+11,14.6%
Q925I1,0.055626761,-0.005166667,15.66126239,-0.168,0.027156498,-2.81559568,0.0715,0.052,0.113,-0.163,-0.028,-0.0765,Q925I1,Atad3a,Q925I1_Atad3a,Q925I1,Atad3,1,136,38,38,Q925I1|Q925I1-2|H3BKI6,MOUSE,66912,58.3,142,142.1,491.06,491.06,,591,ATPase family AAA domain-containing protein 3,mitochondrion|mitochondrial inner membrane|integral component of membrane|mitochondrial nucleoid|,cell growth|negative regulation of apoptotic process|,ATP binding|,38,136,1.56E+11,58.3%
G3X9G4,0.011533865,0.009666667,24.19431069,-0.222333333,0.003806878,-4.331149082,0.1165,0.153,0.093,-0.112,-0.098,-0.0945,G3X9G4,Dnm2,G3X9G4_Dnm2,G3X9G4,Dnm2,1,95,42,0,G3X9G4|Q3TCR7|P39053|P39053-4|P39053-6|A0A0J9YUN4|P39053-5|P39053-3|A0A0J9YUE9|G3UY64|E0CXZ8|F2Z460|D6RH60,MOUSE,98357.8,47.2,143,143.1,490.85,0,,870,Dynamin-2,photoreceptor inner segment|cytoplasm|Golgi apparatus|cytosol|microtubule|focal adhesion|postsynaptic membrane|extracellular exosome|,receptor internalization|transferrin transport|negative regulation of membrane tubulation|,GTPase activity|protein binding|GTP binding|SH3 domain binding|,42,95,82600000000,47.2%
E9QLL2,0.151467797,-0.024,10.29034625,-0.189,0.09353311,-1.956774598,0.2155,-0.061,0.057,-0.256,-0.082,-0.0175,E9QLL2,NotFound,E9QLL2_NotFound,E9QLL2,Dnm3,1,6,24,6,E9QLL2|Q8BZ98|Q8BZ98-2,MOUSE,97671.2,23.5,143,143.3,253.69,69.65,,863,Dynamin-3,photoreceptor inner segment|mitochondrion|extracellular exosome|,metabolic process|,GTPase activity|protein binding|GTP binding|,6,6,254000000,8.8%
Q91ZX7,4.62271E-06,-0.15,68.67082915,1.671666667,1.35805E-07,22.8592098,-0.9115,-0.956,-1.09,0.715,0.598,0.7445,Q91ZX7,Lrp1,Q91ZX7_Lrp1,Q91ZX7,Lrp1,1,86,46,46,A0A0R4J0I9|Q91ZX7|Q3U5J2|D3Z5M3|Q3TES0|A0A0N4SWH8|D6RHQ8,MOUSE,523675.1,12.6,144,144.1,488.47,488.47,,4545,Prolow-density lipoprotein receptor-related protein 1,nucleolus|cytoplasm|lysosomal membrane|integral component of plasma membrane|coated pit|focal adhesion|membrane|receptor complex|perinuclear region of cytoplasm|,receptor-mediated endocytosis|cholesterol metabolic process|positive regulation of cholesterol efflux|negative regulation of smooth muscle cell migration|negative regulation of Wnt signaling pathway|positive regulation of lipid transport|regulation of cholesterol transport|regulation of phospholipase A2 activity|regulation of actin cytoskeleton organization|aorta morphogenesis|apoptotic cell clearance|beta-amyloid clearance|negative regulation of platelet-derived growth factor receptor-beta signaling pathway|,calcium ion binding|protein binding|protein complex binding|apolipoprotein binding|poly(A) RNA binding|,46,86,15700000000,12.6%
P06151,0.013528414,0.012,23.34882115,-0.219,0.004625065,-4.168384588,0.0835,0.163,0.118,-0.104,-0.097,-0.0915,P06151,Ldha,P06151_Ldha,P06151,Ldha,1,174,31,28,P06151|A0A1B0GSR9|A0A1B0GSX0|A0A1B0GQX5|A0A1B0GS79,MOUSE,36840.2,79.5,145,145.1,482.74,439.73,,332,L-lactate dehydrogenase A chain,nucleus|mitochondrion|cytosol|membrane|sperm fibrous sheath|extracellular exosome|,carbohydrate metabolic process|lactate biosynthetic process from pyruvate|cellular response to extracellular stimulus|oxidation-reduction process|,L-lactate dehydrogenase activity|protein binding|,31,174,1.27E+12,79.5%
P16125,0.083649378,0.001666667,13.50710584,-0.125,0.044595334,-2.466000166,0.0845,0.057,0.051,-0.045,-0.056,-0.0815,P16125,Ldhb,P16125_Ldhb,P16125,Ldhb,1,234,29,27,P16125,MOUSE,36856.9,64.6,145,145.2,456.54,426.52,,334,L-lactate dehydrogenase B chain,cytoplasm|mitochondrion|membrane|myelin sheath|membrane raft|extracellular exosome|,carbohydrate metabolic process|lactate biosynthetic process from pyruvate|NAD metabolic process|oxidation-reduction process|,L-lactate dehydrogenase activity|kinase binding|identical protein binding|NAD binding|,27,234,3.34E+12,62.8%
Q8K2B3,0.05019863,0.024666667,16.21089855,-0.184333333,0.023928206,-2.906267262,0.0165,0.169,0.165,-0.091,-0.054,-0.0575,Q8K2B3,Sdha,Q8K2B3_Sdha,Q8K2B3,Sdha,1,140,31,31,Q8K2B3,MOUSE,73668.1,59.4,146,146.1,481.59,481.59,,664,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","mitochondrion|mitochondrial inner membrane|mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)|myelin sheath|",tricarboxylic acid cycle|succinate metabolic process|nervous system development|respiratory electron transport chain|oxidation-reduction process|,succinate dehydrogenase (ubiquinone) activity|flavin adenine dinucleotide binding|succinate dehydrogenase activity|,31,140,2.34E+11,59.4%
P46460,0.284584879,-0.0055,6.870994131,-0.072666667,0.205542004,-1.401912726,0.0615,0.012,0.019,-0.018,-0.043,-0.0645,P46460,Nsf,P46460_Nsf,P46460,Nsf,1,115,38,38,P46460,MOUSE,83182.5,46.1,147,147.1,480.46,480.46,,744,Vesicle-fusing ATPase,cytoplasm|lysosomal membrane|Golgi stack|plasma membrane|myelin sheath|extracellular exosome|,positive regulation of receptor recycling|potassium ion transport|intracellular protein transport|intra-Golgi vesicle-mediated transport|metabolic process|Golgi to plasma membrane protein transport|positive regulation of protein catabolic process|Golgi vesicle docking|,"protein binding|ATP binding|syntaxin-1 binding|protein kinase binding|syntaxin binding|PDZ domain binding|protein complex binding|ATPase activity, coupled|metal ion binding|",38,115,1.14E+11,46.1%
E9Q4K7,0.3104428,0.014833333,6.393414722,-0.068,0.229434397,-1.322282504,0.0525,0.068,0.026,-0.032,0.009,-0.0345,E9Q4K7,Kif13b,E9Q4K7_Kif13b,E9Q4K7,Kif13b,1,82,40,39,A0A286YCV9|E9Q4K7|Q9EQW7|F8VQ75,MOUSE,205941,24.5,148,148.1,476.31,460.4,,1843,Kinesin family member 13B,cytoplasm|kinesin complex|microtubule|axon|,microtubule-based movement|metabolic process|regulation of axonogenesis|,microtubule motor activity|ATP binding|microtubule binding|ATPase activity|protein kinase binding|14-3-3 protein binding|,40,82,27700000000,24.5%
E9Q9B0,0.597772448,-0.0095,2.872121936,-0.037333333,0.516164113,-0.685294593,0.0495,-0.03,0.008,0,-0.02,-0.0645,E9Q9B0,NotFound,E9Q9B0_NotFound,E9Q9B0,Kif1c,1,23,16,13,E9Q9B0|O35071|Q3V3Y9,MOUSE,124612.2,18.9,148,148.2,192.37,155.47,,1112,Kinesin-like protein KIF1C,Golgi apparatus|kinesin complex|microtubule|,"retrograde vesicle-mediated transport, Golgi to ER|microtubule-based movement|metabolic process|cytoskeleton-dependent intracellular transport|","ATP binding|microtubule binding|ATP-dependent microtubule motor activity, plus-end-directed|poly(A) RNA binding|",13,23,2860000000,15.7%
Q60575,0.129253523,-0.0005,11.14638098,0.142,0.076800121,2.089637244,-0.0815,-0.023,-0.11,0.18,0.016,0.0155,Q60575,Kif1b,Q60575_Kif1b,Q60575,Kif1b,1,4,6,3,Q60575|Q60575-2|Q60575-3|A2AH75|A0A087WQE8|E9Q9G6|G3UW47|Q6TA13|P33173|E9QAN4,MOUSE,205446.4,4.9,148,148.3,80.86,43.96,,1816,Kinesin-like protein KIF1B,mitochondrion|kinesin complex|microtubule|microtubule associated complex|cytoplasmic vesicle membrane|cytoplasmic vesicle|neuron projection|,microtubule-based movement|neuron-neuron synaptic transmission|neuromuscular synaptic transmission|anterograde axon cargo transport|metabolic process|embryo development|vesicle-mediated transport|cytoskeleton-dependent intracellular transport|mitochondrion transport along microtubule|,"microtubule motor activity|protein binding|ATP binding|microtubule binding|ATP-dependent microtubule motor activity, plus-end-directed|ATPase activity|",3,4,113000000,2.9%
Q8CIB5,0.027662352,0.025833333,19.56927389,-0.248666667,0.011042632,-3.477964763,0.0325,0.189,0.229,-0.143,-0.042,-0.1105,Q8CIB5,Fermt2,Q8CIB5_Fermt2,Q8CIB5,Fermt2,1,112,34,34,Q8CIB5,MOUSE,78483.7,61.9,149,149.1,475.8,475.8,,680,Fermitin family homolog 2,nucleus|nucleoplasm|cytoplasm|focal adhesion|cell cortex|cell surface|extrinsic component of cytoplasmic side of plasma membrane|lamellipodium membrane|I band|stress fiber|filamentous actin|,cell-matrix adhesion|transforming growth factor beta receptor signaling pathway|integrin-mediated signaling pathway|regulation of cell shape|Wnt signaling pathway|integrin activation|substrate adhesion-dependent cell spreading|focal adhesion assembly|protein localization to membrane|,"phosphatidylinositol-3,4,5-trisphosphate binding|",34,112,1.94E+11,61.9%
Q9EPL9,0.000109018,-0.046666667,47.92965049,-1.483666667,1.61078E-05,-11.06838394,0.8795,0.784,0.422,-0.706,-0.711,-0.9485,Q9EPL9,Acox3,Q9EPL9_Acox3,Q9EPL9,Acox3,1,156,32,32,Q9EPL9|Q8C178|E9Q296|Q3TAW3,MOUSE,79201.1,49.8,150,150.1,474.59,474.59,,700,Peroxisomal acyl-coenzyme A oxidase 3,mitochondrion|peroxisome|peroxisomal matrix|membrane|,fatty acid beta-oxidation|fatty acid beta-oxidation using acyl-CoA oxidase|,acyl-CoA dehydrogenase activity|receptor binding|pristanoyl-CoA oxidase activity|flavin adenine dinucleotide binding|,32,156,1.74E+11,49.8%
