R128126,R128127,R128131,R129126,R129127,R129131,R130126,R130127,R130131,id,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Proteome unique_peptides,Proteome numSpectra,Proteome totalIntensity,Proteome pct_cov,adj.P.Val.XBirA.over.No_BirA,AveExpr.XBirA.over.No_BirA,Log.P.Value.XBirA.over.No_BirA,logFC.XBirA.over.No_BirA,P.Value.XBirA.over.No_BirA,t.XBirA.over.No_BirA,Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian,Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian,Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian,Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian,Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian,Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian,PCorNC,ES_score,signalP,TM,(Note: signalP and TM are for ES>=5) 
0.392,0.178,0.221,0.391,0.2795,0.2555,0.54,0.459,0.4365,P51661,P51661,Hsd11b2,1,31,12,12,P51661,MOUSE,42642.5,42.2,725,725.1,180.28,180.28,NA,386,Corticosteroid 11-beta-dehydrogenase isozyme 2,endoplasmic reticulum|,response to hypoxia|regulation of blood volume by renal aldosterone|female pregnancy|glucocorticoid metabolic process|response to food|response to insulin|response to drug|response to glucocorticoid|oxidation-reduction process|,11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity|steroid binding|NAD binding|,12,31,1.95E+10,0.422,0.011992995,0.020166667,24.00199581,0.340666667,0.003979243,4.300828663,-0.2655,-0.062,-0.123,0.111,0.17,0.2905,undefined,3,,,
-0.116,-0.088,0.489,-0.37,-0.3145,0.2305,-0.145,-0.101,0.4175,Q9D2R0,Q9D2R0,Aacs,1,32,16,16,Q9D2R0,MOUSE,75712.4,23.3,726,726.1,180.25,180.25,NA,672,Acetoacetyl-CoA synthetase,cytosol|,liver development|fatty acid metabolic process|response to nutrient|response to purine-containing compound|positive regulation of insulin secretion|response to oleic acid|response to drug|response to starvation|response to ethanol|white fat cell differentiation|adipose tissue development|cellular response to glucose stimulus|cellular response to testosterone stimulus|cellular response to cholesterol|,ATP binding|acetoacetate-CoA ligase activity|butyrate-CoA ligase activity|,16,32,1.86E+10,0.233,0.960361141,-0.041166667,0.247570716,0.011333333,0.944589097,0.072176412,0.1495,0.126,-0.416,0.038,-0.138,-0.0065,undefined,2,,,
-0.191,0.033,-0.29,-0.101,0.0175,-0.1615,-0.12,-0.074,-0.2025,G3X9F6,G3X9F6,Sh3tc1,1,31,15,15,G3X9F6,MOUSE,151148.9,15,727,727.1,180.22,180.22,NA,1346,SH3 domain and tetratricopeptide repeats 1,NA,NA,NA,15,31,3.47E+09,0.15,0.175442225,0.002,9.510718606,-0.111666667,0.111925267,-1.829556697,0.0485,0.003,0.122,-0.094,0.007,-0.0745,undefined,0,,,
-0.146,-0.155,-0.01,-0.158,-0.1255,0.0595,-0.284,-0.26,-0.0495,Q91WD5,Q91WD5,Ndufs2,1,30,13,13,Q91WD5|D3YXT0,MOUSE,53024.1,44.2,728,728.1,179.75,179.75,NA,463,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",nucleoplasm|mitochondrion|mitochondrial respiratory chain complex I|,response to oxidative stress|oxidation-reduction process|,"NADH dehydrogenase (ubiquinone) activity|ubiquitin protein ligase binding|metal ion binding|quinone binding|NAD binding|4 iron, 4 sulfur cluster binding|NADH dehydrogenase activity|",13,30,1.49E+10,0.442,0.225226475,0.002,8.133952164,-0.106333333,0.153675553,-1.608546251,0.1035,0.1,-0.038,-0.019,-0.018,-0.1165,NC,0,,,
-0.23,-0.269,-0.339,-0.136,-0.1545,-0.3015,-0.211,-0.263,-0.3715,Q8K268,Q8K268,Abcf3,1,25,13,13,Q8K268,MOUSE,80262.7,22,729,729.1,179.5,179.5,NA,709,ATP-binding cassette sub-family F member 3,membrane|,metabolic process|defense response to virus|,protein binding|ATP binding|ATPase activity|,13,25,4.01E+09,0.22,0.02424227,0.0295,20.25029733,-0.231333333,0.009439962,-3.598271191,0.0745,0.147,0.214,-0.097,-0.021,-0.1405,undefined,0,,,
-0.155,-0.263,-0.284,-0.041,-0.0085,-0.0185,-0.149,-0.162,-0.0885,Q925N0,Q925N0,Sfxn5,1,33,13,13,Q925N0|Q8BRQ9|D3YXH5,MOUSE,37499,44.7,730,730.1,178.81,178.81,NA,342,Sideroflexin-5,mitochondrion|mitochondrial inner membrane|integral component of membrane|,citrate transport|ion transmembrane transport|iron ion homeostasis|,citrate transmembrane transporter activity|,13,33,9.90E+09,0.447,0.14349237,0.008,10.58440536,-0.123,0.087409667,-2.000395707,0.0425,0.133,0.033,-0.11,0.011,-0.0615,NC,0,,,
0.949,1.173,1.097,0.985,1.1535,1.1385,1.011,1.133,1.0665,Q8VHE0,Q8VHE0,Sec63,1,31,13,13,Q8VHE0,MOUSE,88267.8,20.6,731,731.1,178.54,178.54,NA,760,Translocation protein SEC63 homolog,endoplasmic reticulum membrane|membrane|integral component of membrane|,"liver development|SRP-dependent cotranslational protein targeting to membrane|posttranslational protein targeting to membrane|nitrogen compound metabolic process|multicellular organismal aging|posttranslational protein targeting to membrane, translocation|renal system development|",protein transporter activity|poly(A) RNA binding|,13,31,1.40E+10,0.206,1.19E-05,-0.118333333,60.85081475,1.093666667,8.22E-07,17.31786482,-0.5675,-0.701,-0.727,0.41,0.423,0.4525,undefined,9,,TRUE,
-0.193,0.167,0.137,-0.123,0.1585,0.1175,-0.143,-0.075,0.1215,A0A0R4J293,A0A0R4J293,Tgm1,1,32,17,17,A0A0R4J293|Q9JLF6,MOUSE,90706.8,23.3,732,732.1,178.53,178.53,NA,815,Protein-glutamine gamma-glutamyltransferase K,NA,NA,NA,17,32,2.88E+09,0.233,0.934758604,0.007166667,0.416064679,-0.008,0.908643517,-0.119159647,0.1085,-0.009,-0.066,-0.009,0.058,-0.0395,undefined,0,,,
-0.168,-0.037,-0.18,-0.1,0.0585,-0.1215,-0.154,0.004,-0.1715,P34152,P34152,Ptk2,1,30,16,16,P34152|P34152-5|P34152-2|P34152-4|P34152-3|P34152-6|P34152-7|P34152-8,MOUSE,124447.5,17.3,733,733.1,178.5,178.5,NA,1090,Focal adhesion kinase 1,stress fiber|nucleus|cytoplasm|microtubule organizing center|cytosol|plasma membrane|focal adhesion|apical plasma membrane|lamellipodium|extrinsic component of cytoplasmic side of plasma membrane|perinuclear region of cytoplasm|,microtubule cytoskeleton organization|angiogenesis|blood vessel development|vasculogenesis|neuron migration|regulation of protein phosphorylation|positive regulation of protein phosphorylation|cell adhesion|signal complex assembly|epidermal growth factor receptor signaling pathway|transforming growth factor beta receptor signaling pathway|integrin-mediated signaling pathway|positive regulation of cell proliferation|regulation of cell shape|regulation of epithelial cell migration|positive regulation of phosphatidylinositol 3-kinase signaling|peptidyl-tyrosine phosphorylation|central nervous system neuron axonogenesis|negative regulation of cell-cell adhesion|regulation of cell adhesion|extracellular matrix organization|positive regulation of cell migration|regulation of cell adhesion mediated by integrin|peptidyl-tyrosine autophosphorylation|establishment of nucleus localization|regulation of cell proliferation|negative regulation of apoptotic process|endothelial cell migration|innate immune response|regulation of osteoblast differentiation|positive regulation of protein kinase activity|negative regulation of organ growth|protein autophosphorylation|ephrin receptor signaling pathway|negative regulation of axonogenesis|regulation of focal adhesion assembly|positive regulation of protein kinase B signaling|negative regulation of synapse assembly|growth hormone receptor signaling pathway|cellular response to transforming growth factor beta stimulus|regulation of substrate adhesion-dependent cell spreading|positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process|negative regulation of anoikis|,actin binding|protein tyrosine kinase activity|non-membrane spanning protein tyrosine kinase activity|signal transducer activity|receptor binding|protein binding|ATP binding|JUN kinase binding|protein kinase binding|SH2 domain binding|,16,30,4.28E+09,0.173,0.276431846,-0.009166667,7.029667455,-0.086,0.198167876,-1.42816204,0.0665,-0.05,0.085,-0.074,-0.025,-0.0575,undefined,0,,,
-0.049,0.022,-0.119,-0.065,0.0035,-0.0865,-0.077,0.017,-0.0975,Q01730,Q01730,Rsu1,1,39,14,14,Q01730|Q9D031|A2AUR7|A0A0A6YWZ2|E0CXG5,MOUSE,31549.7,45.4,734,734.1,178.34,178.34,NA,277,Ras suppressor protein 1,intracellular|focal adhesion|extracellular exosome|,Ras protein signal transduction|positive regulation of cell-substrate adhesion|positive regulation of GTPase activity|positive regulation of neural precursor cell proliferation|,NA,14,39,9.88E+09,0.454,0.394233093,-0.010333333,5.149129409,-0.059,0.305553357,-1.109248895,0.0515,-0.029,0.035,-0.026,-0.042,-0.0515,undefined,0,,,
2.76,2.543,2.973,2.366,2.3115,2.6555,2.747,2.605,3.0285,Q9R097,Q9R097,Spint1,1,23,15,15,Q9R097,MOUSE,58358.6,33.3,735,735.1,177.67,177.67,NA,507,Kunitz-type protease inhibitor 1,extracellular space|plasma membrane|extracellular exosome|,neural tube closure|embryonic placenta development|negative regulation of endopeptidase activity|extracellular matrix organization|branching involved in labyrinthine layer morphogenesis|placenta blood vessel development|,serine-type endopeptidase inhibitor activity|,15,23,4.43E+09,0.333,1.92E-05,-0.456166667,57.28653122,2.682,1.87E-06,15.48910537,-1.6775,-1.532,-2.182,0.901,0.733,1.0205,PC,9,TRUE,TRUE,
-1.507,-1.298,-0.886,-1.69,-1.4895,-0.9905,-1.882,-1.648,-1.2735,Q711T7,Q711T7,Nadsyn1,1,34,14,14,Q711T7|G5E8V4,MOUSE,82792.1,21.7,736,736.1,177.19,177.19,NA,725,Glutamine-dependent NAD(+) synthetase,cytoplasm|,NAD biosynthetic process|,"NAD+ synthase (glutamine-hydrolyzing) activity|ATP binding|NAD+ synthase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|",14,34,2.28E+10,0.217,0.000575147,-0.028666667,39.39441747,-1.379,0.000114963,-8.07067719,0.9255,0.706,0.351,-0.468,-0.795,-0.8915,undefined,0,,,
-0.129,-0.189,0.389,-0.06,-0.1315,0.4235,-0.076,-0.123,0.4145,Q9DD20,Q9DD20,Mettl7b,1,69,14,14,Q9DD20,MOUSE,28504.9,68,737,737.1,176.96,176.96,NA,244,Methyltransferase-like protein 7B,NA,methylation|,S-adenosylmethionine-dependent methyltransferase activity|,14,69,2.29E+11,0.68,0.741149068,-0.036333333,1.700260865,0.062333333,0.676042367,0.436911659,0.0715,0.135,-0.409,-0.038,0.005,0.0175,undefined,2,,,
0.044,0.093,0.154,-0.094,0.0545,0.1015,-0.062,0.049,0.0475,Q8BXK9,Q8BXK9,Clic5,1,42,12,10,Q8BXK9,MOUSE,28457.6,64.9,738,738.1,176.58,144.94,NA,251,Chloride intracellular channel protein 5,Golgi apparatus|microtubule organizing center|actin cytoskeleton|stereocilium|stereocilium bundle|chloride channel complex|extracellular exosome|,response to dietary excess|diet induced thermogenesis|chloride transport|sensory perception of sound|protein localization|regulation of ion transmembrane transport|neuromuscular process controlling balance|auditory receptor cell stereocilium organization|chloride transmembrane transport|,voltage-gated ion channel activity|chloride channel activity|,12,42,5.59E+10,0.649,0.768361292,-0.007166667,1.501267866,0.024666667,0.707739139,0.391277858,0.0605,-0.052,-0.067,0.067,-0.024,-0.0275,undefined,0,,,
1.44,1.259,1.595,1.038,0.9425,1.1405,1.292,1.074,1.2305,Q80UM7,Q80UM7,Mogs,1,25,15,15,Q80UM7,MOUSE,92000.8,25.4,739,739.1,176.56,176.56,NA,834,Mannosyl-oligosaccharide glucosidase,endoplasmic reticulum membrane|membrane|integral component of membrane|extracellular exosome|,protein N-linked glycosylation|oligosaccharide metabolic process|,mannosyl-oligosaccharide glucosidase activity|,15,25,5.24E+09,0.254,4.23E-05,-0.039333333,52.84474794,1.207666667,5.19E-06,13.21748513,-0.6585,-0.554,-0.717,0.724,0.424,0.5455,undefined,9,,TRUE,
-0.14,-0.056,-0.128,-0.044,0.0175,-0.0855,0.065,0.073,-0.0275,P46467,P46467,Vps4b,1,34,14,10,P46467|Q8BPY9,MOUSE,49646.6,41.2,740,740.1,176.42,124.78,NA,444,Vacuolar protein sorting-associated protein 4B,spindle pole|nucleus|cytoplasm|lysosome|endosome|early endosome|vacuolar membrane|centrosome|cytosol|endosome membrane|late endosome membrane|extracellular exosome|Flemming body|,cell separation after cytokinesis|potassium ion transport|nucleus organization|endosome organization|vacuole organization|mitotic metaphase plate congression|regulation of centrosome duplication|positive regulation of G2/M transition of mitotic cell cycle|protein transport|endosomal transport|viral release from host cell|cholesterol transport|intracellular cholesterol transport|endosome to lysosome transport via multivesicular body sorting pathway|response to lipid|viral budding via host ESCRT complex|ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway|positive regulation of viral process|regulation of viral process|protein depolymerization|negative regulation of cell death|ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway|regulation of mitotic spindle assembly|positive regulation of viral release from host cell|negative regulation of exosomal secretion|positive regulation of exosomal secretion|positive regulation of centriole elongation|positive regulation of viral life cycle|cytoplasmic microtubule organization|,"protein binding|ATP binding|protein C-terminus binding|ATPase activity|ATPase activity, coupled|identical protein binding|protein homodimerization activity|microtubule-severing ATPase activity|",14,34,1.21E+10,0.412,0.764641449,0.009166667,1.52651018,-0.022666667,0.703637508,-0.397105651,0.0365,-0.005,0.03,-0.063,-0.001,0.0575,undefined,0,,,
0.452,0.225,0.433,0.405,0.1745,0.4955,0.379,0.196,0.4515,Q8VEJ9,Q8VEJ9,Vps4a,1,9,10,6,Q8VEJ9,MOUSE,49191.3,23.5,740,740.2,119.27,67.63,NA,437,Vacuolar protein sorting-associated protein 4A,spindle pole|nucleus|cytoplasm|lysosome|endosome|early endosome|late endosome|vacuolar membrane|centrosome|cytosol|plasma membrane|midbody|late endosome membrane|perinuclear region of cytoplasm|extracellular exosome|Flemming body|ESCRT III complex|,cell separation after cytokinesis|membrane budding|nucleus organization|vacuole organization|mitotic metaphase plate congression|abscission|protein transport|vesicle-mediated transport|endosomal transport|viral release from host cell|intracellular cholesterol transport|negative regulation of cytokinesis|regulation of protein localization|endosomal vesicle fusion|viral budding via host ESCRT complex|ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway|positive regulation of viral process|cell division|vesicle uncoating|ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway|positive regulation of viral release from host cell|regulation of protein localization to plasma membrane|positive regulation of exosomal secretion|positive regulation of viral budding via host ESCRT complex|positive regulation of viral life cycle|cytoplasmic microtubule organization|,protein binding|ATP binding|protein C-terminus binding|ATPase activity|protein domain specific binding|microtubule-severing ATPase activity|,6,9,2.32E+09,0.146,0.006723661,-0.01,27.08652551,0.359,0.001955904,4.919833267,-0.2405,-0.052,-0.276,0.175,0.166,0.1675,undefined,4,,,
-0.253,-0.174,-0.419,-0.106,-0.0215,-0.2865,-0.175,-0.087,-0.2985,B1ASP2,B1ASP2,Jak1,1,25,17,17,B1ASP2|P52332,MOUSE,135233.7,15.5,741,741.1,176.4,176.4,NA,1153,Tyrosine-protein kinase,nucleus|cytoplasm|cytoskeleton|focal adhesion|extrinsic component of cytoplasmic side of plasma membrane|,enzyme linked receptor protein signaling pathway|transmembrane receptor protein tyrosine kinase signaling pathway|cell migration|peptidyl-tyrosine phosphorylation|cytokine-mediated signaling pathway|cell differentiation|intracellular signal transduction|peptidyl-tyrosine autophosphorylation|interleukin-2-mediated signaling pathway|regulation of cell proliferation|innate immune response|response to antibiotic|,protein tyrosine kinase activity|non-membrane spanning protein tyrosine kinase activity|growth hormone receptor binding|protein binding|ATP binding|protein phosphatase binding|CCR5 chemokine receptor binding|,17,25,6.23E+09,0.155,0.054108066,0.0215,15.81233589,-0.208,0.026228075,-2.84247596,0.0965,0.034,0.246,-0.131,-0.026,-0.0905,undefined,0,,,
-0.114,-0.232,-0.218,-0.005,-0.1605,-0.1635,-0.059,-0.299,-0.1875,Q9EQH3,Q9EQH3,Vps35,1,24,16,16,Q9EQH3,MOUSE,92510.1,21.4,742,742.1,175.91,175.91,NA,796,Vacuolar protein sorting-associated protein 35,lysosomal membrane|endosome|early endosome|late endosome|cytosol|integral component of membrane|retromer complex|extracellular exosome|tubular endosome|neuronal postsynaptic density|,"vacuolar protein processing|intracellular protein transport|retrograde transport, endosome to Golgi|transcytosis|negative regulation of late endosome to lysosome transport|retrograde transport, endosome to plasma membrane|",protein binding|protein transporter activity|,16,24,9.05E+09,0.214,0.077872378,0.011,13.86507936,-0.175666667,0.041066914,-2.523557261,-0.0055,0.193,0.109,-0.102,-0.023,-0.1055,undefined,0,,,
-0.113,-0.381,-0.328,-0.016,-0.3195,-0.3125,-0.111,-0.478,-0.4055,O55028,O55028,Bckdk,1,36,13,13,O55028|A0A0U1RPT4|A0A0U1RNL7,MOUSE,46814.9,40.7,743,743.1,175.81,175.81,NA,412,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",mitochondrion|mitochondrial alpha-ketoglutarate dehydrogenase complex|,protein phosphorylation|branched-chain amino acid catabolic process|phosphorylation|,protein kinase activity|protein serine/threonine kinase activity|ATP binding|[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity|,13,36,2.69E+10,0.407,0.042633351,0.0175,17.15111526,-0.238,0.0192703,-3.066346927,-0.0025,0.233,0.179,-0.086,-0.058,-0.1605,NC,0,,,
-0.015,-0.062,-0.289,-0.006,-0.0135,-0.2385,-0.12,-0.128,-0.3635,Q61578,Q61578,Fdxr,1,30,15,15,Q61578,MOUSE,54600.4,41.2,744,744.1,175.75,175.75,NA,494,"NADPH:adrenodoxin oxidoreductase, mitochondrial",cytoplasm|mitochondrion|mitochondrial inner membrane|mitochondrial matrix|,ubiquinone biosynthetic process|cholesterol metabolic process|NADPH oxidation|,NADPH-adrenodoxin reductase activity|NADPH binding|,15,30,1.19E+10,0.412,0.25516017,0.023,7.468906832,-0.132333333,0.179105663,-1.502048962,-0.0055,0.01,0.263,-0.019,0.004,-0.1145,NC,0,,,
-0.112,-0.052,-0.22,-0.042,-0.0185,-0.2075,-0.152,-0.065,-0.2235,Q8R151,Q8R151,Znfx1,1,26,16,16,Q8R151|A2A5R6,MOUSE,223787.8,10.4,745,745.1,175.2,175.2,NA,1909,NF-type zinc finger-containing protein 1,NA,NA,poly(A) RNA binding|metal ion binding|,16,26,4.96E+09,0.104,0.136490912,0.005333333,10.85953531,-0.128333333,0.082043932,-2.044089458,0.0645,-0.01,0.154,-0.047,-0.038,-0.0915,NC,0,,,
0.104,0,0.194,0.022,-0.0995,0.0955,0.08,0.024,0.1155,Q9D5T0,Q9D5T0,Atad1,1,41,11,11,Q9D5T0,MOUSE,41085.6,36,746,746.1,175.2,175.2,NA,361,ATPase family AAA domain-containing protein 1,mitochondrion|peroxisomal membrane|membrane|cell junction|postsynaptic membrane|,"positive regulation of receptor internalization|learning|memory|metabolic process|cytoplasmic microtubule organization|negative regulation of synaptic transmission, glutamatergic|",protein binding|ATP binding|microtubule-severing ATPase activity|ATPase activity|,11,41,8.45E+10,0.36,0.518809305,-0.001166667,3.650332924,0.049333333,0.431485998,0.836907841,-0.0125,0.028,-0.093,0.043,-0.02,0.0475,undefined,0,,,
-0.151,-0.229,-0.17,-0.121,-0.2265,-0.1285,-0.174,-0.222,-0.0675,Q9DCG6,Q9DCG6,Pbld1,1,31,14,7,K3W4L7|Q9DCG6|A0A1W2P6V3|A0A1W2P6P6,MOUSE,32218.1,55.5,747,747.1,174.86,103.26,NA,288,Phenazine biosynthesis-like domain-containing protein 1,cytoplasm|extracellular exosome|,biosynthetic process|negative regulation of epithelial cell migration|negative regulation of epithelial to mesenchymal transition|maintenance of gastrointestinal epithelium|negative regulation of transforming growth factor beta receptor signaling pathway|negative regulation of epithelial cell proliferation|negative regulation of SMAD protein import into nucleus|negative regulation of pathway-restricted SMAD protein phosphorylation|,isomerase activity|,14,31,7.85E+09,0.555,0.072930288,0.017333333,14.20954044,-0.139666667,0.037935513,-2.579120132,0.0755,0.135,0.051,-0.048,-0.03,-0.0795,undefined,0,,,
-0.072,-0.159,-0.128,-0.188,-0.2455,-0.1845,-0.12,-0.284,-0.1755,Q9CXN7,Q9CXN7,Pbld2,1,6,9,3,Q9CXN7,MOUSE,32211,30.9,747,747.2,95.15,36.28,NA,288,Phenazine biosynthesis-like domain-containing protein 2,cytoplasm|extracellular exosome|,biosynthetic process|negative regulation of epithelial cell migration|negative regulation of epithelial to mesenchymal transition|maintenance of gastrointestinal epithelium|negative regulation of transforming growth factor beta receptor signaling pathway|negative regulation of epithelial cell proliferation|negative regulation of SMAD protein import into nucleus|negative regulation of pathway-restricted SMAD protein phosphorylation|,isomerase activity|,3,6,1.96E+09,0.111,0.068607316,0.0195,14.54982535,-0.152,0.035076598,-2.634198249,0.0445,0.146,0.096,-0.006,-0.082,-0.0815,undefined,0,,,
-0.077,0.042,0.178,-0.123,-0.0695,0.0185,-0.018,0.085,0.0975,Q6PGC1,Q6PGC1,Dhx29,1,17,16,16,Q6PGC1,MOUSE,155113.5,12.9,748,748.1,174.83,174.83,NA,1365,ATP-dependent RNA helicase DHX29,cytoplasm|mitochondrion|eukaryotic 43S preinitiation complex|,RNA processing|translational initiation|,translation initiation factor activity|ATP-dependent RNA helicase activity|ATP binding|ribosomal small subunit binding|poly(A) RNA binding|,16,17,1.38E+10,0.129,0.83896759,0.035166667,1.00431384,0.016666667,0.793539622,0.272372872,0.0855,0.027,-0.032,0.034,-0.007,0.1035,NC,0,,,
-0.177,-0.027,-0.165,-0.179,0.0215,-0.1095,-0.337,-0.221,-0.1935,Q6XPS7,Q6XPS7,Tha1,1,27,12,12,Q6XPS7,MOUSE,44008.7,38.5,749,749.1,174.06,174.06,NA,400,L-threonine aldolase,cytosol|,glycine biosynthetic process|threonine catabolic process|,L-allo-threonine aldolase activity|,12,27,7.72E+09,0.385,0.244038472,-0.017833333,7.697448491,-0.110666667,0.169924167,-1.537726457,0.1095,-0.068,0.071,-0.082,0.002,-0.1395,undefined,0,,,
-0.164,-0.201,-0.241,-0.105,-0.0405,-0.1585,-0.247,-0.318,-0.3355,P42125,P42125,Eci1,1,68,10,10,P42125,MOUSE,32535.1,40.8,750,750.1,174.05,174.05,NA,289,"Enoyl-CoA delta isomerase 1, mitochondrial",mitochondrion|mitochondrial inner membrane|mitochondrial matrix|extracellular exosome|,fatty acid beta-oxidation|,dodecenoyl-CoA delta-isomerase activity|identical protein binding|,10,68,3.05E+11,0.408,0.051524954,0.008333333,16.07147865,-0.187666667,0.024708827,-2.883201841,0.0635,0.084,0.159,-0.071,-0.013,-0.1725,NC,0,,,
2.058,2.296,2.524,1.828,2.0885,2.1365,2.073,2.24,2.4065,G5E8J0,G5E8J0,Notch2,1,30,12,12,G5E8J0|O35516|O35516-2,MOUSE,279492.6,7.5,751,751.1,173.8,173.8,NA,2473,Neurogenic locus notch homolog protein 2,nucleus|integral component of plasma membrane|cell surface|receptor complex|,pulmonary valve morphogenesis|cell cycle arrest|Notch signaling pathway|negative regulation of cell proliferation|cell growth|cell differentiation|positive regulation of Ras protein signal transduction|bone remodeling|regulation of developmental process|atrial septum morphogenesis|,calcium ion binding|,12,30,4.07E+09,0.075,1.62E-05,-0.350666667,58.4202014,2.265,1.44E-06,16.12561241,-1.2415,-1.415,-1.793,0.854,0.693,0.7985,NC,9,,,
-0.126,-0.038,-0.072,-0.009,0.0415,-0.0305,-0.037,-0.027,-0.0875,Q91YP0,Q91YP0,L2hgdh,1,36,14,14,Q91YP0,MOUSE,51582.3,32.9,752,752.1,173.25,173.25,NA,464,"L-2-hydroxyglutarate dehydrogenase, mitochondrial",mitochondrion|integral component of membrane|,cellular protein metabolic process|oxidation-reduction process|,2-hydroxyglutarate dehydrogenase activity|,14,36,2.34E+10,0.329,0.629889564,0.000166667,2.581001798,-0.032666667,0.551950105,-0.626144672,0.0165,-0.016,0.049,-0.024,0.006,-0.0305,NC,0,,,
-0.071,0.048,-0.071,-0.034,0.0795,-0.0885,-0.053,-0.026,-0.0525,Q9R0Y5-2,Q9R0Y5,Ak1,1,31,13,13,Q9R0Y5-2|Q9R0Y5,MOUSE,23344.1,66.1,753,753.1,173.23,173.23,NA,194,Isoform 2 of Adenylate kinase isoenzyme 1,outer dense fiber|cytoplasm|plasma membrane|sperm flagellum|extracellular exosome|,nucleoside diphosphate phosphorylation|ADP biosynthetic process|cell cycle arrest|nucleoside triphosphate biosynthetic process|AMP metabolic process|ATP metabolic process|,adenylate kinase activity|nucleoside diphosphate kinase activity|ATP binding|,13,31,9.31E+09,0.661,0.770969058,-0.015,1.477147343,-0.023,0.711680827,-0.385691356,0.0435,-0.084,0.03,-0.033,0.003,-0.0495,undefined,0,,,
2.293,2.132,2.505,2.056,1.9755,2.2455,2.314,2.169,2.5595,P97449,P97449,Anpep,1,26,14,14,P97449,MOUSE,110105.6,15.8,754,754.1,173.15,173.15,NA,966,Aminopeptidase N,extracellular space|lysosomal membrane|endoplasmic reticulum-Golgi intermediate compartment|external side of plasma membrane|integral component of membrane|extracellular exosome|,angiogenesis|proteolysis|cell differentiation|,aminopeptidase activity|metallopeptidase activity|zinc ion binding|,14,26,1.98E+10,0.158,1.35E-05,-0.356666667,59.82852568,2.269,1.04E-06,16.95120696,-1.4205,-1.271,-1.782,0.86,0.681,0.7925,undefined,9,,TRUE,
0.072,0.155,0.066,-0.065,-0.0155,-0.0385,0.119,0.192,0.0505,Q3UMF0,Q3UMF0,Cobll1,1,28,14,14,Q3UMF0|Q3UMF0-2|B1AZ14|B1AZ15|Q3UMF0-4|Q3UMF0-3,MOUSE,138006.7,14.2,755,755.1,172.92,172.92,NA,1273,Cordon-bleu protein-like 1,extracellular exosome|,NA,NA,14,28,8.79E+09,0.142,0.443487014,-0.011333333,4.496540127,0.067,0.355096169,0.993268509,-0.0485,-0.084,-0.002,0.058,-0.085,0.0935,undefined,0,,,
0.994,1.025,0.962,1.344,1.3455,1.3085,1.027,0.975,1.1545,Q6PGJ3,Q6PGJ3,L1cam,1,22,16,16,Q6PGJ3|A2AFG8|A2AFG7|P11627,MOUSE,141883.8,18.5,756,756.1,172.77,172.77,NA,1259,L1 cell adhesion molecule,focal adhesion|external side of plasma membrane|cell surface|membrane|presynaptic membrane|terminal bouton|,homophilic cell adhesion via plasma membrane adhesion molecules|heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules|leukocyte cell-cell adhesion|cell surface receptor signaling pathway|axon guidance|positive regulation of cell-cell adhesion|neuron projection development|cell-cell adhesion mediated by integrin|homotypic cell-cell adhesion|positive regulation of calcium-mediated signaling|,integrin binding|protein binding|sialic acid binding|identical protein binding|protein self-association|,16,22,2.75E+09,0.185,1.38E-05,-0.027833333,59.6408189,1.363333333,1.09E-06,16.70378379,-0.6505,-0.731,-0.747,0.504,0.77,0.6875,PC,9,TRUE,TRUE,
-0.15,-0.023,-0.026,-0.096,-0.0735,0.0375,-0.052,-0.054,0.0435,Q9ERK4,Q9ERK4,Cse1l,1,28,16,16,Q9ERK4|E9Q1T9|E9QAX7,MOUSE,111251.3,17.5,757,757.1,172.58,172.58,NA,971,Exportin-2,nucleoplasm|cytoplasm|membrane|extracellular exosome|,intracellular protein transport|,protein binding|Ran GTPase binding|,16,28,6.57E+09,0.175,0.384130799,0.0015,5.279657931,-0.062666667,0.296506492,-1.13205044,0.0595,0.054,-0.015,-0.066,-0.033,0.0095,undefined,0,,,
