,id,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Brain_Searched..127.126.127.128.129.130.131..No_BirA_6.multimedian,Brain_Searched..128.126.127.128.129.130.131..No_BirA_5.multimedian,Brain_Searched..131.126.127.128.129.130.131..No_BirA_4.multimedian,Brain_Searched..126.126.127.128.129.130.131..XBirA_2.multimedian,Brain_Searched..129.126.127.128.129.130.131..XBirA_3.multimedian,Brain_Searched..130.126.127.128.129.130.131..XBirA_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Brain_Searched.unique_peptides,Brain_Searched.numSpectra,Brain_Searched.totalIntensity,Brain_Searched.pct_cov
3216,P62342,5.36E-05,-0.253166667,58.80314431,1.759666667,1.32E-06,13.48712726,-0.997,-1.371,-1.031,0.799,0.513,0.568,P62342,Selenot,P62342_Selenot,P62342,Selenot,1,2,2,2,P62342,MOUSE,22449.2,10.2,2744,2744.1,19.92,19.92,NA,195,Thioredoxin reductase-like selenoprotein T,endoplasmic reticulum|,response to glucose|pancreas development|insulin secretion involved in cellular response to glucose stimulus|glucose homeostasis|cell redox homeostasis|,selenium binding|,2,2,6.43E+08,10.20%
410,Q8C7X2,0.000136405,0.003,53.0564738,1.758666667,4.95E-06,11.25704028,-0.888,-0.835,-0.906,1.077,0.505,1.065,Q8C7X2,Emc1,Q8C7X2_Emc1,Q8C7X2,Emc1,1,85,30,30,Q8C7X2|Z4YJW0|Q8C7X2-2|Q8C7X2-3,MOUSE,112002.5,37.3,226,226.1,422.2,422.2,NA,997,ER membrane protein complex subunit 1,endoplasmic reticulum|integral component of membrane|ER membrane protein complex|,,,30,85,4.43E+10,37.30%
1576,E9QN70,0.00049137,-0.027333333,46.30302463,1.756,2.34E-05,9.249649432,-0.637,-1.063,-1.016,0.83,0.519,1.203,E9QN70,Lamb1,E9QN70_Lamb1,E9QN70,Lamb1,1,14,9,9,E9QN70|P02469,MOUSE,209741,5.6,1138,1138.1,107.3,107.3,NA,1834,Laminin subunit beta-1,proteinaceous extracellular matrix|basement membrane|basal lamina|laminin-1 complex|laminin-2 complex|extracellular space|extracellular matrix|laminin complex|laminin-8 complex|laminin-10 complex|extracellular exosome|basement membrane|,embryo implantation|cell migration|neuronal-glial interaction involved in cerebral cortex radial glia guided migration|positive regulation of cell migration|neuron projection development|substrate adhesion-dependent cell spreading|endodermal cell differentiation|odontogenesis|,integrin binding|extracellular matrix structural constituent|protein binding|enzyme binding|glycosphingolipid binding|,9,14,3.78E+08,5.60%
3245,P07309,0.000599072,-0.0335,45.15870727,1.747666667,3.05E-05,8.904251288,-0.713,-0.96,-1.049,0.707,0.53,1.284,P07309,Ttr,P07309_Ttr,P07309,Ttr,1,3,2,2,P07309,MOUSE,15889.7,10.8,2779,2779.1,19.23,19.23,NA,147,Transthyretin,extracellular space|protein complex|extracellular exosome|,retinol metabolic process|thyroid hormone transport|,hormone activity|protein binding|identical protein binding|protein heterodimerization activity|thyroid hormone binding|,2,3,94500000,10.80%
542,Q8BSY0,3.68E-05,-0.126333333,61.48750605,1.735333333,7.10E-07,14.66270311,-0.913,-0.894,-1.175,0.788,0.569,0.867,Q8BSY0,Asph,Q8BSY0_Asph,Q8BSY0,Asph,1,44,25,24,Q8BSY0|A2AL85|Q8CBM2|A2AL81|Q3TU40|A2AL75|A2AL78|Q8BSY0-2|Q9CR06|A2AL76|A2AL74,MOUSE,83440,41.9,319,319.1,322.97,297.36,NA,741,Aspartyl/asparaginyl beta-hydroxylase,cytoplasm|endoplasmic reticulum|plasma membrane|integral component of membrane|integral component of endoplasmic reticulum membrane|cortical endoplasmic reticulum|sarcoplasmic reticulum membrane|,"pattern specification process|negative regulation of cell proliferation|positive regulation of calcium ion transport into cytosol|regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity|regulation of protein stability|activation of store-operated calcium channel activity|response to ATP|limb morphogenesis|peptidyl-aspartic acid hydroxylation|positive regulation of proteolysis|positive regulation of transcription, DNA-templated|oxidation-reduction process|palate development|face morphogenesis|calcium ion transmembrane transport|cellular response to calcium ion|positive regulation of intracellular protein transport|activation of cysteine-type endopeptidase activity|regulation of protein depolymerization|",peptide-aspartate beta-dioxygenase activity|calcium ion binding|protein binding|,26,44,1.37E+10,41.90%
1494,Q99LI2,1.06E-05,-0.283833333,73.6086154,1.735,4.36E-08,21.28966519,-1.162,-1.104,-1.188,0.66,0.543,0.548,Q99LI2,Clcc1,Q99LI2_Clcc1,Q99LI2,Clcc1,1,14,9,9,A2AEM2|Q99LI2,MOUSE,61418.9,20,1069,1069.1,115.1,115.1,NA,539,Chloride channel CLIC-like protein 1,nucleus|endoplasmic reticulum|Golgi apparatus|membrane|chloride channel complex|intracellular membrane-bounded organelle|,chloride transmembrane transport|,chloride channel activity|,9,14,1.26E+09,20.00%
1827,Q3TQC7,1.06E-05,-0.301333333,74.03526727,1.718666667,3.95E-08,21.56888489,-1.234,-1.127,-1.121,0.557,0.581,0.536,Q3TQC7,Entpd5,Q3TQC7_Entpd5,Q3TQC7,Entpd5,1,14,5,5,Q3TQC7|Q9WUZ9,MOUSE,50293.2,16.5,1367,1367.1,81.46,81.46,NA,452,Ectonucleoside triphosphate diphosphohydrolase 5,extracellular exosome|,metabolic process|,hydrolase activity|,5,14,5.57E+08,16.50%
1457,O08601-2,3.97E-05,-0.250333333,60.89916058,1.704666667,8.13E-07,14.39713879,-1.2,-1.185,-0.923,0.777,0.551,0.478,O08601,Mttp,O08601-2_Mttp,O08601-2,Mttp,1,15,10,10,O08601-2|O08601,MOUSE,101433.7,13.4,1037,1037.1,119,119,NA,894,Isoform 2 of Microsomal triglyceride transfer protein large subunit,endoplasmic reticulum|rough endoplasmic reticulum|Golgi apparatus|basolateral plasma membrane|brush border membrane|microvillus membrane|membrane-bounded vesicle|receptor complex|,protein lipidation|lipid metabolic process|triglyceride metabolic process|lipid transport|circadian rhythm|cholesterol metabolic process|lipoprotein metabolic process|cholesterol homeostasis|lipoprotein transport|response to calcium ion|,lipid transporter activity|protein binding|lipid binding|apolipoprotein binding|protein heterodimerization activity|,10,15,1.67E+09,13.40%
2522,Q5SSH8,7.11E-05,-0.2785,56.84809663,1.703666667,2.07E-06,12.68671143,-0.897,-1.412,-1.082,0.55,0.641,0.529,Q5SSH8,Cyb5d2,Q5SSH8_Cyb5d2,Q5SSH8,Cyb5d2,1,4,3,3,Q5SSH8,MOUSE,29560.9,12.5,2039,2039.1,40.84,40.84,NA,263,Neuferricin,extracellular region|endomembrane system|membrane|,positive regulation of neuron differentiation|,heme binding|,3,4,1.36E+08,12.50%
1108,Q9D1Q6,3.04E-05,-0.145,62.73511942,1.700666667,5.33E-07,15.2411431,-0.918,-0.905,-1.163,0.773,0.549,0.794,Q9D1Q6,Erp44,Q9D1Q6_Erp44,Q9D1Q6,Erp44,1,39,13,13,Q9D1Q6,MOUSE,47251.5,30.2,733,733.1,172.39,172.39,NA,406,Endoplasmic reticulum resident protein 44,endoplasmic reticulum lumen|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|cell surface|extracellular exosome|,protein folding|response to unfolded protein|glycoprotein metabolic process|response to endoplasmic reticulum stress|cell redox homeostasis|,protein disulfide isomerase activity|protein binding|,13,39,7.13E+09,30.20%
1027,Q9CXY9,2.35E-05,-0.151833333,64.22487149,1.697,3.78E-07,15.96004198,-1.014,-1.021,-0.966,0.808,0.49,0.792,Q9CXY9,Pigk,Q9CXY9_Pigk,Q9CXY9,Pigk,1,33,14,14,Q9CXY9|Q8BXX3|E9Q421|Q8BL63|A0A0G2JEZ9,MOUSE,45236.8,46,666,666.1,188.23,188.23,NA,395,GPI-anchor transamidase,membrane|GPI-anchor transamidase complex|,proteolysis|attachment of GPI anchor to protein|,GPI-anchor transamidase activity|cysteine-type peptidase activity|,14,33,5.66E+10,46.00%
51,E9Q401,1.06E-05,-0.279333333,71.64870651,1.695333333,6.84E-08,20.05139763,-1.207,-1.123,-1.051,0.536,0.537,0.632,E9Q401,Ryr2,E9Q401_Ryr2,E9Q401,Ryr2,1,400,158,143,E9Q401|F6U7V1|Q80ZZ5,MOUSE,570001.1,38.6,16,16.1,2213.31,2028.92,NA,4966,Ryanodine receptor 2,smooth endoplasmic reticulum|membrane|integral component of membrane|sarcoplasmic reticulum|sarcomere|Z disc|sarcoplasmic reticulum membrane|calcium channel complex|protein complex|extracellular exosome|,response to hypoxia|regulation of heart rate|embryonic heart tube morphogenesis|left ventricular cardiac muscle tissue morphogenesis|cardiac muscle hypertrophy|detection of calcium ion|calcium ion transport|cellular calcium ion homeostasis|positive regulation of heart rate|regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion|regulation of cardiac muscle contraction by calcium ion signaling|release of sequestered calcium ion into cytosol by sarcoplasmic reticulum|response to muscle activity|calcium-mediated signaling|BMP signaling pathway|response to caffeine|calcium-mediated signaling using intracellular calcium source|response to muscle stretch|release of sequestered calcium ion into cytosol|positive regulation of sequestering of calcium ion|response to redox state|regulation of cardiac muscle contraction|cardiac muscle contraction|canonical Wnt signaling pathway|cytosolic calcium ion transport|calcium ion transport into cytosol|calcium ion transmembrane transport|cellular response to caffeine|cellular response to epinephrine stimulus|establishment of protein localization to endoplasmic reticulum|ventricular cardiac muscle cell action potential|Purkinje myocyte to ventricular cardiac muscle cell signaling|type B pancreatic cell apoptotic process|positive regulation of the force of heart contraction|regulation of AV node cell action potential|regulation of SA node cell action potential|regulation of atrial cardiac muscle cell action potential|regulation of ventricular cardiac muscle cell action potential|positive regulation of calcium-transporting ATPase activity|,intracellular ligand-gated calcium channel activity|ryanodine-sensitive calcium-release channel activity|calcium channel activity|calcium ion binding|protein binding|calmodulin binding|calcium-release channel activity|enzyme binding|protein kinase binding|protein kinase A catalytic subunit binding|protein kinase A regulatory subunit binding|identical protein binding|protein self-association|suramin binding|calcium-induced calcium release activity|organic cyclic compound binding|,158,400,9.02E+10,38.60%
676,Q61838,0.000494052,-0.164666667,46.21591013,1.693333333,2.39E-05,9.222959038,-1.059,-0.896,-1.079,0.367,1.112,0.567,Q61838,NotFound,Q61838_NotFound,Q61838,Pzp,1,52,23,23,Q61838|F1MI18|F1MJK3,MOUSE,167218.8,20.2,393,393.1,288.73,288.73,NA,1495,Pregnancy zone protein,extracellular region|extracellular space|,embryo implantation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|protein complex binding|,24,52,1.26E+10,20.20%
1699,Q6PHS9,0.000495207,-0.150833333,46.16395846,1.684333333,2.42E-05,9.207073349,-1.197,-0.901,-0.881,1.101,0.472,0.501,Q6PHS9,Cacna2d2,Q6PHS9_Cacna2d2,Q6PHS9,Cacna2d2,1,13,9,9,Q6PHS9|Q6PHS9-2|Q6PHS9-4|Q6PHS9-6|E9Q683|Q6PHS9-3|Q6PHS9-5,MOUSE,131580.6,8,1247,1247.1,94.76,94.76,NA,1154,Voltage-dependent calcium channel subunit alpha-2/delta-2,voltage-gated calcium channel complex|,calcium ion transport|neuromuscular junction development|regulation of ion transmembrane transport|regulation of multicellular organism growth|positive regulation of organ growth|muscle fiber development|regulation of calcium ion transport|rhythmic synaptic transmission|calcium ion transmembrane transport|,voltage-gated calcium channel activity|calcium channel regulator activity|metal ion binding|,9,13,1.10E+09,8.00%
789,Q9ER58,2.15E-05,-0.210333333,65.35046937,1.682666667,2.92E-07,16.52439573,-1.184,-0.896,-1.075,0.696,0.541,0.656,Q9ER58,Spock2,Q9ER58_Spock2,Q9ER58,Spock2,1,44,18,18,Q9ER58|F6SLR4,MOUSE,48231.6,46.8,477,477.1,246.63,246.63,NA,423,Testican-2,proteinaceous extracellular matrix|,signal transduction|positive regulation of cell-substrate adhesion|peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan|extracellular matrix organization|,calcium ion binding|glycosaminoglycan binding|extracellular matrix binding|,18,44,1.13E+10,46.80%
1860,Q61704,0.000594865,-0.145,45.22001658,1.682,3.01E-05,8.922474484,-0.793,-1.292,-0.873,1.042,0.609,0.437,Q61704,Itih3,Q61704_Itih3,Q61704,Itih3,1,11,5,5,Q61704,MOUSE,99698.3,7.1,1398,1398.1,78.71,78.71,NA,889,Inter-alpha-trypsin inhibitor heavy chain H3,extracellular exosome|,negative regulation of endopeptidase activity|hyaluronan metabolic process|,serine-type endopeptidase inhibitor activity|,5,11,2.81E+09,7.10%
2061,Q91XD7,7.49E-05,-0.2525,56.51026427,1.675,2.23E-06,12.55291896,-1.206,-0.792,-1.272,0.636,0.585,0.534,Q91XD7,Creld1,Q91XD7_Creld1,Q91XD7,Creld1,1,12,5,5,Q91XD7,MOUSE,47999.2,16.1,1584,1584.1,63.92,63.92,NA,420,Cysteine-rich with EGF-like domain protein 1,integral component of membrane|,,calcium ion binding|,5,12,1.29E+09,16.10%
2174,O54998,0.000147269,-0.142333333,52.61984316,1.660666667,5.47E-06,11.10213657,-1.21,-0.913,-0.795,0.747,0.439,0.878,O54998,Fkbp7,O54998_Fkbp7,O54998,Fkbp7,1,7,5,5,O54998|H3BJI5,MOUSE,25198,20.6,1694,1694.1,56.6,56.6,NA,218,Peptidyl-prolyl cis-trans isomerase FKBP7,cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum membrane|,protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|,peptidyl-prolyl cis-trans isomerase activity|calcium ion binding|protein binding|FK506 binding|,5,7,1.04E+09,20.60%
278,Q8BHN3-2,1.85E-05,-0.198,66.46865117,1.658666667,2.25E-07,17.10379227,-1.117,-1.015,-0.95,0.649,0.501,0.744,Q8BHN3,Ganab,Q8BHN3-2_Ganab,Q8BHN3-2,Ganab,1,114,40,40,Q8BHN3-2|Q8BHN3|Q8BHN3-3,MOUSE,109858.4,43.3,132,132.1,592.52,592.52,NA,944,Isoform 2 of Neutral alpha-glucosidase AB,endoplasmic reticulum|Golgi apparatus|membrane|glucosidase II complex|melanosome|extracellular exosome|,N-glycan processing|,"protein binding|glucosidase activity|carbohydrate binding|glucan 1,3-alpha-glucosidase activity|poly(A) RNA binding|",40,114,4.90E+10,43.30%
518,Q6GQT9,1.29E-05,-0.233666667,69.61541544,1.650666667,1.09E-07,18.84042535,-1.156,-0.945,-1.076,0.619,0.562,0.594,Q6GQT9,Nomo1,Q6GQT9_Nomo1,Q6GQT9,Nomo1,1,53,25,25,Q6GQT9,MOUSE,134444.5,30.8,302,302.1,334.15,334.15,NA,1214,Nodal modulator 1,endoplasmic reticulum membrane|membrane|integral component of membrane|,,carbohydrate binding|,25,53,9.45E+09,30.80%
1969,Q99P47,0.000244632,-0.222,50.15051995,1.646,9.66E-06,10.26130481,-1.345,-0.804,-0.986,0.831,0.504,0.468,Q99P47,Cntnap4,Q99P47_Cntnap4,Q99P47,Cntnap4,1,10,5,5,D3YWB9|Q99P47,MOUSE,146724.5,4.7,1499,1499.1,70.98,70.98,NA,1310,Contactin-associated protein-like 4,integral component of membrane|cell junction|dendrite|presynaptic membrane|,"cell adhesion|regulation of synaptic transmission, dopaminergic|regulation of synaptic transmission, GABAergic|regulation of grooming behavior|",protein binding|,5,10,2.97E+08,4.70%
949,Q8K4Z0-2,1.06E-05,-0.260333333,70.94720663,1.644,8.04E-08,19.62535728,-1.164,-1.066,-1.017,0.617,0.556,0.512,Q8K4Z0,Lgi2,Q8K4Z0-2_Lgi2,Q8K4Z0-2,Lgi2,1,31,16,16,Q8K4Z0-2|Q8K4Z0,MOUSE,62638.4,30.6,604,604.1,205.75,205.75,NA,550,Isoform 2 of Leucine-rich repeat LGI family member 2,extracellular region|,,,16,31,9.90E+09,30.60%
2889,Q62356,0.006415587,-0.010333333,33.16729556,1.634666667,0.000482248,5.869654555,-0.29,-0.977,-1.216,0.328,1.006,1.087,Q62356,Fstl1,Q62356_Fstl1,Q62356,Fstl1,1,4,3,3,Q62356,MOUSE,35694.4,12.4,2402,2402.1,27.84,27.84,NA,306,Follistatin-related protein 1,extracellular space|extracellular exosome|,response to starvation|,calcium ion binding|protein binding|heparin binding|,3,4,27200000,12.40%
884,Q3TVI8,5.43E-05,-0.155166667,58.54000639,1.630333333,1.40E-06,13.37674266,-0.986,-0.98,-0.945,0.497,0.56,0.923,Q3TVI8,Pbxip1,Q3TVI8_Pbxip1,Q3TVI8,Pbxip1,1,33,15,15,Q3TVI8,MOUSE,81562.4,27.7,551,551.1,220.97,220.97,NA,727,Pre-B-cell leukemia transcription factor-interacting protein 1,nucleus|cytoplasm|microtubule|,,,15,33,4.08E+09,27.70%
1516,Q91W90,2.64E-05,-0.249,63.43100395,1.621333333,4.54E-07,15.57305442,-1.22,-0.989,-0.97,0.544,0.467,0.674,Q91W90,Txndc5,Q91W90_Txndc5,Q91W90,Txndc5,1,19,8,8,Q91W90|E9PXX7|A0A0R4J1Y7,MOUSE,47099.3,24.2,1086,1086.1,113.12,113.12,NA,417,Thioredoxin domain-containing protein 5,endoplasmic reticulum lumen|extracellular exosome|,protein folding|response to endoplasmic reticulum stress|apoptotic cell clearance|cell redox homeostasis|,protein disulfide isomerase activity|,8,19,4.47E+09,24.20%
1618,Q9EPK6,1.84E-05,-0.0945,66.81781117,1.616333333,2.08E-07,17.28864737,-0.959,-0.886,-0.863,0.71,0.59,0.841,Q9EPK6,Sil1,Q9EPK6_Sil1,Q9EPK6,Sil1,1,13,8,8,Q9EPK6,MOUSE,52771.3,28.8,1175,1175.1,102.84,102.84,NA,465,Nucleotide exchange factor SIL1,extracellular space|endoplasmic reticulum|endoplasmic reticulum lumen|,protein transport|,,8,13,1.27E+09,28.80%
539,Q8BP92,1.75E-05,-0.200666667,67.50885536,1.614666667,1.77E-07,17.66014957,-1.002,-0.992,-1.03,0.552,0.518,0.75,Q8BP92,Rcn2,Q8BP92_Rcn2,Q8BP92,Rcn2,1,53,19,19,Q8BP92|D6RHL9,MOUSE,37270.1,55.3,317,317.1,325.13,325.13,NA,320,Reticulocalbin-2,nucleolus|endoplasmic reticulum|endoplasmic reticulum lumen|,,calcium ion binding|protein binding|,19,53,2.62E+10,55.30%
2957,Q8VHC3,0.000115874,-0.119833333,54.1300996,1.610333333,3.86E-06,11.64623229,-0.66,-0.967,-1.148,0.832,0.583,0.641,Q8VHC3,Selenom,Q8VHC3_Selenom,Q8VHC3,Selenom,1,2,2,2,Q8VHC3,MOUSE,16420.7,20,2470,2470.1,25.96,25.96,NA,145,Selenoprotein M,nucleoplasm|cytoplasm|endoplasmic reticulum|Golgi apparatus|perinuclear region of cytoplasm|,response to selenium ion|multicellular organism growth|corticosterone secretion|hormone metabolic process|adipose tissue development|,,2,2,92400000,20.00%
61,Q91ZX7,2.15E-05,-0.162666667,65.10588504,1.608666667,3.09E-07,16.40017699,-0.923,-1.07,-0.908,0.72,0.499,0.706,Q91ZX7,Lrp1,Q91ZX7_Lrp1,Q91ZX7,Lrp1,1,340,132,126,A0A0R4J0I9|Q91ZX7|Q3U5J2|D3Z5M3,MOUSE,523675.1,34.2,19,19.1,1807.41,1742.22,NA,4545,Prolow-density lipoprotein receptor-related protein 1,nucleolus|cytoplasm|lysosomal membrane|integral component of plasma membrane|coated pit|focal adhesion|membrane|receptor complex|perinuclear region of cytoplasm|,receptor-mediated endocytosis|cholesterol metabolic process|positive regulation of cholesterol efflux|negative regulation of smooth muscle cell migration|negative regulation of Wnt signaling pathway|positive regulation of lipid transport|regulation of cholesterol transport|regulation of phospholipase A2 activity|regulation of actin cytoskeleton organization|aorta morphogenesis|apoptotic cell clearance|beta-amyloid clearance|negative regulation of platelet-derived growth factor receptor-beta signaling pathway|,calcium ion binding|protein binding|protein complex binding|apolipoprotein binding|poly(A) RNA binding|,132,340,1.03E+11,34.20%
1182,P55066,0.000100433,-0.187666667,55.06716585,1.608666667,3.11E-06,11.99582197,-1.172,-0.912,-0.892,0.422,0.578,0.85,P55066,Ncan,P55066_Ncan,P55066,Ncan,1,25,17,17,P55066|A0A0R4IZX5,MOUSE,139137.7,13.9,801,801.1,161.15,161.15,NA,1268,Neurocan core protein,proteinaceous extracellular matrix|plasma membrane|,skeletal system development|cell adhesion|central nervous system development|regulation of synapse structural plasticity|,calcium ion binding|hyaluronic acid binding|carbohydrate binding|,17,25,1.95E+09,13.90%
3078,Q6P2L7,0.001911789,0.1075,39.05381693,1.608333333,0.000124342,7.237090581,-0.864,-0.59,-0.636,1.228,0.366,1.141,Q6P2L7,Casc4,Q6P2L7_Casc4,Q6P2L7,Casc4,1,4,2,2,Q6P2L7|Q6P2L7-2|E9PZJ6|Q6P2L7-3,MOUSE,49521.8,6.2,2598,2598.1,22.91,22.91,NA,435,Protein CASC4,Golgi apparatus|integral component of membrane|,,,2,4,4.51E+08,6.20%
2051,Q9QXT0,1.75E-05,-0.188333333,67.36544739,1.586666667,1.83E-07,17.58243176,-1.049,-1.009,-0.887,0.64,0.505,0.67,Q9QXT0,Cnpy2,Q9QXT0_Cnpy2,Q9QXT0,Cnpy2,1,13,5,5,Q9QXT0,MOUSE,21109.3,26.9,1575,1575.1,65.21,65.21,NA,182,Protein canopy homolog 2,endoplasmic reticulum|,negative regulation of gene expression|regulation of low-density lipoprotein particle clearance|positive regulation of low-density lipoprotein particle receptor biosynthetic process|,,5,13,6.50E+08,26.90%
2001,G3UYX7,0.000104533,-0.218333333,54.81559557,1.584,3.30E-06,11.90104586,-1.038,-1.219,-0.774,0.729,0.456,0.536,G3UYX7,Slit2,G3UYX7_Slit2,G3UYX7,Slit2,1,6,6,6,G3UYX7|A0A140T8T2|G3UY21|Q9R1B9|G3X909,MOUSE,177276,5.4,1528,1528.1,68.18,68.18,NA,1542,Slit homolog 2 protein,extracellular space|cytoplasm|plasma membrane|cell surface|extracellular exosome|,metanephros development|ureteric bud development|in utero embryonic development|negative regulation of protein phosphorylation|cell migration involved in sprouting angiogenesis|negative regulation of leukocyte chemotaxis|axonogenesis|axon guidance|motor neuron axon guidance|negative regulation of cell proliferation|negative regulation of lamellipodium assembly|negative regulation of endothelial cell migration|negative regulation of gene expression|negative regulation of smooth muscle cell migration|single organismal cell-cell adhesion|spinal cord development|olfactory bulb development|chemorepulsion involved in postnatal olfactory bulb interneuron migration|corticospinal neuron axon guidance through spinal cord|telencephalon cell migration|negative regulation of cell growth|negative regulation of cell migration|negative regulation of axon extension|negative regulation of actin filament polymerization|retinal ganglion cell axon guidance|response to nutrient levels|cellular response to hormone stimulus|dorsal/ventral axon guidance|negative regulation of GTPase activity|Roundabout signaling pathway|positive regulation of apoptotic process|negative regulation of vascular permeability|branching morphogenesis of an epithelial tube|neuron projection morphogenesis|axon extension involved in axon guidance|negative regulation of inflammatory response|negative chemotaxis|induction of negative chemotaxis|negative regulation of small GTPase mediated signal transduction|response to cortisol|mammary gland duct morphogenesis|mammary duct terminal end bud growth|apoptotic process involved in luteolysis|negative regulation of chemokine-mediated signaling pathway|cellular response to heparin|negative regulation of smooth muscle cell chemotaxis|negative regulation of mononuclear cell migration|negative regulation of neutrophil chemotaxis|negative regulation of retinal ganglion cell axon guidance|negative regulation of cellular response to growth factor stimulus|,GTPase inhibitor activity|receptor binding|calcium ion binding|protein binding|heparin binding|identical protein binding|protein homodimerization activity|laminin-1 binding|proteoglycan binding|heparan sulfate proteoglycan binding|chemorepellent activity|Roundabout binding|,6,6,2.80E+08,5.40%
587,P19324,8.82E-05,-0.123833333,55.75827666,1.583666667,2.66E-06,12.25973814,-0.96,-1.002,-0.785,0.666,0.444,0.894,P19324,Serpinh1,P19324_Serpinh1,P19324,Serpinh1,1,64,18,18,P19324,MOUSE,46646.9,46.7,342,342.1,308.17,308.17,NA,417,Serpin H1,cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum-Golgi intermediate compartment|membrane raft|extracellular exosome|extracellular space|,chondrocyte development involved in endochondral bone morphogenesis|negative regulation of endopeptidase activity|collagen fibril organization|collagen biosynthetic process|protein maturation|,serine-type endopeptidase inhibitor activity|protein binding|collagen binding|poly(A) RNA binding|unfolded protein binding|,18,64,2.60E+10,46.70%
1134,Q99KV1,0.000130876,-0.0775,53.34255355,1.578333333,4.63E-06,11.35958257,-0.995,-0.82,-0.785,0.756,0.435,0.944,Q99KV1,Dnajb11,Q99KV1_Dnajb11,Q99KV1,Dnajb11,1,21,11,11,Q99KV1,MOUSE,40839.6,35.4,758,758.1,168.9,168.9,NA,358,DnaJ homolog subfamily B member 11,nucleus|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|membrane|endoplasmic reticulum chaperone complex|,protein folding|mRNA modification|,protein binding|unfolded protein binding|,11,21,2.85E+10,35.40%
882,P81117,3.97E-05,-0.110333333,60.96231504,1.547333333,8.01E-07,14.42542764,-0.962,-0.888,-0.802,0.846,0.52,0.624,P81117,Nucb2,P81117_Nucb2,P81117,Nucb2,1,33,15,15,P81117|Q3UKN6,MOUSE,50417.7,43.5,549,549.1,221.45,221.45,NA,420,Nucleobindin-2,extracellular space|nucleus|nuclear outer membrane|cytoplasm|endoplasmic reticulum|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|Golgi medial cisterna|perikaryon|extracellular exosome|,cellular calcium ion homeostasis|response to glucose|negative regulation of cAMP biosynthetic process|negative regulation of appetite|response to starvation|response to human chorionic gonadotropin|negative regulation of fat cell differentiation|positive regulation of fatty acid oxidation|negative regulation of insulin receptor signaling pathway|negative regulation of glucagon secretion|insulin metabolic process|response to melanocyte-stimulating hormone|positive regulation of testosterone secretion|,DNA binding|tumor necrosis factor receptor binding|calcium ion binding|,15,33,7.71E+09,43.50%
3269,Q8C0L9,0.000682625,-0.084666667,44.49392537,1.545333333,3.55E-05,8.708665866,-0.446,-1.001,-1.125,0.79,0.549,0.725,Q8C0L9,Gpcpd1,Q8C0L9_Gpcpd1,Q8C0L9,Gpcpd1,1,5,2,2,Q8C0L9|Q8C0L9-2|B0R058|Q8C0L9-3,MOUSE,77547.9,3.5,2806,2806.1,18.76,18.76,NA,675,Glycerophosphocholine phosphodiesterase GPCPD1,cytoplasm|cytosol|,lipid metabolic process|skeletal muscle tissue development|,glycerophosphocholine phosphodiesterase activity|starch binding|,2,5,2.76E+08,3.50%
3004,Q9CPT4,0.000127577,-0.1655,53.48946554,1.541,4.48E-06,11.41256756,-1.035,-1.048,-0.725,0.701,0.377,0.737,Q9CPT4,Mydgf,Q9CPT4_Mydgf,Q9CPT4,Mydgf,1,2,2,2,Q9CPT4,MOUSE,18096.1,14.4,2516,2516.1,24.88,24.88,NA,166,Myeloid-derived growth factor,extracellular region|extracellular space|endoplasmic reticulum-Golgi intermediate compartment|extracellular exosome|,angiogenesis|positive regulation of protein phosphorylation|positive regulation of endothelial cell proliferation|apoptotic process|positive regulation of phosphatidylinositol 3-kinase signaling|negative regulation of apoptotic process|positive regulation of MAPK cascade|positive regulation of angiogenesis|positive regulation of transcription from RNA polymerase II promoter|positive regulation of protein kinase B signaling|,,2,2,55800000,14.40%
