Brain_Searched, 126:127, XBirA_2:No_BirA_6	Brain_Searched, 126:128, XBirA_2:No_BirA_5	Brain_Searched, 126:129, XBirA_2:XBirA_3	Brain_Searched, 126:130, XBirA_2:XBirA_1	Brain_Searched, 126:131, XBirA_2:No_BirA_4	Brain_Searched, 127:126, No_BirA_6:XBirA_2	Brain_Searched, 127:128, No_BirA_6:No_BirA_5	Brain_Searched, 127:129, No_BirA_6:XBirA_3	Brain_Searched, 127:130, No_BirA_6:XBirA_1	Brain_Searched, 127:131, No_BirA_6:No_BirA_4	Brain_Searched, 128:126, No_BirA_5:XBirA_2	Brain_Searched, 128:127, No_BirA_5:No_BirA_6	Brain_Searched, 128:129, No_BirA_5:XBirA_3	Brain_Searched, 128:130, No_BirA_5:XBirA_1	Brain_Searched, 128:131, No_BirA_5:No_BirA_4	Brain_Searched, 129:126, XBirA_3:XBirA_2	Brain_Searched, 129:127, XBirA_3:No_BirA_6	Brain_Searched, 129:128, XBirA_3:No_BirA_5	Brain_Searched, 129:130, XBirA_3:XBirA_1	Brain_Searched, 129:131, XBirA_3:No_BirA_4	Brain_Searched, 130:126, XBirA_1:XBirA_2	Brain_Searched, 130:127, XBirA_1:No_BirA_6	Brain_Searched, 130:128, XBirA_1:No_BirA_5	Brain_Searched, 130:129, XBirA_1:XBirA_3	Brain_Searched, 130:131, XBirA_1:No_BirA_4	Brain_Searched, 131:126, No_BirA_4:XBirA_2	Brain_Searched, 131:127, No_BirA_4:No_BirA_6	Brain_Searched, 131:128, No_BirA_4:No_BirA_5	Brain_Searched, 131:129, No_BirA_4:XBirA_3	Brain_Searched, 131:130, No_BirA_4:XBirA_1	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	Brain_Searched unique_peptides	Brain_Searched numSpectra	Brain_Searched totalIntensity	Brain_Searched pct_cov
1.09	1.006	0.193	0.313	0.279	-1.09	-0.067	-0.934	-0.773	-0.721	-1.006	0.067	-0.813	-0.621	-0.768	-0.193	0.934	0.813	0.175	0.087	-0.313	0.773	0.621	-0.175	-0.016	-0.279	0.721	0.768	-0.087	0.016	Q811L6	Q811L6	Mast4	1	25	28	20	Q811L6|E9QPR4|E9PWX8|E9Q1M8|Q811L6-2|Q8BGU6	MOUSE	286509.7	13.5	289	289.2	281.97	180.92		2618	Microtubule-associated serine/threonine-protein kinase 4	cytoplasm|	protein phosphorylation|	magnesium ion binding|protein serine/threonine kinase activity|ATP binding|	20	25	7.57e+09	10.5%
1.431	0.763	-0.104	0.082	-0.142	-1.431	-0.539	-1.486	-1.304	-1.339	-0.763	0.539	-0.879	-0.779	-0.914	0.104	1.486	0.879	0.097	-0.021	-0.082	1.304	0.779	-0.097	-0.103	0.142	1.339	0.914	0.021	0.103	Q3U214	Q3U214	Mast3	1	27	20	16	Q3U214|A0A1D5RM97	MOUSE	145255.2	20.6	289	289.3	265.33	212.44		1321	Microtubule-associated serine/threonine-protein kinase 3		protein phosphorylation|	magnesium ion binding|protein serine/threonine kinase activity|ATP binding|	16	27	1.99e+09	16.5%
1.024	0.852	0.322	0.295	0.027	-1.024	-0.173	-0.703	-0.729	-0.997	-0.852	0.173	-0.53	-0.557	-0.825	-0.322	0.703	0.53	-0.027	-0.295	-0.295	0.729	0.557	0.027	-0.268	-0.027	0.997	0.825	0.295	0.268	E9Q1Q1	E9Q1Q1	Mast2	1	2	10	2	E9Q1Q1|E9QLW6|B1AST7|Q60592|B1AST8	MOUSE	199419.5	6.1	289	289.4	114.76	20.58		1800	Microtubule-associated serine/threonine-protein kinase 2	cytoplasm|microtubule cytoskeleton|	protein phosphorylation|regulation of interleukin-12 biosynthetic process|	magnesium ion binding|protein serine/threonine kinase activity|ATP binding|microtubule binding|phosphatase binding|	2	2	83200000	1.9%
1.32	0.882	-0.031	0.106	0.1	-1.32	-0.453	-1.406	-1.219	-1.184	-0.882	0.453	-0.931	-0.784	-0.773	0.031	1.406	0.931	0.129	0.132	-0.106	1.219	0.784	-0.129	-0.004	-0.1	1.184	0.773	-0.132	0.004	Q8VHJ5	Q8VHJ5	Mark1	1	71	29	17	Q8VHJ5	MOUSE	88903.8	36.4	290	290.1	351.26	192.66		795	Serine/threonine-protein kinase MARK1	cytoplasm|cytoskeleton|plasma membrane|	microtubule cytoskeleton organization|neuron migration|protein phosphorylation|Wnt signaling pathway|intracellular signal transduction|	magnesium ion binding|phosphatidylserine binding|protein serine/threonine kinase activity|ATP binding|phosphatidylinositol-4,5-bisphosphate binding|tau-protein kinase activity|phosphatidic acid binding|	29	71	1.63e+10	36.4%
1.268	1.058	0.092	0.225	0.281	-1.268	-0.279	-1.065	-1.091	-0.993	-1.058	0.279	-0.903	-0.76	-0.782	-0.092	1.065	0.903	0.081	0.112	-0.225	1.091	0.76	-0.081	0.053	-0.281	0.993	0.782	-0.112	-0.053	A0A1Y7VNZ6	A0A1Y7VNZ6	Mark3	1	18	25	11	A0A1Y7VNZ6|Q03141|Q03141-3|Q03141-2|A0A1Y7VJB1	MOUSE	89511.6	32.6	290	290.2	314.17	138.75		797	Non-specific serine/threonine protein kinase				11	18	6.38e+09	17.8%
1.274	0.806	-0.119	-0.026	0.079	-1.274	-0.444	-1.32	-1.367	-1.193	-0.806	0.444	-0.91	-0.789	-0.731	0.119	1.32	0.91	0.051	0.156	0.026	1.367	0.789	-0.051	0.173	-0.079	1.193	0.731	-0.156	-0.173	E9QMP6	E9QMP6	Mark2	1	33	24	14	E9QMP6|Q05512|Q3T9A3|Q05512-2|A0A0R4J0B1|Q05512-4|A0A0R4J227|Q05512-3|E9PYX3|E9Q9N6	MOUSE	86753.8	29.5	290	290.3	320.42	189.44		776	Non-specific serine/threonine protein kinase	nucleus|actin filament|plasma membrane|membrane|lateral plasma membrane|basal cortex|microtubule bundle|	protein phosphorylation|positive regulation of neuron projection development|establishment of cell polarity|intracellular signal transduction|establishment or maintenance of epithelial cell apical/basal polarity|regulation of axonogenesis|	magnesium ion binding|protein serine/threonine kinase activity|ATP binding|poly(A) RNA binding|	14	33	5.02e+09	18.4%
1.27	0.857	0.1	0.077	0.14	-1.27	-0.479	-1.142	-1.2	-1.155	-0.857	0.479	-0.643	-0.809	-0.682	-0.1	1.142	0.643	0.022	-0.014	-0.077	1.2	0.809	-0.022	0.062	-0.14	1.155	0.682	0.014	-0.062	Q8CIP4-2	Q8CIP4-2	Mark4	1	25	15	13	Q8CIP4-2|Q8CIP4|A0A140LIY2	MOUSE	76041.5	23.8	290	290.4	181.01	145.35		752	Isoform 2 of MAP/microtubule affinity-regulating kinase 4	centrosome|microtubule organizing center|microtubule cytoskeleton|ciliary basal body|neuron projection|	microtubule cytoskeleton organization|microtubule bundle formation|protein phosphorylation|nervous system development|	protein serine/threonine kinase activity|ATP binding|microtubule binding|gamma-tubulin binding|tau-protein kinase activity|	13	25	1.23e+10	19.7%
1.302	1.05	-0.535	0.192	0.26	-1.302	-0.178	-1.893	-1.103	-0.973	-1.05	0.178	-1.665	-0.846	-0.793	0.535	1.893	1.665	0.71	0.907	-0.192	1.103	0.846	-0.71	0.05	-0.26	0.973	0.793	-0.907	-0.05	Q9Z1B3	Q9Z1B3	Plcb1	1	45	27	27	Q9Z1B3|Q9Z1B3-3|Q9Z1B3-2	MOUSE	139249.8	28.3	291	291.1	346.49	346.49		1216	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1	nuclear chromatin|nucleus|cytoplasm|plasma membrane|nuclear speck|nuclear membrane|myelin sheath|extracellular exosome|	G2/M transition of mitotic cell cycle|oocyte maturation|mRNA processing|cell adhesion|signal transduction|G-protein coupled acetylcholine receptor signaling pathway|glutamate receptor signaling pathway|brain development|memory|regulation of G-protein coupled receptor protein signaling pathway|insulin receptor signaling pathway|lipid catabolic process|cerebral cortex development|erythrocyte differentiation|macrophage differentiation|positive regulation of sodium:proton antiporter activity|positive regulation of interleukin-12 production|intracellular signal transduction|interleukin-12-mediated signaling pathway|interleukin-15-mediated signaling pathway|positive regulation of embryonic development|positive regulation of GTPase activity|fat cell differentiation|positive regulation of myoblast differentiation|negative regulation of transcription, DNA-templated|positive regulation of transcription, DNA-templated|positive regulation of JNK cascade|phosphatidylinositol metabolic process|insulin-like growth factor receptor signaling pathway|positive regulation of developmental growth|activation of meiosis involved in egg activation|interleukin-1-mediated signaling pathway|regulation of fertilization|positive regulation of G1/S transition of mitotic cell cycle|positive regulation of acrosome reaction|negative regulation of monocyte extravasation|positive regulation of CD24 biosynthetic process|	phosphatidylinositol phospholipase C activity|signal transducer activity|GTPase activator activity|calcium ion binding|protein binding|calmodulin binding|lamin binding|phosphatidylinositol-4,5-bisphosphate binding|enzyme binding|protein homodimerization activity|	27	45	6.83e+09	28.3%
1.192	0.847	0.09	0.1	0.331	-1.192	-0.39	-1.129	-1.145	-0.893	-0.847	0.39	-0.809	-0.762	-0.514	-0.09	1.129	0.809	0.035	0.286	-0.1	1.145	0.762	-0.035	0.245	-0.331	0.893	0.514	-0.286	-0.245	P14685	P14685	Psmd3	1	65	25	25	P14685	MOUSE	60831.3	50	292	292.1	345.88	345.88		530	26S proteasome non-ATPase regulatory subunit 3	proteasome complex|nucleus|nucleoplasm|cytoplasm|proteasome regulatory particle|proteasome regulatory particle, lid subcomplex|membrane|proteasome accessory complex|extracellular exosome|	ubiquitin-dependent protein catabolic process|regulation of protein catabolic process|regulation of catalytic activity|	protein binding|enzyme regulator activity|	25	65	1.03e+10	50.0%
1.159	0.829	0.214	0.06	0.251	-1.159	-0.387	-0.983	-1.103	-0.966	-0.829	0.387	-0.599	-0.771	-0.538	-0.214	0.983	0.599	-0.142	0.024	-0.06	1.103	0.771	0.142	0.211	-0.251	0.966	0.538	-0.024	-0.211	D3Z7P3	D3Z7P3	Gls	1	71	28	28	D3Z7P3|D3Z7P4|D3Z7P3-2	MOUSE	74818.2	56.3	293	293.1	345.74	345.74		674	Glutaminase kidney isoform, mitochondrial	mitochondrion|cytosol|	suckling behavior|regulation of respiratory gaseous exchange by neurological system process|glutamate biosynthetic process|glutamine catabolic process|synaptic transmission|protein homotetramerization|	glutaminase activity|protein binding|	28	71	7.78e+10	56.3%
1.389	0.457	0	0.182	-0.109	-1.389	-0.906	-1.375	-1.133	-1.416	-0.457	0.906	-0.466	-0.312	-0.532	0	1.375	0.466	0.188	-0.077	-0.182	1.133	0.312	-0.188	-0.277	0.109	1.416	0.532	0.077	0.277	P60853	P60853	Lzts1	1	73	24	24	P60853	MOUSE	67688.2	44	294	294.1	345.24	345.24		599	Leucine zipper putative tumor suppressor 1	postsynaptic density|apical plasma membrane|cell junction|dendritic spine|dendritic shaft|cell body|postsynaptic membrane|	cell cycle|negative regulation of macroautophagy|regulation of dendrite morphogenesis|		24	73	1.21e+10	44.0%
1.223	0.833	-0.084	0.127	0.055	-1.223	-0.365	-1.266	-1.07	-1.13	-0.833	0.365	-0.93	-0.732	-0.819	0.084	1.266	0.93	0.168	0.099	-0.127	1.07	0.732	-0.168	-0.096	-0.055	1.13	0.819	-0.099	0.096	Q3UGY8	Q3UGY8	Arfgef3	1	44	30	30	Q3UGY8|A0A1N9M5I8	MOUSE	243395.7	18.3	295	295.1	344.92	344.92		2170	Brefeldin A-inhibited guanine nucleotide-exchange protein 3	trans-Golgi network|integral component of membrane|	negative regulation of phosphatase activity|vesicle-mediated transport|regulation of ARF protein signal transduction|positive regulation of GTPase activity|	ARF guanyl-nucleotide exchange factor activity|	30	44	2.1e+09	18.3%
1.675	0.859	0.28	0.009	-0.225	-1.675	-0.77	-1.354	-1.661	-1.821	-0.859	0.77	-0.53	-0.82	-1.07	-0.28	1.354	0.53	-0.318	-0.446	-0.009	1.661	0.82	0.318	-0.197	0.225	1.821	1.07	0.446	0.197	Q80ZF8	Q80ZF8	Adgrb3	1	66	29	29	Q80ZF8|Q8BJ13	MOUSE	174791.1	22.4	296	296.1	344.18	344.18		1522	Adhesion G protein-coupled receptor B3	plasma membrane|integral component of membrane|	G-protein coupled receptor signaling pathway|myoblast fusion|negative regulation of angiogenesis|regulation of dendrite morphogenesis|positive regulation of synapse assembly|	G-protein coupled receptor activity|protein binding|	29	66	2.04e+10	22.4%
2.231	2.007	0.302	0.253	1.222	-2.231	-0.15	-1.923	-1.993	-0.881	-2.007	0.15	-1.665	-1.729	-0.732	-0.302	1.923	1.665	-0.054	1.009	-0.253	1.993	1.729	0.054	1.068	-1.222	0.881	0.732	-1.009	-1.068	Q8BYI9	Q8BYI9	Tnr	1	69	25	25	Q8BYI9|Q8BYI9-2	MOUSE	151926	23.6	297	297.1	343.55	343.55		1358	Tenascin-R	proteinaceous extracellular matrix|nucleus|nucleoplasm|cytoplasm|cell surface|membrane raft|perineuronal net|	neuron cell-cell adhesion|associative learning|negative regulation of neuron projection development|telencephalon cell migration|negative regulation of cell-cell adhesion|extracellular matrix organization|negative regulation of axon extension|locomotory exploration behavior|negative regulation of axon extension involved in regeneration|regulation of synaptic transmission|negative regulation of synaptic transmission|synapse organization|neuromuscular process controlling balance|positive regulation of synaptic transmission, glutamatergic|positive regulation of transmission of nerve impulse|long-term synaptic potentiation|	sphingolipid binding|	25	69	1.22e+10	23.6%
1.039	0.78	-0.049	0.1	0.275	-1.039	-0.189	-1.153	-0.942	-0.723	-0.78	0.189	-0.889	-0.67	-0.528	0.049	1.153	0.889	0.196	0.326	-0.1	0.942	0.67	-0.196	0.188	-0.275	0.723	0.528	-0.326	-0.188	Q6PB66	Q6PB66	Lrpprc	1	43	29	29	Q6PB66	MOUSE	157867.1	25.2	298	298.1	342.22	342.22		1392	Leucine-rich PPR motif-containing protein, mitochondrial	condensed nuclear chromosome|nucleus|nuclear inner membrane|nuclear outer membrane|nucleoplasm|cytoplasm|mitochondrion|cytoskeleton|microtubule|membrane|ribonucleoprotein complex|mitochondrial nucleoid|perinuclear region of cytoplasm|mitochondrion|	negative regulation of mitochondrial RNA catabolic process|transcription, DNA-templated|regulation of transcription, DNA-templated|mRNA transport|regulation of mitochondrial translation|	single-stranded DNA binding|RNA binding|protein binding|ubiquitin protein ligase binding|poly(A) RNA binding|beta-tubulin binding|actin filament binding|	29	43	2.05e+09	25.2%
1.129	0.854	0.069	0.222	-0.051	-1.129	-0.332	-1.056	-0.952	-1.214	-0.854	0.332	-0.75	-0.63	-0.827	-0.069	1.056	0.75	0.155	-0.104	-0.222	0.952	0.63	-0.155	-0.245	0.051	1.214	0.827	0.104	0.245	Q8CJ19	Q8CJ19	Mical3	1	50	32	32	Q8CJ19|Q8CJ19-4|Q8CJ19-3|Q8CJ19-2|A0A0N4SVV2|Q8BML1-2|Q8BML1|Q8BML1-3	MOUSE	224915.1	17.9	299	299.1	340.02	340.02		1993	[F-actin]-monooxygenase MICAL3	nucleus|nucleoplasm|cytoplasm|cytoskeleton|plasma membrane|	exocytosis|cytoskeleton organization|actin filament depolymerization|oxidation-reduction process|	actin binding|zinc ion binding|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen|Rab GTPase binding|FAD binding|	32	50	3.25e+09	17.9%
1.189	0.815	0.092	0.197	0.064	-1.189	-0.402	-1.147	-1.013	-1.111	-0.815	0.402	-0.781	-0.639	-0.85	-0.092	1.147	0.781	0.108	-0.03	-0.197	1.013	0.639	-0.108	-0.137	-0.064	1.111	0.85	0.03	0.137	Q80XK6	Q80XK6	Atg2b	1	49	30	30	Q80XK6|Q80XK6-5|Q80XK6-4	MOUSE	233334.7	17.3	300	300.1	338	338		2075	Autophagy-related protein 2 homolog B	pre-autophagosomal structure|lipid particle|extrinsic component of membrane|pre-autophagosomal structure membrane|	autophagosome assembly|mitochondrion degradation|cellular response to nitrogen starvation|nucleophagy|		30	49	1.08e+10	17.3%
1.181	0.623	-0.025	0.054	-0.115	-1.181	-0.547	-1.183	-1.076	-1.231	-0.623	0.547	-0.647	-0.53	-0.74	0.025	1.183	0.647	0.063	-0.079	-0.054	1.076	0.53	-0.063	-0.182	0.115	1.231	0.74	0.079	0.182	Q3UHB8	Q3UHB8	Ccdc177	1	95	25	25	Q3UHB8	MOUSE	80369	40.2	301	301.1	335.48	335.48		706	Coiled-coil domain-containing protein 177				25	95	1.03e+11	40.2%
3.195	2.41	0.25	0.135	1.813	-3.195	-0.591	-2.981	-3.098	-1.343	-2.41	0.591	-2.301	-2.399	-0.784	-0.25	2.981	2.301	-0.125	1.678	-0.135	3.098	2.399	0.125	1.718	-1.813	1.343	0.784	-1.678	-1.718	Q6GQT9	Q6GQT9	Nomo1	1	53	25	25	Q6GQT9	MOUSE	134444.5	30.8	302	302.1	334.15	334.15		1214	Nodal modulator 1	endoplasmic reticulum membrane|membrane|integral component of membrane|		carbohydrate binding|	25	53	9.45e+09	30.8%
1.272	0.853	0.194	0.047	-0.101	-1.272	-0.348	-1.071	-1.148	-1.342	-0.853	0.348	-0.685	-0.794	-0.938	-0.194	1.071	0.685	-0.129	-0.28	-0.047	1.148	0.794	0.129	-0.151	0.101	1.342	0.938	0.28	0.151	Q99LE6	Q99LE6	Abcf2	1	50	25	25	Q99LE6	MOUSE	72351	39.6	303	303.1	333.93	333.93		628	ATP-binding cassette sub-family F member 2	mitochondrion|membrane|	metabolic process|	ATP binding|ATPase activity|	25	50	7.07e+09	39.6%
4.188	3.459	0.53	-0.041	2.631	-4.188	-0.97	-3.722	-4.256	-1.709	-3.459	0.97	-3.017	-3.464	-0.715	-0.53	3.722	3.017	-0.58	2.19	0.041	4.256	3.464	0.58	2.748	-2.631	1.709	0.715	-2.19	-2.748	P14211	P14211	Calr	1	74	23	23	P14211	MOUSE	48164.8	54.5	304	304.1	332.61	332.61		416	Calreticulin	acrosomal vesicle|extracellular region|extracellular space|nucleus|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|Golgi apparatus|cytosol|polysome|focal adhesion|external side of plasma membrane|membrane|extracellular matrix|sarcoplasmic reticulum lumen|MHC class I peptide loading complex|phagocytic vesicle|perinuclear region of cytoplasm|extracellular exosome|	negative regulation of transcription from RNA polymerase II promoter|peptide antigen assembly with MHC class I protein complex|protein export from nucleus|cell cycle arrest|spermatogenesis|positive regulation of cell proliferation|positive regulation of gene expression|negative regulation of translation|cortical actin cytoskeleton organization|response to estradiol|negative regulation of intracellular steroid hormone receptor signaling pathway|response to testosterone|protein localization to nucleus|regulation of meiotic nuclear division|response to drug|negative regulation of neuron differentiation|positive regulation of DNA replication|positive regulation of cell cycle|negative regulation of transcription, DNA-templated|negative regulation of retinoic acid receptor signaling pathway|positive regulation of phagocytosis|protein stabilization|cardiac muscle cell differentiation|chaperone-mediated protein folding|cellular response to lithium ion|cellular response to organic substance|cellular senescence|positive regulation of substrate adhesion-dependent cell spreading|positive regulation of dendritic cell chemotaxis|	glycoprotein binding|mRNA binding|integrin binding|iron ion binding|calcium ion binding|protein binding|carbohydrate binding|ubiquitin protein ligase binding|peptide binding|hormone binding|poly(A) RNA binding|androgen receptor binding|unfolded protein binding|	23	74	3.88e+11	54.5%
1.575	0.876	-0.077	-0.164	-0.144	-1.575	-0.71	-1.586	-1.722	-1.674	-0.876	0.71	-0.973	-1.041	-1.009	0.077	1.586	0.973	-0.078	-0.068	0.164	1.722	1.041	0.078	-0.006	0.144	1.674	1.009	0.068	0.006	Q80U40	Q80U40	Rimbp2	1	59	24	24	Q80U40|A0A0G2JFB0|Q80U40-2|D3YXR8|A0A0G2JGW5	MOUSE	119081.8	34.7	305	305.1	332.4	332.4		1072	RIMS-binding protein 2	plasma membrane|cell junction|synapse|	negative regulation of phosphatase activity|		24	59	2.31e+10	34.7%
1.45	1.281	-0.212	0.168	0.114	-1.45	-0.127	-1.699	-1.249	-1.293	-1.281	0.127	-1.564	-1.112	-1.128	0.212	1.699	1.564	0.404	0.376	-0.168	1.249	1.112	-0.404	-0.051	-0.114	1.293	1.128	-0.376	0.051	P46096	P46096	Syt1	1	67	23	16	P46096|Q9R0N5	MOUSE	47759.5	54.6	306	306.1	331.95	240.93		421	Synaptotagmin-1	cytoplasm|plasma membrane|synaptic vesicle|integral component of membrane|cell junction|secretory granule|synaptic vesicle membrane|dense core granule|chromaffin granule membrane|presynaptic membrane|neuron projection|	neurotransmitter secretion|synaptic vesicle exocytosis|regulation of calcium ion-dependent exocytosis|synaptic vesicle endocytosis|positive regulation of synaptic transmission|regulation of synaptic transmission, glutamatergic|fast, calcium ion-dependent exocytosis of neurotransmitter|regulation of regulated secretory pathway|positive regulation of dendrite extension|	SNARE binding|calcium ion binding|protein binding|calcium-dependent phospholipid binding|phosphatidylinositol-4,5-bisphosphate binding|syntaxin-1 binding|syntaxin binding|clathrin binding|calcium-dependent protein binding|low-density lipoprotein particle receptor binding|	24	67	2.66e+10	54.6%
1.039	1.419	0.257	0.328	0.656	-1.039	0.452	-0.772	-0.668	-0.321	-1.419	-0.452	-1.239	-1.17	-0.729	-0.257	0.772	1.239	0.099	0.479	-0.328	0.668	1.17	-0.099	0.33	-0.656	0.321	0.729	-0.479	-0.33	A0A0R4J2C2	A0A0R4J2C2	Syt2	1	23	19	11	A0A0R4J2C2|P46097	MOUSE	47761.3	47.1	306	306.2	235.03	139.09		422	Synaptotagmin II				11	23	5.27e+09	34.3%
1.063	0.85	-0.006	0.126	0.187	-1.063	-0.148	-1.07	-0.885	-0.805	-0.85	0.148	-0.872	-0.732	-0.641	0.006	1.07	0.872	0.139	0.21	-0.126	0.885	0.732	-0.139	0.063	-0.187	0.805	0.641	-0.21	-0.063	A2A5R2	A2A5R2	Arfgef2	1	44	28	19	A2A5R2	MOUSE	204689.4	18.2	307	307.1	331.83	239.93		1792	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Golgi membrane|trans-Golgi network|microtubule organizing center|cytosol|axonemal microtubule|membrane|cytoplasmic membrane-bounded vesicle|cell junction|cytoplasmic vesicle|asymmetric synapse|symmetric synapse|dendritic spine|perinuclear region of cytoplasm|recycling endosome|	receptor recycling|exocytosis|Golgi to plasma membrane transport|endosome organization|endomembrane system organization|protein transport|vesicle-mediated transport|regulation of ARF protein signal transduction|positive regulation of tumor necrosis factor production|intracellular signal transduction|positive regulation of GTPase activity|	guanyl-nucleotide exchange factor activity|ARF guanyl-nucleotide exchange factor activity|myosin binding|protein kinase A regulatory subunit binding|GABA receptor binding|	28	44	2.91e+09	18.2%
0.974	0.789	-0.024	0.099	0.255	-0.974	-0.11	-0.98	-0.798	-0.707	-0.789	0.11	-0.773	-0.648	-0.602	0.024	0.98	0.773	0.145	0.249	-0.099	0.798	0.648	-0.145	0.086	-0.255	0.707	0.602	-0.249	-0.086	G3X9K3	G3X9K3	Arfgef1	1	22	23	14	G3X9K3|D3YYK9	MOUSE	210664.2	13.8	307	307.2	234.53	142.63		1846	Brefeldin A-inhibited guanine nucleotide-exchange protein 1	Golgi membrane|nucleoplasm|nucleolus|cytoplasm|Golgi apparatus|trans-Golgi network|cytosol|nuclear matrix|small nuclear ribonucleoprotein complex|perinuclear region of cytoplasm|	Golgi organization|endomembrane system organization|protein transport|vesicle-mediated transport|negative regulation of actin filament polymerization|neuron projection development|regulation of ARF protein signal transduction|negative regulation of GTPase activity|positive regulation of GTPase activity|positive regulation of protein kinase B signaling|positive regulation of protein glycosylation in Golgi|positive regulation of wound healing|regulation of establishment of cell polarity|	guanyl-nucleotide exchange factor activity|ARF guanyl-nucleotide exchange factor activity|myosin binding|protein kinase A regulatory subunit binding|	14	22	1.02e+09	10.0%
1.325	0.813	-0.014	0.028	0.149	-1.325	-0.545	-1.369	-1.312	-1.222	-0.813	0.545	-0.854	-0.766	-0.696	0.014	1.369	0.854	0.064	0.176	-0.028	1.312	0.766	-0.064	0.061	-0.149	1.222	0.696	-0.176	-0.061	Q80U63	Q80U63	Mfn2	1	68	27	27	Q80U63|Q80U63-2	MOUSE	86928	35.7	308	308.1	331.75	331.75		757	Mitofusin-2	mitochondrion|cytosol|microtubule cytoskeleton|integral component of membrane|intrinsic component of mitochondrial outer membrane|	blastocyst formation|protein targeting to mitochondrion|autophagy|apoptotic process|response to unfolded protein|mitochondrial membrane organization|mitochondrial fusion|protein localization to pre-autophagosomal structure|negative regulation of Ras protein signal transduction|camera-type eye morphogenesis|negative regulation of smooth muscle cell proliferation|mitochondrion localization|cell cycle arrest|	GTPase activity|protein binding|GTP binding|ubiquitin protein ligase binding|	27	68	1.19e+10	35.7%
1.319	0.904	-0.012	0.072	0.245	-1.319	-0.423	-1.341	-1.233	-1.014	-0.904	0.423	-0.912	-0.809	-0.633	0.012	1.341	0.912	0.106	0.301	-0.072	1.233	0.809	-0.106	0.217	-0.245	1.014	0.633	-0.301	-0.217	Q9QXY6	Q9QXY6	Ehd3	1	44	26	17	Q9QXY6	MOUSE	60877	61.6	309	309.1	331.25	221.97		535	EH domain-containing protein 3	cytoplasm|plasma membrane|focal adhesion|endocytic vesicle|myelin sheath|perinuclear region of cytoplasm|recycling endosome membrane|	endocytic recycling|protein homooligomerization|protein targeting to plasma membrane|regulation of cardiac muscle cell membrane potential|	calcium ion binding|protein binding|ATP binding|GTP binding|	26	44	7.99e+09	61.6%
1.079	0.96	0.108	0.175	0.481	-1.079	-0.047	-0.948	-0.874	-0.518	-0.96	0.047	-0.846	-0.809	-0.456	-0.108	0.948	0.846	0.071	0.409	-0.175	0.874	0.809	-0.071	0.346	-0.481	0.518	0.456	-0.409	-0.346	Q9WVK4	Q9WVK4	Ehd1	1	47	24	15	Q9WVK4	MOUSE	60658.7	56.7	309	309.2	312.51	203.05		534	EH domain-containing protein 1	endosome|early endosome|lipid particle|plasma membrane|endosome membrane|membrane|endocytic vesicle|platelet dense tubular network membrane|early endosome membrane|myelin sheath|perinuclear region of cytoplasm|recycling endosome membrane|extracellular exosome|	intracellular protein transport|endocytosis|positive regulation of cholesterol storage|endosomal transport|neuron projection development|endocytic recycling|low-density lipoprotein particle clearance|cholesterol homeostasis|protein homooligomerization|positive regulation of myoblast fusion|cellular response to nerve growth factor stimulus|positive regulation of endocytic recycling|	protein binding|ATP binding|GTP binding|Rab GTPase binding|	15	47	4.62e+09	38.3%
1.049	0.85	-0.151	0.237	0.436	-1.049	-0.149	-1.176	-0.823	-0.519	-0.85	0.149	-1.043	-0.723	-0.505	0.151	1.176	1.043	0.284	0.624	-0.237	0.823	0.723	-0.284	0.205	-0.436	0.519	0.505	-0.624	-0.205	Q9EQP2	Q9EQP2	Ehd4	1	15	12	9	Q9EQP2	MOUSE	61707.7	28.6	309	309.3	135.45	100.73		541	EH domain-containing protein 4	endoplasmic reticulum|plasma membrane|membrane|early endosome membrane|perinuclear region of cytoplasm|recycling endosome membrane|extracellular exosome|	pinocytosis|regulation of endocytosis|endocytic recycling|positive regulation of peptidyl-tyrosine phosphorylation|protein homooligomerization|cellular response to growth factor stimulus|	calcium ion binding|protein binding|ATP binding|GTP binding|	9	15	8.12e+08	22.9%
