R126127,R126128,R126131,R129127,R129128,R129131,R130127,R130128,R130131,id,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Brain_Searched.unique_peptides,Brain_Searched.numSpectra,Brain_Searched.totalIntensity,Brain_Searched.pct_cov,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Brain_Searched..127.126.127.128.129.130.131..No_BirA_6.multimedian,Brain_Searched..128.126.127.128.129.130.131..No_BirA_5.multimedian,Brain_Searched..131.126.127.128.129.130.131..No_BirA_4.multimedian,Brain_Searched..126.126.127.128.129.130.131..XBirA_2.multimedian,Brain_Searched..129.126.127.128.129.130.131..XBirA_3.multimedian,Brain_Searched..130.126.127.128.129.130.131..XBirA_1.multimedian,PCorNC,ES_score,signalP,TM
0.666,0.329,-0.458,0.444,-0.077,-0.669,0.659,0.378,-0.231,Q8BK-4,Q8BK,Baiap2,1,4,32,2,Q8BK-4,MOUSE,53501.5,77.5,193,193.2,458.78,29.06,NA,535,Isoform 4 of Brain-specific angiogenesis inhibitor 1-associated protein 2,ruffle|nucleoplasm|cytoplasm|cytosol|plasma membrane|actin cytoskeleton|secretory granule|filopodium|neuron projection|neuronal cell body|dendritic spine|extracellular exosome|neuronal postsynaptic density|actin cytoskeleton|,plasma membrane organization|Rho protein signal transduction|insulin receptor signaling pathway|regulation of cell shape|response to bacterium|dendrite development|positive regulation of actin filament polymerization|regulation of actin cytoskeleton organization|regulation of synaptic plasticity|actin filament bundle assembly|actin crosslink formation|positive regulation of dendritic spine morphogenesis|positive regulation of actin cytoskeleton reorganization|,protein binding|cytoskeletal adaptor activity|PDZ domain binding|identical protein binding|proline-rich region binding|,2,4,8.18E+08,0.091,0.857510777,-0.034166667,1.840856478,0.107666667,0.654507085,0.465959494,-0.419,-0.286,0.441,0.091,-0.242,0.21,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.17,1.001,0.825,0.805,0.623,0.43,1.043,0.913,0.752,P23819-4,P23819,Gria2,1,80,37,28,P23819-4|P23819|E9QKC0|P23819-3|G5E8H1|A0A0A6YW90|P23819-2,MOUSE,103533.4,44.2,199,199.1,463.85,341.27,NA,883,Isoform 4 of Glutamate receptor 2,endoplasmic reticulum|endoplasmic reticulum membrane|plasma membrane|integral component of plasma membrane|synaptic vesicle|membrane|cell junction|dendrite|alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex|neuron projection|synapse|postsynaptic membrane|synaptic membrane|,"synaptic transmission|ion transmembrane transport|ionotropic glutamate receptor signaling pathway|synaptic transmission, glutamatergic|",ionotropic glutamate receptor activity|alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity|extracellular-glutamate-gated ion channel activity|protein binding|kainate selective glutamate receptor activity|,37,80,1.32E+10,0.442,0.002507972,-0.044666667,37.69149974,0.854,0.000170157,6.794398746,-0.611,-0.518,-0.286,0.513,0.183,0.451,undefined,8,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.558,1.177,1.114,0.933,0.551,0.493,1.472,1.076,0.95,P23818,P23818,Gria1,1,25,20,14,P23818|F6YNQ1,MOUSE,102366,25,199,199.2,231.48,141.56,NA,907,Glutamate receptor 1,endoplasmic reticulum|endoplasmic reticulum membrane|plasma membrane|synaptic vesicle|ionotropic glutamate receptor complex|cell surface|postsynaptic density|membrane|cell junction|dendrite|alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex|dendrite membrane|dendritic spine membrane|neuron projection|neuronal cell body|dendritic spine|axonal spine|neuron spine|synapse|postsynaptic membrane|recycling endosome|,"synaptic transmission|long-term memory|receptor internalization|ion transmembrane transport|ionotropic glutamate receptor signaling pathway|synaptic transmission, glutamatergic|long term synaptic depression|",alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity|extracellular-glutamate-gated ion channel activity|protein binding|,14,25,3.12E+09,0.187,0.002813209,0.036833333,37.13629171,1.035666667,0.000193362,6.665176411,-0.605,-0.49,-0.348,0.776,0.213,0.675,undefined,8,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.394,1.317,0.971,0.509,0.433,0.334,1.189,0.951,0.746,Q9Z2W8,Q9Z2W8,Gria4,1,23,16,11,Q9Z2W8|E9PX01,MOUSE,101643.8,19.4,199,199.3,161.4,106.62,NA,902,Glutamate receptor 4,plasma membrane|cell junction|dendrite|alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex|kainate selective glutamate receptor complex|synapse|postsynaptic membrane|extracellular vesicle|,"ion transmembrane transport|ionotropic glutamate receptor signaling pathway|synaptic transmission, glutamatergic|",ionotropic glutamate receptor activity|alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity|extracellular-glutamate-gated ion channel activity|protein binding|,11,23,1.51E+09,0.129,0.013818678,0.095166667,29.3000664,0.775,0.00117488,5.019117352,-0.303,-0.339,-0.235,0.771,0.139,0.538,undefined,7,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.417,0.983,0.609,0.531,0.096,-0.135,1.341,0.892,0.437,Q9Z2W9,Q9Z2W9,Gria3,1,9,9,6,Q9Z2W9,MOUSE,101095.7,12.1,199,199.4,107.88,71.14,NA,888,Glutamate receptor 3,plasma membrane|membrane|cell junction|dendrite|alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex|postsynaptic membrane|,"ion transmembrane transport|ionotropic glutamate receptor signaling pathway|synaptic transmission, glutamatergic|",alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity|extracellular-glutamate-gated ion channel activity|protein binding|,6,9,2.44E+09,0.079,0.147898125,0.0705,15.77895223,0.605666667,0.026430463,2.757094824,-0.456,-0.276,0.035,0.746,-0.086,0.46,undefined,6,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.727,1.331,1.463,-0.012,0.555,0.764,0.418,0.985,1.189,Q61625,Q61625,Grid2,1,90,33,33,Q61625,MOUSE,113992.7,38.6,203,203.1,462.53,462.53,NA,1007,"Glutamate receptor ionotropic, delta-2",plasma membrane|ionotropic glutamate receptor complex|membrane|cell junction|dendrite|dendritic spine|synapse|postsynaptic membrane|,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules|regulation of neuron projection development|cerebellar granule cell differentiation|ion transmembrane transport|cellular protein localization|ionotropic glutamate receptor signaling pathway|synaptic transmission, glutamatergic|regulation of neuron apoptotic process|regulation of excitatory postsynaptic membrane potential|prepulse inhibition|",ionotropic glutamate receptor activity|extracellular-glutamate-gated ion channel activity|protein binding|PDZ domain binding|scaffold protein binding|,33,90,2.61E+10,0.386,0.090867358,0.189833333,18.79134809,0.875666667,0.013208856,3.229287465,0.273,-0.463,-0.554,0.996,0.17,0.717,undefined,8,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.055,1.042,0.941,1.032,1.025,0.952,1.075,1.035,1.073,E9Q616,E9Q616,Ahnak,1,59,41,40,E9Q616,MOUSE,605040.9,9.5,205,205.1,453.05,432.55,NA,5656,AHNAK nucleoprotein (desmoyokin),nucleus|cytoplasm|lysosomal membrane|cytosol|plasma membrane|cell-cell junction|focal adhesion|actin cytoskeleton|membrane|vesicle|sarcolemma|costamere|cell-cell contact zone|extracellular exosome|T-tubule|membrane raft|,regulation of RNA splicing|protein oligomerization|regulation of voltage-gated calcium channel activity|,S100 protein binding|poly(A) RNA binding|structural molecule activity conferring elasticity|,40,59,9.53E+09,0.09,7.11E-05,-0.097,56.82088998,1.007333333,2.08E-06,12.67588844,-0.544,-0.636,-0.622,0.362,0.409,0.449,undefined,9,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.416,-0.045,-0.514,0.126,-0.324,-0.784,0.447,0.061,-0.369,Q8BIZ1,Q8BIZ1,Anks1b,1,109,31,10,Q8BIZ1|S4R286|S4R2E3|Q8BIZ1-5|A0A140T8U6|S4R2H8|K4DI73,MOUSE,140300.1,23.5,223,223.1,425.89,138,NA,1259,Ankyrin repeat and sterile alpha motif domain-containing protein 1B,nucleus|cytoplasm|postsynaptic density|cell junction|dendritic spine|postsynaptic membrane|,NA,ephrin receptor binding|,31,109,7.44E+10,0.235,0.876009371,-0.003,1.598890477,-0.096,0.69200774,-0.411830446,-0.432,0.027,0.54,-0.022,-0.259,0.128,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.471,-0.219,-0.555,0.438,-0.357,-0.646,0.659,0.037,-0.362,S4R2H2,S4R2H2,Anks1b,1,15,25,5,S4R2H2|S4R2I2|S4R2Q2|Q8BIZ1-4|A0A0R4J2A8|S4R1H2|Q8BIZ1-2|A0A0R4J2A6|E9QPP6|S4R2H3|S4R2N9|S4R2K2,MOUSE,58331.3,39.1,223,223.2,340.9,67,NA,511,Ankyrin repeat and sterile alpha motif domain-containing protein 1B,NA,NA,ephrin receptor binding|,5,15,1.31E+10,0.043,0.949319804,-0.042166667,0.657188599,-0.046333333,0.859569783,-0.183117781,-0.592,0.057,0.478,-0.099,-0.242,0.145,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.147,-0.523,-0.453,-0.119,-0.84,-0.771,0.387,-0.299,-0.277,Q8BIZ1-3,Q8BIZ1,Anks1b,1,4,18,2,Q8BIZ1-3|A0A0R4J2A2,MOUSE,45847.5,37.6,223,223.3,240.89,18.72,NA,1259,Isoform 3 of Ankyrin repeat and sterile alpha motif domain-containing protein 1B,nucleus|cytoplasm|postsynaptic density|cell junction|dendritic spine|postsynaptic membrane|,NA,ephrin receptor binding|,2,4,3.71E+08,0.032,0.456701233,0.025166667,7.775095031,-0.312333333,0.166913128,-1.530899627,-0.223,0.391,0.376,-0.095,-0.431,0.133,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.405,0.775,0.698,-0.151,0.222,0.116,0.184,0.576,0.494,P97772,P97772,Grm1,1,81,34,31,P97772|P97772-2|P97772-3,MOUSE,135092.7,28.1,242,242.1,391.45,364.17,NA,1199,Metabotropic glutamate receptor 1,nucleus|cytosol|integral component of plasma membrane|postsynaptic density|dendrite|G-protein coupled receptor dimeric complex|G-protein coupled receptor homodimeric complex|neuron projection|neuronal cell body|postsynaptic membrane|,"activation of MAPKK activity|activation of MAPK activity|G-protein coupled receptor signaling pathway|protein kinase C-activating G-protein coupled receptor signaling pathway|phospholipase C-activating G-protein coupled glutamate receptor signaling pathway|G-protein coupled glutamate receptor signaling pathway|locomotory behavior|sensory perception of pain|dimeric G-protein coupled receptor signaling pathway|regulation of MAPK cascade|positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway|regulation of sensory perception of pain|regulation of synaptic transmission, glutamatergic|cellular response to electrical stimulus|",PLC activating G-protein coupled glutamate receptor activity|G-protein coupled receptor activity|protein binding|glutamate receptor activity|,34,81,2.23E+10,0.281,0.235184104,0.157,12.75191691,0.368666667,0.053065017,2.28555325,0.207,-0.195,-0.094,0.58,0.046,0.398,undefined,5,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.146,0.545,0.3,1.063,0.527,0.26,1.078,0.518,0.302,Q3UVX5,Q3UVX5,Grm5,1,76,32,29,Q3UVX5|E9QMC2|Q3UVX5-2,MOUSE,134031.2,28.1,242,242.2,405.08,377.8,NA,1203,Metabotropic glutamate receptor 5,cytoplasm|plasma membrane|integral component of plasma membrane|postsynaptic density|neuron projection|dendritic spine|dendritic shaft|extracellular exosome|astrocyte projection|,"activation of MAPKKK activity|desensitization of G-protein coupled receptor protein signaling pathway|regulation of transcription, DNA-templated|protein phosphorylation|protein kinase C-activating G-protein coupled receptor signaling pathway|phospholipase C-activating G-protein coupled glutamate receptor signaling pathway|G-protein coupled glutamate receptor signaling pathway|synaptic transmission|learning|locomotory behavior|negative regulation of locomotion|regulation of long-term neuronal synaptic plasticity|positive regulation of long-term neuronal synaptic plasticity|cognition|regulation of synaptic transmission, glutamatergic|",PLC activating G-protein coupled glutamate receptor activity|G-protein coupled receptor activity|protein binding|glutamate receptor activity|A2A adenosine receptor binding|,29,76,1.90E+10,0.262,0.054711617,-0.179,22.0364279,0.574,0.006256871,3.731217711,-0.81,-0.414,-0.174,0.131,0.116,0.077,undefined,5,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.478,2.252,2.276,2.236,2.02,2.039,2.592,2.322,2.382,B9EKR1,B9EKR1,Ptprz1,1,95,29,29,B9EKR1|B2RXS8|A0A0J9YVD2,MOUSE,255655.7,13,250,250.1,389.07,389.07,NA,2312,Receptor-type tyrosine-protein phosphatase zeta,proteinaceous extracellular matrix|plasma membrane|integral component of membrane|perineuronal net|,hematopoietic progenitor cell differentiation|axonogenesis|learning or memory|peptidyl-tyrosine dephosphorylation|oligodendrocyte differentiation|regulation of oligodendrocyte progenitor proliferation|,protein tyrosine phosphatase activity|protein binding|,29,95,6.17E+10,0.13,1.06E-05,-0.367,81.06107184,2.352666667,7.83E-09,26.71432187,-1.525,-1.528,-1.577,0.852,0.686,0.89,PC,9,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.122,0.246,0.237,0.567,0.644,0.61,0.408,0.586,0.564,Q9D8E6,Q9D8E6,Rpl4,1,96,28,28,Q9D8E6,MOUSE,47438.1,49.4,271,271.1,364.84,364.84,NA,419,60S ribosomal protein L4,nucleus|nucleolus|cytoplasm|focal adhesion|membrane|cytosolic large ribosomal subunit|ribonucleoprotein complex|extracellular exosome|,translation|,structural constituent of ribosome|protein binding|poly(A) RNA binding|,28,96,3.81E+10,0.494,0.062508678,0.016166667,21.22008735,0.431,0.00755077,3.59723086,-0.116,-0.229,-0.253,-0.005,0.406,0.294,undefined,6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.775,0.874,0.869,0.625,0.687,0.583,0.796,0.804,0.775,P12960,P12960,Cntn1,1,60,29,29,P12960,MOUSE,114242.1,37.7,276,276.1,359.8,359.8,NA,1020,Contactin-1,plasma membrane|anchored component of membrane|myelin sheath|extracellular exosome|,cell adhesion|Notch signaling pathway|positive regulation of gene expression|positive regulation of sodium ion transport|positive regulation of neuron projection development|cerebellum development|neuron projection development|,glycoprotein binding|protein binding|carbohydrate binding|,29,60,1.09E+10,0.377,0.000951641,0.001666667,42.58760734,0.762666667,5.51E-05,8.019069761,-0.291,-0.459,-0.389,0.463,0.253,0.433,undefined,8,TRUE,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.042,1.09,0.986,0.815,0.827,0.85,0.914,0.906,0.946,Q8BYI9,Q8BYI9,Tnr,1,69,25,25,Q8BYI9|Q8BYI9-2,MOUSE,151926,23.6,297,297.1,343.55,343.55,NA,1358,Tenascin-R,proteinaceous extracellular matrix|nucleus|nucleoplasm|cytoplasm|cell surface|membrane raft|perineuronal net|,"neuron cell-cell adhesion|associative learning|negative regulation of neuron projection development|telencephalon cell migration|negative regulation of cell-cell adhesion|extracellular matrix organization|negative regulation of axon extension|locomotory exploration behavior|negative regulation of axon extension involved in regeneration|regulation of synaptic transmission|negative regulation of synaptic transmission|synapse organization|neuromuscular process controlling balance|positive regulation of synaptic transmission, glutamatergic|positive regulation of transmission of nerve impulse|long-term synaptic potentiation|",sphingolipid binding|,25,69,1.22E+10,0.236,0.000251029,-0.0205,49.91161041,0.917,1.02E-05,10.18302283,-0.383,-0.506,-0.548,0.535,0.374,0.405,PC,9,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.416,1.316,1.241,1.449,1.069,1.081,1.446,1.462,1.436,P70663,P70663,Sparcl1,1,50,22,22,P70663,MOUSE,73141.8,40.7,387,387.1,291.87,291.87,NA,650,SPARC-like protein 1,proteinaceous extracellular matrix|extracellular space|extracellular exosome|,signal transduction|,calcium ion binding|,22,50,1.10E+10,0.407,5.01E-05,-0.095166667,59.31141562,1.343,1.17E-06,13.70274129,-0.868,-0.717,-0.715,0.629,0.434,0.666,PC,9,TRUE,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.382,0.511,0.518,0.571,0.762,0.766,0.519,0.698,0.701,Q99PL5,Q99PL5,Rrbp1,1,44,26,26,Q99PL5|A2AVJ7|Q99PL5-2|Q99PL5-3|Q99PL5-4|Q99PL5-5|Q99PL5-7|Q99PL5-6|Q99PL5-8|Q99PL5-9|Q99PL5-10|Q99PL5-11|Q99PL5-12,MOUSE,173332.6,19,392,392.1,289.05,289.05,NA,1605,Ribosome-binding protein 1,integral component of endoplasmic reticulum membrane|,signal transduction|protein transport|,protein binding|,26,44,9.21E+09,0.19,0.004928979,-0.037666667,34.50207027,0.612666667,0.000354644,6.076328793,-0.227,-0.365,-0.44,0.13,0.357,0.319,undefined,9,NA,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.171,0.424,0.668,-0.095,0.197,0.427,-0.117,0.206,0.44,Q5F4S9,Q5F4S9,Trpm3,1,40,21,11,Q5F4S9|Q5F4T0|Q5F4S8|E9PUC8|D3Z539,MOUSE,197932,15.3,407,407.1,277.75,139.83,NA,1721,"Transient receptor potential cation channel, subfamily M, member 3",integral component of membrane|,cation transport|detection of temperature stimulus|sensory perception of temperature stimulus|cation transmembrane transport|,calcium activated cation channel activity|cation channel activity|,21,40,4.40E+09,0.153,0.401572617,0.124,8.801122316,0.243333333,0.131791611,1.68705103,0.284,-0.034,-0.243,0.396,0.159,0.182,undefined,6,NA,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.207,0.709,1.055,-0.088,0.354,0.686,-0.19,0.313,0.694,B2RUS0,B2RUS0,Trpm3,1,6,11,2,B2RUS0,MOUSE,155321.2,10.3,407,407.2,150.8,25.64,NA,1337,"Transient receptor potential cation channel, subfamily M, member 3",integral component of membrane|,cation transport|detection of temperature stimulus|sensory perception of temperature stimulus|cation transmembrane transport|,calcium activated cation channel activity|cation channel activity|,2,6,1.06E+09,0.018,0.324312086,0.1205,10.43940593,0.403,0.090377309,1.943543294,0.366,-0.148,-0.461,0.538,0.253,0.175,undefined,6,NA,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.341,0.619,0.706,0.508,0.772,0.948,0.295,0.52,0.656,Q91VM5,Q91VM5,Rbmxl1,1,61,27,5,Q91VM5,MOUSE,42160.9,50.2,415,415.1,274.46,42.36,NA,388,"RNA binding motif protein, X-linked-like-1",nucleus|nuclear euchromatin|supraspliceosomal complex|extracellular exosome|catalytic step 2 spliceosome|,"regulation of alternative mRNA splicing, via spliceosome|transcription from RNA polymerase II promoter|mRNA processing|membrane protein ectodomain proteolysis|RNA splicing|positive regulation of transcription from RNA polymerase II promoter|negative regulation of mRNA splicing, via spliceosome|positive regulation of mRNA splicing, via spliceosome|protein homooligomerization|cellular response to interleukin-1|",nucleotide binding|core promoter binding|chromatin binding|RNA binding|mRNA binding|protein binding|,27,61,1.23E+10,0.502,0.03928348,0.037666667,23.91914439,0.537333333,0.004055884,4.047570307,0.021,-0.276,-0.438,0.274,0.442,0.203,NC,8,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.408,1.084,0.751,1.121,0.811,0.646,1.263,0.936,0.672,Q61137,Q61137,Astn1,1,31,20,20,Q61137|Q61137-2|A0A0A6YWE6|A0A0A6YXJ4|Q3TPU9,MOUSE,147676.7,23.9,444,444.1,260.38,260.38,NA,1302,Astrotactin-1,endosome|external side of plasma membrane|integral component of membrane|,neuron migration|neuron cell-cell adhesion|locomotory behavior|single organismal cell-cell adhesion|cell migration|,protein binding|,20,31,5.35E+09,0.239,0.001512415,-0.113166667,40.23814217,0.962333333,9.47E-05,7.41159811,-0.799,-0.624,-0.36,0.514,0.289,0.301,undefined,9,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.221,1.662,1.843,2.068,1.268,1.488,2.271,1.672,1.724,Q9ER58,Q9ER58,Spock2,1,44,18,18,Q9ER58|F6SLR4,MOUSE,48231.6,46.8,477,477.1,246.63,246.63,NA,423,Testican-2,proteinaceous extracellular matrix|,signal transduction|positive regulation of cell-substrate adhesion|peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan|extracellular matrix organization|,calcium ion binding|glycosaminoglycan binding|extracellular matrix binding|,18,44,1.13E+10,0.468,2.15E-05,-0.210333333,65.35046937,1.682666667,2.92E-07,16.52439573,-1.184,-0.896,-1.075,0.696,0.541,0.656,PC,9,TRUE,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.422,1.489,1.488,1.427,1.426,1.431,1.529,1.523,1.542,Q61361,Q61361,Bcan,1,32,20,20,Q61361,MOUSE,97353.7,23.7,513,513.1,232.91,232.91,NA,883,Brevican core protein,proteinaceous extracellular matrix|extracellular space|dendrite|anchored component of membrane|synapse|,skeletal system development|cell adhesion|central nervous system development|hippocampus development|regulation of neuronal synaptic plasticity|,hyaluronic acid binding|carbohydrate binding|,20,32,5.36E+09,0.237,3.78E-05,-0.198166667,61.30607845,1.435666667,7.40E-07,14.58032547,-0.74,-0.985,-1.023,0.506,0.522,0.531,PC,9,TRUE,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.908,0.755,0.419,-0.246,-0.332,-0.799,0.641,0.577,0.171,O35129,O35129,Phb2,1,37,20,20,O35129,MOUSE,33295.8,69.8,520,520.1,230.11,230.11,NA,299,Prohibitin-2,nucleus|cytoplasm|mitochondrion|mitochondrial outer membrane|mitochondrial inner membrane|cell surface|nuclear matrix|protein complex|extracellular exosome|cell periphery|,"protein import into nucleus, translocation|transcription, DNA-templated|mitochondrion organization|sister chromatid cohesion|positive regulation of exit from mitosis|negative regulation of intracellular estrogen receptor signaling pathway|negative regulation of mammary gland epithelial cell proliferation|negative regulation of apoptotic process|negative regulation of sequence-specific DNA binding transcription factor activity|negative regulation of transcription, DNA-templated|protein stabilization|positive regulation of sequence-specific DNA binding transcription factor activity|mammary gland branching involved in thelarche|mammary gland alveolus development|regulation of branching involved in mammary gland duct morphogenesis|positive regulation of ERK1 and ERK2 cascade|positive regulation of cell cycle G1/S phase transition|",protein binding|protein C-terminus binding|amide binding|protein N-terminus binding|,20,37,7.36E+09,0.698,0.783149796,0.139166667,2.824290251,0.196333333,0.521880386,0.671846738,-0.081,-0.131,0.335,0.712,-0.463,0.463,undefined,5,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.209,0.458,0.578,0.418,0.525,0.849,0.327,0.556,0.747,Q9JIX8,Q9JIX8,Acin1,1,26,19,19,Q9JIX8|Q9JIX8-4|B8JJ91|Q9JIX8-2|B8JJ92|Q9JIX8-3|Q52KR6,MOUSE,151115.7,17.6,529,529.1,227.78,227.78,NA,1338,Apoptotic chromatin condensation inducer in the nucleus,nucleus|nucleoplasm|nucleolus|cytoplasm|plasma membrane|nuclear speck|ASAP complex|exon-exon junction complex|,"positive regulation of defense response to virus by host|mRNA processing|apoptotic process|RNA splicing|regulation of autophagy|erythrocyte differentiation|apoptotic chromosome condensation|regulation of apoptotic process|positive regulation of apoptotic process|positive regulation of monocyte differentiation|negative regulation of mRNA splicing, via spliceosome|activation of mitophagy in response to mitochondrial depolarization|",nucleotide binding|poly(A) RNA binding|,19,26,1.15E+09,0.176,0.025057105,0.028666667,26.2625899,0.51,0.002364509,4.45739575,-0.069,-0.18,-0.43,0.174,0.344,0.333,undefined,5,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
