id,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Brain_Searched..127.126.127.128.129.130.131..No_BirA_6.multimedian,Brain_Searched..128.126.127.128.129.130.131..No_BirA_5.multimedian,Brain_Searched..131.126.127.128.129.130.131..No_BirA_4.multimedian,Brain_Searched..126.126.127.128.129.130.131..XBirA_2.multimedian,Brain_Searched..129.126.127.128.129.130.131..XBirA_3.multimedian,Brain_Searched..130.126.127.128.129.130.131..XBirA_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Brain_Searched.unique_peptides,Brain_Searched.numSpectra,Brain_Searched.totalIntensity,Brain_Searched.pct_cov
Q9Z1Q2,0.075843311,-0.085,13.65732592,0.601333333,0.043079178,2.023129841,-0.636,-0.481,-0.04,0.342,0.044,0.261,Q9Z1Q2,Abhd16a,Q9Z1Q2_Abhd16a,Q9Z1Q2,Abhd16a,1,36,17,17,Q9Z1Q2|G3U1,MOUSE,63712.6,36.9,590,590.1,209.6,209.6,,558,Protein ABHD16A,integral component of membrane|,metabolic process|,hydrolase activity|,17,36,6180000000,36.9%
P36916,0.042197053,-0.21,19.42475246,0.752,0.011416284,2.53003377,-1.004,-0.67,-0.084,0.23,0.178,0.09,P36916,Gnl1,P36916_Gnl1,P36916,Gnl1,1,35,16,16,P36916|P36916-2,MOUSE,69397.4,28.9,591,591.1,209.3,209.3,,607,Guanine nucleotide-binding protein-like 1,nucleus|,cellular response to DNA damage stimulus|ribosome biogenesis|,GTPase activity|GTP binding|,16,35,6860000000,28.9%
B9EJA2,0.034296962,-0.226666667,21.09668532,0.791333333,0.007768398,2.662367097,-1.064,-0.694,-0.109,0.185,0.15,0.172,B9EJA2,Cttnbp2,B9EJA2_Cttnbp2,B9EJA2,Cttnbp2,1,31,18,18,B9EJA2|B9EJA2-4|B9EJA2-5|B9EJA2-3|B9EJA2-2,MOUSE,181052.5,12.6,592,592.1,208.4,208.4,,1648,Cortactin-binding protein 2,cell cortex|synaptic vesicle|dendritic spine|,brain development|,SH3 domain binding|,18,31,1880000000,12.6%
F8VQK5,0.096862281,-0.138333333,11.6374962,0.541333333,0.068588354,1.821265445,-0.794,-0.537,0.104,0.315,0.053,0.029,F8VQK5,Sash1,F8VQK5_Sash1,F8VQK5,Sash1,1,26,19,19,F8VQK5|P59808,MOUSE,136816.9,19.1,593,593.1,208.16,208.16,,1230,SAM and SH3 domain-containing protein 1,membrane|protein complex|,protein polyubiquitination|positive regulation of endothelial cell migration|positive regulation of lipopolysaccharide-mediated signaling pathway|positive regulation of JUN kinase activity|positive regulation of angiogenesis|regulation of protein K63-linked ubiquitination|positive regulation of p38MAPK cascade|positive regulation of NIK/NF-kappaB signaling|regulation of protein autoubiquitination|,protein C-terminus binding|protein kinase binding|mitogen-activated protein kinase kinase kinase binding|protein complex scaffold|,19,26,6500000000,19.1%
F8VQC1,0.001970873,-0.161166667,37.06486095,1.107,0.000196568,3.724398117,-1.095,-0.758,-0.291,0.298,0.591,0.288,F8VQC1,Srp72,F8VQC1_Srp72,F8VQC1,Srp72,1,28,15,15,F8VQC1|E9Q740,MOUSE,75226.4,34.1,594,594.1,207.97,207.97,,671,Signal recognition particle subunit SRP72,"nucleolus|cytoplasm|endoplasmic reticulum|signal recognition particle, endoplasmic reticulum targeting|plasma membrane|",SRP-dependent cotranslational protein targeting to membrane|response to drug|,signal recognition particle binding|7S RNA binding|poly(A) RNA binding|,15,28,1530000000,34.1%
Q8BMF4,0.089534773,-0.118,12.18295386,0.558,0.060492929,1.877338888,-0.625,-0.578,0.012,0.184,0.013,0.286,Q8BMF4,Dlat,Q8BMF4_Dlat,Q8BMF4,Dlat,1,51,16,16,Q8BMF4,MOUSE,68511,28.9,595,595.1,207.79,207.79,,642,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",mitochondrion|mitochondrial pyruvate dehydrogenase complex|myelin sheath|pyruvate dehydrogenase complex|,glucose metabolic process|acetyl-CoA biosynthetic process from pyruvate|tricarboxylic acid cycle|sleep|,dihydrolipoyllysine-residue acetyltransferase activity|,16,51,5850000000,28.9%
A0A087WQQ5,0.035775089,-0.149833333,20.79405313,0.784333333,0.008329035,2.638816251,-0.708,-0.735,-0.183,0.277,0.256,0.194,A0A087WQQ5,Ktn1,A0A087WQQ5_Ktn1,A0A087WQQ5,Ktn1,1,22,19,19,A0A087WQQ5|A0A087WS23|A0A087WQI3|A0A087WNW3|A0A087WQG4|A0A087WS29|A0A087WS04|A0A087WQF8|F8VQC7|A0A087WPX0|A0A087WP14|A0A087WP85|A0A087WRS1|A0A087WQ25|A0A087WPW5|A0A087WQD0|A0A087WP48|Q61595-5|Q61595-13|Q61595-9|Q61595-6|Q61595-14|Q61595-3|Q61595-16|Q61595-2|Q61595|Q61595-11|Q61595-7|Q61595-10|Q61595-15|Q61595-8|Q61595-4|Q61595-12|A0A087WPY8,MOUSE,147003.6,19.8,596,596.1,207.56,207.56,,1275,Kinectin,endoplasmic reticulum|,microtubule-based movement|,kinesin binding|,19,22,1.76E+11,19.8%
Q0QWG9,0.027930372,0.071833333,22.5531347,0.824333333,0.005555032,2.773392515,-0.291,-0.615,-0.115,0.89,0.009,0.553,Q0QWG9,Grid2ip,Q0QWG9_Grid2ip,Q0QWG9,Grid2ip,1,27,17,17,Q0QWG9|Q0QWG9-3|Q0QWG9-2,MOUSE,132988.5,17.5,598,598.1,206.97,206.97,,1203,Delphilin,cell junction|dendritic spine|synapse|postsynaptic membrane|,G-protein coupled glutamate receptor signaling pathway|actin cytoskeleton organization|long term synaptic depression|,protein binding|,17,27,2900000000,17.5%
P14094,0.007400165,-0.0185,30.28169789,0.983666667,0.000937196,3.309454635,-0.656,-0.798,-0.077,0.67,0.082,0.668,P14094,Atp1b1,P14094_Atp1b1,P14094,Atp1b1,1,65,18,18,P14094,MOUSE,35593.3,49.3,599,599.1,206.54,206.54,,304,Sodium/potassium-transporting ATPase subunit beta-1,intracellular|plasma membrane|sodium:potassium-exchanging ATPase complex|caveola|intercalated disc|basolateral plasma membrane|apical plasma membrane|sarcolemma|myelin sheath|extracellular exosome|extracellular vesicle|,response to hypoxia|positive regulation of defense response to virus by host|cellular calcium ion homeostasis|cellular sodium ion homeostasis|cell adhesion|potassium ion import|regulation of gene expression|regulation of cardiac muscle contraction by calcium ion signaling|cellular potassium ion homeostasis|positive regulation of ATPase activity|sodium ion export from cell|protein stabilization|relaxation of cardiac muscle|cardiac muscle contraction|protein localization to plasma membrane|membrane repolarization|activation of mitophagy in response to mitochondrial depolarization|positive regulation of potassium ion transmembrane transporter activity|regulation of calcium ion transmembrane transport|positive regulation of sodium ion export from cell|positive regulation of calcium:sodium antiporter activity|positive regulation of potassium ion import|,ATPase activator activity|protein binding|protein C-terminus binding|MHC class II protein complex binding|ATPase binding|sodium:potassium-exchanging ATPase activity|,18,65,58700000000,49.3%
Q8BW86,0.01064409,0.097333333,28.28272188,0.944666667,0.001485005,3.178242777,-0.127,-0.459,-0.539,0.96,0.056,0.693,Q8BW86,Arhgef33,Q8BW86_Arhgef33,Q8BW86,Arhgef33,1,32,17,17,Q8BW86|Q8BW86-2,MOUSE,95440.7,24.9,600,600.1,206.2,206.2,,850,Rho guanine nucleotide exchange factor 33,,regulation of Rho protein signal transduction|positive regulation of GTPase activity|,Rho guanyl-nucleotide exchange factor activity|,17,32,4180000000,24.9%
P35700,0.031142361,-0.136666667,21.82612301,0.808,0.006567313,2.71844054,-0.794,-0.639,-0.189,0.349,0.198,0.255,P35700,Prdx1,P35700_Prdx1,P35700,Prdx1,1,48,14,12,P35700,MOUSE,22404.3,59.7,601,601.1,206.03,176.73,,199,Peroxiredoxin-1,extracellular space|nucleus|cytoplasm|mitochondrion|melanosome|myelin sheath|extracellular exosome|,response to reactive oxygen species|retina homeostasis|response to oxidative stress|cell proliferation|removal of superoxide radicals|regulation of stress-activated MAPK cascade|erythrocyte homeostasis|natural killer cell mediated cytotoxicity|regulation of NF-kappaB import into nucleus|hydrogen peroxide catabolic process|oxidation-reduction process|,peroxidase activity|protein binding|thioredoxin peroxidase activity|identical protein binding|poly(A) RNA binding|,14,48,25200000000,59.7%
O08807,4.95608E-09,-0.243666667,96.40103503,1.886,2.29032E-10,6.345270865,-1.769,-1.011,-0.78,0.711,0.561,0.826,O08807,Prdx4,O08807_Prdx4,O08807,Prdx4,1,22,9,7,O08807,MOUSE,31280.1,29.5,601,601.2,129.35,100.05,,274,Peroxiredoxin-4,extracellular space|nucleus|cytoplasm|mitochondrion|endoplasmic reticulum|smooth endoplasmic reticulum|cytosol|extracellular exosome|,spermatogenesis|male gonad development|4-hydroxyproline metabolic process|protein maturation by protein folding|extracellular matrix organization|cell redox homeostasis|oxidation-reduction process|reactive oxygen species metabolic process|negative regulation of male germ cell proliferation|,peroxidase activity|protein homodimerization activity|peroxiredoxin activity|,7,22,5540000000,25.5%
Q569Z5,0.003118731,-0.124333333,34.69453872,1.065333333,0.000339271,3.584214508,-0.745,-0.773,-0.453,0.485,0.385,0.355,Q569Z5,Ddx46,Q569Z5_Ddx46,Q569Z5,Ddx46,1,30,19,19,Q569Z5|F8WHR6|Q569Z5-2,MOUSE,117959.7,21.3,602,602.1,205.97,205.97,,1032,Probable ATP-dependent RNA helicase DDX46,nucleus|Cajal body|nuclear speck|,"mRNA splicing, via spliceosome|regulation of gene expression|RNA secondary structure unwinding|",ATP-dependent RNA helicase activity|ATP binding|poly(A) RNA binding|,19,30,4360000000,21.3%
A2AI,0.088601045,-0.135666667,12.24921284,0.56,0.059577012,1.884067701,-0.742,-0.48,-0.025,0.248,0.042,0.143,A2AI,NotFound,A2AI_NotFound,A2AI,Sec16a,1,24,18,18,A2AI|E9QAT4,MOUSE,257837.3,11.4,603,603.1,205.91,205.91,,2377,Protein transport protein sec16,Golgi membrane|cytoplasm|Golgi apparatus|cytosol|,endoplasmic reticulum organization|COPII vesicle coating|,,18,24,2280000000,11.4%
Q8K4Z0-2,4.8943E-13,-0.4105,139.0970998,2.295,1.23109E-14,7.721313168,-2.013,-1.632,-1.029,0.868,0.631,0.712,Q8K4Z0,Lgi2,Q8K4Z0-2_Lgi2,Q8K4Z0-2,Lgi2,1,31,16,16,Q8K4Z0-2|Q8K4Z0,MOUSE,62638.4,30.6,604,604.1,205.75,205.75,,550,Isoform 2 of Leucine-rich repeat LGI family member 2,extracellular region|,,,16,31,9900000000,30.6%
Q9ERK4,0.062829278,-0.106333333,15.4849841,0.652,0.028281445,2.193593109,-0.68,-0.528,-0.089,0.265,0.261,0.133,Q9ERK4,Cse1l,Q9ERK4_Cse1l,Q9ERK4,Cse1l,1,29,18,18,Q9ERK4|E9Q1T9|E9QAX7,MOUSE,111251.3,19.8,605,605.1,205.5,205.5,,971,Exportin-2,nucleoplasm|cytoplasm|membrane|extracellular exosome|,intracellular protein transport|,protein binding|Ran GTPase binding|,18,29,5250000000,19.8%
Q9QYJ0,0.093229133,-0.164,11.89782394,0.549333333,0.064597782,1.848180697,-0.855,-0.509,0.048,0.216,-0.02,0.136,Q9QYJ0,Dnaja2,Q9QYJ0_Dnaja2,Q9QYJ0,Dnaja2,1,40,16,16,Q9QYJ0,MOUSE,46372.4,40,606,606.1,204.98,204.98,,412,DnaJ homolog subfamily A member 2,nucleus|cytosol|membrane|extracellular exosome|,response to heat|carbon tetrachloride metabolic process|protein refolding|,glycoprotein binding|ATP binding|heat shock protein binding|metal ion binding|unfolded protein binding|chaperone binding|,16,40,8430000000,40.0%
E9Q9K8,0.15421105,-0.154,8.764034717,0.446666667,0.132921896,1.502768286,-0.834,-0.405,0.107,0.194,-0.005,0.019,E9Q9K8,Akap6,E9Q9K8_Akap6,E9Q9K8,Akap6,1,33,21,21,E9Q9K8|Q6PGB9,MOUSE,256886.4,10.5,607,607.1,204.61,204.61,,2307,A kinase (PRKA) anchor protein 6,nuclear envelope|sarcoplasmic reticulum|nuclear membrane|calcium channel complex|perinuclear region of cytoplasm|,regulation of membrane repolarization|cellular response to cAMP|positive regulation of potassium ion transmembrane transport|positive regulation of delayed rectifier potassium channel activity|,protein binding|adenylate cyclase binding|ion channel binding|protein kinase A binding|,21,33,4750000000,10.5%
E9Q8N8,0.007199934,0.0925,30.42093308,0.986333333,0.000907626,3.318426386,-0.461,-0.681,-0.06,0.912,0.024,0.821,E9Q8N8,Slc4a4,E9Q8N8_Slc4a4,E9Q8N8,Slc4a4,1,36,16,15,E9Q8N8|O88343|A7E1Z5|O88343-2|O88343-3,MOUSE,123882.9,22.6,608,608.1,204.45,197.28,,1094,Anion exchange protein,integral component of plasma membrane|basolateral plasma membrane|extracellular exosome|,sodium ion transport|regulation of pH|bicarbonate transport|sodium ion transmembrane transport|regulation of intracellular pH|anion transmembrane transport|,inorganic anion exchanger activity|protein binding|sodium:bicarbonate symporter activity|,16,36,5710000000,22.6%
B1AWV9,0.028249011,-0.167333333,22.47839747,0.822666667,0.005651455,2.767785171,-0.797,-1.037,0.098,0.428,-0.105,0.409,B1AWV9,Slc4a10,B1AWV9_Slc4a10,B1AWV9,Slc4a10,1,3,5,2,B1AWV9|Q5DTL9-2|Q5DTL9,MOUSE,125806.7,4.7,608,608.2,44.95,23.26,,1106,Anion exchange protein,plasma membrane|integral component of plasma membrane|basolateral plasma membrane|neuronal cell body|apical dendrite|basilar dendrite|CA3 pyramidal cell dendrite|,protein glycosylation|regulation of pH|response to light stimulus|post-embryonic development|bicarbonate transport|pyramidal neuron development|regulation of cellular pH|multicellular organism growth|locomotory exploration behavior|sodium ion transmembrane transport|brain morphogenesis|regulation of intracellular pH|anion transmembrane transport|hydrogen ion transmembrane transport|,inorganic anion exchanger activity|sodium:bicarbonate symporter activity|anion:anion antiporter activity|,2,3,332000000,2.3%
Q9CVB6,0.288927483,-0.089166667,5.618955456,0.325,0.274223364,1.093432148,-0.674,-0.377,0.296,0.225,-0.103,0.098,Q9CVB6,Arpc2,Q9CVB6_Arpc2,Q9CVB6,Arpc2,1,37,16,16,Q9CVB6|D3YXG6,MOUSE,34470.6,58,609,609.1,204.26,204.26,,300,Actin-related protein 2/3 complex subunit 2,cytoplasm|endosome|Golgi apparatus|Arp2/3 protein complex|plasma membrane|focal adhesion|cell leading edge|neuron projection|synapse|extracellular exosome|,positive regulation of lamellipodium assembly|positive regulation of actin filament polymerization|Arp2/3 complex-mediated actin nucleation|positive regulation of substrate adhesion-dependent cell spreading|,structural constituent of cytoskeleton|protein binding|kinesin binding|AP-1 adaptor complex binding|Arp2/3 complex binding|actin filament binding|,16,37,9870000000,58.0%
F8WHU5,0.032552688,-0.057,21.56208269,0.802,0.006978976,2.698254101,-0.539,-0.602,-0.233,0.466,0.343,0.223,F8WHU5,Pds5b,F8WHU5_Pds5b,F8WHU5,Pds5b,1,23,19,19,F8WHU5|Q4VA53-3|Q4VA53|Q4VA53-2,MOUSE,166013.7,15.9,610,610.1,203.71,203.71,,1449,Sister chromatid cohesion protein PDS5 homolog B,chromatin|nucleoplasm|,mitotic sister chromatid cohesion|negative regulation of cell proliferation|regulation of cell proliferation|,DNA binding|,19,23,1410000000,15.9%
O35382,0.038270845,-0.222166667,20.25203478,0.771666667,0.009436187,2.596200434,-1.095,-0.715,-0.014,0.171,0.057,0.263,O35382,Exoc4,O35382_Exoc4,O35382,Exoc4,1,27,19,19,O35382|Q8C391|Q9CXE1,MOUSE,111341.8,20.7,611,611.1,203.66,203.66,,975,Exocyst complex component 4,exocyst|cytoplasm|plasma membrane|membrane|growth cone membrane|myelin sheath abaxonal region|,vesicle docking involved in exocytosis|protein transport|,protein binding|Ral GTPase binding|PDZ domain binding|protein N-terminus binding|,19,27,2130000000,20.7%
O35668,0.100465419,-0.123666667,11.35857606,0.532666667,0.073137884,1.792107254,-1.004,-0.405,0.239,0.414,-0.033,0.047,O35668,Hap1,O35668_Hap1,O35668,Hap1,1,48,16,16,O35668|O35668-2,MOUSE,70457.1,23.8,612,612.1,203.62,203.62,,628,Huntingtin-associated protein 1,nucleus|mitochondrion|lysosome|autophagosome|endoplasmic reticulum|centrosome|centriole|synaptic vesicle|cytoplasmic membrane-bounded vesicle|inclusion body|cell junction|axon|,"exocytosis|autophagy|anterograde axon cargo transport|retrograde axon cargo transport|protein localization|protein transport|regulation of exocytosis|cerebellum development|hypothalamus cell differentiation|neurogenesis|cell projection organization|positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity|positive regulation of synaptic transmission, GABAergic|positive regulation of neurotrophin production|positive regulation of epidermal growth factor receptor signaling pathway|vesicle transport along microtubule|neurotrophin TRK receptor signaling pathway|positive regulation of neurogenesis|negative regulation of beta-amyloid formation|regulation of organelle transport along microtubule|positive regulation of nonmotile primary cilium assembly|negative regulation of cytoplasmic translation|",protein binding|ion channel binding|brain-derived neurotrophic factor binding|,16,48,11900000000,23.8%
P62880,0.088859915,-0.084,12.22710734,0.559333333,0.059881031,1.881824763,-0.46,-0.561,-0.07,0.126,0.245,0.216,P62880,Gnb2,P62880_Gnb2,P62880,Gnb2,1,28,15,11,P62880|E9QKR0|D3YZX3|E9PWM7|P29387|V9GWY1|A0A0A6YVN9|Q61011,MOUSE,38072.1,47.9,613,613.1,203.62,147.56,,340,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,extracellular space|lysosomal membrane|heterotrimeric G-protein complex|focal adhesion|membrane|vesicle|myelin sheath|cell body|perinuclear region of cytoplasm|extracellular exosome|,G-protein coupled receptor signaling pathway|,GTPase activity|signal transducer activity|calcium channel regulator activity|protein binding|protein complex binding|GTPase binding|,16,28,11900000000,47.9%
P62874,0.076982591,0.0215,13.50622099,0.597,0.04460442,2.008550746,-0.142,-0.487,-0.202,0.105,0.539,0.316,P62874,Gnb1,P62874_Gnb1,P62874,Gnb1,1,20,12,7,P62874,MOUSE,38175.1,40.5,613,613.2,158.67,95.94,,340,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,photoreceptor outer segment|photoreceptor inner segment|lysosomal membrane|cytosol|heterotrimeric G-protein complex|plasma membrane|dendrite|photoreceptor outer segment membrane|myelin sheath|cell body|extracellular exosome|extracellular vesicle|,"G-protein coupled receptor signaling pathway|phospholipase C-activating G-protein coupled receptor signaling pathway|positive regulation of cytosolic calcium ion concentration|phototransduction, visible light|metabolic process|cell proliferation|cardiac muscle cell apoptotic process|sensory perception of taste|retina development in camera-type eye|cellular response to hypoxia|",GTPase activity|signal transducer activity|spectrin binding|type 1 angiotensin receptor binding|protein complex binding|GTPase binding|,7,20,4110000000,24.7%
Q8BP47,0.080982962,-0.119333333,13.01222989,0.582666667,0.049977786,1.960327584,-0.726,-0.437,-0.069,0.125,0.154,0.237,Q8BP47,Nars,Q8BP47_Nars,Q8BP47,Nars,1,31,16,16,Q8BP47,MOUSE,65191,35,614,614.1,202.04,202.04,,559,"Asparagine--tRNA ligase, cytoplasmic",cytoplasm|mitochondrion|extracellular exosome|,asparaginyl-tRNA aminoacylation|,nucleic acid binding|asparagine-tRNA ligase activity|ATP binding|,16,31,3400000000,35.0%
P28867,0.046655734,-0.178166667,18.56050063,0.731,0.013929962,2.459381231,-0.929,-0.736,0.034,0.245,0.01,0.307,P28867,Prkcd,P28867_Prkcd,P28867,Prkcd,1,37,18,16,P28867|P28867-2|Q1MX43|Q1MX41|Q1MX42|Q1MX40,MOUSE,78858.1,27.1,615,615.1,201.84,182.73,,674,Protein kinase C delta type,nucleus|cytoplasm|mitochondrion|endoplasmic reticulum|cytosol|plasma membrane|cell-cell junction|membrane|nuclear matrix|perinuclear region of cytoplasm|extracellular exosome|,protein phosphorylation|apoptotic process|cell cycle|immunoglobulin mediated immune response|peptidyl-threonine phosphorylation|peptidyl-tyrosine phosphorylation|termination of signal transduction|negative regulation of actin filament polymerization|interleukin-10 production|interleukin-12 production|positive regulation of superoxide anion generation|regulation of actin cytoskeleton organization|negative regulation of glial cell apoptotic process|positive regulation of protein dephosphorylation|intracellular signal transduction|B cell proliferation|neutrophil activation|defense response to bacterium|positive regulation of catalytic activity|negative regulation of MAP kinase activity|negative regulation of insulin receptor signaling pathway|negative regulation of peptidyl-tyrosine phosphorylation|negative regulation of filopodium assembly|negative regulation of platelet aggregation|cellular senescence|positive regulation of phospholipid scramblase activity|positive regulation of ceramide biosynthetic process|positive regulation of glucosylceramide catabolic process|positive regulation of sphingomyelin catabolic process|positive regulation of response to DNA damage stimulus|positive regulation of apoptotic signaling pathway|,protein serine/threonine kinase activity|protein kinase C activity|calcium-independent protein kinase C activity|non-membrane spanning protein tyrosine kinase activity|protein binding|ATP binding|enzyme activator activity|enzyme binding|insulin receptor substrate binding|metal ion binding|,18,37,3770000000,27.1%
P54071,0.080982962,-0.112,13.01222989,0.582666667,0.049977786,1.960327584,-0.503,-0.677,-0.03,0.277,0.048,0.213,P54071,Idh2,P54071_Idh2,P54071,Idh2,1,27,16,16,P54071|D6RIL6|A0A0U1RPR1,MOUSE,51361.7,35.3,616,616.1,201.52,201.52,,452,"Isocitrate dehydrogenase [NADP], mitochondrial",mitochondrion|mitochondrial inner membrane|extracellular exosome|,glyoxylate cycle|tricarboxylic acid cycle|isocitrate metabolic process|2-oxoglutarate metabolic process|,magnesium ion binding|isocitrate dehydrogenase (NADP+) activity|NAD binding|,16,27,2550000000,35.3%
Q91VE0,0.046655734,-0.119666667,18.5469412,0.730666667,0.013973522,2.458259763,-0.801,-0.529,-0.125,0.305,0.141,0.291,Q91VE0,Slc27a4,Q91VE0_Slc27a4,Q91VE0,Slc27a4,1,32,17,17,Q91VE0,MOUSE,73173,34.9,617,617.1,201.41,201.41,,643,Long-chain fatty acid transport protein 4,endoplasmic reticulum|endoplasmic reticulum membrane|plasma membrane|microvillus|membrane|integral component of membrane|brush border membrane|,very long-chain fatty acid metabolic process|medium-chain fatty acid transport|long-chain fatty acid metabolic process|fatty acid metabolic process|response to nutrient|long-chain fatty acid transport|very long-chain fatty acid catabolic process|skin development|long-chain fatty acid import|,nucleotide binding|long-chain fatty acid-CoA ligase activity|very long-chain fatty acid-CoA ligase activity|,17,32,2790000000,34.9%
P55288,0.211554349,-0.133833333,7.146010328,0.387,0.192929646,1.302025358,-0.91,-0.465,0.393,0.184,-0.033,0.028,P55288,Cdh11,P55288_Cdh11,P55288,Cdh11,1,36,16,16,P55288,MOUSE,88510.2,29.2,618,618.1,200.93,200.93,,796,Cadherin-11,cytoplasm|plasma membrane|integral component of membrane|extracellular exosome|,homophilic cell adhesion via plasma membrane adhesion molecules|corticospinal tract morphogenesis|,calcium ion binding|,16,36,2280000000,29.2%
Q8BG05,0.057894831,-0.081166667,16.3264088,0.674333333,0.023300172,2.268731524,-0.635,-0.515,-0.105,0.337,0.123,0.308,Q8BG05,Hnrnpa3,Q8BG05_Hnrnpa3,Q8BG05,Hnrnpa3,1,34,17,4,Q8BG05|A2AL12,MOUSE,39879.5,37.9,619,619.1,200.41,35.16,,379,Heterogeneous nuclear ribonucleoprotein A3,spliceosomal complex|,mRNA processing|RNA splicing|,nucleotide binding|RNA binding|,17,34,6830000000,37.9%
J3QNY1,0.066050946,0.039333333,14.94435531,0.637333333,0.032030555,2.144248479,-0.434,-0.284,-0.12,0.555,0.111,0.408,J3QNY1,NotFound,J3QNY1_NotFound,J3QNY1,Gm9242,1,3,15,2,J3QNY1|Q8BG05-2|B2RXM2,MOUSE,37367.7,35,619,619.2,186.67,21.42,,357,Predicted pseudogene 9242,nucleus|cytoplasm|ribonucleoprotein granule|neuron projection|,mRNA transport|,mRNA binding|RNA transmembrane transporter activity|,2,3,334000000,3.6%
Q6PFX7,0.109546141,-0.135833333,10.75834998,0.513666667,0.083977898,1.728183528,-0.774,-0.524,0.12,0.291,0.009,0.063,Q6PFX7,Nyap1,Q6PFX7_Nyap1,Q6PFX7,Nyap1,1,36,17,17,Q6PFX7|Q6PFX7-2|Q6PFX7-3,MOUSE,88693.9,28.8,620,620.1,200.39,200.39,,833,Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1,intracellular|,phosphatidylinositol 3-kinase signaling|neuron projection morphogenesis|,protein binding|,17,36,3310000000,28.8%
P24369,1.77802E-07,-0.2655,80.0520814,1.705,9.88079E-09,5.736313269,-1.257,-1.319,-0.778,0.626,0.556,0.579,P24369,Ppib,P24369_Ppib,P24369,Ppib,1,53,17,17,P24369,MOUSE,23713,61.1,621,621.1,200.35,200.35,,216,Peptidyl-prolyl cis-trans isomerase B,nucleus|endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|focal adhesion|membrane|macromolecular complex|endoplasmic reticulum chaperone complex|melanosome|perinuclear region of cytoplasm|extracellular exosome|,protein peptidyl-prolyl isomerization|positive regulation of multicellular organism growth|positive regulation by host of viral process|positive regulation by host of viral genome replication|protein stabilization|bone development|chaperone-mediated protein folding|,peptidyl-prolyl cis-trans isomerase activity|protein complex binding|peptide binding|poly(A) RNA binding|RNA polymerase binding|collagen binding|,17,53,15000000000,61.1%
Q9Z204,0.000466946,-0.2115,43.96284859,1.221,4.01527E-05,4.10794047,-1.245,-0.918,-0.303,0.323,0.289,0.585,Q9Z204,Hnrnpc,Q9Z204_Hnrnpc,Q9Z204,Hnrnpc,1,39,16,15,Q9Z204|Q9Z204-2|Q9Z204-5|Q9Z204-3|Q9Z204-4,MOUSE,34441.2,43.4,622,622.1,200.32,189.48,,313,Heterogeneous nuclear ribonucleoproteins C1/C2,nuclear chromatin|nucleus|nucleoplasm|spliceosomal complex|cytosol|membrane|protein complex|pronucleus|extracellular exosome|catalytic step 2 spliceosome|,"mRNA splicing, via spliceosome|osteoblast differentiation|ATP-dependent chromatin remodeling|3'-UTR-mediated mRNA stabilization|",nucleotide binding|RNA polymerase II core promoter proximal region sequence-specific DNA binding|RNA polymerase II distal enhancer sequence-specific DNA binding|mRNA binding|mRNA 3'-UTR binding|poly(U) RNA binding|nucleosomal DNA binding|identical protein binding|poly(A) RNA binding|N6-methyladenosine-containing RNA binding|,16,39,23100000000,43.4%
Q8BNU0,0.133562322,-0.1695,9.584282947,0.475,0.110045352,1.598093139,-0.999,-0.548,0.326,0.062,-0.019,0.161,Q8BNU0,Armc6,Q8BNU0_Armc6,Q8BNU0,Armc6,1,27,15,15,Q8BNU0|Q8BNU0-2,MOUSE,51595.2,45.7,623,623.1,199.71,199.71,,468,Armadillo repeat-containing protein 6,,hematopoietic progenitor cell differentiation|,,15,27,2210000000,45.7%
Q03517,4.50485E-15,-0.177833333,161.3203098,2.482333333,7.37852E-17,8.351578673,-1.766,-1.53,-0.961,1.649,0.969,0.572,Q03517,Scg2,Q03517_Scg2,Q03517,Scg2,1,39,15,15,Q03517|Q4W8U9,MOUSE,70642.7,30.3,624,624.1,199.64,199.64,,617,Secretogranin-2,extracellular space|secretory granule|,MAPK cascade|angiogenesis|positive regulation of endothelial cell proliferation|intracellular signal transduction|eosinophil chemotaxis|positive chemotaxis|induction of positive chemotaxis|negative regulation of endothelial cell apoptotic process|negative regulation of extrinsic apoptotic signaling pathway|,cytokine activity|chemoattractant activity|,15,39,4700000000,30.3%
