"","id","adj.P.Val.xBirACre.over.NoBirA","AveExpr.xBirACre.over.NoBirA","Log.P.Value.xBirACre.over.NoBirA","logFC.xBirACre.over.NoBirA","P.Value.xBirACre.over.NoBirA","t.xBirACre.over.NoBirA","PlexesSearchedTogether_correct..126.126.127.128.129.130.131..NoBirA_6Combo.multimedian","PlexesSearchedTogether_correct..128.126.127.128.129.130.131..NoBirA_4Combo.multimedian","PlexesSearchedTogether_correct..129.126.127.128.129.130.131..NoBirA_5Combo.multimedian","PlexesSearchedTogether_correct..127.126.127.128.129.130.131..BirA.Cre_3Combo.multimedian","PlexesSearchedTogether_correct..130.126.127.128.129.130.131..BirA.Cre_2Combo.multimedian","PlexesSearchedTogether_correct..131.126.127.128.129.130.131..BirA.Cre_1Combo.multimedian","id.query","id.mapped","id.concat","accession_number","geneSymbol","numColumnsProteinObserved","numSpectraProteinObserved","numPepsUnique","numPepsUniqueSubgroupSpecificCI","accession_numbers","species","protein_mw","percentCoverage","groupNum","subgroupNum","scoreUnique","scoreUniqueSubgroupSpecificCI","orfCategory","sequenceLength","entry_name","cellular_component","biological_process","molecular_function","PlexesSearchedTogether_correct.unique_peptides","PlexesSearchedTogether_correct.numSpectra","PlexesSearchedTogether_correct.totalIntensity","PlexesSearchedTogether_correct.pct_cov"
"71","Q06890",0.000105478,-0.619166667,46.2842407,3.699666667,2.35275e-05,9.266161943,-2.369,-2.302,-2.736,1.735,1.123,0.834,"Q06890","Clu","Q06890_Clu","Q06890","Clu",1,361,34,34,"Q06890","MOUSE",52282.3,48.4,55,55.1,551.91,551.91,NA,448,"Clusterin","extracellular space|intracellular|nucleus|cytoplasm|mitochondrion|endoplasmic reticulum|cytosol|extracellular matrix|mitochondrial membrane|spherical high-density lipoprotein particle|chromaffin granule|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|neurofibrillary tangle|apical dendrite|extracellular matrix|","cell morphogenesis|microglial cell activation|response to virus|protein import|central nervous system myelin maintenance|positive regulation of proteasomal ubiquitin-dependent protein catabolic process|negative regulation of protein homooligomerization|positive regulation of tumor necrosis factor production|positive regulation of apoptotic process|positive regulation of nitric oxide biosynthetic process|protein stabilization|positive regulation of NF-kappaB transcription factor activity|chaperone-mediated protein complex assembly|response to misfolded protein|chaperone-mediated protein folding|microglial cell proliferation|intrinsic apoptotic signaling pathway|regulation of beta-amyloid clearance|regulation of neuron death|positive regulation of neuron death|positive regulation of beta-amyloid formation|negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage|negative regulation of beta-amyloid formation|regulation of neuronal signal transduction|positive regulation of tau-protein kinase activity|positive regulation of neurofibrillary tangle assembly|positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process|positive regulation of intrinsic apoptotic signaling pathway|","protein binding|ubiquitin protein ligase binding|misfolded protein binding|ATPase activity|",34,361,1.07e+12,"48.4%"
"72","Q01339",0.000141391,-0.846166667,42.96054758,4.166333333,5.05761e-05,8.289284417,-3.881,-2.428,-2.479,1.553,1.261,0.897,"Q01339","Apoh","Q01339_Apoh","Q01339","Apoh",1,386,34,34,"Q01339","MOUSE",39930.4,70.7,56,56.1,542.84,542.84,NA,345,"Beta-2-glycoprotein 1","extracellular space|cell surface|very-low-density lipoprotein particle|high-density lipoprotein particle|chylomicron|extracellular exosome|extracellular matrix|","negative regulation of endothelial cell proliferation|triglyceride metabolic process|blood coagulation, intrinsic pathway|negative regulation of endothelial cell migration|negative regulation of angiogenesis|regulation of blood coagulation|negative regulation of blood coagulation|organ regeneration|plasminogen activation|negative regulation of myeloid cell apoptotic process|negative regulation of smooth muscle cell apoptotic process|positive regulation of lipoprotein lipase activity|regulation of fibrinolysis|negative regulation of fibrinolysis|","glycoprotein binding|phospholipid binding|heparin binding|lipid binding|identical protein binding|lipoprotein lipase activator activity|",34,386,1.99e+12,"70.7%"
"73","O89020",0.00010426,-1.122166667,50.98364493,4.499666667,7.97325e-06,10.81569544,-3.762,-2.748,-3.606,1.333,1.139,0.911,"O89020","Afm","O89020_Afm","O89020","Afm",1,260,38,38,"O89020|O89020-3|O89020-2","MOUSE",71317.7,53.7,57,57.1,542,542,NA,608,"Afamin","extracellular space|extracellular exosome|blood microparticle|","vitamin transport|","vitamin E binding|",38,260,1.6e+11,"53.7%"
"74","B2RPV6",0.000112595,-0.646666667,45.06674631,3.772,3.11405e-05,8.897630055,-1.99,-2.856,-2.752,1.348,1.569,0.801,"B2RPV6","Mmrn1","B2RPV6_Mmrn1","B2RPV6","Mmrn1",1,145,40,40,"B2RPV6|G3UVV6|A0A0N4SVL8","MOUSE",137358.3,33.4,58,58.1,527.42,527.42,NA,1210,"Multimerin-1","extracellular region|","","",40,145,1.47e+10,"33.4%"
"75","P13020",0.00010426,-0.890666667,46.71884241,3.954666667,2.12871e-05,9.40083909,-3.539,-2.555,-2.51,1.168,1.192,0.9,"P13020","Gsn","P13020_Gsn","P13020","Gsn",1,168,37,37,"P13020|P13020-2","MOUSE",86339.4,38.9,59,59.1,523.23,523.23,NA,780,"Gelsolin","ruffle|podosome|extracellular region|extracellular space|cytoplasm|cytosol|plasma membrane|focal adhesion|sarcoplasm|lamellipodium|actin cap|cortical actin cytoskeleton|myelin sheath|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|nucleus|focal adhesion|cortical actin cytoskeleton|","phagocytosis, engulfment|aging|positive regulation of gene expression|oligodendrocyte development|striated muscle atrophy|vesicle-mediated transport|actin filament polymerization|protein destabilization|tissue regeneration|sequestering of actin monomers|actin nucleation|response to ethanol|negative regulation of viral entry into host cell|phosphatidylinositol-mediated signaling|actin filament severing|barbed-end actin filament capping|positive regulation of actin nucleation|response to folic acid|actin filament capping|cilium morphogenesis|cellular response to cadmium ion|regulation of podosome assembly|actin filament reorganization|renal protein absorption|hepatocyte apoptotic process|positive regulation of keratinocyte apoptotic process|regulation of wound healing, spreading of epidermal cells|regulation of establishment of T cell polarity|regulation of plasma membrane raft polarization|regulation of receptor clustering|positive regulation of protein processing in phagocytic vesicle|amyloid fibril formation|positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway|","actin binding|calcium ion binding|protein binding|protein domain specific binding|myosin II binding|",37,168,1.36e+11,"38.9%"
"76","Q61508",0.000459505,-0.331,35.33715811,4.223333333,0.000292607,6.360226936,-1.868,-2.211,-3.249,1.528,3.037,0.777,"Q61508","Ecm1","Q61508_Ecm1","Q61508","Ecm1",1,188,34,34,"Q61508|F8WI14|Q61508-2","MOUSE",64485.6,67.2,60,60.1,509.54,509.54,NA,559,"Extracellular matrix protein 1","proteinaceous extracellular matrix|extracellular space|extracellular matrix|extracellular exosome|","ossification|angiogenesis|positive regulation of endothelial cell proliferation|negative regulation of cytokine-mediated signaling pathway|regulation of type 2 immune response|regulation of transcription from RNA polymerase II promoter|inflammatory response|signal transduction|negative regulation of peptidase activity|negative regulation of bone mineralization|biomineral tissue development|positive regulation of I-kappaB kinase/NF-kappaB signaling|positive regulation of angiogenesis|regulation of T cell migration|","protease binding|signal transducer activity|interleukin-2 receptor binding|protein C-terminus binding|enzyme binding|laminin binding|",34,188,9.57e+10,"67.2%"
"77","Q8VCU2",0.000611179,-0.874666667,33.85145948,3.96,0.000411959,6.027724073,-4.081,-3.02,-1.463,1.374,1.01,0.932,"Q8VCU2","Gpld1","Q8VCU2_Gpld1","Q8VCU2","Gpld1",1,206,33,33,"Q8VCU2|O70362","MOUSE",94192.4,45.9,61,61.1,501.16,501.16,NA,842,"Glycosylphosphatidylinositol specific phospholipase D1","proteinaceous extracellular matrix|extracellular space|intracellular|cytoplasm|lysosomal membrane|intracellular membrane-bounded organelle|extracellular exosome|","cell migration involved in sprouting angiogenesis|complement receptor mediated signaling pathway|GPI anchor release|negative regulation of cell proliferation|insulin receptor signaling pathway|response to glucose|positive regulation of endothelial cell migration|cellular response to insulin stimulus|cellular response to drug|positive regulation of apoptotic process|positive regulation of cytolysis|positive regulation of membrane protein ectodomain proteolysis|cellular response to calcium ion|cellular response to cholesterol|cellular response to triglyceride|cellular response to pH|regulation of cellular response to insulin stimulus|","glycosylphosphatidylinositol phospholipase D activity|phospholipase D activity|protein binding|",33,206,9.89e+10,"45.9%"
"78","Q19LI2",0.001357334,-0.243166667,29.99902566,4.363666667,0.001000224,5.327013543,-3.078,-2.379,-1.818,1,3.816,1,"Q19LI2","A1bg","Q19LI2_A1bg","Q19LI2","A1bg",1,353,30,30,"Q19LI2","MOUSE",57237.7,66,62,62.1,495.2,495.2,NA,512,"Alpha-1B-glycoprotein","extracellular region|extracellular space|extracellular exosome|blood microparticle|","","",30,353,1.52e+12,"66.0%"
"80","Q3TTY5",0.004717678,-0.7015,24.22045629,2.662333333,0.003784028,4.140013911,-1.45,-1.13,-3.518,0.552,0.607,0.73,"Q3TTY5","Krt2","Q3TTY5_Krt2","Q3TTY5","Krt2",1,74,15,9,"Q3TTY5","MOUSE",71377.9,12.3,63,63.3,180.69,106.76,NA,707,"Keratin, type II cytoskeletal 2 epidermal","extracellular space|nucleus|Golgi apparatus|membrane|keratin filament|extracellular exosome|","keratinization|keratinocyte activation|keratinocyte proliferation|keratinocyte migration|","structural molecule activity|",9,74,5.26e+10,"9.0%"
"81","Q6IFZ6",0.045957745,-0.669,13.7898342,1.980666667,0.041784632,2.471048105,0.09,-1.859,-3.209,0.566,0.514,-0.116,"Q6IFZ6","Krt77","Q6IFZ6_Krt77","Q6IFZ6","Krt77",1,8,10,5,"Q6IFZ6|Q6IFZ9","MOUSE",61414.7,12,63,63.6,120.32,45.95,NA,572,"Keratin, type II cytoskeletal 1b","cytoskeleton|keratin filament|extracellular exosome|","","structural molecule activity|",5,8,1.01e+09,"5.7%"
"84","Q8BPB5",0.00010426,-0.842833333,50.56622331,3.985,8.77764e-06,10.66937928,-3.216,-2.726,-2.564,1.181,1.331,0.937,"Q8BPB5","Efemp1","Q8BPB5_Efemp1","Q8BPB5","Efemp1",1,190,27,27,"Q8BPB5","MOUSE",57234.1,59.2,64,64.1,473.28,473.28,NA,493,"EGF-containing fibulin-like extracellular matrix protein 1","proteinaceous extracellular matrix|extracellular space|extracellular exosome|extracellular matrix|","regulation of transcription, DNA-templated|epidermal growth factor receptor signaling pathway|peptidyl-tyrosine phosphorylation|negative regulation of chondrocyte differentiation|","epidermal growth factor-activated receptor activity|epidermal growth factor receptor binding|calcium ion binding|growth factor activity|",27,190,1.32e+11,"59.2%"
"85","Q9ESB3",0.000199242,-0.9675,40.46901772,4.673,8.97632e-05,7.614328832,-3.754,-2.183,-3.975,2.204,1.018,0.885,"Q9ESB3","Hrg","Q9ESB3_Hrg","Q9ESB3","Hrg",1,282,26,26,"A0A0R4J039|Q9ESB3","MOUSE",60131.6,42.8,65,65.1,429.95,429.95,NA,525,"Histidine-rich glycoprotein","extracellular region|vesicle|endolysosome|phagolysosome membrane|","angiogenesis|positive regulation of immune response to tumor cell|chemotaxis|negative regulation of cell adhesion|negative regulation of cell proliferation|regulation of gene expression|regulation of platelet activation|negative regulation of lamellipodium assembly|negative regulation of endopeptidase activity|response to organic cyclic compound|heme transport|negative regulation of angiogenesis|platelet activation|regulation of blood coagulation|negative regulation of cell growth|regulation of actin cytoskeleton organization|negative regulation of cell adhesion mediated by integrin|regulation of transcription from RNA polymerase II promoter in response to iron|fibrinolysis|positive regulation of apoptotic process|regulation of protein complex assembly|negative regulation of blood vessel endothelial cell migration|regulation of peptidyl-tyrosine phosphorylation|defense response to fungus|positive regulation of focal adhesion assembly|negative regulation of fibrinolysis|heme export|negative regulation of vascular endothelial growth factor signaling pathway|positive regulation of blood vessel remodeling|negative regulation of endothelial cell chemotaxis|","serine-type endopeptidase inhibitor activity|cysteine-type endopeptidase inhibitor activity|receptor binding|protein binding|heparin binding|zinc ion binding|immunoglobulin binding|heme binding|heparan sulfate proteoglycan binding|metal ion binding|",26,282,7.47e+11,"42.8%"
"86","Q01279",0.00010426,-0.877333333,48.26285473,4.218,1.49181e-05,9.893089589,-3.586,-2.817,-2.556,0.928,1.572,1.195,"Q01279","Egfr","Q01279_Egfr","Q01279","Egfr",1,159,30,30,"Q01279|Q9WVF5","MOUSE",138274.2,23.2,66,66.1,411.11,411.11,NA,1210,"Epidermal growth factor receptor","Golgi membrane|intracellular|nucleus|cytoplasm|endosome|endoplasmic reticulum membrane|plasma membrane|focal adhesion|cell surface|endosome membrane|membrane|integral component of membrane|basolateral plasma membrane|endocytic vesicle|early endosome membrane|nuclear membrane|receptor complex|membrane raft|perinuclear region of cytoplasm|multivesicular body, internal vesicle lumen|","cell morphogenesis|embryonic placenta development|positive regulation of protein phosphorylation|hair follicle development|signal transduction|cell surface receptor signaling pathway|epidermal growth factor receptor signaling pathway|salivary gland morphogenesis|learning or memory|cell proliferation|positive regulation of cell proliferation|epidermis development|single organismal cell-cell adhesion|peptidyl-tyrosine phosphorylation|cerebral cortex cell migration|signal transduction by protein phosphorylation|positive regulation of cell migration|positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle|positive regulation of catenin import into nucleus|regulation of cell proliferation|negative regulation of protein catabolic process|positive regulation of phosphorylation|negative regulation of apoptotic process|positive regulation of MAP kinase activity|positive regulation of nitric oxide biosynthetic process|positive regulation of DNA repair|positive regulation of DNA replication|positive regulation of transcription from RNA polymerase II promoter|protein autophosphorylation|positive regulation of fibroblast proliferation|digestive tract morphogenesis|positive regulation of epithelial cell proliferation|regulation of peptidyl-tyrosine phosphorylation|regulation of nitric-oxide synthase activity|positive regulation of protein kinase B signaling|morphogenesis of an epithelial fold|response to UV-A|positive regulation of ERK1 and ERK2 cascade|cellular response to amino acid stimulus|cellular response to epidermal growth factor stimulus|cellular response to estradiol stimulus|","chromatin binding|protein tyrosine kinase activity|receptor signaling protein tyrosine kinase activity|signal transducer activity|transmembrane signaling receptor activity|epidermal growth factor-activated receptor activity|protein binding|ATP binding|kinase activity|enzyme binding|protein phosphatase binding|ubiquitin protein ligase binding|identical protein binding|protein heterodimerization activity|actin filament binding|nitric-oxide synthase regulator activity|",30,159,6e+10,"23.2%"
"87","A2A7A7",0.00010426,-0.945333333,50.28022526,3.943333333,9.37513e-06,10.57015067,-3.319,-2.575,-2.857,1.116,0.905,1.058,"A2A7A7","H6pd","A2A7A7_H6pd","A2A7A7","H6pd",1,130,28,28,"A2A7A7|Q8CF","MOUSE",90478.8,36.2,67,67.1,409.25,409.25,NA,797,"GDH/6PGL endoplasmic bifunctional protein","mitochondrion|","glucose metabolic process|pentose-phosphate shunt|oxidation-reduction process|response to alcohol|","glucose-6-phosphate dehydrogenase activity|6-phosphogluconolactonase activity|carbohydrate binding|NADP binding|",28,130,3.57e+10,"36.2%"
"88","P97290",0.000128279,-0.907833333,43.91751786,4.117666667,4.0574e-05,8.561228435,-3.847,-2.649,-2.404,1.438,1.111,0.904,"P97290","Serping1","P97290_Serping1","P97290","Serping1",1,234,27,27,"P97290|A2ATR8","MOUSE",55868.8,39.2,68,68.1,405.64,405.64,NA,504,"Plasma protease C1 inhibitor","extracellular space|extracellular exosome|blood microparticle|","negative regulation of complement activation, lectin pathway|complement activation, classical pathway|aging|blood coagulation|negative regulation of endopeptidase activity|fibrinolysis|innate immune response|","serine-type endopeptidase inhibitor activity|",27,234,2.22e+11,"39.2%"
"89","Q8R121",0.00010426,-0.942333333,50.40818202,4.269333333,9.10294e-06,10.61444405,-3.598,-2.71,-2.923,1.308,1.368,0.901,"Q8R121","Serpina10","Q8R121_Serpina10","Q8R121","Serpina10",1,155,27,27,"Q8R121|Q8R121-2","MOUSE",51910.6,53.7,69,69.1,404.14,404.14,NA,448,"Protein Z-dependent protease inhibitor","extracellular space|extracellular exosome|","blood coagulation|negative regulation of endopeptidase activity|","serine-type endopeptidase inhibitor activity|heparin binding|",27,155,7.17e+10,"53.7%"
"90","Q9JKR6",0.00010426,-1.196166667,50.51440847,4.409666667,8.88299e-06,10.6513406,-3.744,-2.741,-3.718,1.002,1.092,0.932,"Q9JKR6","Hyou1","Q9JKR6_Hyou1","Q9JKR6","Hyou1",1,127,29,29,"Q9JKR6|E0CYZ2","MOUSE",111407.3,31.8,70,70.1,403.28,403.28,NA,999,"Hypoxia up-regulated protein 1","extracellular region|endoplasmic reticulum lumen|focal adhesion|membrane|endoplasmic reticulum chaperone complex|extracellular exosome|","response to ischemia|response to endoplasmic reticulum stress|negative regulation of apoptotic process|cellular response to hypoxia|negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway|negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway|","ATP binding|",29,127,1.47e+10,"31.8%"
"91","Q61247",0.00010426,-1.085666667,46.9907793,4.751333333,1.9995e-05,9.485963038,-3.87,-2.526,-3.988,1.507,1.47,0.893,"Q61247","Serpinf2","Q61247_Serpinf2","Q61247","Serpinf2",1,272,25,25,"Q61247","MOUSE",55199.1,41.1,71,71.1,402.22,402.22,NA,491,"Alpha-2-antiplasmin","fibrinogen complex|extracellular space|cell surface|extracellular exosome|blood microparticle|","regulation of blood vessel size by renin-angiotensin|acute-phase response|response to organic substance|negative regulation of plasminogen activation|negative regulation of endopeptidase activity|collagen fibril organization|positive regulation of collagen biosynthetic process|positive regulation of cell differentiation|positive regulation of transcription from RNA polymerase II promoter|positive regulation of JNK cascade|blood vessel morphogenesis|positive regulation of smooth muscle cell proliferation|positive regulation of stress fiber assembly|negative regulation of fibrinolysis|positive regulation of ERK1 and ERK2 cascade|positive regulation of transforming growth factor beta production|","protease binding|serine-type endopeptidase inhibitor activity|protein homodimerization activity|",25,272,9.06e+11,"41.1%"
"92","Q3UER8",0.029148945,0.009,15.86845782,3.108,0.025891322,2.823965301,0.145,-2.462,-2.318,0.96,3.694,0.035,"Q3UER8","Fgg","Q3UER8_Fgg","Q3UER8","Fgg",1,212,28,28,"Q3UER8|Q8VCM7|P12799|F1MGU7|Q3SZZ9","MOUSE",51033.2,59.1,72,72.1,401.01,401.01,NA,443,"Fibrinogen gamma chain","fibrinogen complex|extracellular space|cell cortex|external side of plasma membrane|cell surface|platelet alpha granule|extracellular exosome|blood microparticle|","cell-matrix adhesion|signal transduction|protein secretion|plasminogen activation|positive regulation of heterotypic cell-cell adhesion|fibrinolysis|cellular protein complex assembly|positive regulation of vasoconstriction|positive regulation of exocytosis|positive regulation of protein secretion|protein polymerization|response to calcium ion|positive regulation of ERK1 and ERK2 cascade|platelet aggregation|blood coagulation, fibrin clot formation|positive regulation of peptide hormone secretion|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|negative regulation of endothelial cell apoptotic process|","receptor binding|structural molecule activity|protein binding, bridging|cell adhesion molecule binding|",28,212,2.37e+11,"59.1%"
"93","F8VQ07",0.00010426,-1.013333333,49.24770647,4.333333333,1.18913e-05,10.21868765,-3.733,-2.664,-3.143,1.492,1.072,0.896,"F8VQ07","5830473C10Rik","F8VQ07_5830473C10Rik","F8VQ07","5830473C10Rik",1,120,30,30,"F8VQ07|A0A0J9YV75","MOUSE",72340.4,41.7,73,73.1,396.62,396.62,NA,620,"RIKEN cDNA 5830473C10 gene","extracellular space|","transport|","",30,120,1.59e+10,"41.7%"
"94","Q8BH61",0.003795431,0.151666667,25.20947678,3.919333333,0.003013369,4.43217355,-1.231,-1.473,-2.72,1.675,4,0.659,"Q8BH61","F13a1","Q8BH61_F13a1","Q8BH61","F13a1",1,148,26,26,"Q8BH61","MOUSE",83719.2,32.9,74,74.1,392.34,392.34,NA,732,"Coagulation factor XIII A chain","cytoplasm|blood microparticle|","blood coagulation|peptide cross-linking|","protein-glutamine gamma-glutamyltransferase activity|metal ion binding|",26,148,3e+10,"32.9%"
"95","Q9QWK4",0.00010426,-0.725833333,47.53939504,4.015,1.76222e-05,9.65972563,-2.888,-2.605,-2.707,1.003,1.933,0.909,"Q9QWK4","Cd5l","Q9QWK4_Cd5l","Q9QWK4","Cd5l",1,209,26,26,"Q9QWK4","MOUSE",40345.4,60.7,75,75.1,390.37,390.37,NA,352,"CD5 antigen-like","membrane|extracellular exosome|blood microparticle|","receptor-mediated endocytosis|apoptotic process|","scavenger receptor activity|",26,209,4.57e+11,"60.7%"
"96","Q8BHN3-2",0.00010426,-1.010166667,50.16635913,4.122333333,9.62419e-06,10.53087307,-3.473,-2.569,-3.172,1.162,1.098,0.893,"Q8BHN3","Ganab","Q8BHN3-2_Ganab","Q8BHN3-2","Ganab",1,112,33,33,"Q8BHN3-2|Q8BHN3|Q8BHN3-3","MOUSE",109858.4,33.6,76,76.1,387.82,387.82,NA,944,"Isoform 2 of Neutral alpha-glucosidase AB","endoplasmic reticulum|Golgi apparatus|membrane|glucosidase II complex|melanosome|extracellular exosome|","N-glycan processing|","protein binding|glucosidase activity|carbohydrate binding|glucan 1,3-alpha-glucosidase activity|poly(A) RNA binding|",33,112,1.58e+10,"33.6%"
"97","P49182",0.00010426,-1.168833333,48.89190726,4.775666667,1.29065e-05,10.09998901,-3.569,-2.849,-4.252,1.627,1.106,0.924,"P49182","Serpind1","P49182_Serpind1","P49182","Serpind1",1,210,26,26,"P49182","MOUSE",54781,49.3,77,77.1,384.86,384.86,NA,478,"Heparin cofactor 2","extracellular space|extracellular exosome|","blood coagulation|negative regulation of endopeptidase activity|","serine-type endopeptidase inhibitor activity|heparin binding|",26,210,2.02e+11,"49.3%"
"98","P26928",0.000128279,-1.2935,43.90621989,4.741666667,4.06797e-05,8.557975087,-3.641,-2.649,-4.703,1.293,1.016,0.923,"P26928","Mst1","P26928_Mst1","P26928","Mst1",1,138,29,29,"P26928|E0CXN0","MOUSE",83185.1,40,78,78.1,378.2,378.2,NA,716,"Hepatocyte growth factor-like protein","extracellular exosome|","proteolysis|spermatogenesis|embryo implantation|sperm motility|","serine-type endopeptidase activity|",29,138,3.13e+10,"40.0%"
"99","A2AS37",0.00010426,-1.008166667,48.31742692,4.519,1.47319e-05,9.910890506,-3.77,-2.571,-3.462,1.662,1.199,0.893,"A2AS37","AI182371","A2AS37_AI182371","A2AS37","AI182371",1,158,23,23,"A2AS37","MOUSE",40887.3,52.2,79,79.1,374.1,374.1,NA,356,"Expressed sequence AI182371","extracellular region|","inflammatory response|complement activation|negative regulation of endopeptidase activity|","endopeptidase inhibitor activity|",23,158,1.61e+11,"52.2%"
"100","P14211",0.00010426,-1.247,47.7481624,4.592,1.67951e-05,9.726569745,-4.432,-3.006,-3.191,1.205,1.015,0.927,"P14211","Calr","P14211_Calr","P14211","Calr",1,141,26,26,"P14211","MOUSE",48164.8,54.3,80,80.1,368.72,368.72,NA,416,"Calreticulin","acrosomal vesicle|extracellular region|extracellular space|nucleus|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|Golgi apparatus|cytosol|polysome|focal adhesion|external side of plasma membrane|membrane|extracellular matrix|sarcoplasmic reticulum lumen|MHC class I peptide loading complex|phagocytic vesicle|perinuclear region of cytoplasm|extracellular exosome|","negative regulation of transcription from RNA polymerase II promoter|peptide antigen assembly with MHC class I protein complex|protein export from nucleus|cell cycle arrest|spermatogenesis|positive regulation of cell proliferation|positive regulation of gene expression|negative regulation of translation|cortical actin cytoskeleton organization|response to estradiol|negative regulation of intracellular steroid hormone receptor signaling pathway|response to testosterone|protein localization to nucleus|regulation of meiotic nuclear division|response to drug|negative regulation of neuron differentiation|positive regulation of DNA replication|positive regulation of cell cycle|negative regulation of transcription, DNA-templated|negative regulation of retinoic acid receptor signaling pathway|positive regulation of phagocytosis|protein stabilization|cardiac muscle cell differentiation|chaperone-mediated protein folding|cellular response to lithium ion|cellular response to organic substance|cellular senescence|positive regulation of substrate adhesion-dependent cell spreading|positive regulation of dendritic cell chemotaxis|","glycoprotein binding|mRNA binding|integrin binding|iron ion binding|calcium ion binding|protein binding|carbohydrate binding|ubiquitin protein ligase binding|peptide binding|hormone binding|poly(A) RNA binding|androgen receptor binding|unfolded protein binding|",26,141,7.97e+10,"54.3%"
"101","Q8BK48",0.00010426,-0.9885,49.99140278,4.245,1.00198e-05,10.4707751,-3.643,-2.643,-3.047,1.262,1.239,0.901,"Q8BK48","Ces2e","Q8BK48_Ces2e","Q8BK48","Ces2e",1,140,23,18,"Q8BK48|F6Z9B9|Q08ED5|Q149K3","MOUSE",62716,44.5,81,81.1,358.53,287.37,NA,559,"Pyrethroid hydrolase Ces2e","endoplasmic reticulum|","metabolic process|","carboxylic ester hydrolase activity|",23,140,3.24e+10,"44.5%"
"102","Q91WG0",0.000112515,-0.979833333,45.11715068,4.119666667,3.07812e-05,8.91263592,-3.817,-2.455,-2.847,1.401,0.95,0.889,"Q91WG0","Ces2c","Q91WG0_Ces2c","Q91WG0","Ces2c",1,32,16,9,"Q91WG0","MOUSE",62753.8,31.3,81,81.2,239.59,134.84,NA,561,"Acylcarnitine hydrolase","endoplasmic reticulum|intracellular membrane-bounded organelle|","metabolic process|","acylcarnitine hydrolase activity|",9,32,1.27e+09,"16.2%"
"103","Q8QZR3",0.00010426,-1.2445,51.59426805,4.546333333,6.92745e-06,11.03296392,-3.894,-2.89,-3.769,1.21,0.956,0.92,"Q8QZR3","Ces2a","Q8QZR3_Ces2a","Q8QZR3","Ces2a",1,23,10,5,"Q8QZR3|Q8QZR3-2","MOUSE",62395.6,17.7,81,81.3,143.29,73.57,NA,558,"Pyrethroid hydrolase Ces2a","","","carboxylic ester hydrolase activity|",5,23,1.12e+09,"10.2%"
"104","E9PV38",0.00029252,-1.071166667,37.87501739,4.001666667,0.000163117,6.958903718,-3.387,-1.866,-3.963,1.19,0.812,0.787,"E9PV38","Ces2g","E9PV38_Ces2g","E9PV38","Ces2g",1,3,9,3,"E9PV38","MOUSE",63005,19.6,81,81.4,113.08,24.29,NA,560,"Carboxylic ester hydrolase","","metabolic process|","hydrolase activity|",3,3,3.34e+08,"7.1%"
"105","P00920",0.000152167,-0.737,42.27925473,3.854,5.91663e-05,8.100066277,-3.479,-2.511,-2.002,1.47,0.911,1.189,"P00920","Car2","P00920_Car2","P00920","Ca2",1,108,19,19,"P00920|A0A0A6YX78|P00921","MOUSE",29146.1,66.5,82,82.1,349.71,349.71,NA,260,"Carbonic anhydrase 2","extracellular space|cytoplasm|cytosol|plasma membrane|microvillus|basolateral plasma membrane|axon|myelin sheath|apical part of cell|extracellular exosome|","kidney development|morphogenesis of an epithelium|one-carbon metabolic process|regulation of pH|response to pH|response to zinc ion|carbon dioxide transport|positive regulation of synaptic transmission, GABAergic|positive regulation of cellular pH reduction|angiotensin-activated signaling pathway|odontogenesis of dentin-containing tooth|response to estrogen|regulation of anion transport|positive regulation of osteoclast differentiation|positive regulation of bone resorption|secretion|regulation of intracellular pH|cellular response to fluid shear stress|positive regulation of dipeptide transmembrane transport|regulation of chloride transport|","arylesterase activity|carbonate dehydratase activity|zinc ion binding|",19,108,2.61e+10,"66.5%"
