"Amanda_newDatabase, 126:127, NoBirA_6:BirA/Cre_3","Amanda_newDatabase, 126:128, NoBirA_6:NoBirA_4","Amanda_newDatabase, 126:129, NoBirA_6:NoBirA_5","Amanda_newDatabase, 126:130, NoBirA_6:BirA/Cre_2","Amanda_newDatabase, 126:131, NoBirA_6:BirA/Cre_1","Amanda_newDatabase, 127:126, BirA/Cre_3:NoBirA_6","Amanda_newDatabase, 127:128, BirA/Cre_3:NoBirA_4","Amanda_newDatabase, 127:129, BirA/Cre_3:NoBirA_5","Amanda_newDatabase, 127:130, BirA/Cre_3:BirA/Cre_2","Amanda_newDatabase, 127:131, BirA/Cre_3:BirA/Cre_1","Amanda_newDatabase, 128:126, NoBirA_4:NoBirA_6","Amanda_newDatabase, 128:127, NoBirA_4:BirA/Cre_3","Amanda_newDatabase, 128:129, NoBirA_4:NoBirA_5","Amanda_newDatabase, 128:130, NoBirA_4:BirA/Cre_2","Amanda_newDatabase, 128:131, NoBirA_4:BirA/Cre_1","Amanda_newDatabase, 129:126, NoBirA_5:NoBirA_6","Amanda_newDatabase, 129:127, NoBirA_5:BirA/Cre_3","Amanda_newDatabase, 129:128, NoBirA_5:NoBirA_4","Amanda_newDatabase, 129:130, NoBirA_5:BirA/Cre_2","Amanda_newDatabase, 129:131, NoBirA_5:BirA/Cre_1","Amanda_newDatabase, 130:126, BirA/Cre_2:NoBirA_6","Amanda_newDatabase, 130:127, BirA/Cre_2:BirA/Cre_3","Amanda_newDatabase, 130:128, BirA/Cre_2:NoBirA_4","Amanda_newDatabase, 130:129, BirA/Cre_2:NoBirA_5","Amanda_newDatabase, 130:131, BirA/Cre_2:BirA/Cre_1","Amanda_newDatabase, 131:126, BirA/Cre_1:NoBirA_6","Amanda_newDatabase, 131:127, BirA/Cre_1:BirA/Cre_3","Amanda_newDatabase, 131:128, BirA/Cre_1:NoBirA_4","Amanda_newDatabase, 131:129, BirA/Cre_1:NoBirA_5","Amanda_newDatabase, 131:130, BirA/Cre_1:BirA/Cre_2",id,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Amanda_newDatabase unique_peptides,Amanda_newDatabase numSpectra,Amanda_newDatabase totalIntensity,Amanda_newDatabase pct_cov
-4.472,1.081,1.09,-4.496,-4.332,4.472,5.426,4.757,-0.012,0.169,-1.081,-5.426,0.127,-5.281,-5.176,-1.09,-4.757,-0.127,-4.304,-4.705,4.496,0.012,5.281,4.304,0.182,4.332,-0.169,5.176,4.705,-0.182,Q60590,Q60590,Orm1,1,36,12,7,Q60590|J3JRU4|Q63805,MOUSE,24008.9,33.8,151,151.1,181.9,109.51,,207,Alpha-1-acid glycoprotein 1,extracellular space|,regulation of immune system process|transport|acute-phase response|,,12,36,2.39E+10,33.80%
-1.163,2.942,3.784,-1.108,-1.779,1.163,4.124,4.724,-0.156,-0.616,-2.942,-4.124,-0.558,-4.049,-5.109,-3.784,-4.724,0.558,-4.868,-5.575,1.108,0.156,4.049,4.868,-0.404,1.779,0.616,5.109,5.575,0.404,P07361,P07361,Orm2,1,7,9,4,P07361,MOUSE,23957.1,28.5,151,151.2,118.16,45.77,,207,Alpha-1-acid glycoprotein 2,extracellular space|,regulation of immune system process|transport|acute-phase response|,,4,7,4.78E+08,12.50%
-4.711,-0.406,2.171,-3.31,-4.011,4.711,4.228,6.347,1.35,0.749,0.406,-4.228,1.503,-3.189,-3.703,-2.171,-6.347,-1.503,-4.794,-5.392,3.31,-1.35,3.189,4.794,-0.598,4.011,-0.749,3.703,5.392,0.598,Q3UEL9,Q3UEL9,Serpina7,1,35,14,14,Q3UEL9|P61939|Q8BII9,MOUSE,48364.8,29.3,152,152.1,181.59,181.59,,426,Thyroxine-binding globulin,extracellular space|extracellular exosome|,aging|post-embryonic development|negative regulation of endopeptidase activity|response to vitamin A|response to prostaglandin E|response to drug|response to peptide hormone|response to corticosterone|thyroid hormone transport|,serine-type endopeptidase inhibitor activity|hormone binding|,14,35,4.13E+09,29.30%
-5.65,-0.281,1.182,-5.278,-5.103,5.65,4.391,5.827,-0.032,0.437,0.281,-4.391,0.986,-4.283,-4.029,-1.182,-5.827,-0.986,-5.807,-5.422,5.278,0.032,4.283,5.807,0.507,5.103,-0.437,4.029,5.422,-0.507,P11680,P11680,Cfp,1,58,12,12,P11680,MOUSE,52836.7,32.5,153,153.1,181.53,181.53,,464,Properdin,extracellular region|extracellular matrix|,"complement activation, alternative pathway|",,12,58,9.01E+10,32.50%
-5.924,0.49,0.998,-5.327,-5.087,5.924,5.824,6.627,0.55,0.758,-0.49,-5.824,-1.356,-5.19,-5.1,-0.998,-6.627,1.356,-6.257,-6.181,5.327,-0.55,5.19,6.257,0.258,5.087,-0.758,5.1,6.181,-0.258,P16301,P16301,Lcat,1,55,11,11,P16301,MOUSE,50088.2,29.6,154,154.1,180.71,180.71,,438,Phosphatidylcholine-sterol acyltransferase,extracellular space|high-density lipoprotein particle|extracellular exosome|,phospholipid metabolic process|phosphatidylcholine biosynthetic process|cholesterol metabolic process|cholesterol transport|very-low-density lipoprotein particle remodeling|high-density lipoprotein particle remodeling|cholesterol esterification|lipoprotein biosynthetic process|cholesterol homeostasis|reverse cholesterol transport|response to copper ion|response to glucocorticoid|regulation of high-density lipoprotein particle assembly|,phosphatidylcholine-sterol O-acyltransferase activity|phospholipase A2 activity|apolipoprotein A-I binding|,11,55,9.00E+10,29.60%
-5.249,0.124,0.822,-4.643,-4.331,5.249,4.042,5.959,0.466,0.792,-0.124,-4.042,-0.166,-3.409,-3.673,-0.822,-5.959,0.166,-5.033,-5.02,4.643,-0.466,3.409,5.033,0.287,4.331,-0.792,3.673,5.02,-0.287,P47879,P47879,Igfbp4,1,43,13,13,P47879|H3BLB7,MOUSE,28947.5,48.8,155,155.1,179.07,179.07,,254,Insulin-like growth factor-binding protein 4,extracellular space|,regulation of cell growth|inflammatory response|regulation of glucose metabolic process|regulation of growth|positive regulation of MAPK cascade|positive regulation of insulin-like growth factor receptor signaling pathway|type B pancreatic cell proliferation|,insulin-like growth factor binding|insulin-like growth factor I binding|insulin-like growth factor II binding|,13,43,1.63E+10,48.80%
-5.045,1.704,1.489,-4.238,-4.327,5.045,3.187,6.395,0.795,0.732,-1.704,-3.187,1.012,-2.563,-2.71,-1.489,-6.395,-1.012,-5.657,-5.471,4.238,-0.795,2.563,5.657,-0.134,4.327,-0.732,2.71,5.471,0.134,Q61805,Q61805,Lbp,1,32,14,14,Q61805|A2AC65,MOUSE,53282.7,28.4,156,156.1,179.01,179.01,,481,Lipopolysaccharide-binding protein,extracellular space|cell surface|extracellular exosome|,"liver development|leukocyte chemotaxis involved in inflammatory response|macrophage activation involved in immune response|acute-phase response|opsonization|lipopolysaccharide transport|lipopolysaccharide-mediated signaling pathway|detection of molecule of bacterial origin|response to lipopolysaccharide|negative regulation of tumor necrosis factor production|positive regulation of chemokine production|positive regulation of interleukin-6 production|positive regulation of interleukin-8 production|positive regulation of tumor necrosis factor production|positive regulation of toll-like receptor 4 signaling pathway|positive regulation of tumor necrosis factor biosynthetic process|positive regulation of macrophage activation|negative regulation of growth of symbiont in host|innate immune response|defense response to Gram-negative bacterium|defense response to Gram-positive bacterium|positive regulation of phagocytosis, engulfment|positive regulation of respiratory burst involved in inflammatory response|cellular response to lipopolysaccharide|cellular response to lipoteichoic acid|positive regulation of neutrophil chemotaxis|regulation of membrane permeability|",lipopolysaccharide binding|receptor binding|lipoteichoic acid binding|,14,32,2.41E+09,28.40%
-5.205,-0.07,1.381,-4.603,-5.111,5.205,4.795,5.833,0.589,0.142,0.07,-4.795,0.796,-4.413,-4.742,-1.381,-5.833,-0.796,-5.345,-5.624,4.603,-0.589,4.413,5.345,-0.485,5.111,-0.142,4.742,5.624,0.485,Q8VCG4,Q8VCG4,C8g,1,55,11,11,Q8VCG4|Q9DAC2,MOUSE,22678.7,62.3,157,157.1,176.6,176.6,,202,Complement component C8 gamma chain,membrane attack complex|extracellular exosome|blood microparticle|,"complement activation, alternative pathway|complement activation, classical pathway|cytolysis|",complement binding|retinol binding|protein complex binding|,11,55,2.34E+10,62.30%
-4.491,0.828,0.598,-3.798,-4.081,4.491,5.46,5.117,0.428,0.409,-0.828,-5.46,-0.174,-4.584,-4.726,-0.598,-5.117,0.174,-4.236,-4.524,3.798,-0.428,4.584,4.236,-0.019,4.081,-0.409,4.726,4.524,0.019,O09164,O09164,Sod3,1,31,10,10,O09164,MOUSE,27733.7,44.2,158,158.1,176.57,176.57,,251,Extracellular superoxide dismutase [Cu-Zn],extracellular space|nucleus|cytoplasm|Golgi lumen|trans-Golgi network|extracellular exosome|extracellular matrix|,response to hypoxia|removal of superoxide radicals|response to copper ion|oxidation-reduction process|,superoxide dismutase activity|copper ion binding|protein binding|zinc ion binding|,10,31,1.14E+10,44.20%
-4.762,0.27,2.437,-4.802,-4.637,4.762,4.846,7.161,0.001,0.195,-0.27,-4.846,1.41,-4.877,-4.669,-2.437,-7.161,-1.41,-6.982,-6.835,4.802,-0.001,4.877,6.982,0.129,4.637,-0.195,4.669,6.835,-0.129,P29533,P29533,Vcam1,1,25,15,15,P29533|Q3UPN1|P29533-2,MOUSE,82457.1,22.1,159,159.1,176.49,176.49,,739,Vascular cell adhesion protein 1,podosome|extracellular space|early endosome|endoplasmic reticulum|Golgi apparatus|microvillus|external side of plasma membrane|cell surface|integral component of membrane|filopodium|anchored component of membrane|apical part of cell|extracellular exosome|alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex|cell periphery|,cell adhesion|heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules|leukocyte cell-cell adhesion|cell-matrix adhesion|heart development|amine metabolic process|viral process|positive regulation of T cell proliferation|leukocyte tethering or rolling|oxidation-reduction process|embryonic placenta morphogenesis|chorio-allantoic fusion|visceral serous pericardium development|cellular response to glucose stimulus|,integrin binding|primary amine oxidase activity|cell adhesion molecule binding|,15,25,1.06E+09,22.10%
-3.175,-4.715,4.675,-2.65,-2.776,3.175,-1.364,5.424,0.431,0.128,4.715,1.364,5.193,1.858,1.61,-4.675,-5.424,-5.193,-5.181,-5.51,2.65,-0.431,-1.858,5.181,-0.309,2.776,-0.128,-1.61,5.51,0.309,Q02566,Q02566,Myh6,1,21,17,4,Q02566|Q5SX39|Q5SX40|G3UW82|P13542|B1AR69,MOUSE,224360.2,9.4,160,160.1,174.76,43.64,,1938,Myosin-6,stress fiber|nucleoplasm|cytoplasm|mitochondrion|muscle myosin complex|focal adhesion|myosin complex|myofibril|Z disc|myosin filament|,in utero embryonic development|regulation of the force of heart contraction|regulation of heart rate|muscle contraction|striated muscle contraction|adult heart development|visceral muscle development|regulation of heart contraction|regulation of blood pressure|response to heat|actin filament-based movement|muscle filament sliding|myofibril assembly|BMP signaling pathway|regulation of ATPase activity|sarcomere organization|ATP metabolic process|cardiac muscle fiber development|atrial cardiac muscle tissue morphogenesis|ventricular cardiac muscle tissue morphogenesis|cardiac muscle contraction|canonical Wnt signaling pathway|regulation of heart growth|,microfilament motor activity|actin binding|protein binding|calmodulin binding|ATP binding|ATPase activity|protein kinase binding|actin-dependent ATPase activity|calcium-dependent ATPase activity|protein homodimerization activity|protein heterodimerization activity|,18,21,9.31E+09,9.40%
-2.399,-5.249,,-1.414,-2.314,2.399,-2.85,,0.985,0.085,5.249,2.85,,3.835,2.935,,,,,,1.414,-0.985,-3.835,,-0.9,2.314,-0.085,-2.935,,0.9,Q91Z83,Q91Z83,Myh7,1,1,15,1,Q91Z83,MOUSE,223673.7,8.2,160,160.2,148.98,12.52,,1935,Myosin-7,stress fiber|nucleoplasm|cytoplasm|muscle myosin complex|focal adhesion|myosin complex|myofibril|Z disc|myosin filament|,response to reactive oxygen species|regulation of the force of heart contraction|regulation of heart rate|skeletal muscle contraction|muscle contraction|striated muscle contraction|adult heart development|regulation of the force of skeletal muscle contraction|transition between fast and slow fiber|muscle filament sliding|regulation of slow-twitch skeletal muscle fiber contraction|ATP metabolic process|ventricular cardiac muscle tissue morphogenesis|cardiac muscle contraction|,microfilament motor activity|actin binding|calmodulin binding|ATP binding|ATPase activity|actin-dependent ATPase activity|protein homodimerization activity|protein heterodimerization activity|,1,1,7730000,0.80%
,,,,,,-0.158,,0.9,0.615,,0.158,,1.058,0.773,,,,,,,-0.9,-1.058,,-0.284,,-0.615,-0.773,,0.284,P13541,P13541,Myh3,1,1,5,1,P13541,MOUSE,224870.7,2.9,160,160.3,42.07,5.96,,1940,Myosin-3,myosin complex|myofibril|myosin filament|contractile fiber|extracellular exosome|,skeletal muscle contraction|ATP metabolic process|,"microfilament motor activity|calmodulin binding|ATP binding|ATPase activity, coupled|actin filament binding|",1,1,33700000,1.00%
-5.643,0.871,1.86,-5.541,-5.282,5.643,6.022,7.139,0.004,0.388,-0.871,-6.022,0.715,-5.601,-5.323,-1.86,-7.139,-0.715,-6.869,-6.638,5.541,-0.004,5.601,6.869,0.339,5.282,-0.388,5.323,6.638,-0.339,P16882-2,P16882-2,Ghr,1,39,10,10,P16882-2|P16882|Q3UP14,MOUSE,34617.4,36.7,161,161.1,174.72,174.72,,650,Isoform 2 of Growth hormone receptor,extracellular region|extracellular space|nucleus|plasma membrane|integral component of plasma membrane|cell surface|integral component of membrane|extrinsic component of membrane|receptor complex|growth hormone receptor complex|,allantoin metabolic process|citrate metabolic process|2-oxoglutarate metabolic process|succinate metabolic process|oxaloacetate metabolic process|isoleucine metabolic process|valine metabolic process|creatine metabolic process|fatty acid metabolic process|endocytosis|cytokine-mediated signaling pathway|taurine metabolic process|response to estradiol|cellular response to hormone stimulus|regulation of multicellular organism growth|positive regulation of multicellular organism growth|multicellular organismal metabolic process|creatinine metabolic process|insulin-like growth factor receptor signaling pathway|positive regulation of peptidyl-tyrosine phosphorylation|growth hormone receptor signaling pathway|,growth hormone receptor activity|protein binding|peptide hormone binding|growth factor binding|protein homodimerization activity|,11,39,3.91E+10,36.70%
-0.489,0.827,3.408,-0.58,-0.519,0.489,1.163,3.615,-0.181,-0.045,-0.827,-1.163,3.029,-1.368,-1.157,-3.408,-3.615,-3.029,-3.974,-3.594,0.58,0.181,1.368,3.974,0.124,0.519,0.045,1.157,3.594,-0.124,Q02257,Q02257,Jup,1,27,16,16,Q02257|Q02248|E9Q6A9,MOUSE,82541,26.3,162,162.1,173.95,173.95,,745,Junction plakoglobin,nucleus|cytoplasm|cytosol|intermediate filament|plasma membrane|cell-cell junction|cell-cell adherens junction|focal adhesion|intercalated disc|membrane|catenin complex|Z disc|desmosome|protein-DNA complex|extracellular exosome|gamma-catenin-TCF7L2 complex|,desmosome assembly|cell adhesion|signal transduction|single organismal cell-cell adhesion|cell migration|adherens junction assembly|regulation of cell proliferation|positive regulation of protein import into nucleus|regulation of cell fate specification|skin development|detection of mechanical stimulus|positive regulation of sequence-specific DNA binding transcription factor activity|cellular response to indole-3-methanol|bundle of His cell-Purkinje myocyte adhesion involved in cell communication|regulation of heart rate by cardiac conduction|establishment of protein localization to plasma membrane|regulation of ventricular cardiac muscle cell action potential|positive regulation of transcription from RNA polymerase II promoter|,transcription coactivator activity|signal transducer activity|structural molecule activity|protein binding|protein phosphatase binding|alpha-catenin binding|cadherin binding|cell adhesion molecule binding|nuclear hormone receptor binding|,16,27,1.06E+09,26.30%
-4.953,-0.279,0.905,-4.768,-4.877,4.953,5.002,5.116,0.249,0.077,0.279,-5.002,0.807,-4.7,-4.81,-0.905,-5.116,-0.807,-4.479,-4.677,4.768,-0.249,4.7,4.479,-0.18,4.877,-0.077,4.81,4.677,0.18,Q63880,Q63880,Ces3a,1,37,13,6,Q63880|Q63880-2,MOUSE,63715.9,23.4,163,163.1,172.68,88.57,,571,Carboxylesterase 3A,endoplasmic reticulum lumen|extracellular exosome|,metabolic process|,carboxylic ester hydrolase activity|,13,37,5.19E+09,23.40%
-4.196,2.417,2.71,-4.151,-4.29,4.196,6.115,6.08,0.098,0.161,-2.417,-6.115,-0.691,-6.261,-6.138,-2.71,-6.08,0.691,-6.172,-5.847,4.151,-0.098,6.261,6.172,-0.039,4.29,-0.161,6.138,5.847,0.039,Q8VCU1,Q8VCU1,Ces3b,1,4,10,3,Q8VCU1|Q8VCU1-2,MOUSE,63751.2,16.2,163,163.2,120.33,36.22,,571,Carboxylesterase 3B,endoplasmic reticulum lumen|extracellular exosome|,metabolic process|,carboxylic ester hydrolase activity|,3,4,3.15E+08,5.70%
-5.011,0.799,0.854,-4.999,-4.808,5.011,4.364,4.275,0.133,0.321,-0.799,-4.364,-0.189,-4.181,-3.975,-0.854,-4.275,0.189,-3.993,-3.793,4.999,-0.133,4.181,3.993,0.154,4.808,-0.321,3.975,3.793,-0.154,Q91WU0,Q91WU0,Ces1f,1,24,14,14,Q91WU0,MOUSE,62010.5,33.1,164,164.1,172.65,172.65,,561,Carboxylesterase 1F,lipid particle|cytosol|,short-chain fatty acid catabolic process|,hydrolase activity|,14,24,7.95E+10,33.10%
-0.632,1.321,0.86,-0.87,-0.487,0.632,1.984,1.419,-0.002,0.207,-1.321,-1.984,-0.507,-1.933,-1.802,-0.86,-1.419,0.507,-1.494,-1.245,0.87,0.002,1.933,1.494,0.206,0.487,-0.207,1.802,1.245,-0.206,P28654,P28654,Dcn,1,38,14,14,P28654,MOUSE,40150.6,34.1,165,165.1,171.85,171.85,,354,Decorin,collagen type VI trimer|extracellular space|extracellular matrix|,kidney development|placenta development|skeletal muscle tissue development|aging|response to mechanical stimulus|positive regulation of autophagy|peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan|response to lipopolysaccharide|wound healing|,collagen binding|glycosaminoglycan binding|poly(A) RNA binding|protein N-terminus binding|extracellular matrix binding|,14,38,9.88E+09,34.10%
-4.874,1.633,1.329,-4.796,-4.758,4.874,6.277,6.24,0.192,0.172,-1.633,-6.277,0.347,-6.201,-6.255,-1.329,-6.24,-0.347,-5.862,-6.084,4.796,-0.192,6.201,5.862,0.014,4.758,-0.172,6.255,6.084,-0.014,P12399,P12399,Ctla2a,1,45,11,11,P12399|A0A286YDF0|A0A286YD17|P12400|A0A0R4J245,MOUSE,16053.8,59.8,166,166.1,168.96,168.96,,137,Protein CTLA-2-alpha,extracellular space|lysosome|dendrite|,negative regulation of protein processing|regulation of regulatory T cell differentiation|negative regulation of inflammatory response|proteolysis involved in cellular protein catabolic process|,cysteine-type endopeptidase activity|,11,45,7.25E+10,59.80%
-5.013,1.082,1.536,-5.197,-4.67,5.013,5.966,6.31,-0.181,0.26,-1.082,-5.966,0.5,-5.806,-5.399,-1.536,-6.31,-0.5,-6.208,-6.141,5.197,0.181,5.806,6.208,0.438,4.67,-0.26,5.399,6.141,-0.438,A0A075B5T3,A0A075B5T3,Ighv6-6,1,42,12,7,A0A075B5T3,MOUSE,13464,81.5,167,167.1,168.07,104.48,,119,Immunoglobulin heavy variable 6-6 (Fragment),,,,12,42,4.81E+10,81.50%
-5.206,1.339,1.895,-5.29,-5.078,5.206,5.526,6.567,-0.433,-0.209,-1.339,-5.526,0.905,-5.426,-5.075,-1.895,-6.567,-0.905,-6.26,-6.077,5.29,0.433,5.426,6.26,0.286,5.078,0.209,5.075,6.077,-0.286,A0A075B5T2,A0A075B5T2,Ighv6-3,1,20,10,5,A0A075B5T2,MOUSE,13430,56.7,167,167.2,136.41,75.25,,118,Immunoglobulin heavy variable 6-3 (Fragment),,,,5,20,9.96E+09,26.20%
,,,,,,,,-1.897,-1.634,,,,,,,,,,,,1.897,,,0.263,,1.634,,,-0.263,P01801,P01801,,1,1,9,1,P01801|P01796|P01799|P01797|P01802|P01800|P01803,MOUSE,12924.2,58.2,167,167.3,109.35,4.2,,115,Ig heavy chain V-III region J606,,,antigen binding|,1,1,2.40E+07,13.00%
-4.67,-0.072,0.173,-5.191,-4.013,4.67,4.598,4.844,-0.521,0.657,0.072,-4.598,0.246,-5.119,-3.941,-0.173,-4.844,-0.246,-5.364,-4.187,5.191,0.521,5.119,5.364,1.177,4.013,-0.657,3.941,4.187,-1.177,P01798,P01798,,1,1,5,1,P01798,MOUSE,12761.1,36.2,167,167.4,64.53,6.51,,113,Ig heavy chain V-III region E109,,,antigen binding|,1,1,4500000,7.90%
-5.774,,1.664,-5.137,-7.05,5.774,,7.438,0.636,-1.276,,,,,,-1.664,-7.438,,-6.801,-8.714,5.137,-0.636,,6.801,-1.913,7.05,1.276,,8.714,1.913,A0A0A6YWU3,A0A0A6YWU3,Ighv6-7,1,2,4,1,A0A0A6YWU3,MOUSE,13943.6,24.3,167,167.5,47.87,15.11,,119,Immunoglobulin heavy variable V6-7 (Fragment),,,,1,2,30900000,7.50%
-0.976,0.349,0.463,-0.883,-0.746,0.976,1.355,1.431,0.008,0.076,-0.349,-1.355,0.081,-1.294,-1.146,-0.463,-1.431,-0.081,-1.409,-1.269,0.883,-0.008,1.294,1.409,0.011,0.746,-0.076,1.146,1.269,-0.011,P00760,P00760,,1,31,10,10,P00760,BOVIN,26469.4,50.8,168,168.1,166.69,166.69,,246,Cationic trypsin,,,,10,31,1.49E+10,50.80%
-5.187,0.847,2.327,-4.938,-4.755,5.187,5.857,6.879,0.176,0.484,-0.847,-5.857,-0.059,-5.695,-5.243,-2.327,-6.879,0.059,-6.682,-6.346,4.938,-0.176,5.695,6.682,0.339,4.755,-0.484,5.243,6.346,-0.339,O08795-2,O08795-2,Prkcsh,1,28,14,14,O08795-2|O08795,MOUSE,60528.5,18.3,169,169.1,165.9,165.9,,521,Isoform 2 of Glucosidase 2 subunit beta,endoplasmic reticulum|,in utero embryonic development|liver development|N-glycan processing|nitrogen compound metabolic process|negative regulation of neuron projection development|protein heterooligomerization|renal system development|,RNA binding|protein kinase C binding|calcium ion binding|protein binding|ion channel binding|phosphoprotein binding|,14,28,3.40E+09,18.30%
-5.698,-0.325,1.491,-5.381,-5.246,5.698,4.112,5.873,0.13,0.472,0.325,-4.112,1.088,-3.972,-3.823,-1.491,-5.873,-1.088,-5.379,-5.66,5.381,-0.13,3.972,5.379,0.318,5.246,-0.472,3.823,5.66,-0.318,Q9CQW3,Q9CQW3,Proz,1,41,9,9,Q9CQW3|Q8CI01,MOUSE,45615.9,33.8,170,170.1,162.39,162.39,,399,Vitamin K-dependent protein Z,extracellular region|extracellular exosome|,proteolysis|blood coagulation|,serine-type endopeptidase activity|calcium ion binding|,9,41,1.88E+10,33.80%
-5.422,1.843,0.776,-5.308,-5.19,5.422,6.924,5.895,-0.078,0.104,-1.843,-6.924,-2.013,-7.064,-6.732,-0.776,-5.895,2.013,-5.875,-5.681,5.308,0.078,7.064,5.875,0.13,5.19,-0.104,6.732,5.681,-0.13,Q9D154,Q9D154,Serpinb1a,1,21,16,16,Q9D154|Q8VHP7|Q5SV42|Q9JK88|I7HJI5|Q9DAV6|Q9D6A7,MOUSE,42745.3,39.5,171,171.1,161.88,161.88,,379,Leukocyte elastase inhibitor A,extracellular space|cytoplasm|membrane|extracellular exosome|,negative regulation of endopeptidase activity|regulation of protein catabolic process|,serine-type endopeptidase inhibitor activity|,16,21,6.16E+08,39.50%
-4.42,1.993,1.281,-4.998,-4.687,4.42,5.44,5.001,-0.447,-0.303,-1.993,-5.44,-0.372,-6.208,-6.103,-1.281,-5.001,0.372,-5.605,-5.521,4.998,0.447,6.208,5.605,0.34,4.687,0.303,6.103,5.521,-0.34,P01837,P01837,,1,49,11,11,P01837|A0A075B5P2,MOUSE,11948.8,94.3,172,172.1,161.04,161.04,,106,Ig kappa chain C region,plasma membrane|,,antigen binding|,11,49,1.43E+11,94.30%
-4.039,0.241,1.376,-4.208,-3.776,4.039,4.402,5.025,-0.389,0.232,-0.241,-4.402,0.101,-4.523,-4.001,-1.376,-5.025,-0.101,-5.337,-4.61,4.208,0.389,4.523,5.337,0.619,3.776,-0.232,4.001,4.61,-0.619,P03987,P03987,,1,49,11,11,A0A1Y7VJN6|P03987|P03987-2,MOUSE,44498.8,28.3,173,173.1,160.75,160.75,,398,Ig gamma-3 chain C region,extracellular region|plasma membrane|integral component of membrane|,,antigen binding|immunoglobulin receptor binding|,11,49,1.46E+10,28.30%
-4.831,0.911,-0.2,-4.604,-4.846,4.831,5.523,4.411,0.265,0.162,-0.911,-5.523,-0.656,-5.123,-5.809,0.2,-4.411,0.656,-3.771,-4.688,4.604,-0.265,5.123,3.771,0.13,4.846,-0.162,5.809,4.688,-0.13,P18242,P18242,Ctsd,1,24,11,11,P18242|F8WIR1,MOUSE,45409.4,27.8,174,174.1,159.83,159.83,,410,Cathepsin D,extracellular space|mitochondrion|lysosome|melanosome|membrane raft|extracellular exosome|extracellular matrix|,autophagosome assembly|proteolysis|autophagy|protein catabolic process|epithelial tube branching involved in lung morphogenesis|,aspartic-type endopeptidase activity|peptidase activity|peptide binding|,11,24,8.95E+09,27.80%
-3.668,-0.268,1.355,-3.081,-3.283,3.668,3.117,4.714,0.604,0.353,0.268,-3.117,1.541,-2.644,-2.783,-1.355,-4.714,-1.541,-4.185,-4.924,3.081,-0.604,2.644,4.185,-0.224,3.283,-0.353,2.783,4.924,0.224,P52480,P52480,Pkm,1,25,15,15,P52480|P52480-2|P53657|G3X925|E9Q509,MOUSE,58414.4,35.4,175,175.1,158.72,158.72,,531,Pyruvate kinase PKM,nucleus|cytoplasm|mitochondrion|plasma membrane|cilium|extracellular matrix|vesicle|myelin sheath|extracellular exosome|extracellular vesicle|,glycolytic process|programmed cell death|phosphorylation|,magnesium ion binding|pyruvate kinase activity|protein binding|ATP binding|MHC class II protein complex binding|potassium ion binding|poly(A) RNA binding|,16,25,2.53E+08,35.40%
-4.606,1.299,1.805,-4.335,-4.298,4.606,2.392,5.424,0.141,0.156,-1.299,-2.392,1.008,-1.976,-2.017,-1.805,-5.424,-1.008,-5.328,-5.174,4.335,-0.141,1.976,5.328,0.015,4.298,-0.156,2.017,5.174,-0.015,G5E8J0,G5E8J0,Notch2,1,23,14,14,G5E8J0|O35516|O35516-2,MOUSE,279492.6,6.3,176,176.1,156.79,156.79,,2473,Neurogenic locus notch homolog protein 2,nucleus|integral component of plasma membrane|cell surface|receptor complex|,pulmonary valve morphogenesis|cell cycle arrest|Notch signaling pathway|negative regulation of cell proliferation|cell growth|cell differentiation|positive regulation of Ras protein signal transduction|bone remodeling|regulation of developmental process|atrial septum morphogenesis|,calcium ion binding|,14,23,7.25E+08,6.30%
-6.238,1.409,0.3,-5.557,-5.635,6.238,6.229,5.959,0.65,0.659,-1.409,-6.229,-0.53,-5.601,-5.581,-0.3,-5.959,0.53,-5.387,-5.425,5.557,-0.65,5.601,5.387,-0.058,5.635,-0.659,5.581,5.425,0.058,Q8K0D2,Q8K0D2,Habp2,1,26,13,13,Q8K0D2|E9QM92|E9Q092|Q8K0D2-2|Q3V1J8|E9Q0C5,MOUSE,64409.4,22.5,177,177.1,156.68,156.68,,558,Hyaluronan-binding protein 2,extracellular region|,proteolysis|,serine-type endopeptidase activity|peptidase activity|,13,26,2.00E+09,22.50%
-4.411,0.708,1.419,-6.038,-3.687,4.411,4.643,4.112,-1.375,0.783,-0.708,-4.643,0.319,-6.348,-3.906,-1.419,-4.112,-0.319,-5.466,-3.849,6.038,1.375,6.348,5.466,2.343,3.687,-0.783,3.906,3.849,-2.343,P98086,P98086,C1qa,1,48,10,10,P98086,MOUSE,26202.1,35.1,178,178.1,155.68,155.68,,245,Complement C1q subcomponent subunit A,collagen trimer|extracellular exosome|,"complement activation, classical pathway|innate immune response|",protein binding|,10,48,6.07E+10,35.10%
