id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,PlexesSearchedTogether_correct..126.126.127.128.129.130.131..NoBirA_6Combo.multimedian,PlexesSearchedTogether_correct..128.126.127.128.129.130.131..NoBirA_4Combo.multimedian,PlexesSearchedTogether_correct..129.126.127.128.129.130.131..NoBirA_5Combo.multimedian,PlexesSearchedTogether_correct..127.126.127.128.129.130.131..BirA.Cre_3Combo.multimedian,PlexesSearchedTogether_correct..130.126.127.128.129.130.131..BirA.Cre_2Combo.multimedian,PlexesSearchedTogether_correct..131.126.127.128.129.130.131..BirA.Cre_1Combo.multimedian,id.query,id.mapped,id.concat,id.1,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,PlexesSearchedTogether_correct.unique_peptides,PlexesSearchedTogether_correct.numSpectra,PlexesSearchedTogether_correct.totalIntensity,PlexesSearchedTogether_correct.pct_cov
O89020,0.230974077,-0.165666667,12.45031529,0.517333333,0.056881164,2.348190222,-0.571,-0.266,-0.436,0.192,0.091,-0.004,O89020,Afm,O89020_Afm,O89020,Afm,1,260,38,38,O89020|O89020-3|O89020-2,MOUSE,71317.7,53.7,57,57.1,542,542,,608,Afamin,extracellular space|extracellular exosome|blood microparticle|,vitamin transport|,vitamin E binding|,38,260,1.6E+11,53.7%
B2RPV6,0.813811541,0.309833333,1.83593189,-0.210333333,0.65524967,-0.469505545,1.201,-0.374,0.418,0.207,0.521,-0.114,B2RPV6,Mmrn1,B2RPV6_Mmrn1,B2RPV6,Mmrn1,1,145,40,40,B2RPV6|G3UVV6|A0A0N4SVL8,MOUSE,137358.3,33.4,58,58.1,527.42,527.42,,1210,Multimerin-1,extracellular region|,,,40,145,14700000000,33.4%
P13020,0.970099283,0.065833333,0.296714708,-0.027666667,0.933960544,-0.08638319,-0.348,-0.073,0.66,0.027,0.144,-0.015,P13020,Gsn,P13020_Gsn,P13020,Gsn,1,168,37,37,P13020|P13020-2,MOUSE,86339.4,38.9,59,59.1,523.23,523.23,,780,Gelsolin,ruffle|podosome|extracellular region|extracellular space|cytoplasm|cytosol|plasma membrane|focal adhesion|sarcoplasm|lamellipodium|actin cap|cortical actin cytoskeleton|myelin sheath|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|nucleus|focal adhesion|cortical actin cytoskeleton|,"phagocytosis, engulfment|aging|positive regulation of gene expression|oligodendrocyte development|striated muscle atrophy|vesicle-mediated transport|actin filament polymerization|protein destabilization|tissue regeneration|sequestering of actin monomers|actin nucleation|response to ethanol|negative regulation of viral entry into host cell|phosphatidylinositol-mediated signaling|actin filament severing|barbed-end actin filament capping|positive regulation of actin nucleation|response to folic acid|actin filament capping|cilium morphogenesis|cellular response to cadmium ion|regulation of podosome assembly|actin filament reorganization|renal protein absorption|hepatocyte apoptotic process|positive regulation of keratinocyte apoptotic process|regulation of wound healing, spreading of epidermal cells|regulation of establishment of T cell polarity|regulation of plasma membrane raft polarization|regulation of receptor clustering|positive regulation of protein processing in phagocytic vesicle|amyloid fibril formation|positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway|",actin binding|calcium ion binding|protein binding|protein domain specific binding|myosin II binding|,37,168,1.36E+11,38.9%
Q61508,0.850670217,0.6255,1.383818733,0.241,0.727140152,0.365816765,1.323,0.271,-0.079,0.387,1.989,-0.138,Q61508,Ecm1,Q61508_Ecm1,Q61508,Ecm1,1,188,34,34,Q61508|F8WI14|Q61508-2,MOUSE,64485.6,67.2,60,60.1,509.54,509.54,,559,Extracellular matrix protein 1,proteinaceous extracellular matrix|extracellular space|extracellular matrix|extracellular exosome|,ossification|angiogenesis|positive regulation of endothelial cell proliferation|negative regulation of cytokine-mediated signaling pathway|regulation of type 2 immune response|regulation of transcription from RNA polymerase II promoter|inflammatory response|signal transduction|negative regulation of peptidase activity|negative regulation of bone mineralization|biomineral tissue development|positive regulation of I-kappaB kinase/NF-kappaB signaling|positive regulation of angiogenesis|regulation of T cell migration|,protease binding|signal transducer activity|interleukin-2 receptor binding|protein C-terminus binding|enzyme binding|laminin binding|,34,188,95700000000,67.2%
Q8VCU2,0.987463289,0.081833333,0.107451975,-0.022333333,0.975561836,-0.031941622,-0.89,-0.538,1.707,0.233,-0.038,0.017,Q8VCU2,Gpld1,Q8VCU2_Gpld1,Q8VCU2,Gpld1,1,206,33,33,Q8VCU2|O70362,MOUSE,94192.4,45.9,61,61.1,501.16,501.16,,842,Glycosylphosphatidylinositol specific phospholipase D1,proteinaceous extracellular matrix|extracellular space|intracellular|cytoplasm|lysosomal membrane|intracellular membrane-bounded organelle|extracellular exosome|,cell migration involved in sprouting angiogenesis|complement receptor mediated signaling pathway|GPI anchor release|negative regulation of cell proliferation|insulin receptor signaling pathway|response to glucose|positive regulation of endothelial cell migration|cellular response to insulin stimulus|cellular response to drug|positive regulation of apoptotic process|positive regulation of cytolysis|positive regulation of membrane protein ectodomain proteolysis|cellular response to calcium ion|cellular response to cholesterol|cellular response to triglyceride|cellular response to pH|regulation of cellular response to insulin stimulus|,glycosylphosphatidylinositol phospholipase D activity|phospholipase D activity|protein binding|,33,206,98900000000,45.9%
Q19LI2,0.821775379,0.713333333,1.716433553,0.381333333,0.673529535,0.442808194,0.113,0.103,1.352,-0.141,2.768,0.085,Q19LI2,A1bg,Q19LI2_A1bg,Q19LI2,A1bg,1,353,30,30,Q19LI2,MOUSE,57237.7,66,62,62.1,495.2,495.2,,512,Alpha-1B-glycoprotein,extracellular region|extracellular space|extracellular exosome|blood microparticle|,,,30,353,1.52E+12,66.0%
Q5XQN5,0.189842544,0.293833333,14.70281124,-1.960333333,0.033862489,-2.7426771,2.171,2.026,-0.375,-0.899,-0.738,-0.422,Q5XQN5,NotFound,Q5XQN5_NotFound,Q5XQN5,KRT5,1,199,40,26,Q5XQN5|Q922U2|P07744|P11679|Q99M73|Q9DCV7|P19246,BOVIN,63107,42.4,63,63.1,478.52,298.2,,601,"Keratin, type II cytoskeletal 5",,,,42,199,1.06E+11,42.4%
P50446,0.259510246,0.520333333,11.38492717,-2.578,0.072695459,-2.176878069,3.623,2.681,-0.876,-1.169,-1.149,0.012,P50446,Krt6a,P50446_Krt6a,P50446,Krt6a,1,16,24,7,P50446|Q9Z331|Q3UV11|Q6IFZ8,MOUSE,59676.4,32.9,63,63.2,288.53,75.09,,553,"Keratin, type II cytoskeletal 6A",keratin filament|extracellular exosome|,morphogenesis of an epithelium|Wnt signaling pathway|keratinization|wound healing|intermediate filament organization|,structural molecule activity|,7,16,5580000000,11.0%
Q3TTY5,0.232324458,0.255,12.19547647,-1.32,0.060318753,-2.313114726,1.741,1.352,-0.348,-0.589,-0.441,-0.185,Q3TTY5,Krt2,Q3TTY5_Krt2,Q3TTY5,Krt2,1,74,15,9,Q3TTY5,MOUSE,71377.9,12.3,63,63.3,180.69,106.76,,707,"Keratin, type II cytoskeletal 2 epidermal",extracellular space|nucleus|Golgi apparatus|membrane|keratin filament|extracellular exosome|,keratinization|keratinocyte activation|keratinocyte proliferation|keratinocyte migration|,structural molecule activity|,9,74,52600000000,9.0%
Q3UV17,0.189842544,0.360666667,14.68078897,-2.304,0.034034635,-2.738835225,2.858,2.085,-0.405,-0.99,-0.906,-0.478,Q3UV17,Krt76,Q3UV17_Krt76,Q3UV17,Krt76,1,12,12,1,Q3UV17,MOUSE,63357,13.8,63,63.4,157.73,17.6,,594,"Keratin, type II cytoskeletal 2 oral",nucleus|keratin filament|extracellular exosome|,epidermis development|sebaceous gland development|,structural molecule activity|,1,12,49300000000,1.5%
Q8VED5,0.189842544,0.2595,14.84494362,-2.367,0.032772203,-2.767506978,3.128,1.556,-0.355,-0.998,-1.094,-0.68,Q8VED5,Krt79,Q8VED5_Krt79,Q8VED5,Krt79,1,11,10,1,Q8VED5,MOUSE,57836.6,10.3,63,63.5,122.11,19.85,,531,"Keratin, type II cytoskeletal 79",keratin filament|extracellular exosome|,,structural molecule activity|enzyme binding|,1,11,4710000000,2.2%
Q6IFZ6,0.232324458,0.2875,12.20181293,-2.001666667,0.06023081,-2.314183631,3.281,0.623,-0.039,-0.575,-0.534,-1.031,Q6IFZ6,Krt77,Q6IFZ6_Krt77,Q6IFZ6,Krt77,1,8,10,5,Q6IFZ6|Q6IFZ9,MOUSE,61414.7,12,63,63.6,120.32,45.95,,572,"Keratin, type II cytoskeletal 1b",cytoskeleton|keratin filament|extracellular exosome|,,structural molecule activity|,5,8,1010000000,5.7%
P04104,0.56840997,-0.011666667,4.641641189,-1.355333333,0.343428143,-1.029012249,3,1.361,-2.363,-0.814,-0.715,-0.539,P04104,Krt1,P04104_Krt1,P04104,Krt1,1,29,9,5,P04104,MOUSE,66118.3,7.2,63,63.7,116.77,67.2,,637,"Keratin, type II cytoskeletal 1",extracellular space|nucleus|plasma membrane|membrane|extracellular matrix|keratin filament|extracellular exosome|blood microparticle|,"complement activation, lectin pathway|retina homeostasis|negative regulation of inflammatory response|establishment of skin barrier|",structural molecule activity|carbohydrate binding|,5,29,88900000000,3.9%
Q6NXH9,0.339304798,0.4425,8.744486146,-1.651666667,0.133521556,-1.736423119,2.461,2.273,-0.929,-0.86,-0.396,0.106,Q6NXH9,Krt73,Q6NXH9_Krt73,Q6NXH9,Krt73,1,9,9,3,Q6NXH9,MOUSE,59538,11.1,63,63.8,101.29,24.01,,539,"Keratin, type II cytoskeletal 73",nucleus|keratin filament|extracellular exosome|,activation of mitophagy in response to mitochondrial depolarization|,structural molecule activity|,3,9,17100000000,4.0%
Q9R0H5,0.846059867,0.83225,1.456554486,0.419,0.715063403,0.392275949,,0.518,,2.21,-0.246,0.847,Q9R0H5,Krt71,Q9R0H5_Krt71,Q9R0H5,Krt71,1,1,7,1,Q9R0H5,MOUSE,57895,10.1,63,63.9,88.05,8.21,,524,"Keratin, type II cytoskeletal 71",cytoplasm|keratin filament|extracellular exosome|,hair follicle morphogenesis|intermediate filament organization|,structural molecule activity|,1,1,1520000,2.2%
Q6IME9,0.774476598,-0.258,2.169698001,-0.861333333,0.606778522,-0.543083023,3.012,0.988,-3.482,-0.778,-0.533,-0.755,Q6IME9,Krt72,Q6IME9_Krt72,Q6IME9,Krt72,1,3,5,1,Q6IME9,MOUSE,57262.8,7.3,63,63.1,62.07,15.75,,520,"Keratin, type II cytoskeletal 72",keratin filament|extracellular exosome|,,structural molecule activity|,1,3,892000000,2.3%
Q8BPB5,0.995469936,0.113666667,0.029841935,0.002666667,0.993152194,0.008943294,-0.025,-0.244,0.606,0.04,0.283,0.022,Q8BPB5,Efemp1,Q8BPB5_Efemp1,Q8BPB5,Efemp1,1,190,27,27,Q8BPB5,MOUSE,57234.1,59.2,64,64.1,473.28,473.28,,493,EGF-containing fibulin-like extracellular matrix protein 1,proteinaceous extracellular matrix|extracellular space|extracellular exosome|extracellular matrix|,"regulation of transcription, DNA-templated|epidermal growth factor receptor signaling pathway|peptidyl-tyrosine phosphorylation|negative regulation of chondrocyte differentiation|",epidermal growth factor-activated receptor activity|epidermal growth factor receptor binding|calcium ion binding|growth factor activity|,27,190,1.32E+11,59.2%
Q9ESB3,0.390409452,-0.011,7.525232385,0.690666667,0.176797761,1.529934198,-0.563,0.299,-0.805,1.063,-0.03,-0.03,Q9ESB3,Hrg,Q9ESB3_Hrg,Q9ESB3,Hrg,1,282,26,26,A0A0R4J039|Q9ESB3,MOUSE,60131.6,42.8,65,65.1,429.95,429.95,,525,Histidine-rich glycoprotein,extracellular region|vesicle|endolysosome|phagolysosome membrane|,angiogenesis|positive regulation of immune response to tumor cell|chemotaxis|negative regulation of cell adhesion|negative regulation of cell proliferation|regulation of gene expression|regulation of platelet activation|negative regulation of lamellipodium assembly|negative regulation of endopeptidase activity|response to organic cyclic compound|heme transport|negative regulation of angiogenesis|platelet activation|regulation of blood coagulation|negative regulation of cell growth|regulation of actin cytoskeleton organization|negative regulation of cell adhesion mediated by integrin|regulation of transcription from RNA polymerase II promoter in response to iron|fibrinolysis|positive regulation of apoptotic process|regulation of protein complex assembly|negative regulation of blood vessel endothelial cell migration|regulation of peptidyl-tyrosine phosphorylation|defense response to fungus|positive regulation of focal adhesion assembly|negative regulation of fibrinolysis|heme export|negative regulation of vascular endothelial growth factor signaling pathway|positive regulation of blood vessel remodeling|negative regulation of endothelial cell chemotaxis|,serine-type endopeptidase inhibitor activity|cysteine-type endopeptidase inhibitor activity|receptor binding|protein binding|heparin binding|zinc ion binding|immunoglobulin binding|heme binding|heparan sulfate proteoglycan binding|metal ion binding|,26,282,7.47E+11,42.8%
Q01279,0.732787357,0.079166667,2.547676002,0.235666667,0.556201813,0.62293111,-0.395,-0.335,0.614,-0.213,0.524,0.28,Q01279,Egfr,Q01279_Egfr,Q01279,Egfr,1,159,30,30,Q01279|Q9WVF5,MOUSE,138274.2,23.2,66,66.1,411.11,411.11,,1210,Epidermal growth factor receptor,"Golgi membrane|intracellular|nucleus|cytoplasm|endosome|endoplasmic reticulum membrane|plasma membrane|focal adhesion|cell surface|endosome membrane|membrane|integral component of membrane|basolateral plasma membrane|endocytic vesicle|early endosome membrane|nuclear membrane|receptor complex|membrane raft|perinuclear region of cytoplasm|multivesicular body, internal vesicle lumen|",cell morphogenesis|embryonic placenta development|positive regulation of protein phosphorylation|hair follicle development|signal transduction|cell surface receptor signaling pathway|epidermal growth factor receptor signaling pathway|salivary gland morphogenesis|learning or memory|cell proliferation|positive regulation of cell proliferation|epidermis development|single organismal cell-cell adhesion|peptidyl-tyrosine phosphorylation|cerebral cortex cell migration|signal transduction by protein phosphorylation|positive regulation of cell migration|positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle|positive regulation of catenin import into nucleus|regulation of cell proliferation|negative regulation of protein catabolic process|positive regulation of phosphorylation|negative regulation of apoptotic process|positive regulation of MAP kinase activity|positive regulation of nitric oxide biosynthetic process|positive regulation of DNA repair|positive regulation of DNA replication|positive regulation of transcription from RNA polymerase II promoter|protein autophosphorylation|positive regulation of fibroblast proliferation|digestive tract morphogenesis|positive regulation of epithelial cell proliferation|regulation of peptidyl-tyrosine phosphorylation|regulation of nitric-oxide synthase activity|positive regulation of protein kinase B signaling|morphogenesis of an epithelial fold|response to UV-A|positive regulation of ERK1 and ERK2 cascade|cellular response to amino acid stimulus|cellular response to epidermal growth factor stimulus|cellular response to estradiol stimulus|,chromatin binding|protein tyrosine kinase activity|receptor signaling protein tyrosine kinase activity|signal transducer activity|transmembrane signaling receptor activity|epidermal growth factor-activated receptor activity|protein binding|ATP binding|kinase activity|enzyme binding|protein phosphatase binding|ubiquitin protein ligase binding|identical protein binding|protein heterodimerization activity|actin filament binding|nitric-oxide synthase regulator activity|,30,159,60000000000,23.2%
A2A7A7,0.946089108,0.011166667,0.566304211,-0.039,0.877747455,-0.160458247,-0.128,-0.093,0.313,-0.025,-0.143,0.143,A2A7A7,H6pd,A2A7A7_H6pd,A2A7A7,H6pd,1,130,28,28,A2A7A7|Q8CFX1,MOUSE,90478.8,36.2,67,67.1,409.25,409.25,,797,GDH/6PGL endoplasmic bifunctional protein,mitochondrion|,glucose metabolic process|pentose-phosphate shunt|oxidation-reduction process|response to alcohol|,glucose-6-phosphate dehydrogenase activity|6-phosphogluconolactonase activity|carbohydrate binding|NADP binding|,28,130,35700000000,36.2%
P97290,0.866332813,0.048666667,1.259044947,0.135333333,0.748334048,0.335931714,-0.656,-0.167,0.766,0.297,0.063,-0.011,P97290,Serping1,P97290_Serping1,P97290,Serping1,1,234,27,27,P97290|A2ATR8,MOUSE,55868.8,39.2,68,68.1,405.64,405.64,,504,Plasma protease C1 inhibitor,extracellular space|extracellular exosome|blood microparticle|,"negative regulation of complement activation, lectin pathway|complement activation, classical pathway|aging|blood coagulation|negative regulation of endopeptidase activity|fibrinolysis|innate immune response|",serine-type endopeptidase inhibitor activity|,27,234,2.22E+11,39.2%
Q8R121,0.558282094,0.014166667,4.847089285,0.287,0.327560158,1.064976113,-0.407,-0.228,0.247,0.167,0.32,-0.014,Q8R121,Serpina10,Q8R121_Serpina10,Q8R121,Serpina10,1,155,27,27,Q8R121|Q8R121-2,MOUSE,51910.6,53.7,69,69.1,404.14,404.14,,448,Protein Z-dependent protease inhibitor,extracellular space|extracellular exosome|,blood coagulation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|heparin binding|,27,155,71700000000,53.7%
Q9JKR6,0.311230275,-0.239666667,9.860664678,0.427333333,0.103260336,1.917484413,-0.553,-0.259,-0.548,-0.139,0.044,0.017,Q9JKR6,Hyou1,Q9JKR6_Hyou1,Q9JKR6,Hyou1,1,127,29,29,Q9JKR6|E0CYZ2,MOUSE,111407.3,31.8,70,70.1,403.28,403.28,,999,Hypoxia up-regulated protein 1,extracellular region|endoplasmic reticulum lumen|focal adhesion|membrane|endoplasmic reticulum chaperone complex|extracellular exosome|,response to ischemia|response to endoplasmic reticulum stress|negative regulation of apoptotic process|cellular response to hypoxia|negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway|negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway|,ATP binding|,29,127,14700000000,31.8%
Q61247,0.206885477,-0.129166667,13.58191771,0.769,0.04383371,2.539272115,-0.679,-0.044,-0.818,0.366,0.422,-0.022,Q61247,Serpinf2,Q61247_Serpinf2,Q61247,Serpinf2,1,272,25,25,Q61247,MOUSE,55199.1,41.1,71,71.1,402.22,402.22,,491,Alpha-2-antiplasmin,fibrinogen complex|extracellular space|cell surface|extracellular exosome|blood microparticle|,regulation of blood vessel size by renin-angiotensin|acute-phase response|response to organic substance|negative regulation of plasminogen activation|negative regulation of endopeptidase activity|collagen fibril organization|positive regulation of collagen biosynthetic process|positive regulation of cell differentiation|positive regulation of transcription from RNA polymerase II promoter|positive regulation of JNK cascade|blood vessel morphogenesis|positive regulation of smooth muscle cell proliferation|positive regulation of stress fiber assembly|negative regulation of fibrinolysis|positive regulation of ERK1 and ERK2 cascade|positive regulation of transforming growth factor beta production|,protease binding|serine-type endopeptidase inhibitor activity|protein homodimerization activity|,25,272,9.06E+11,41.1%
Q3UER8,0.692195309,0.9655,3.006729121,-0.874333333,0.500411277,-0.717164926,3.336,0.02,0.852,-0.181,2.646,-0.88,Q3UER8,Fgg,Q3UER8_Fgg,Q3UER8,Fgg,1,212,28,28,Q3UER8|Q8VCM7|P12799|F1MGU7|Q3SZZ9,MOUSE,51033.2,59.1,72,72.1,401.01,401.01,,443,Fibrinogen gamma chain,fibrinogen complex|extracellular space|cell cortex|external side of plasma membrane|cell surface|platelet alpha granule|extracellular exosome|blood microparticle|,"cell-matrix adhesion|signal transduction|protein secretion|plasminogen activation|positive regulation of heterotypic cell-cell adhesion|fibrinolysis|cellular protein complex assembly|positive regulation of vasoconstriction|positive regulation of exocytosis|positive regulation of protein secretion|protein polymerization|response to calcium ion|positive regulation of ERK1 and ERK2 cascade|platelet aggregation|blood coagulation, fibrin clot formation|positive regulation of peptide hormone secretion|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|negative regulation of endothelial cell apoptotic process|","receptor binding|structural molecule activity|protein binding, bridging|cell adhesion molecule binding|",28,212,2.37E+11,59.1%
F8VQ07,0.443636341,-0.056833333,6.415437797,0.351,0.22827388,1.340445574,-0.542,-0.182,0.027,0.351,0.024,-0.019,F8VQ07,5830473C10Rik,F8VQ07_5830473C10Rik,F8VQ07,5830473C10Rik,1,120,30,30,F8VQ07|A0A0J9YV75,MOUSE,72340.4,41.7,73,73.1,396.62,396.62,,620,RIKEN cDNA 5830473C10 gene,extracellular space|,transport|,,30,120,15900000000,41.7%
Q8BH61,0.977884168,1.108166667,0.241047249,-0.063,0.946009015,-0.070622772,1.96,1.009,0.45,0.534,2.952,-0.256,Q8BH61,F13a1,Q8BH61_F13a1,Q8BH61,F13a1,1,148,26,26,Q8BH61,MOUSE,83719.2,32.9,74,74.1,392.34,392.34,,732,Coagulation factor XIII A chain,cytoplasm|blood microparticle|,blood coagulation|peptide cross-linking|,protein-glutamine gamma-glutamyltransferase activity|metal ion binding|,26,148,30000000000,32.9%
Q9QWK4,0.970099283,0.230666667,0.31186864,0.032666667,0.930707334,0.090659876,0.303,-0.123,0.463,-0.138,0.885,-0.006,Q9QWK4,Cd5l,Q9QWK4_Cd5l,Q9QWK4,Cd5l,1,209,26,26,Q9QWK4,MOUSE,40345.4,60.7,75,75.1,390.37,390.37,,352,CD5 antigen-like,membrane|extracellular exosome|blood microparticle|,receptor-mediated endocytosis|apoptotic process|,scavenger receptor activity|,26,209,4.57E+11,60.7%
Q8BHN3-2,0.717632589,-0.053666667,2.689248914,0.14,0.538362881,0.652035498,-0.282,-0.087,-0.002,0.021,0.05,-0.022,Q8BHN3,Ganab,Q8BHN3-2_Ganab,Q8BHN3-2,Ganab,1,112,33,33,Q8BHN3-2|Q8BHN3|Q8BHN3-3,MOUSE,109858.4,33.6,76,76.1,387.82,387.82,,944,Isoform 2 of Neutral alpha-glucosidase AB,endoplasmic reticulum|Golgi apparatus|membrane|glucosidase II complex|melanosome|extracellular exosome|,N-glycan processing|,"protein binding|glucosidase activity|carbohydrate binding|glucan 1,3-alpha-glucosidase activity|poly(A) RNA binding|",33,112,15800000000,33.6%
P49182,0.200709248,-0.212333333,13.90876532,0.793333333,0.04065589,2.594966936,-0.378,-0.367,-1.082,0.486,0.058,0.009,P49182,Serpind1,P49182_Serpind1,P49182,Serpind1,1,210,26,26,P49182,MOUSE,54781,49.3,77,77.1,384.86,384.86,,478,Heparin cofactor 2,extracellular space|extracellular exosome|,blood coagulation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|heparin binding|,26,210,2.02E+11,49.3%
P26928,0.311388971,-0.337,9.80036443,0.759333333,0.104704068,1.909287451,-0.45,-0.167,-1.533,0.152,-0.032,0.008,P26928,Mst1,P26928_Mst1,P26928,Mst1,1,138,29,29,P26928|E0CXN0,MOUSE,83185.1,40,78,78.1,378.2,378.2,,716,Hepatocyte growth factor-like protein,extracellular exosome|,proteolysis|spermatogenesis|embryo implantation|sperm motility|,serine-type endopeptidase activity|,29,138,31300000000,40.0%
A2AS37,0.29282357,-0.051666667,10.39252339,0.536666667,0.091358227,2.005553506,-0.579,-0.089,-0.292,0.521,0.151,-0.022,A2AS37,AI182371,A2AS37_AI182371,A2AS37,AI182371,1,158,23,23,A2AS37,MOUSE,40887.3,52.2,79,79.1,374.1,374.1,,356,Expressed sequence AI182371,extracellular region|,inflammatory response|complement activation|negative regulation of endopeptidase activity|,endopeptidase inhibitor activity|,23,158,1.61E+11,52.2%
P14211,0.34084781,-0.2905,8.699537391,0.609666667,0.134910658,1.726423866,-1.241,-0.524,-0.021,0.064,-0.033,0.012,P14211,Calr,P14211_Calr,P14211,Calr,1,141,26,26,P14211,MOUSE,48164.8,54.3,80,80.1,368.72,368.72,,416,Calreticulin,acrosomal vesicle|extracellular region|extracellular space|nucleus|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|Golgi apparatus|cytosol|polysome|focal adhesion|external side of plasma membrane|membrane|extracellular matrix|sarcoplasmic reticulum lumen|MHC class I peptide loading complex|phagocytic vesicle|perinuclear region of cytoplasm|extracellular exosome|,"negative regulation of transcription from RNA polymerase II promoter|peptide antigen assembly with MHC class I protein complex|protein export from nucleus|cell cycle arrest|spermatogenesis|positive regulation of cell proliferation|positive regulation of gene expression|negative regulation of translation|cortical actin cytoskeleton organization|response to estradiol|negative regulation of intracellular steroid hormone receptor signaling pathway|response to testosterone|protein localization to nucleus|regulation of meiotic nuclear division|response to drug|negative regulation of neuron differentiation|positive regulation of DNA replication|positive regulation of cell cycle|negative regulation of transcription, DNA-templated|negative regulation of retinoic acid receptor signaling pathway|positive regulation of phagocytosis|protein stabilization|cardiac muscle cell differentiation|chaperone-mediated protein folding|cellular response to lithium ion|cellular response to organic substance|cellular senescence|positive regulation of substrate adhesion-dependent cell spreading|positive regulation of dendritic cell chemotaxis|",glycoprotein binding|mRNA binding|integrin binding|iron ion binding|calcium ion binding|protein binding|carbohydrate binding|ubiquitin protein ligase binding|peptide binding|hormone binding|poly(A) RNA binding|androgen receptor binding|unfolded protein binding|,26,141,79700000000,54.3%
Q8BK48,0.561700919,-0.032,4.796402228,0.262666667,0.33140555,1.055816947,-0.452,-0.161,0.123,0.121,0.191,-0.014,Q8BK48,Ces2e,Q8BK48_Ces2e,Q8BK48,Ces2e,1,140,23,18,Q8BK48|F6Z9B9|Q08ED5|Q149K3,MOUSE,62716,44.5,81,81.1,358.53,287.37,,559,Pyrethroid hydrolase Ces2e,endoplasmic reticulum|,metabolic process|,carboxylic ester hydrolase activity|,23,140,32400000000,44.5%
Q91WG0,0.826430946,-0.023333333,1.669576557,0.137333333,0.680835738,0.431905686,-0.626,0.027,0.323,0.26,-0.098,-0.026,Q91WG0,Ces2c,Q91WG0_Ces2c,Q91WG0,Ces2c,1,32,16,9,Q91WG0,MOUSE,62753.8,31.3,81,81.2,239.59,134.84,,561,Acylcarnitine hydrolase,endoplasmic reticulum|intracellular membrane-bounded organelle|,metabolic process|,acylcarnitine hydrolase activity|,9,32,1270000000,16.2%
Q8QZR3,0.201482994,-0.288,13.84242099,0.564,0.041281731,2.583641628,-0.703,-0.408,-0.599,0.069,-0.092,0.005,Q8QZR3,Ces2a,Q8QZR3_Ces2a,Q8QZR3,Ces2a,1,23,10,5,Q8QZR3|Q8QZR3-2,MOUSE,62395.6,17.7,81,81.3,143.29,73.57,,558,Pyrethroid hydrolase Ces2a,,,carboxylic ester hydrolase activity|,5,23,1120000000,10.2%
E9PV38,0.985530267,-0.114666667,0.165612362,0.019333333,0.962584277,0.048897967,-0.196,0.616,-0.793,0.049,-0.236,-0.128,E9PV38,Ces2g,E9PV38_Ces2g,E9PV38,Ces2g,1,3,9,3,E9PV38,MOUSE,63005,19.6,81,81.4,113.08,24.29,,560,Carboxylic ester hydrolase,,metabolic process|,hydrolase activity|,3,3,334000000,7.1%
P00920,0.890797218,0.2195,1.091530483,-0.128333333,0.777762414,-0.295208275,-0.288,-0.029,1.168,0.329,-0.137,0.274,P00920,Car2,P00920_Car2,P00920,Ca2,1,108,19,19,P00920|A0A0A6YX78|P00921,MOUSE,29146.1,66.5,82,82.1,349.71,349.71,,260,Carbonic anhydrase 2,extracellular space|cytoplasm|cytosol|plasma membrane|microvillus|basolateral plasma membrane|axon|myelin sheath|apical part of cell|extracellular exosome|,"kidney development|morphogenesis of an epithelium|one-carbon metabolic process|regulation of pH|response to pH|response to zinc ion|carbon dioxide transport|positive regulation of synaptic transmission, GABAergic|positive regulation of cellular pH reduction|angiotensin-activated signaling pathway|odontogenesis of dentin-containing tooth|response to estrogen|regulation of anion transport|positive regulation of osteoclast differentiation|positive regulation of bone resorption|secretion|regulation of intracellular pH|cellular response to fluid shear stress|positive regulation of dipeptide transmembrane transport|regulation of chloride transport|",arylesterase activity|carbonate dehydratase activity|zinc ion binding|,19,108,26100000000,66.5%
