id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,Amanda_newDatabase..126.126.127.128.129.130.131..NoBirA_6.multimedian,Amanda_newDatabase..128.126.127.128.129.130.131..NoBirA_4.multimedian,Amanda_newDatabase..129.126.127.128.129.130.131..NoBirA_5.multimedian,Amanda_newDatabase..127.126.127.128.129.130.131..BirA.Cre_3.multimedian,Amanda_newDatabase..130.126.127.128.129.130.131..BirA.Cre_2.multimedian,Amanda_newDatabase..131.126.127.128.129.130.131..BirA.Cre_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Amanda_newDatabase.unique_peptides,Amanda_newDatabase.numSpectra,Amanda_newDatabase.totalIntensity,Amanda_newDatabase.pct_cov
P70389,0.00017017,-0.8255,43.09633486,3.620333333,4.90192E-05,8.793664572,-3.26,-2.629,-2.018,0.982,0.998,0.974,P70389,Igfals,P70389_Igfals,P70389,Igfals,1,47,21,21,A0A0R4J0S2|P70389,MOUSE,67757.5,39.6,95,95.1,268.23,268.23,,603,Insulin-like growth factor-binding protein complex acid labile subunit,nucleoplasm|insulin-like growth factor ternary complex|extracellular exosome|,cell adhesion|,,21,47,5130000000,39.6%
P41317,0.000165321,-1.5425,43.50192302,5.375,4.46486E-05,8.920901027,-4.476,-2.96,-5.254,1.343,1.162,0.93,P41317,Mbl2,P41317_Mbl2,P41317,Mbl2,1,77,16,16,P41317,MOUSE,26356,59,96,96.1,264.96,264.96,,244,Mannose-binding protein C,collagen trimer|extracellular space|,"complement activation, lectin pathway|complement activation, classical pathway|negative regulation of growth of symbiont in host|innate immune response|negative regulation of viral process|positive regulation of phagocytosis|defense response to Gram-positive bacterium|killing by host of symbiont cells|",receptor binding|calcium ion binding|mannose binding|calcium-dependent protein binding|,16,77,1.52E+11,59.0%
P16294,0.000165321,-0.8072,43.75460151,4.909666667,4.2125E-05,10.5453907,-4.22,-3.286,,1.409,1.133,0.928,P16294,F9,P16294_F9,P16294,F9,1,55,16,16,P16294,MOUSE,54289.1,42,97,97.1,264.2,264.2,,471,Coagulation factor IX,extracellular space|extracellular exosome|,proteolysis|blood coagulation|zymogen activation|,endopeptidase activity|serine-type endopeptidase activity|calcium ion binding|peptidase activity|,16,55,37800000000,42.0%
Q03311,0.000894816,-1.682166667,32.10256722,5.699666667,0.000616231,5.973584827,-3.977,-2.836,-6.783,1.357,1.24,0.906,Q03311,Bche,Q03311_Bche,Q03311,Bche,1,50,18,18,Q03311,MOUSE,68974.5,27.3,98,98.1,263.72,263.72,,603,Cholinesterase,nuclear envelope lumen|endoplasmic reticulum|endoplasmic reticulum lumen|membrane|blood microparticle|,learning|negative regulation of cell proliferation|neuroblast differentiation|choline metabolic process|response to drug|response to alkaloid|negative regulation of synaptic transmission|response to glucocorticoid|response to folic acid|,acetylcholinesterase activity|cholinesterase activity|choline binding|identical protein binding|,18,50,15100000000,27.3%
Q9JHH6,0.000156464,-0.7025,45.03473931,4.089666667,3.13708E-05,9.416169698,-3.34,-2.718,-2.184,1.586,1.548,0.893,Q9JHH6,Cpb2,Q9JHH6_Cpb2,Q9JHH6,Cpb2,1,58,18,18,Q9JHH6,MOUSE,49269,36.7,99,99.1,263.13,263.13,,422,Carboxypeptidase B2,extracellular space|cell|extracellular exosome|,positive regulation of extracellular matrix constituent secretion|proteolysis|blood coagulation|response to heat|negative regulation of plasminogen activation|response to drug|fibrinolysis|negative regulation of fibrinolysis|cellular response to glucose stimulus|liver regeneration|negative regulation of hepatocyte proliferation|,carboxypeptidase activity|metallocarboxypeptidase activity|zinc ion binding|,18,58,26600000000,36.7%
Q02819,0.000145021,-1.145833333,48.06718459,4.358333333,1.56056E-05,10.46725361,-3.47,-2.639,-3.866,0.935,1.165,1,Q02819,Nucb1,Q02819_Nucb1,Q02819,Nucb1,1,40,21,21,Q02819|A0A1C7CYU3,MOUSE,53407.7,44.4,100,100.1,262.31,262.31,,459,Nucleobindin-1,extracellular space|nucleus|early endosome|rough endoplasmic reticulum|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|Golgi-associated vesicle|cis-Golgi network|trans-Golgi network|microtubule cytoskeleton|membrane|Golgi cisterna membrane|extracellular exosome|extrinsic component of Golgi membrane|lumenal side of Golgi membrane|,response to cisplatin|regulation of protein targeting|,G-protein alpha-subunit binding|DNA binding|calcium ion binding|,21,40,3260000000,44.4%
P35917,0.000145021,-1.1295,53.52714455,4.326333333,4.439E-06,12.62856498,-3.379,-2.942,-3.557,1.033,1.141,0.927,P35917,Flt4,P35917_Flt4,P35917,Flt4,1,35,19,19,P35917,MOUSE,155124.7,15.7,101,101.1,261.04,261.04,,1363,Vascular endothelial growth factor receptor 3,nucleus|cytoplasm|plasma membrane|integral component of plasma membrane|receptor complex|,positive regulation of protein phosphorylation|positive regulation of endothelial cell proliferation|vasculature development|lymph vessel development|lymphangiogenesis|sprouting angiogenesis|positive regulation of cell proliferation|positive regulation of vascular endothelial growth factor production|positive regulation of endothelial cell migration|peptidyl-tyrosine phosphorylation|cellular response to vascular endothelial growth factor stimulus|vascular endothelial growth factor signaling pathway|negative regulation of apoptotic process|positive regulation of MAPK cascade|positive regulation of JNK cascade|protein autophosphorylation|vascular endothelial growth factor receptor signaling pathway|blood vessel morphogenesis|regulation of blood vessel remodeling|positive regulation of ERK1 and ERK2 cascade|positive regulation of protein kinase C signaling|,transmembrane receptor protein tyrosine kinase activity|vascular endothelial growth factor-activated receptor activity|protein binding|ATP binding|growth factor binding|protein phosphatase binding|,19,35,2650000000,15.7%
P29699,0.000201384,-0.9455,41.54854349,4.078333333,7.00077E-05,8.322171101,-3.958,-2.594,-2.402,1.303,1.059,0.919,P29699,Ahsg,P29699_Ahsg,P29699,Ahsg,1,86,17,17,P29699,MOUSE,38123.7,63.1,102,102.1,255.32,255.32,,345,Alpha-2-HS-glycoprotein,extracellular space|extracellular exosome|blood microparticle|,ossification|acute-phase response|negative regulation of endopeptidase activity|negative regulation of bone mineralization|regulation of inflammatory response|positive regulation of phagocytosis|,cysteine-type endopeptidase inhibitor activity|,17,86,2.16E+11,63.1%
O70570,0.000145021,-0.975666667,51.58467703,4.047333333,6.94276E-06,11.81695265,-2.984,-2.718,-3.296,1.222,0.891,1.031,O70570,Pigr,O70570_Pigr,O70570,Pigr,1,35,18,18,O70570,MOUSE,86309.5,27.2,103,103.1,253.96,253.96,,771,Polymeric immunoglobulin receptor,extracellular space|plasma membrane|integral component of membrane|receptor complex|extracellular exosome|,detection of chemical stimulus involved in sensory perception of bitter taste|retina homeostasis|immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor|epidermal growth factor receptor signaling pathway|Fc receptor signaling pathway|receptor clustering|,polymeric immunoglobulin receptor activity|,18,35,2440000000,27.2%
P00761,0.00369417,-0.165333333,25.29315066,1.464666667,0.002955867,4.450436897,-0.647,-0.916,-1.13,0.649,0.507,0.545,P00761,NotFound,P00761_NotFound,P00761,,1,275,14,13,P00761|B99908,PIG,25093.7,64,104,104.1,251.12,234.92,,231,Trypsin,,,,14,275,4.01E+13,64.0%
B99907,0.001096862,-0.2605,31.05651643,2.123666667,0.000784058,5.631632092,-0.994,-1.161,-1.812,1.054,0.762,0.588,B99907,NotFound,B99907_NotFound,B99907,,1,46,5,4,B99907,PromTArt7,5560.1,98,104,104.2,101.82,85.62,,50,"Promega trypsin artifact 2 K to R mods +28 (2239.1, 2914)(1987, 2003) [Sus scrofa]",,,,4,46,46900000000,98.0%
P29788,0.000157801,-0.720666667,44.9160176,3.744,3.22402E-05,9.376977329,-2.901,-2.815,-2.062,1.55,0.976,0.928,P29788,Vtn,P29788_Vtn,P29788,Vtn,1,86,16,16,P29788,MOUSE,55646.8,34.5,105,105.1,246.52,246.52,,478,Vitronectin,proteinaceous extracellular matrix|extracellular space|extracellular matrix|extracellular exosome|blood microparticle|extracellular matrix|,receptor-mediated endocytosis|immune response|cell-matrix adhesion|positive regulation of cell-substrate adhesion|negative regulation of endopeptidase activity|positive regulation of smooth muscle cell migration|extracellular matrix organization|positive regulation of protein binding|cell adhesion mediated by integrin|endodermal cell differentiation|positive regulation of receptor-mediated endocytosis|oligodendrocyte differentiation|positive regulation of peptidyl-tyrosine phosphorylation|smooth muscle cell-matrix adhesion|,scavenger receptor activity|integrin binding|heparin binding|polysaccharide binding|extracellular matrix binding|,16,86,1.7E+11,34.5%
Q61730-2,0.000165808,-0.857833333,43.40895072,3.957666667,4.56147E-05,8.891596592,-3.571,-2.644,-2.295,1.487,0.906,0.97,Q61730,Il1rap,Q61730-2_Il1rap,Q61730-2,Il1rap,1,42,19,19,Q61730-2|Q61730-3|E9Q6I2|Q61730|G3UY13,MOUSE,42194.2,44.1,106,106.1,245.79,245.79,,570,Isoform 2 of Interleukin-1 receptor accessory protein,extracellular region|plasma membrane|membrane|integral component of membrane|,inflammatory response|cytokine-mediated signaling pathway|interleukin-2 biosynthetic process|innate immune response|,signal transducer activity|interleukin-1 receptor activity|protein binding|,19,42,5900000000,44.1%
A0A0A6YXW6,0.000148189,-0.969,46.56688906,4.736,2.20451E-05,9.934965486,-3.637,-2.869,-3.505,1.006,0.959,2.232,A0A0A6YXW6,NotFound,A0A0A6YXW6_NotFound,A0A0A6YXW6,Igha,1,65,12,3,A0A0A6YXW6,MOUSE,42869.8,39,107,107.1,243.25,52.76,,389,Immunoglobulin heavy constant alpha (Fragment),,,,12,65,77600000000,39.0%
P01878,0.002279552,0.51725,27.57285235,3.907,0.001748698,6.060104949,,-2.413,,1.586,0.929,1.967,P01878,NotFound,P01878_NotFound,P01878,,1,2,10,1,P01878,MOUSE,37616.9,40.4,107,107.2,197.17,6.68,,344,Ig alpha chain C region,,,antigen binding|immunoglobulin receptor binding|,1,2,30200000,6.3%
P70375,0.001234626,-0.7115,30.50501447,3.652333333,0.000890222,5.510892662,-3.731,-2.783,-1.099,1.258,1.154,0.932,P70375,F7,P70375_F7,P70375,F7,1,74,19,19,P70375,MOUSE,51701.8,36.9,108,108.1,242.95,242.95,,446,Coagulation factor VII,extracellular region|extracellular space|vesicle|,positive regulation of leukocyte chemotaxis|proteolysis|blood coagulation|circadian rhythm|positive regulation of platelet-derived growth factor receptor signaling pathway|positive regulation of blood coagulation|organ regeneration|response to vitamin K|response to estrogen|positive regulation of positive chemotaxis|positive regulation of protein kinase B signaling|response to growth hormone|,glycoprotein binding|serine-type endopeptidase activity|receptor binding|calcium ion binding|,19,74,22400000000,36.9%
Q06194,0.000240734,-1.311666667,40.02039875,4.727333333,9.95314E-05,7.877620931,-3.27,-2.761,-4.995,1.12,1.137,0.899,Q06194,F8,Q06194_F8,Q06194,F8,1,32,21,21,Q06194|B2RRC9,MOUSE,267560.2,8.5,109,109.1,242.2,242.2,,2319,Coagulation factor VIII,extracellular space|,acute-phase response|platelet activation|oxidation-reduction process|,copper ion binding|oxidoreductase activity|,21,32,1980000000,8.5%
Q9QWL7,0.128067996,-0.571666667,9.187531365,1.650666667,0.120572111,1.773579271,0.222,-0.832,-3.581,-0.108,0.472,0.397,Q9QWL7,Krt17,Q9QWL7_Krt17,Q9QWL7,Krt17,1,74,20,6,Q9QWL7|Q9D312|Q8CCX5|Q8CCX5-2|Q99PS0,MOUSE,48446.3,33.9,110,110.1,239.59,73.93,,433,"Keratin, type I cytoskeletal 17",cytoplasm|intermediate filament|extracellular exosome|cell periphery|,morphogenesis of an epithelium|signal transduction|positive regulation of cell growth|hair follicle morphogenesis|keratinization|intermediate filament organization|positive regulation of translation|positive regulation of hair follicle development|,structural molecule activity|protein binding|MHC class II receptor activity|MHC class II protein binding|,21,74,2.29E+11,33.9%
Q61781,0.000579056,-0.479333333,34.4042735,2.474,0.000362721,6.404620947,-1.685,-1.222,-2.242,0.801,0.606,0.866,Q61781,Krt14,Q61781_Krt14,Q61781,Krt14,1,3,20,3,Q61781|Q9Z320|Q8VCW2,MOUSE,53208.4,35.7,110,110.2,236.5,29.07,,484,"Keratin, type I cytoskeletal 14",intracellular|nucleus|cytoplasm|intermediate filament|keratin filament|extracellular exosome|cell periphery|,aging|response to zinc ion|response to ionizing radiation|epithelial cell differentiation|hair cycle|intermediate filament bundle assembly|,structural molecule activity|protein binding|keratin filament binding|,3,3,13800000,7.2%
Q6IFX2,0.144612657,-1.210333333,8.625542669,3.033333333,0.137228948,1.683964911,0.127,-1.016,-7.292,-0.143,0.587,0.475,Q6IFX2,Krt42,Q6IFX2_Krt42,Q6IFX2,Krt42,1,8,20,5,Q6IFX2,MOUSE,50474.5,30.5,110,110.3,214.31,46.8,,452,"Keratin, type I cytoskeletal 42",cytoplasm|intermediate filament|,,structural molecule activity|,5,8,1270000000,7.3%
Q9Z2K1,0.144847905,-0.5715,8.612787902,1.609666667,0.137632567,1.681924556,0.168,-0.632,-3.665,-0.136,0.284,0.552,Q9Z2K1,Krt16,Q9Z2K1_Krt16,Q9Z2K1,Krt16,1,11,15,6,Q9Z2K1,MOUSE,52004.9,23.6,110,110.4,181.07,82.81,,469,"Keratin, type I cytoskeletal 16",nucleus|cytoskeleton|intermediate filament|extracellular exosome|,morphogenesis of an epithelium|inflammatory response|aging|keratinocyte differentiation|negative regulation of cell migration|keratinization|hair cycle|innate immune response|intermediate filament cytoskeleton organization|keratinocyte migration|establishment of skin barrier|,structural constituent of cytoskeleton|protein binding|,6,11,2660000000,11.5%
P08730,0.006065485,-0.355333333,23.0049469,4.144666667,0.005006167,4.073308483,-1.957,-1.286,-4.04,0.733,0.784,3.634,P08730,Krt13,P08730_Krt13,P08730,Krt13,1,4,14,3,P08730|P08730-2,MOUSE,48095.6,19.6,110,110.5,151.6,25.83,,437,"Keratin, type I cytoskeletal 13",nucleus|keratin filament|intermediate filament cytoskeleton|extracellular exosome|,cytoskeleton organization|response to radiation|tongue morphogenesis|cellular response to retinoic acid|,structural molecule activity|protein binding|,3,4,462000000,5.9%
O77727,0.011375604,-0.6725,20.10521875,2.874333333,0.009760636,3.550584786,-0.567,-1.858,-3.904,0.613,1.009,0.672,O77727,NotFound,O77727_NotFound,O77727,KRT15,1,16,12,4,O77727,SHEEP,48769.2,18.3,110,110.6,153.11,49.61,,453,"Keratin, type I cytoskeletal 15",,,,4,16,9220000000,5.7%
P02535,0.045346244,-0.631833333,13.87836219,2.103,0.040941503,2.515819496,-0.071,-1.476,-3.503,0.178,0.82,0.261,P02535,Krt10,P02535_Krt10,P02535,Krt10,1,33,11,7,P02535|P02535-2|A2A513|P02535-3,MOUSE,57940,16.6,110,110.7,167.52,109.55,,570,"Keratin, type I cytoskeletal 10",keratin filament|,epithelial cell differentiation|cellular response to calcium ion|,structural molecule activity|protein binding|,7,33,1.06E+11,11.7%
B1AQ77,0.082836655,0.272,11.16674782,1.734166667,0.076440799,2.151166369,-1.494,-0.043,,2.22,0.041,0.636,B1AQ77,Krt15,B1AQ77_Krt15,B1AQ77,Krt15,1,1,9,1,B1AQ77|Q61414,MOUSE,49664.3,11.4,110,110.8,110.68,7.38,,456,"Keratin 15, isoform CRA_a",nucleus|intermediate filament|extracellular exosome|,activation of mitophagy in response to mitochondrial depolarization|,structural molecule activity|scaffold protein binding|,1,1,32700000,3.9%
P19001,0.054072379,-0.729166667,13.07822691,2.018333333,0.049224046,2.388520141,-0.189,-1.345,-3.681,0.153,0.363,0.324,P19001,Krt19,P19001_Krt19,P19001,Krt19,1,2,6,1,P19001,MOUSE,44541,11.4,110,110.9,76.3,9.39,,403,"Keratin, type I cytoskeletal 19",intermediate filament|plasma membrane|dystrophin-associated glycoprotein complex|Z disc|sarcolemma|costamere|extracellular exosome|cell periphery|terminal web|,Notch signaling pathway|response to estrogen|sarcomere organization|cell differentiation involved in embryonic placenta development|,protein binding|structural constituent of muscle|protein complex binding|,1,2,45800000,2.9%
Q9BGM5,0.083574327,-0.692666667,11.11653845,1.845333333,0.07732967,2.078589863,0.166,-1.454,-3.558,0.132,0.528,0.03,Q9BGM5,NotFound,Q9BGM5_NotFound,Q9BGM5,KRT25,1,7,2,1,Q9BGM5,SHEEP,49883,4,110,110.1,31.83,17.44,,450,"Keratin, type I cytoskeletal 25",,,,1,7,18600000000,2.0%
Q9CQF9,0.000145021,-1.0405,51.06999702,4.179666667,7.81628E-06,11.61008138,-3.154,-2.73,-3.507,1.217,1.025,0.906,Q9CQF9,Pcyox1,Q9CQF9_Pcyox1,Q9CQF9,Pcyox1,1,37,17,17,Q9CQF9|A0A0N4SWD3,MOUSE,56721.9,40.3,111,111.1,238.91,238.91,,505,Prenylcysteine oxidase,lysosome|vacuolar membrane|plasma membrane|very-low-density lipoprotein particle|extracellular exosome|,prenylated protein catabolic process|prenylcysteine catabolic process|oxidation-reduction process|chloride transmembrane transport|,prenylcysteine oxidase activity|chloride-transporting ATPase activity|,17,37,2950000000,40.3%
P08607,0.000304926,-0.800833333,38.09861129,3.755,0.000154931,7.346355835,-3.502,-2.844,-1.689,1.161,0.89,1.179,P08607,C4bp,P08607_C4bp,P08607,C4bpa,1,51,15,15,P08607|E9PUZ8,MOUSE,53006.2,32.4,112,112.1,238.41,238.41,,469,C4b-binding protein,extracellular region|,"complement activation, classical pathway|innate immune response|",protein binding|,15,51,23900000000,32.4%
Q9DBB9,0.000145021,-1.255,51.08002446,4.833333333,7.79826E-06,11.61408003,-3.649,-3.089,-4.277,1.394,1.153,0.938,Q9DBB9,Cpn2,Q9DBB9_Cpn2,Q9DBB9,Cpn2,1,71,16,16,Q9DBB9,MOUSE,61333.9,34.1,113,113.1,236.74,236.74,,547,Carboxypeptidase N subunit 2,extracellular exosome|blood microparticle|,,,16,71,37200000000,34.1%
Q9R1E6-2,0.000165808,-0.9005,43.3475956,4.305,4.62637E-05,8.872302915,-3.165,-2.377,-3.617,1.922,0.964,0.87,Q9R1E6,Enpp2,Q9R1E6-2_Enpp2,Q9R1E6-2,Enpp2,1,33,18,18,Q9R1E6-2|G3UXY9|Q9R1E6-3|Q9R1E6,MOUSE,106969.5,23.8,114,114.1,236.63,236.63,,862,Isoform 2 of Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,extracellular space|integral component of plasma membrane|,receptor-mediated endocytosis|chemotaxis|immune response|phospholipid catabolic process|positive regulation of epithelial cell migration|regulation of cell migration|phosphatidylcholine catabolic process|regulation of angiogenesis|positive regulation of peptidyl-tyrosine phosphorylation|nucleic acid phosphodiester bond hydrolysis|positive regulation of lamellipodium morphogenesis|,nucleic acid binding|phosphodiesterase I activity|nucleotide diphosphatase activity|lysophospholipase activity|scavenger receptor activity|calcium ion binding|zinc ion binding|polysaccharide binding|alkylglycerophosphoethanolamine phosphodiesterase activity|,18,33,3470000000,23.8%
P46412,0.000145021,-1.5005,47.95136976,5.161,1.60274E-05,10.42527845,-4.399,-3.092,-4.752,1.229,0.961,1.05,P46412,Gpx3,P46412_Gpx3,P46412,Gpx3,1,119,17,17,P46412|P21765,MOUSE,25581.2,48.2,115,115.1,233.57,233.57,,226,Glutathione peroxidase 3,extracellular space|extracellular exosome|,response to oxidative stress|hydrogen peroxide catabolic process|protein homotetramerization|oxidation-reduction process|,glutathione peroxidase activity|selenium binding|,17,119,3E+11,48.2%
Q9Z0Z4,0.000237548,-1.387333333,40.14507393,4.795333333,9.67147E-05,7.913137651,-3.337,-2.884,-5.134,1.119,0.987,0.925,Q9Z0Z4,Heph,Q9Z0Z4_Heph,Q9Z0Z4,Heph,1,30,18,18,Q9Z0Z4|Q9Z0Z4-2|A2AI62,MOUSE,130576.7,19.3,116,116.1,232.18,232.18,,1157,Hephaestin,intracellular|integral component of membrane|basolateral plasma membrane|perinuclear region of cytoplasm|,copper ion transport|iron ion transport|cellular iron ion homeostasis|oxidation-reduction process|,ferroxidase activity|copper ion binding|ferrous iron binding|,18,30,1900000000,19.3%
Q6GQT1,0.000145021,-1.105,53.30863912,4.456666667,4.66806E-06,12.53476957,-3.79,-3.156,-3.054,1.116,1.115,1.139,Q6GQT1,A2m,Q6GQT1_A2m,Q6GQT1,A2m,1,76,19,15,Q6GQT1|K4JBR5|K4JF13|K4JB97,MOUSE,165776,13.7,117,117.1,229.1,184.95,,1474,Alpha-2-macroglobulin-P,extracellular exosome|blood microparticle|,"negative regulation of complement activation, lectin pathway|female pregnancy|negative regulation of endopeptidase activity|stem cell differentiation|",protease binding|serine-type endopeptidase inhibitor activity|receptor binding|protein binding|growth factor binding|enzyme binding|interleukin-8 binding|interleukin-1 binding|peptidase inhibitor activity|tumor necrosis factor binding|calcium-dependent protein binding|,21,76,6.88E+12,13.7%
Q7SIH1,0.000257057,-0.3906,39.59391483,4.067333333,0.000109802,8.912709245,-3.238,-2.424,,1.559,1.031,1.119,Q7SIH1,NotFound,Q7SIH1_NotFound,Q7SIH1,A2M,1,2,8,2,Q7SIH1|K4JR81|K4JDS3|K4JDR8|K4JBA2|R9QSM8,BOVIN,169056.4,5.8,117,117.2,74.56,9.58,,1510,Alpha-2-macroglobulin,,,,2,2,107000000,2.6%
Q9JJN5,0.006326758,-0.3985,22.8006009,3.217,0.005247349,4.035385617,-3.38,-2.448,-0.193,1.511,1.21,0.909,Q9JJN5,Cpn1,Q9JJN5_Cpn1,Q9JJN5,Cpn1,1,43,15,15,Q9JJN5|Q2KJ83,MOUSE,52129.7,37.4,118,118.1,225.56,225.56,,457,Carboxypeptidase N catalytic chain,extracellular space|,proteolysis|bradykinin catabolic process|response to glucocorticoid|,carboxypeptidase activity|metallocarboxypeptidase activity|zinc ion binding|,15,43,9900000000,37.4%
P33587,0.000338812,-1.317333333,37.43313327,5.019333333,0.000180587,7.241438802,-3.542,-2.635,-5.304,1.652,1.023,0.902,P33587,Proc,P33587_Proc,P33587,Proc,1,31,15,15,P33587,MOUSE,53186.4,38,119,119.1,224.62,224.62,,460,Vitamin K-dependent protein C,extracellular space|,proteolysis|blood coagulation|negative regulation of blood coagulation|negative regulation of apoptotic process|,calcium ion binding|peptidase activity|,15,31,3210000000,38.0%
P01898,0.000199576,-0.877166667,41.60672265,4.100333333,6.90761E-05,8.339499927,-3.866,-2.575,-2.341,1.49,1.141,0.888,P01898,H2-Q10,P01898_H2-Q10,P01898,H2-Q10,1,58,14,8,P01898|G3UXE9|E9Q0G4|A7VMS6|V9GXR0|V9GXI4|Q05A75|G3UZL7|A0A0B4J1G3,MOUSE,37478.5,40.6,120,120.1,224.24,130.21,,325,"H-2 class I histocompatibility antigen, Q10 alpha chain",endoplasmic reticulum|Golgi apparatus|Golgi medial cisterna|plasma membrane|cell surface|membrane|phagocytic vesicle membrane|MHC class I protein complex|extracellular exosome|endoplasmic reticulum exit site|integral component of lumenal side of endoplasmic reticulum membrane|,antigen processing and presentation of peptide antigen via MHC class I|immune response|,receptor binding|beta-2-microglobulin binding|peptide antigen binding|T cell receptor binding|poly(A) RNA binding|TAP binding|,14,58,18700000000,40.6%
Q8HWB2,0.0001846,-1.2515,42.37431771,4.694333333,5.78853E-05,8.570985954,-3.867,-2.479,-4.45,1.318,1.084,0.885,Q8HWB2,H2-Q4,Q8HWB2_H2-Q4,Q8HWB2,H2-Q4,1,7,13,4,Q8HWB2|P01899|O19441|E9PX63|P01900|P01902|P14427|P01895-2,MOUSE,39902.4,34.7,120,120.2,169.16,50.5,,354,"Histocompatibility 2, Q region locus 4",endoplasmic reticulum|Golgi apparatus|Golgi medial cisterna|plasma membrane|cell surface|membrane|MHC class I protein complex|extracellular exosome|endoplasmic reticulum exit site|,antigen processing and presentation of peptide antigen via MHC class I|immune response|,receptor binding|beta-2-microglobulin binding|peptide antigen binding|T cell receptor binding|poly(A) RNA binding|TAP binding|,4,7,259000000,12.1%
P79568,0.000370527,-0.6114,36.78839493,4.486,0.000209489,7.941652711,-4.035,-2.571,,1.532,1.144,0.873,P79568,H2-Q6,P79568_H2-Q6,P79568,H2-Q6,1,2,5,2,P79568|P14429|E9QJR9|E9PWT4|P14431|P14426|P04223|P04223-2|L7N260|P01901|Q3TH01|P03991|P06339,MOUSE,37691.1,16.2,120,120.3,65.3,13.07,,326,Class Ib MHC antigen Qa-2,endoplasmic reticulum|Golgi apparatus|Golgi medial cisterna|plasma membrane|cell surface|membrane|MHC class I protein complex|extracellular exosome|endoplasmic reticulum exit site|,antigen processing and presentation of peptide antigen via MHC class I|immune response|,receptor binding|beta-2-microglobulin binding|peptide antigen binding|T cell receptor binding|poly(A) RNA binding|TAP binding|,2,2,17900000,3.6%
E0CZ58,0.000330002,-0.888833333,37.60886509,3.895,0.000173426,7.215682108,-1.954,-2.676,-3.879,1.38,0.96,0.836,E0CZ58,Prg4,E0CZ58_Prg4,E0CZ58,Prg4,1,30,16,16,E0CZ58|Q9JM99|Q9JM99-2|E9QQ17|Q9JM99-3|E9QQ18|Q9JM99-4|A0A0R4J207|Q9JM99-5,MOUSE,135831.6,14.5,121,121.1,221.07,221.07,,1221,Proteoglycan 4,extracellular space|cytoplasm|,receptor-mediated endocytosis|immune response|peptide cross-linking|regulation of cell proliferation|negative regulation of interleukin-6 biosynthetic process|hematopoietic stem cell proliferation|,scavenger receptor activity|polysaccharide binding|,16,30,6570000000,14.5%
A0A0A6YVP0,0.000261034,-1.199166667,39.32479653,4.673666667,0.000116821,7.68184853,-3.093,-2.636,-4.879,1.233,1.262,0.918,A0A0A6YVP0,NotFound,A0A0A6YVP0_NotFound,A0A0A6YVP0,Ighg2b,1,41,16,14,A0A0A6YVP0|P01867|P01867-2|P01865|P01863,MOUSE,45094.4,46.6,122,122.1,217.94,185.23,,405,Immunoglobulin heavy constant gamma 2B (Fragment),"extracellular space|immunoglobulin complex, circulating|","positive regulation of type IIa hypersensitivity|positive regulation of type I hypersensitivity|humoral immune response mediated by circulating immunoglobulin|phagocytosis, recognition|phagocytosis, engulfment|complement activation, classical pathway|immunoglobulin mediated immune response|positive regulation of phagocytosis|positive regulation of immune response|",antigen binding|,16,41,7100000000,46.6%
F6TQW2,0.000218045,-0.6164,40.73409276,4.221833333,8.44483E-05,9.335994476,-3.617,-2.682,,1.138,1.141,0.938,F6TQW2,NotFound,F6TQW2_NotFound,F6TQW2,Ighg2c,1,26,12,10,F6TQW2|P01864,MOUSE,44892.5,32.9,122,122.2,191.84,159.13,,404,Immunoglobulin heavy constant gamma 2C (Fragment),"extracellular space|immunoglobulin complex, circulating|",humoral immune response mediated by circulating immunoglobulin|immunoglobulin mediated immune response|antibacterial humoral response|defense response to bacterium|,antigen binding|,10,26,4690000000,28.2%
A8DUK4,0.000374289,-0.811,36.72543787,4.140666667,0.000212548,6.984609125,-4.069,-2.076,-2.499,1.774,0.798,1.206,A8DUK4,Hbb-bs,A8DUK4_Hbb-bs,A8DUK4,Hbb-bs,1,92,12,4,A8DUK4|P02081|P02104|D4QBB3|P02070|P06642|P06643,MOUSE,15804.8,89.7,123,123.1,215.7,67.24,,147,Beta-globin,hemoglobin complex|,oxygen transport|,oxygen transporter activity|iron ion binding|oxygen binding|heme binding|,13,92,1.89E+11,89.7%
