id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,Amanda_newDatabase..126.126.127.128.129.130.131..NoBirA_6.multimedian,Amanda_newDatabase..128.126.127.128.129.130.131..NoBirA_4.multimedian,Amanda_newDatabase..129.126.127.128.129.130.131..NoBirA_5.multimedian,Amanda_newDatabase..127.126.127.128.129.130.131..BirA.Cre_3.multimedian,Amanda_newDatabase..130.126.127.128.129.130.131..BirA.Cre_2.multimedian,Amanda_newDatabase..131.126.127.128.129.130.131..BirA.Cre_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Amanda_newDatabase.unique_peptides,Amanda_newDatabase.numSpectra,Amanda_newDatabase.totalIntensity,Amanda_newDatabase.pct_cov
P97290,0.555101425,-0.029083333,4.772961647,0.282833333,0.333199112,1.052388468,-0.5525,-0.035,0.076,0.307,0.055,-0.025,P97290,Serping1,P97290_Serping1,P97290,Serping1,1,110,26,26,P97290|A2ATR8,MOUSE,55868.8,38.8,66,66.1,381.91,381.91,,504,Plasma protease C1 inhibitor,extracellular space|extracellular exosome|blood microparticle|,"negative regulation of complement activation, lectin pathway|complement activation, classical pathway|aging|blood coagulation|negative regulation of endopeptidase activity|fibrinolysis|innate immune response|",serine-type endopeptidase inhibitor activity|,26,110,91700000000,38.8%
Q61247,0.233962779,-0.114916667,12.88054849,0.6905,0.051516358,2.425720138,-0.5685,-0.055,-0.757,0.366,0.353,-0.028,Q61247,Serpinf2,Q61247_Serpinf2,Q61247,Serpinf2,1,134,24,24,Q61247,MOUSE,55199.1,39.9,67,67.1,380.87,380.87,,491,Alpha-2-antiplasmin,fibrinogen complex|extracellular space|cell surface|extracellular exosome|blood microparticle|,regulation of blood vessel size by renin-angiotensin|acute-phase response|response to organic substance|negative regulation of plasminogen activation|negative regulation of endopeptidase activity|collagen fibril organization|positive regulation of collagen biosynthetic process|positive regulation of cell differentiation|positive regulation of transcription from RNA polymerase II promoter|positive regulation of JNK cascade|blood vessel morphogenesis|positive regulation of smooth muscle cell proliferation|positive regulation of stress fiber assembly|negative regulation of fibrinolysis|positive regulation of ERK1 and ERK2 cascade|positive regulation of transforming growth factor beta production|,protease binding|serine-type endopeptidase inhibitor activity|protein homodimerization activity|,24,134,3.75E+11,39.9%
A2A7A7,0.932038361,0.04725,0.476644576,-0.049833333,0.896056805,-0.136377909,-0.2925,-0.292,0.801,0.008,-0.107,0.166,A2A7A7,H6pd,A2A7A7_H6pd,A2A7A7,H6pd,1,71,27,27,A2A7A7|Q8CFX1,MOUSE,90478.8,36,68,68.1,372.92,372.92,,797,GDH/6PGL endoplasmic bifunctional protein,mitochondrion|,glucose metabolic process|pentose-phosphate shunt|oxidation-reduction process|response to alcohol|,glucose-6-phosphate dehydrogenase activity|6-phosphogluconolactonase activity|carbohydrate binding|NADP binding|,27,71,15400000000,36.0%
Q9JKR6,0.759970158,0.11275,2.063536369,-0.288166667,0.621793765,-0.520311445,-0.4965,-0.229,1.496,-0.163,0.061,0.008,Q9JKR6,Hyou1,Q9JKR6_Hyou1,Q9JKR6,Hyou1,1,65,28,28,Q9JKR6|E0CYZ2,MOUSE,111407.3,30.6,69,69.1,368.82,368.82,,999,Hypoxia up-regulated protein 1,extracellular region|endoplasmic reticulum lumen|focal adhesion|membrane|endoplasmic reticulum chaperone complex|extracellular exosome|,response to ischemia|response to endoplasmic reticulum stress|negative regulation of apoptotic process|cellular response to hypoxia|negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway|negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway|,ATP binding|,28,65,6510000000,30.6%
Q3UER8,0.664485431,0.923583333,3.402910039,-1.065833333,0.456782015,-0.796161885,3.6255,-0.183,0.927,-0.436,2.649,-1.041,Q3UER8,Fgg,Q3UER8_Fgg,Q3UER8,Fgg,1,106,26,26,Q3UER8|Q8VCM7|P12799|F1MGU7|Q3SZZ9,MOUSE,51033.2,55.7,70,70.1,365.71,365.71,,443,Fibrinogen gamma chain,fibrinogen complex|extracellular space|cell cortex|external side of plasma membrane|cell surface|platelet alpha granule|extracellular exosome|blood microparticle|,"cell-matrix adhesion|signal transduction|protein secretion|plasminogen activation|positive regulation of heterotypic cell-cell adhesion|fibrinolysis|cellular protein complex assembly|positive regulation of vasoconstriction|positive regulation of exocytosis|positive regulation of protein secretion|protein polymerization|response to calcium ion|positive regulation of ERK1 and ERK2 cascade|platelet aggregation|blood coagulation, fibrin clot formation|positive regulation of peptide hormone secretion|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|negative regulation of endothelial cell apoptotic process|","receptor binding|structural molecule activity|protein binding, bridging|cell adhesion molecule binding|",26,106,1.14E+11,55.7%
F8VQ07,0.669813064,0.006083333,3.305739047,0.209166667,0.467117454,0.776267306,-0.4635,-0.028,0.196,0.312,0.047,-0.027,F8VQ07,5830473C10Rik,F8VQ07_5830473C10Rik,F8VQ07,5830473C10Rik,1,63,29,29,F8VQ07|A0A0J9YV75,MOUSE,72340.4,41.7,71,71.1,360.29,360.29,,620,RIKEN cDNA 5830473C10 gene,extracellular space|,transport|,,29,63,6460000000,41.7%
Q9QWK4,0.745307288,0.119583333,2.357623329,0.224833333,0.581082327,0.583639171,0.4565,-0.208,-0.227,-0.179,0.89,-0.015,Q9QWK4,Cd5l,Q9QWK4_Cd5l,Q9QWK4,Cd5l,1,101,24,24,Q9QWK4,MOUSE,40345.4,57.1,72,72.1,353.12,353.12,,352,CD5 antigen-like,membrane|extracellular exosome|blood microparticle|,receptor-mediated endocytosis|apoptotic process|,scavenger receptor activity|,24,101,1.82E+11,57.1%
Q8BH61,0.890329957,1.16025,0.876970712,-0.227166667,0.817152152,-0.241761334,2.3225,0.816,0.683,0.49,2.959,-0.309,Q8BH61,F13a1,Q8BH61_F13a1,Q8BH61,F13a1,1,74,24,24,Q8BH61,MOUSE,83719.2,28.4,73,73.1,353.01,353.01,,732,Coagulation factor XIII A chain,cytoplasm|blood microparticle|,blood coagulation|peptide cross-linking|,protein-glutamine gamma-glutamyltransferase activity|metal ion binding|,24,74,14400000000,28.4%
A2AS37,0.291894959,-0.053416667,10.89240932,0.528833333,0.081425244,2.092095203,-0.4605,-0.161,-0.332,0.533,0.119,-0.019,A2AS37,AI182371,A2AS37_AI182371,A2AS37,AI182371,1,82,22,22,A2AS37,MOUSE,40887.3,52.2,74,74.1,350.48,350.48,,356,Expressed sequence AI182371,extracellular region|,inflammatory response|complement activation|negative regulation of endopeptidase activity|,endopeptidase inhibitor activity|,22,82,76900000000,52.2%
P26928,0.408398537,-0.35025,7.434030146,0.7545,0.180549789,1.518457482,-0.3665,-0.006,-1.81,0.119,-0.049,0.011,P26928,Mst1,P26928_Mst1,P26928,Mst1,1,67,27,27,P26928|E0CXN0,MOUSE,83185.1,39.1,75,75.1,349.98,349.98,,716,Hepatocyte growth factor-like protein,extracellular exosome|,proteolysis|spermatogenesis|embryo implantation|sperm motility|,serine-type endopeptidase activity|,27,67,13400000000,39.1%
P49182,0.289535283,-0.05475,10.94709187,0.552166667,0.080406436,2.101206558,-0.5525,-0.23,-0.21,0.567,0.09,0.007,P49182,Serpind1,P49182_Serpind1,P49182,Serpind1,1,108,24,24,P49182,MOUSE,54781,47.6,76,76.1,349.56,349.56,,478,Heparin cofactor 2,extracellular space|extracellular exosome|,blood coagulation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|heparin binding|,24,108,96900000000,47.6%
Q01279,0.699470325,0.063416667,3.022680152,0.259166667,0.498576707,0.720674879,-0.2345,-0.459,0.495,-0.242,0.5,0.321,Q01279,Egfr,Q01279_Egfr,Q01279,Egfr,1,77,25,25,Q01279|Q9WVF5,MOUSE,138274.2,18,77,77.1,343.23,343.23,,1210,Epidermal growth factor receptor,"Golgi membrane|intracellular|nucleus|cytoplasm|endosome|endoplasmic reticulum membrane|plasma membrane|focal adhesion|cell surface|endosome membrane|membrane|integral component of membrane|basolateral plasma membrane|endocytic vesicle|early endosome membrane|nuclear membrane|receptor complex|membrane raft|perinuclear region of cytoplasm|multivesicular body, internal vesicle lumen|",cell morphogenesis|embryonic placenta development|positive regulation of protein phosphorylation|hair follicle development|signal transduction|cell surface receptor signaling pathway|epidermal growth factor receptor signaling pathway|salivary gland morphogenesis|learning or memory|cell proliferation|positive regulation of cell proliferation|epidermis development|single organismal cell-cell adhesion|peptidyl-tyrosine phosphorylation|cerebral cortex cell migration|signal transduction by protein phosphorylation|positive regulation of cell migration|positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle|positive regulation of catenin import into nucleus|regulation of cell proliferation|negative regulation of protein catabolic process|positive regulation of phosphorylation|negative regulation of apoptotic process|positive regulation of MAP kinase activity|positive regulation of nitric oxide biosynthetic process|positive regulation of DNA repair|positive regulation of DNA replication|positive regulation of transcription from RNA polymerase II promoter|protein autophosphorylation|positive regulation of fibroblast proliferation|digestive tract morphogenesis|positive regulation of epithelial cell proliferation|regulation of peptidyl-tyrosine phosphorylation|regulation of nitric-oxide synthase activity|positive regulation of protein kinase B signaling|morphogenesis of an epithelial fold|response to UV-A|positive regulation of ERK1 and ERK2 cascade|cellular response to amino acid stimulus|cellular response to epidermal growth factor stimulus|cellular response to estradiol stimulus|,chromatin binding|protein tyrosine kinase activity|receptor signaling protein tyrosine kinase activity|signal transducer activity|transmembrane signaling receptor activity|epidermal growth factor-activated receptor activity|protein binding|ATP binding|kinase activity|enzyme binding|protein phosphatase binding|ubiquitin protein ligase binding|identical protein binding|protein heterodimerization activity|actin filament binding|nitric-oxide synthase regulator activity|,25,77,30600000000,18.0%
Q8BHN3-2,0.849755878,0.002583333,1.328121285,0.0895,0.736525642,0.352507629,-0.2395,-0.216,0.329,0.053,0.109,-0.02,Q8BHN3,Ganab,Q8BHN3-2_Ganab,Q8BHN3-2,Ganab,1,54,28,28,Q8BHN3-2|Q8BHN3|Q8BHN3-3,MOUSE,109858.4,28.7,78,78.1,336.6,336.6,,944,Isoform 2 of Neutral alpha-glucosidase AB,endoplasmic reticulum|Golgi apparatus|membrane|glucosidase II complex|melanosome|extracellular exosome|,N-glycan processing|,"protein binding|glucosidase activity|carbohydrate binding|glucan 1,3-alpha-glucosidase activity|poly(A) RNA binding|",28,54,6080000000,28.7%
Q8R121,0.407329798,0.00375,7.556244156,0.359833333,0.175539794,1.535883307,-0.3295,-0.2,0.001,0.207,0.363,-0.019,Q8R121,Serpina10,Q8R121_Serpina10,Q8R121,Serpina10,1,79,23,23,Q8R121|Q8R121-2,MOUSE,51910.6,46.8,79,79.1,330.79,330.79,,448,Protein Z-dependent protease inhibitor,extracellular space|extracellular exosome|,blood coagulation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|heparin binding|,23,79,25100000000,46.8%
P14211,0.477427431,-0.248916667,5.971420013,0.463166667,0.252847113,1.267068332,-1.1235,-0.486,0.168,-0.029,-0.034,0.011,P14211,Calr,P14211_Calr,P14211,Calr,1,69,24,24,P14211,MOUSE,48164.8,46.3,80,80.1,330.5,330.5,,416,Calreticulin,acrosomal vesicle|extracellular region|extracellular space|nucleus|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|Golgi apparatus|cytosol|polysome|focal adhesion|external side of plasma membrane|membrane|extracellular matrix|sarcoplasmic reticulum lumen|MHC class I peptide loading complex|phagocytic vesicle|perinuclear region of cytoplasm|extracellular exosome|,"negative regulation of transcription from RNA polymerase II promoter|peptide antigen assembly with MHC class I protein complex|protein export from nucleus|cell cycle arrest|spermatogenesis|positive regulation of cell proliferation|positive regulation of gene expression|negative regulation of translation|cortical actin cytoskeleton organization|response to estradiol|negative regulation of intracellular steroid hormone receptor signaling pathway|response to testosterone|protein localization to nucleus|regulation of meiotic nuclear division|response to drug|negative regulation of neuron differentiation|positive regulation of DNA replication|positive regulation of cell cycle|negative regulation of transcription, DNA-templated|negative regulation of retinoic acid receptor signaling pathway|positive regulation of phagocytosis|protein stabilization|cardiac muscle cell differentiation|chaperone-mediated protein folding|cellular response to lithium ion|cellular response to organic substance|cellular senescence|positive regulation of substrate adhesion-dependent cell spreading|positive regulation of dendritic cell chemotaxis|",glycoprotein binding|mRNA binding|integrin binding|iron ion binding|calcium ion binding|protein binding|carbohydrate binding|ubiquitin protein ligase binding|peptide binding|hormone binding|poly(A) RNA binding|androgen receptor binding|unfolded protein binding|,24,69,32100000000,46.3%
P39039,0.413719377,-0.16275,7.3406319,0.492166667,0.184474699,1.500290759,-1.0215,0.008,-0.213,0.186,0.018,0.046,P39039,Mbl1,P39039_Mbl1,P39039,Mbl1,1,115,20,20,P39039|P39039-2|A0A2C9F2B6,MOUSE,25852,66.9,81,81.1,307.81,307.81,,239,Mannose-binding protein A,collagen trimer|extracellular space|,"complement activation, lectin pathway|complement activation, classical pathway|negative regulation of growth of symbiont in host|positive regulation of phagocytosis|defense response to Gram-positive bacterium|protein homotetramerization|killing by host of symbiont cells|protein homotrimerization|",protease binding|calcium ion binding|mannose binding|polysaccharide binding|protein homodimerization activity|calcium-dependent protein binding|phosphatidylinositol-4-phosphate binding|,20,115,5.27E+11,66.9%
P08226,0.641826969,-0.028416667,3.652331467,0.214833333,0.431287482,0.843578326,-0.3045,-0.142,0.039,-0.245,0.207,0.275,P08226,Apoe,P08226_Apoe,P08226,Apoe,1,75,24,24,P08226,MOUSE,35923,58.8,82,82.1,306.67,306.67,,311,Apolipoprotein E,extracellular region|extracellular space|nucleus|endoplasmic reticulum|Golgi apparatus|cytosol|membrane|extracellular matrix|very-low-density lipoprotein particle|low-density lipoprotein particle|intermediate-density lipoprotein particle|high-density lipoprotein particle|chylomicron|extracellular exosome|blood microparticle|extracellular vesicle|,negative regulation of endothelial cell proliferation|response to dietary excess|lipid metabolic process|triglyceride metabolic process|cholesterol biosynthetic process|cholesterol catabolic process|cellular calcium ion homeostasis|receptor-mediated endocytosis|response to oxidative stress|G-protein coupled receptor signaling pathway|nitric oxide mediated signal transduction|cholesterol metabolic process|regulation of gene expression|negative regulation of platelet activation|positive regulation of cholesterol esterification|positive regulation of cholesterol efflux|long-chain fatty acid transport|protein import|virion assembly|triglyceride catabolic process|cGMP-mediated signaling|negative regulation of blood coagulation|regulation of axon extension|positive regulation of cGMP biosynthetic process|regulation of cholesterol transport|regulation of Cdc42 protein signal transduction|positive regulation of low-density lipoprotein particle receptor catabolic process|cholesterol efflux|phospholipid efflux|very-low-density lipoprotein particle remodeling|low-density lipoprotein particle remodeling|high-density lipoprotein particle remodeling|high-density lipoprotein particle assembly|chylomicron remnant clearance|high-density lipoprotein particle clearance|very-low-density lipoprotein particle clearance|lipoprotein metabolic process|lipoprotein biosynthetic process|lipoprotein catabolic process|vasodilation|cholesterol homeostasis|negative regulation of MAP kinase activity|negative regulation of neuron apoptotic process|negative regulation of blood vessel endothelial cell migration|reverse cholesterol transport|positive regulation by host of viral process|negative regulation of cholesterol biosynthetic process|positive regulation of lipid biosynthetic process|artery morphogenesis|negative regulation of inflammatory response|positive regulation of nitric-oxide synthase activity|positive regulation of membrane protein ectodomain proteolysis|negative regulation of lipid biosynthetic process|maintenance of location in cell|lipid homeostasis|fatty acid homeostasis|positive regulation of dendritic spine development|negative regulation of dendritic spine development|cardiovascular system development|negative regulation of cholesterol efflux|alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor clustering|N-methyl-D-aspartate receptor clustering|regulation of beta-amyloid clearance|regulation of neuron death|negative regulation of neuron death|positive regulation of neuron death|negative regulation of postsynaptic membrane organization|positive regulation of postsynaptic membrane organization|negative regulation of presynaptic membrane organization|positive regulation of presynaptic membrane organization|positive regulation of beta-amyloid formation|negative regulation of beta-amyloid formation|regulation of tau-protein kinase activity|negative regulation of dendritic spine maintenance|positive regulation of dendritic spine maintenance|positive regulation of phospholipid efflux|positive regulation of neurofibrillary tangle assembly|negative regulation of phospholipid efflux|negative regulation of lipid transport across blood brain barrier|positive regulation of lipid transport across blood brain barrier|protein localization|axon regeneration|,beta-amyloid binding|lipid transporter activity|protein binding|phospholipid binding|heparin binding|lipid binding|cholesterol binding|antioxidant activity|cholesterol transporter activity|identical protein binding|protein homodimerization activity|metal chelating activity|tau protein binding|low-density lipoprotein particle receptor binding|phosphatidylcholine-sterol O-acyltransferase activator activity|very-low-density lipoprotein particle receptor binding|lipoprotein particle binding|,24,75,33300000000,58.8%
P00920,0.870047744,0.314916667,1.126924665,-0.143833333,0.771449556,-0.304164053,-0.2985,0.139,1.32,0.472,-0.146,0.403,P00920,Car2,P00920_Car2,P00920,Ca2,1,51,18,18,P00920|A0A0A6YX78|P00921,MOUSE,29146.1,66.5,83,83.1,306.31,306.31,,260,Carbonic anhydrase 2,extracellular space|cytoplasm|cytosol|plasma membrane|microvillus|basolateral plasma membrane|axon|myelin sheath|apical part of cell|extracellular exosome|,"kidney development|morphogenesis of an epithelium|one-carbon metabolic process|regulation of pH|response to pH|response to zinc ion|carbon dioxide transport|positive regulation of synaptic transmission, GABAergic|positive regulation of cellular pH reduction|angiotensin-activated signaling pathway|odontogenesis of dentin-containing tooth|response to estrogen|regulation of anion transport|positive regulation of osteoclast differentiation|positive regulation of bone resorption|secretion|regulation of intracellular pH|cellular response to fluid shear stress|positive regulation of dipeptide transmembrane transport|regulation of chloride transport|",arylesterase activity|carbonate dehydratase activity|zinc ion binding|,18,51,8390000000,66.5%
Q3U3V1,0.235410501,-0.31925,12.72818325,0.905166667,0.053355805,2.409085478,-0.7115,-0.16,-1.444,0.35,0.055,-0.005,Q3U3V1,F10,Q3U3V1_F10,Q3U3V1,F10,1,75,20,20,Q3U3V1|O88947|D3Z215|D3Z521,MOUSE,56680.8,40.9,84,84.1,305.63,305.63,,493,Coagulation factor X,extracellular region|membrane|intracellular membrane-bounded organelle|,proteolysis|blood coagulation|positive regulation of protein kinase B signaling|,serine-type endopeptidase activity|calcium ion binding|phospholipid binding|,20,75,69400000000,40.9%
Q64726,0.394562768,0.020083333,7.850588305,0.431833333,0.164036755,1.585396572,-0.2765,0.107,-0.418,0.512,0.241,-0.045,Q64726,Azgp1,Q64726_Azgp1,Q64726,Azgp1,1,63,21,21,Q64726,MOUSE,35559.5,53.7,85,85.1,300.68,300.68,,307,Zinc-alpha-2-glycoprotein,extracellular space|nucleus|plasma membrane|MHC class I protein complex|extracellular exosome|,detection of chemical stimulus involved in sensory perception of bitter taste|retina homeostasis|antigen processing and presentation of peptide antigen via MHC class I|immune response|cell adhesion|regulation of multicellular organism growth|,glycoprotein binding|peptide antigen binding|,21,63,31600000000,53.7%
P23953,0.351568198,-0.279416667,8.895017428,0.736166667,0.128972838,1.764412767,-0.4825,0.003,-1.463,0.315,-0.045,-0.004,P23953,Ces1c,P23953_Ces1c,P23953,Ces1c,1,58,20,12,P23953|Q8VCT4|E9PYP1,MOUSE,61339.9,34.1,86,86.1,296.6,187.34,,554,Carboxylesterase 1C,extracellular space|endoplasmic reticulum lumen|,metabolic process|,"hydrolase activity, acting on ester bonds|carboxylic ester hydrolase activity|",20,58,17000000000,34.1%
D3Z5G7,0.711200332,0.225416667,2.8705504,-0.2875,0.516350926,-0.690107621,-0.2405,0.141,1.207,0.286,-0.013,-0.028,D3Z5G7,Ces1b,D3Z5G7_Ces1b,D3Z5G7,Ces1b,1,11,16,7,D3Z5G7,MOUSE,62538.2,31.3,86,86.2,224.92,99.04,,567,Carboxylic ester hydrolase,,metabolic process|,hydrolase activity|,7,11,774000000,17.6%
Q8VCC2,0.216362079,-0.0395,13.59790172,1.158,0.043672678,2.912598341,,-0.908,,0.259,0.479,0.012,Q8VCC2,Ces1g,Q8VCC2_Ces1g,Q8VCC2,Ces1,1,1,4,1,Q8VCC2,MOUSE,63078.1,7.4,86,86.3,55.01,10.07,,565,Liver carboxylesterase 1,endoplasmic reticulum lumen|,metabolic process|,carboxylic ester hydrolase activity|,1,1,10700000,2.1%
Q8BK48,0.524335469,-0.038583333,5.193366362,0.2625,0.302456808,1.127987109,-0.4235,-0.017,-0.069,0.137,0.175,-0.034,Q8BK48,Ces2e,Q8BK48_Ces2e,Q8BK48,Ces2e,1,70,20,15,Q8BK48|F6Z9B9|Q08ED5|Q149K3,MOUSE,62716,39.1,87,87.1,295.77,229.97,,559,Pyrethroid hydrolase Ces2e,endoplasmic reticulum|,metabolic process|,carboxylic ester hydrolase activity|,20,70,14100000000,39.1%
Q91WG0,0.811118777,0.112416667,1.669711936,-0.202166667,0.680814515,-0.43240016,-0.7825,0.539,0.884,0.171,-0.092,-0.045,Q91WG0,Ces2c,Q91WG0_Ces2c,Q91WG0,Ces2c,1,15,14,7,Q91WG0,MOUSE,62753.8,26.7,87,87.2,193.78,97.8,,561,Acylcarnitine hydrolase,endoplasmic reticulum|intracellular membrane-bounded organelle|,metabolic process|,acylcarnitine hydrolase activity|,7,15,506000000,13.5%
Q8QZR3,0.216362079,-0.2367,13.55258846,0.672583333,0.044130734,2.675483722,-0.7085,-0.572,,0.089,-0.009,0.017,Q8QZR3,Ces2a,Q8QZR3_Ces2a,Q8QZR3,Ces2a,1,12,10,5,Q8QZR3|Q8QZR3-2,MOUSE,62395.6,17.7,87,87.3,133.23,69.99,,558,Pyrethroid hydrolase Ces2a,,,carboxylic ester hydrolase activity|,5,12,575000000,10.2%
Q6PDB7,0.590971393,0.01675,4.33311361,-0.724833333,0.36871316,-0.97309417,-0.0505,2.02,-0.832,0.011,-0.639,-0.409,Q6PDB7,Ces2b,Q6PDB7_Ces2b,Q6PDB7,Ces2b,1,1,9,1,Q6PDB7,MOUSE,62211.2,16,87,87.4,113.1,7.68,,556,Carboxylic ester hydrolase,,metabolic process|,hydrolase activity|,1,1,16900000,2.5%
Q61704,0.580131828,0.31925,4.476517434,-0.491833333,0.356737083,-0.999603298,0.1705,-0.107,1.632,0.254,-0.021,-0.013,Q61704,Itih3,Q61704_Itih3,Q61704,Itih3,1,63,22,22,Q61704,MOUSE,99698.3,25.3,88,88.1,294.79,294.79,,889,Inter-alpha-trypsin inhibitor heavy chain H3,extracellular exosome|,negative regulation of endopeptidase activity|hyaluronan metabolic process|,serine-type endopeptidase inhibitor activity|,22,63,25700000000,25.3%
A11111,0.353902242,-0.222083333,8.755099701,0.5075,0.133195646,1.736634257,-0.9255,-0.058,-0.444,0.161,-0.05,-0.016,A11111,NotFound,A11111_NotFound,A11111,,1,47,19,19,A11111|P06709,MOUSE,39099.5,69.3,89,89.1,287.99,287.99,,,BirAG3ER,,,,19,47,1.93E+11,69.3%
P63260,0.641826969,-0.000916667,3.660940256,-0.590833333,0.430433411,-0.846200495,0.4135,1.629,-1.159,-0.28,-0.474,-0.135,P63260,Actg1,P63260_Actg1,P63260,Actg1,1,58,20,1,P63260|G3UYG0|B1ATY1|Q8BFZ3|V9GXQ2,MOUSE,42134.4,49.6,90,90.1,287.72,23.1,,375,"Actin, cytoplasmic 2",extracellular space|nucleus|cytosol|plasma membrane|focal adhesion|actin cytoskeleton|membrane|myofibril|filamentous actin|costamere|myelin sheath|extracellular exosome|blood microparticle|dense body|,retina homeostasis|sarcomere organization|response to calcium ion|platelet aggregation|,structural constituent of cytoskeleton|protein binding|ATP binding|ubiquitin protein ligase binding|identical protein binding|,20,58,19900000000,49.6%
P60710,0.480058772,0.1575,5.889438656,-0.815416667,0.257665418,-1.280491074,-0.3485,1.642,,-0.036,-0.355,-0.115,P60710,Actb,P60710_Actb,P60710,Actb,1,3,20,1,P60710|E9Q1F2,MOUSE,42078.3,49.6,90,90.2,285.05,20.43,,375,"Actin, cytoplasmic 1",nuclear chromatin|extracellular space|cytosol|plasma membrane|focal adhesion|membrane|ribonucleoprotein complex|cortical cytoskeleton|NuA4 histone acetyltransferase complex|cytoplasmic ribonucleoprotein granule|myelin sheath|protein complex|extracellular exosome|MLL5-L complex|blood microparticle|dense body|,retina homeostasis|substantia nigra development|ATP-dependent chromatin remodeling|platelet aggregation|,protein binding|ATP binding|kinesin binding|Tat protein binding|identical protein binding|nitric-oxide synthase binding|RNA polymerase II core promoter proximal region sequence-specific DNA binding|RNA polymerase II distal enhancer sequence-specific DNA binding|nucleosomal DNA binding|,1,3,224000000,4.5%
P68134,0.468259994,0.3445,6.179833321,-0.66125,0.240999792,-1.333587082,1.4255,0.057,,0.401,-0.14,-0.021,P68134,Acta1,P68134_Acta1,P68134,Acta1,1,4,16,3,P68134|P68033|P62737|P63268,MOUSE,42392.6,39.5,90,90.3,215.77,28.71,,377,"Actin, alpha skeletal muscle",stress fiber|extracellular space|cytoplasm|striated muscle thin filament|actin filament|actin cytoskeleton|sarcomere|lamellipodium|filopodium|protein complex|cell body|extracellular exosome|blood microparticle|,response to mechanical stimulus|response to extracellular stimulus|response to lithium ion|positive regulation of gene expression|cell growth|skeletal muscle thin filament assembly|skeletal muscle fiber adaptation|response to steroid hormone|skeletal muscle fiber development|mesenchyme migration|,protein binding|ATP binding|,3,4,872000000,12.9%
E9Q557,0.328865496,0.273083333,9.420930314,-1.946166667,0.114263354,-1.852423421,3.0965,1.744,-1.102,-1.081,-0.427,-0.592,E9Q557,Dsp,E9Q557_Dsp,E9Q557,Dsp,1,45,31,31,E9Q557|E9PZW0,MOUSE,335359.7,9.6,91,91.1,284.66,284.66,,2883,Desmoplakin,cornified envelope|nucleus|cytoplasm|plasma membrane|cell-cell junction|fascia adherens|intercalated disc|membrane|basolateral plasma membrane|desmosome|extracellular exosome|intermediate filament|,desmosome organization|ventricular compact myocardium morphogenesis|single organismal cell-cell adhesion|peptide cross-linking|keratinocyte differentiation|adherens junction organization|wound healing|skin development|intermediate filament cytoskeleton organization|intermediate filament organization|protein localization to adherens junction|bundle of His cell-Purkinje myocyte adhesion involved in cell communication|regulation of heart rate by cardiac conduction|regulation of ventricular cardiac muscle cell action potential|,"protein kinase C binding|structural molecule activity|protein binding|protein binding, bridging|poly(A) RNA binding|cell adhesion molecule binding|scaffold protein binding|",31,45,1180000000,9.6%
Q07456,0.32515976,-0.119916667,9.767242427,0.4565,0.10550566,1.904977321,-0.5305,-0.388,-0.126,0.321,0,0.004,Q07456,Ambp,Q07456_Ambp,Q07456,Ambp,1,62,18,18,Q07456,MOUSE,39941.4,48.7,92,92.1,280.99,280.99,,349,Protein AMBP,extracellular space|plasma membrane|cell surface|intracellular membrane-bounded organelle|extracellular exosome|blood microparticle|,negative regulation of endopeptidase activity|protein-chromophore linkage|protein catabolic process|protein maturation|,serine-type endopeptidase inhibitor activity|IgA binding|heme binding|small molecule binding|protein homodimerization activity|,18,62,59600000000,48.7%
