id,adj.P.Val.xBirACre.over.NoBirA,AveExpr.xBirACre.over.NoBirA,Log.P.Value.xBirACre.over.NoBirA,logFC.xBirACre.over.NoBirA,P.Value.xBirACre.over.NoBirA,t.xBirACre.over.NoBirA,PlexesSearchedTogether_correct..126.126.127.128.129.130.131..NoBirA_6Combo.multimedian,PlexesSearchedTogether_correct..128.126.127.128.129.130.131..NoBirA_4Combo.multimedian,PlexesSearchedTogether_correct..129.126.127.128.129.130.131..NoBirA_5Combo.multimedian,PlexesSearchedTogether_correct..127.126.127.128.129.130.131..BirA.Cre_3Combo.multimedian,PlexesSearchedTogether_correct..130.126.127.128.129.130.131..BirA.Cre_2Combo.multimedian,PlexesSearchedTogether_correct..131.126.127.128.129.130.131..BirA.Cre_1Combo.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,PlexesSearchedTogether_correct.unique_peptides,PlexesSearchedTogether_correct.numSpectra,PlexesSearchedTogether_correct.totalIntensity,PlexesSearchedTogether_correct.pct_cov
Q8BH35,1.0426e-4,-1.205666667,50.50818436,4.634,8.89573e-6,10.64917558,-3.737,-2.804,-4.027,1.218,0.928,1.188,Q8BH35,C8b,Q8BH35_C8b,Q8BH35,C8b,1,270,37,37,Q8BH35|Q8BH35-2,MOUSE,68053.9,58,47,47.1,601.62,601.62,,589,Complement component C8 beta chain,membrane attack complex|extracellular space|extracellular exosome|extracellular vesicle|,"complement activation, alternative pathway|complement activation, classical pathway|cytolysis|",protein complex binding|,37,270,161000000000,58.0%
Q00897,1.0426e-4,-0.969833333,47.31408458,4.351,1.85606e-5,9.588032506,-3.875,-2.554,-3.007,1.47,1.227,0.92,Q00897,Serpina1d,Q00897_Serpina1d,Q00897,Serpina1d,1,465,33,10,Q00897,MOUSE,46168.7,66.8,48,48.1,596.99,189.57,,413,Alpha-1-antitrypsin 1-4,extracellular region|extracellular space|endoplasmic reticulum|Golgi apparatus|extracellular exosome|,negative regulation of endopeptidase activity|response to cytokine|response to peptide hormone|,glycoprotein binding|protease binding|serine-type endopeptidase inhibitor activity|identical protein binding|,33,465,3740000000000,66.8%
P22599,3.12666e-4,-1.029166667,37.44306866,4.387666667,1.80174e-4,6.8541458220000004,-4.678,-2.425,-2.566,1.436,1.169,0.889,P22599,Serpina1b,P22599_Serpina1b,P22599,Serpina1b,1,80,31,9,P22599,MOUSE,46145,65.8,48,48.2,570.79,166.93,,413,Alpha-1-antitrypsin 1-2,extracellular region|extracellular space|endoplasmic reticulum|Golgi apparatus|extracellular exosome|,in utero embryonic development|protein N-linked glycosylation|acute-phase response|negative regulation of endopeptidase activity|response to cytokine|response to peptide hormone|,glycoprotein binding|protease binding|serine-type endopeptidase inhibitor activity|protein binding|identical protein binding|,9,80,256000000000,21.7%
Q00898,2.0518e-4,-0.501333333,40.11197721,3.989333333,9.74546e-5,7.521349516,-3.253,-1.734,-2.501,0.794,1.913,1.773,Q00898,Serpina1e,Q00898_Serpina1e,Q00898,Serpina1e,1,21,23,3,Q00898,MOUSE,46118.8,34.6,48,48.5,360.92,47.56,,413,Alpha-1-antitrypsin 1-5,extracellular space|endoplasmic reticulum|Golgi apparatus|extracellular exosome|,negative regulation of endopeptidase activity|response to cytokine|response to peptide hormone|,glycoprotein binding|protease binding|serine-type endopeptidase inhibitor activity|identical protein binding|,3,21,2240000000,8.7%
J3QQ16,1.0426e-4,-0.960666667,50.51845688,3.888666667,8.87471e-6,10.65274903,-3.254,-2.571,-2.89,0.928,0.985,1.038,J3QQ16,Col6a3,J3QQ16_Col6a3,J3QQ16,Col6a3,1,122,48,48,J3QQ16|E9PWQ3|A0A087WS16,MOUSE,290173.5,19.3,49,49.1,587.73,587.73,,2677,"Collagen, type VI, alpha 3",proteinaceous extracellular matrix|collagen trimer|extracellular space|extracellular matrix|sarcolemma|extracellular exosome|extracellular vesicle|extracellular matrix|,negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|,48,122,6630000000,19.3%
Q91X72,1.0426e-4,-0.692,46.68172459,4.039333333,2.14698e-5,9.389271403,-2.353,-2.796,-2.986,1.215,1.927,0.841,Q91X72,Hpx,Q91X72_Hpx,Q91X72,Hpx,1,314,36,36,Q91X72,MOUSE,52058.5,53,50,50.1,583.84,583.84,,460,Hemopexin,extracellular space|extracellular exosome|blood microparticle|,positive regulation of immunoglobulin production|positive regulation of humoral immune response mediated by circulating immunoglobulin|transport|hemoglobin metabolic process|heme metabolic process|positive regulation of tyrosine phosphorylation of Stat1 protein|regulation of protein metabolic process|positive regulation of response to interferon-gamma|positive regulation of interferon-gamma-mediated signaling pathway|,heme binding|metal ion binding|,36,314,312000000000,53.0%
E9QPD7,0.007140302,0.202,22.27796562,2.205333333,0.005918388,3.804986527,-1.073,-0.62,-1.009,2.524,0.414,0.976,E9QPD7,Pcx,E9QPD7_Pcx,E9QPD7,Pcx,1,159,42,42,E9QPD7|G5E8R3|Q05920,MOUSE,130571.1,37.7,51,51.1,577.87,577.87,,1179,Pyruvate carboxylase,mitochondrion|,pyruvate metabolic process|gluconeogenesis|negative regulation of gene expression|viral RNA genome packaging|positive regulation by host of viral release from host cell|,DNA binding|biotin carboxylase activity|pyruvate carboxylase activity|ATP binding|biotin binding|metal ion binding|,42,159,24400000000,37.7%
O08601-2,1.04475e-4,-0.886833333,46.54909146,4.104333333,2.21356e-5,9.348036648,-3.478,-2.317,-3.022,1.531,1.085,0.88,O08601,Mttp,O08601-2_Mttp,O08601-2,Mttp,1,131,38,38,O08601-2|O08601,MOUSE,101433.7,36.6,52,52.1,572.28,572.28,,894,Isoform 2 of Microsomal triglyceride transfer protein large subunit,endoplasmic reticulum|rough endoplasmic reticulum|Golgi apparatus|basolateral plasma membrane|brush border membrane|microvillus membrane|membrane-bounded vesicle|receptor complex|,protein lipidation|lipid metabolic process|triglyceride metabolic process|lipid transport|circadian rhythm|cholesterol metabolic process|lipoprotein metabolic process|cholesterol homeostasis|lipoprotein transport|response to calcium ion|,lipid transporter activity|protein binding|lipid binding|apolipoprotein binding|protein heterodimerization activity|,38,131,17300000000,36.6%
Q8CG16,1.06798e-4,-0.959833333,45.94964743,4.082333333,2.54118e-5,9.163607204,-3.744,-2.731,-2.528,1.365,0.95,0.929,Q8CG16,C1ra,Q8CG16_C1ra,Q8CG16,C1ra,1,183,35,32,Q8CG16|Q8CFG9,MOUSE,81555.2,59.2,53,53.1,556.65,517.34,,707,Complement C1r-A subcomponent,extracellular exosome|blood microparticle|,"proteolysis|complement activation, classical pathway|innate immune response|",serine-type endopeptidase activity|calcium ion binding|,35,183,65500000000,59.2%
Q3UZ09,1.0426e-4,-0.625833333,47.1129551,3.339,1.94404e-5,9.524423653,-2.385,-2.099,-2.402,1.252,0.958,0.921,Q3UZ09,C1rl,Q3UZ09_C1rl,Q3UZ09,C1rl,1,48,19,16,Q3UZ09,MOUSE,54233.1,36.7,53,53.2,221.9,182.59,,482,Complement C1r subcomponent-like protein,extracellular space|extracellular exosome|,"proteolysis|complement activation, classical pathway|innate immune response|",serine-type endopeptidase activity|,16,48,3370000000,32.3%
E9Q6C2,1.78163e-4,-0.910833333,41.18527137,4.026333333,7.61155e-5,7.803623048,-3.95,-2.556,-2.266,1.367,1,0.94,E9Q6C2,C1s1,E9Q6C2_C1s1,E9Q6C2,C1s1,1,215,33,2,E9Q6C2,MOUSE,79039.3,51.4,54,54.1,554,17.67,,694,"Complement component 1, s subcomponent 1",extracellular exosome|blood microparticle|,proteolysis|complement activation|,serine-type endopeptidase activity|calcium ion binding|identical protein binding|,33,215,68500000000,51.4%
Q8CG14,4.90869e-4,-1.2025,34.99518049,4.698333333,3.16579e-4,6.409906648,-3.652,-1.991,-5.012,1.32,1.199,0.921,Q8CG14,C1s1,Q8CG14_C1s1,Q8CG14,C1sa,1,17,32,2,Q8CG14,MOUSE,78396.6,51.7,54,54.2,543.88,27.94,,688,Complement C1s-A subcomponent,extracellular exosome|blood microparticle|,"proteolysis|complement activation, classical pathway|innate immune response|",serine-type endopeptidase activity|calcium ion binding|identical protein binding|,2,17,2820000000,3.9%
Q06890,1.05478e-4,-0.619166667,46.2842407,3.699666667,2.35275e-5,9.266161943,-2.369,-2.302,-2.736,1.735,1.123,0.834,Q06890,Clu,Q06890_Clu,Q06890,Clu,1,361,34,34,Q06890,MOUSE,52282.3,48.4,55,55.1,551.91,551.91,,448,Clusterin,extracellular space|intracellular|nucleus|cytoplasm|mitochondrion|endoplasmic reticulum|cytosol|extracellular matrix|mitochondrial membrane|spherical high-density lipoprotein particle|chromaffin granule|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|neurofibrillary tangle|apical dendrite|extracellular matrix|,cell morphogenesis|microglial cell activation|response to virus|protein import|central nervous system myelin maintenance|positive regulation of proteasomal ubiquitin-dependent protein catabolic process|negative regulation of protein homooligomerization|positive regulation of tumor necrosis factor production|positive regulation of apoptotic process|positive regulation of nitric oxide biosynthetic process|protein stabilization|positive regulation of NF-kappaB transcription factor activity|chaperone-mediated protein complex assembly|response to misfolded protein|chaperone-mediated protein folding|microglial cell proliferation|intrinsic apoptotic signaling pathway|regulation of beta-amyloid clearance|regulation of neuron death|positive regulation of neuron death|positive regulation of beta-amyloid formation|negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage|negative regulation of beta-amyloid formation|regulation of neuronal signal transduction|positive regulation of tau-protein kinase activity|positive regulation of neurofibrillary tangle assembly|positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process|positive regulation of intrinsic apoptotic signaling pathway|,protein binding|ubiquitin protein ligase binding|misfolded protein binding|ATPase activity|,34,361,1070000000000,48.4%
Q01339,1.41391e-4,-0.846166667,42.96054758,4.166333333,5.05761e-5,8.289284417,-3.881,-2.428,-2.479,1.553,1.261,0.897,Q01339,Apoh,Q01339_Apoh,Q01339,Apoh,1,386,34,34,Q01339,MOUSE,39930.4,70.7,56,56.1,542.84,542.84,,345,Beta-2-glycoprotein 1,extracellular space|cell surface|very-low-density lipoprotein particle|high-density lipoprotein particle|chylomicron|extracellular exosome|extracellular matrix|,"negative regulation of endothelial cell proliferation|triglyceride metabolic process|blood coagulation, intrinsic pathway|negative regulation of endothelial cell migration|negative regulation of angiogenesis|regulation of blood coagulation|negative regulation of blood coagulation|organ regeneration|plasminogen activation|negative regulation of myeloid cell apoptotic process|negative regulation of smooth muscle cell apoptotic process|positive regulation of lipoprotein lipase activity|regulation of fibrinolysis|negative regulation of fibrinolysis|",glycoprotein binding|phospholipid binding|heparin binding|lipid binding|identical protein binding|lipoprotein lipase activator activity|,34,386,1990000000000,70.7%
O89020,1.0426e-4,-1.122166667,50.98364493,4.499666667,7.97325e-6,10.81569544,-3.762,-2.748,-3.606,1.333,1.139,0.911,O89020,Afm,O89020_Afm,O89020,Afm,1,260,38,38,O89020|O89020-3|O89020-2,MOUSE,71317.7,53.7,57,57.1,542,542,,608,Afamin,extracellular space|extracellular exosome|blood microparticle|,vitamin transport|,vitamin E binding|,38,260,160000000000,53.7%
B2RPV6,1.12595e-4,-0.646666667,45.06674631,3.772,3.11405e-5,8.897630055,-1.99,-2.856,-2.752,1.348,1.569,0.801,B2RPV6,Mmrn1,B2RPV6_Mmrn1,B2RPV6,Mmrn1,1,145,40,40,B2RPV6|G3UVV6|A0A0N4SVL8,MOUSE,137358.3,33.4,58,58.1,527.42,527.42,,1210,Multimerin-1,extracellular region|,,,40,145,14700000000,33.4%
P13020,1.0426e-4,-0.890666667,46.71884241,3.954666667,2.12871e-5,9.40083909,-3.539,-2.555,-2.51,1.168,1.192,0.9,P13020,Gsn,P13020_Gsn,P13020,Gsn,1,168,37,37,P13020|P13020-2,MOUSE,86339.4,38.9,59,59.1,523.23,523.23,,780,Gelsolin,ruffle|podosome|extracellular region|extracellular space|cytoplasm|cytosol|plasma membrane|focal adhesion|sarcoplasm|lamellipodium|actin cap|cortical actin cytoskeleton|myelin sheath|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|nucleus|focal adhesion|cortical actin cytoskeleton|,"phagocytosis, engulfment|aging|positive regulation of gene expression|oligodendrocyte development|striated muscle atrophy|vesicle-mediated transport|actin filament polymerization|protein destabilization|tissue regeneration|sequestering of actin monomers|actin nucleation|response to ethanol|negative regulation of viral entry into host cell|phosphatidylinositol-mediated signaling|actin filament severing|barbed-end actin filament capping|positive regulation of actin nucleation|response to folic acid|actin filament capping|cilium morphogenesis|cellular response to cadmium ion|regulation of podosome assembly|actin filament reorganization|renal protein absorption|hepatocyte apoptotic process|positive regulation of keratinocyte apoptotic process|regulation of wound healing, spreading of epidermal cells|regulation of establishment of T cell polarity|regulation of plasma membrane raft polarization|regulation of receptor clustering|positive regulation of protein processing in phagocytic vesicle|amyloid fibril formation|positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway|",actin binding|calcium ion binding|protein binding|protein domain specific binding|myosin II binding|,37,168,136000000000,38.9%
Q61508,4.59505e-4,-0.331,35.33715811,4.223333333,2.92607e-4,6.360226936,-1.868,-2.211,-3.249,1.528,3.037,0.777,Q61508,Ecm1,Q61508_Ecm1,Q61508,Ecm1,1,188,34,34,Q61508|F8WI14|Q61508-2,MOUSE,64485.6,67.2,60,60.1,509.54,509.54,,559,Extracellular matrix protein 1,proteinaceous extracellular matrix|extracellular space|extracellular matrix|extracellular exosome|,ossification|angiogenesis|positive regulation of endothelial cell proliferation|negative regulation of cytokine-mediated signaling pathway|regulation of type 2 immune response|regulation of transcription from RNA polymerase II promoter|inflammatory response|signal transduction|negative regulation of peptidase activity|negative regulation of bone mineralization|biomineral tissue development|positive regulation of I-kappaB kinase/NF-kappaB signaling|positive regulation of angiogenesis|regulation of T cell migration|,protease binding|signal transducer activity|interleukin-2 receptor binding|protein C-terminus binding|enzyme binding|laminin binding|,34,188,95700000000,67.2%
Q8VCU2,6.11179e-4,-0.874666667,33.85145948,3.96,4.11959e-4,6.027724073,-4.081,-3.02,-1.463,1.374,1.01,0.932,Q8VCU2,Gpld1,Q8VCU2_Gpld1,Q8VCU2,Gpld1,1,206,33,33,Q8VCU2|O70362,MOUSE,94192.4,45.9,61,61.1,501.16,501.16,,842,Glycosylphosphatidylinositol specific phospholipase D1,proteinaceous extracellular matrix|extracellular space|intracellular|cytoplasm|lysosomal membrane|intracellular membrane-bounded organelle|extracellular exosome|,cell migration involved in sprouting angiogenesis|complement receptor mediated signaling pathway|GPI anchor release|negative regulation of cell proliferation|insulin receptor signaling pathway|response to glucose|positive regulation of endothelial cell migration|cellular response to insulin stimulus|cellular response to drug|positive regulation of apoptotic process|positive regulation of cytolysis|positive regulation of membrane protein ectodomain proteolysis|cellular response to calcium ion|cellular response to cholesterol|cellular response to triglyceride|cellular response to pH|regulation of cellular response to insulin stimulus|,glycosylphosphatidylinositol phospholipase D activity|phospholipase D activity|protein binding|,33,206,98900000000,45.9%
Q19LI2,0.001357334,-0.243166667,29.99902566,4.363666667,0.001000224,5.327013543,-3.078,-2.379,-1.818,1,3.816,1,Q19LI2,A1bg,Q19LI2_A1bg,Q19LI2,A1bg,1,353,30,30,Q19LI2,MOUSE,57237.7,66,62,62.1,495.2,495.2,,512,Alpha-1B-glycoprotein,extracellular region|extracellular space|extracellular exosome|blood microparticle|,,,30,353,1520000000000,66.0%
P50446,0.281239185,-0.436166667,5.647940076,1.404333333,0.272399303,1.192185758,0.432,0.199,-4.046,-0.028,-0.101,0.927,P50446,Krt6a,P50446_Krt6a,P50446,Krt6a,1,16,24,7,P50446|Q9Z331|Q3UV11|Q6IFZ8,MOUSE,59676.4,32.9,63,63.2,288.53,75.09,,553,"Keratin, type II cytoskeletal 6A",keratin filament|extracellular exosome|,morphogenesis of an epithelium|Wnt signaling pathway|keratinization|wound healing|intermediate filament organization|,structural molecule activity|,7,16,5580000000,11.0%
Q3TTY5,0.004717678,-0.7015,24.22045629,2.662333333,0.003784028,4.140013911,-1.45,-1.13,-3.518,0.552,0.607,0.73,Q3TTY5,Krt2,Q3TTY5_Krt2,Q3TTY5,Krt2,1,74,15,9,Q3TTY5,MOUSE,71377.9,12.3,63,63.3,180.69,106.76,,707,"Keratin, type II cytoskeletal 2 epidermal",extracellular space|nucleus|Golgi apparatus|membrane|keratin filament|extracellular exosome|,keratinization|keratinocyte activation|keratinocyte proliferation|keratinocyte migration|,structural molecule activity|,9,74,52600000000,9.0%
Q6IFZ6,0.045957745,-0.669,13.7898342,1.980666667,0.041784632,2.471048105,0.09,-1.859,-3.209,0.566,0.514,-0.116,Q6IFZ6,Krt77,Q6IFZ6_Krt77,Q6IFZ6,Krt77,1,8,10,5,Q6IFZ6|Q6IFZ9,MOUSE,61414.7,12,63,63.6,120.32,45.95,,572,"Keratin, type II cytoskeletal 1b",cytoskeleton|keratin filament|extracellular exosome|,,structural molecule activity|,5,8,1010000000,5.7%
P04104,0.088027604,-0.968166667,10.86827505,2.627,0.081878993,2.033592059,-0.191,-1.121,-5.533,0.327,0.333,0.376,P04104,Krt1,P04104_Krt1,P04104,Krt1,1,29,9,5,P04104,MOUSE,66118.3,7.2,63,63.7,116.77,67.2,,637,"Keratin, type II cytoskeletal 1",extracellular space|nucleus|plasma membrane|membrane|extracellular matrix|keratin filament|extracellular exosome|blood microparticle|,"complement activation, lectin pathway|retina homeostasis|negative regulation of inflammatory response|establishment of skin barrier|",structural molecule activity|carbohydrate binding|,5,29,88900000000,3.9%
Q6NXH9,0.056593632,-0.514,12.86909534,2.330666667,0.051652395,2.347165138,-0.73,-0.209,-4.099,0.281,0.652,1.021,Q6NXH9,Krt73,Q6NXH9_Krt73,Q6NXH9,Krt73,1,9,9,3,Q6NXH9,MOUSE,59538,11.1,63,63.8,101.29,24.01,,539,"Keratin, type II cytoskeletal 73",nucleus|keratin filament|extracellular exosome|,activation of mitophagy in response to mitochondrial depolarization|,structural molecule activity|,3,9,17100000000,4.0%
Q8BPB5,1.0426e-4,-0.842833333,50.56622331,3.985,8.77764e-6,10.66937928,-3.216,-2.726,-2.564,1.181,1.331,0.937,Q8BPB5,Efemp1,Q8BPB5_Efemp1,Q8BPB5,Efemp1,1,190,27,27,Q8BPB5,MOUSE,57234.1,59.2,64,64.1,473.28,473.28,,493,EGF-containing fibulin-like extracellular matrix protein 1,proteinaceous extracellular matrix|extracellular space|extracellular exosome|extracellular matrix|,"regulation of transcription, DNA-templated|epidermal growth factor receptor signaling pathway|peptidyl-tyrosine phosphorylation|negative regulation of chondrocyte differentiation|",epidermal growth factor-activated receptor activity|epidermal growth factor receptor binding|calcium ion binding|growth factor activity|,27,190,132000000000,59.2%
Q9ESB3,1.99242e-4,-0.9675,40.46901772,4.673,8.97632e-5,7.614328832,-3.754,-2.183,-3.975,2.204,1.018,0.885,Q9ESB3,Hrg,Q9ESB3_Hrg,Q9ESB3,Hrg,1,282,26,26,A0A0R4J039|Q9ESB3,MOUSE,60131.6,42.8,65,65.1,429.95,429.95,,525,Histidine-rich glycoprotein,extracellular region|vesicle|endolysosome|phagolysosome membrane|,angiogenesis|positive regulation of immune response to tumor cell|chemotaxis|negative regulation of cell adhesion|negative regulation of cell proliferation|regulation of gene expression|regulation of platelet activation|negative regulation of lamellipodium assembly|negative regulation of endopeptidase activity|response to organic cyclic compound|heme transport|negative regulation of angiogenesis|platelet activation|regulation of blood coagulation|negative regulation of cell growth|regulation of actin cytoskeleton organization|negative regulation of cell adhesion mediated by integrin|regulation of transcription from RNA polymerase II promoter in response to iron|fibrinolysis|positive regulation of apoptotic process|regulation of protein complex assembly|negative regulation of blood vessel endothelial cell migration|regulation of peptidyl-tyrosine phosphorylation|defense response to fungus|positive regulation of focal adhesion assembly|negative regulation of fibrinolysis|heme export|negative regulation of vascular endothelial growth factor signaling pathway|positive regulation of blood vessel remodeling|negative regulation of endothelial cell chemotaxis|,serine-type endopeptidase inhibitor activity|cysteine-type endopeptidase inhibitor activity|receptor binding|protein binding|heparin binding|zinc ion binding|immunoglobulin binding|heme binding|heparan sulfate proteoglycan binding|metal ion binding|,26,282,747000000000,42.8%
Q01279,1.0426e-4,-0.877333333,48.26285473,4.218,1.49181e-5,9.893089589,-3.586,-2.817,-2.556,0.928,1.572,1.195,Q01279,Egfr,Q01279_Egfr,Q01279,Egfr,1,159,30,30,Q01279|Q9WVF5,MOUSE,138274.2,23.2,66,66.1,411.11,411.11,,1210,Epidermal growth factor receptor,"Golgi membrane|intracellular|nucleus|cytoplasm|endosome|endoplasmic reticulum membrane|plasma membrane|focal adhesion|cell surface|endosome membrane|membrane|integral component of membrane|basolateral plasma membrane|endocytic vesicle|early endosome membrane|nuclear membrane|receptor complex|membrane raft|perinuclear region of cytoplasm|multivesicular body, internal vesicle lumen|",cell morphogenesis|embryonic placenta development|positive regulation of protein phosphorylation|hair follicle development|signal transduction|cell surface receptor signaling pathway|epidermal growth factor receptor signaling pathway|salivary gland morphogenesis|learning or memory|cell proliferation|positive regulation of cell proliferation|epidermis development|single organismal cell-cell adhesion|peptidyl-tyrosine phosphorylation|cerebral cortex cell migration|signal transduction by protein phosphorylation|positive regulation of cell migration|positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle|positive regulation of catenin import into nucleus|regulation of cell proliferation|negative regulation of protein catabolic process|positive regulation of phosphorylation|negative regulation of apoptotic process|positive regulation of MAP kinase activity|positive regulation of nitric oxide biosynthetic process|positive regulation of DNA repair|positive regulation of DNA replication|positive regulation of transcription from RNA polymerase II promoter|protein autophosphorylation|positive regulation of fibroblast proliferation|digestive tract morphogenesis|positive regulation of epithelial cell proliferation|regulation of peptidyl-tyrosine phosphorylation|regulation of nitric-oxide synthase activity|positive regulation of protein kinase B signaling|morphogenesis of an epithelial fold|response to UV-A|positive regulation of ERK1 and ERK2 cascade|cellular response to amino acid stimulus|cellular response to epidermal growth factor stimulus|cellular response to estradiol stimulus|,chromatin binding|protein tyrosine kinase activity|receptor signaling protein tyrosine kinase activity|signal transducer activity|transmembrane signaling receptor activity|epidermal growth factor-activated receptor activity|protein binding|ATP binding|kinase activity|enzyme binding|protein phosphatase binding|ubiquitin protein ligase binding|identical protein binding|protein heterodimerization activity|actin filament binding|nitric-oxide synthase regulator activity|,30,159,60000000000,23.2%
A2A7A7,1.0426e-4,-0.945333333,50.28022526,3.943333333,9.37513e-6,10.57015067,-3.319,-2.575,-2.857,1.116,0.905,1.058,A2A7A7,H6pd,A2A7A7_H6pd,A2A7A7,H6pd,1,130,28,28,A2A7A7|Q8CF,MOUSE,90478.8,36.2,67,67.1,409.25,409.25,,797,GDH/6PGL endoplasmic bifunctional protein,mitochondrion|,glucose metabolic process|pentose-phosphate shunt|oxidation-reduction process|response to alcohol|,glucose-6-phosphate dehydrogenase activity|6-phosphogluconolactonase activity|carbohydrate binding|NADP binding|,28,130,35700000000,36.2%
P97290,1.28279e-4,-0.907833333,43.91751786,4.117666667,4.0574e-5,8.561228435,-3.847,-2.649,-2.404,1.438,1.111,0.904,P97290,Serping1,P97290_Serping1,P97290,Serping1,1,234,27,27,P97290|A2ATR8,MOUSE,55868.8,39.2,68,68.1,405.64,405.64,,504,Plasma protease C1 inhibitor,extracellular space|extracellular exosome|blood microparticle|,"negative regulation of complement activation, lectin pathway|complement activation, classical pathway|aging|blood coagulation|negative regulation of endopeptidase activity|fibrinolysis|innate immune response|",serine-type endopeptidase inhibitor activity|,27,234,222000000000,39.2%
Q8R121,1.0426e-4,-0.942333333,50.40818202,4.269333333,9.10294e-6,10.61444405,-3.598,-2.71,-2.923,1.308,1.368,0.901,Q8R121,Serpina10,Q8R121_Serpina10,Q8R121,Serpina10,1,155,27,27,Q8R121|Q8R121-2,MOUSE,51910.6,53.7,69,69.1,404.14,404.14,,448,Protein Z-dependent protease inhibitor,extracellular space|extracellular exosome|,blood coagulation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|heparin binding|,27,155,71700000000,53.7%
Q9JKR6,1.0426e-4,-1.196166667,50.51440847,4.409666667,8.88299e-6,10.6513406,-3.744,-2.741,-3.718,1.002,1.092,0.932,Q9JKR6,Hyou1,Q9JKR6_Hyou1,Q9JKR6,Hyou1,1,127,29,29,Q9JKR6|E0CYZ2,MOUSE,111407.3,31.8,70,70.1,403.28,403.28,,999,Hypoxia up-regulated protein 1,extracellular region|endoplasmic reticulum lumen|focal adhesion|membrane|endoplasmic reticulum chaperone complex|extracellular exosome|,response to ischemia|response to endoplasmic reticulum stress|negative regulation of apoptotic process|cellular response to hypoxia|negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway|negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway|,ATP binding|,29,127,14700000000,31.8%
Q61247,1.0426e-4,-1.085666667,46.9907793,4.751333333,1.9995e-5,9.485963038,-3.87,-2.526,-3.988,1.507,1.47,0.893,Q61247,Serpinf2,Q61247_Serpinf2,Q61247,Serpinf2,1,272,25,25,Q61247,MOUSE,55199.1,41.1,71,71.1,402.22,402.22,,491,Alpha-2-antiplasmin,fibrinogen complex|extracellular space|cell surface|extracellular exosome|blood microparticle|,regulation of blood vessel size by renin-angiotensin|acute-phase response|response to organic substance|negative regulation of plasminogen activation|negative regulation of endopeptidase activity|collagen fibril organization|positive regulation of collagen biosynthetic process|positive regulation of cell differentiation|positive regulation of transcription from RNA polymerase II promoter|positive regulation of JNK cascade|blood vessel morphogenesis|positive regulation of smooth muscle cell proliferation|positive regulation of stress fiber assembly|negative regulation of fibrinolysis|positive regulation of ERK1 and ERK2 cascade|positive regulation of transforming growth factor beta production|,protease binding|serine-type endopeptidase inhibitor activity|protein homodimerization activity|,25,272,906000000000,41.1%
Q3UER8,0.029148945,0.009,15.86845782,3.108,0.025891322,2.823965301,0.145,-2.462,-2.318,0.96,3.694,0.035,Q3UER8,Fgg,Q3UER8_Fgg,Q3UER8,Fgg,1,212,28,28,Q3UER8|Q8VCM7|P12799|F1MGU7|Q3SZZ9,MOUSE,51033.2,59.1,72,72.1,401.01,401.01,,443,Fibrinogen gamma chain,fibrinogen complex|extracellular space|cell cortex|external side of plasma membrane|cell surface|platelet alpha granule|extracellular exosome|blood microparticle|,"cell-matrix adhesion|signal transduction|protein secretion|plasminogen activation|positive regulation of heterotypic cell-cell adhesion|fibrinolysis|cellular protein complex assembly|positive regulation of vasoconstriction|positive regulation of exocytosis|positive regulation of protein secretion|protein polymerization|response to calcium ion|positive regulation of ERK1 and ERK2 cascade|platelet aggregation|blood coagulation, fibrin clot formation|positive regulation of peptide hormone secretion|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|negative regulation of endothelial cell apoptotic process|","receptor binding|structural molecule activity|protein binding, bridging|cell adhesion molecule binding|",28,212,237000000000,59.1%
F8VQ07,1.0426e-4,-1.013333333,49.24770647,4.333333333,1.18913e-5,10.21868765,-3.733,-2.664,-3.143,1.492,1.072,0.896,F8VQ07,5830473C10Rik,F8VQ07_5830473C10Rik,F8VQ07,5830473C10Rik,1,120,30,30,F8VQ07|A0A0J9YV75,MOUSE,72340.4,41.7,73,73.1,396.62,396.62,,620,RIKEN cDNA 5830473C10 gene,extracellular space|,transport|,,30,120,15900000000,41.7%
