PlexesSearchedTogether_correct, 126:127, NoBirA_6Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 126:128, NoBirA_6Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 126:129, NoBirA_6Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 126:130, NoBirA_6Combo:BirA/Cre_2Combo	PlexesSearchedTogether_correct, 126:131, NoBirA_6Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 127:126, BirA/Cre_3Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 127:128, BirA/Cre_3Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 127:129, BirA/Cre_3Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 127:130, BirA/Cre_3Combo:BirA/Cre_2Combo	PlexesSearchedTogether_correct, 127:131, BirA/Cre_3Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 128:126, NoBirA_4Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 128:127, NoBirA_4Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 128:129, NoBirA_4Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 128:130, NoBirA_4Combo:BirA/Cre_2Combo	PlexesSearchedTogether_correct, 128:131, NoBirA_4Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 129:126, NoBirA_5Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 129:127, NoBirA_5Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 129:128, NoBirA_5Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 129:130, NoBirA_5Combo:BirA/Cre_2Combo	PlexesSearchedTogether_correct, 129:131, NoBirA_5Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 130:126, BirA/Cre_2Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 130:127, BirA/Cre_2Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 130:128, BirA/Cre_2Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 130:129, BirA/Cre_2Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 130:131, BirA/Cre_2Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 131:126, BirA/Cre_1Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 131:127, BirA/Cre_1Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 131:128, BirA/Cre_1Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 131:129, BirA/Cre_1Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 131:130, BirA/Cre_1Combo:BirA/Cre_2Combo	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	PlexesSearchedTogether_correct unique_peptides	PlexesSearchedTogether_correct numSpectra	PlexesSearchedTogether_correct totalIntensity	PlexesSearchedTogether_correct pct_cov
-5.399	0.044	1.107	-5.119	-4.964	5.399	5.271	5.89	0.29	0.464	-0.044	-5.271	0.573	-4.968	-4.882	-1.107	-5.89	-0.573	-5.537	-5.502	5.119	-0.29	4.968	5.537	0.162	4.964	-0.464	4.882	5.502	-0.162	O89020	O89020	Afm	1	260	38	38	O89020|O89020-3|O89020-2	MOUSE	71317.7	53.7	57	57.1	542	542		608	Afamin	extracellular space|extracellular exosome|blood microparticle|	vitamin transport|	vitamin E binding|	38	260	1.6e+11	53.7%
-3.485	1.292	2.925	-3.583	-2.906	3.485	5.305	6.328	-0.105	0.593	-1.292	-5.305	1.13	-5.168	-4.538	-2.925	-6.328	-1.13	-6.394	-5.622	3.583	0.105	5.168	6.394	0.674	2.906	-0.593	4.538	5.622	-0.674	B2RPV6	B2RPV6	Mmrn1	1	145	40	40	B2RPV6|G3UVV6|A0A0N4SVL8	MOUSE	137358.3	33.4	58	58.1	527.42	527.42		1210	Multimerin-1	extracellular region|			40	145	1.47e+10	33.4%
-4.974	0.231	1.058	-4.881	-4.654	4.974	4.698	5.314	0.097	0.338	-0.231	-4.698	0.215	-4.676	-4.465	-1.058	-5.314	-0.215	-5.156	-5.012	4.881	-0.097	4.676	5.156	0.212	4.654	-0.338	4.465	5.012	-0.212	P13020	P13020	Gsn	1	168	37	37	P13020|P13020-2	MOUSE	86339.4	38.9	59	59.1	523.23	523.23		780	Gelsolin	ruffle|podosome|extracellular region|extracellular space|cytoplasm|cytosol|plasma membrane|focal adhesion|sarcoplasm|lamellipodium|actin cap|cortical actin cytoskeleton|myelin sheath|perinuclear region of cytoplasm|extracellular exosome|blood microparticle|nucleus|focal adhesion|cortical actin cytoskeleton|	phagocytosis, engulfment|aging|positive regulation of gene expression|oligodendrocyte development|striated muscle atrophy|vesicle-mediated transport|actin filament polymerization|protein destabilization|tissue regeneration|sequestering of actin monomers|actin nucleation|response to ethanol|negative regulation of viral entry into host cell|phosphatidylinositol-mediated signaling|actin filament severing|barbed-end actin filament capping|positive regulation of actin nucleation|response to folic acid|actin filament capping|cilium morphogenesis|cellular response to cadmium ion|regulation of podosome assembly|actin filament reorganization|renal protein absorption|hepatocyte apoptotic process|positive regulation of keratinocyte apoptotic process|regulation of wound healing, spreading of epidermal cells|regulation of establishment of T cell polarity|regulation of plasma membrane raft polarization|regulation of receptor clustering|positive regulation of protein processing in phagocytic vesicle|amyloid fibril formation|positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway|	actin binding|calcium ion binding|protein binding|protein domain specific binding|myosin II binding|	37	168	1.36e+11	38.9%
-3.498	1.206	1.643	-4.979	-2.931	3.498	4.616	4.997	-1.48	0.682	-1.206	-4.616	0.623	-5.79	-3.996	-1.643	-4.997	-0.623	-6.272	-4.515	4.979	1.48	5.79	6.272	2.172	2.931	-0.682	3.996	4.515	-2.172	Q61508	Q61508	Ecm1	1	188	34	34	Q61508|F8WI14|Q61508-2	MOUSE	64485.6	67.2	60	60.1	509.54	509.54		559	Extracellular matrix protein 1	proteinaceous extracellular matrix|extracellular space|extracellular matrix|extracellular exosome|	ossification|angiogenesis|positive regulation of endothelial cell proliferation|negative regulation of cytokine-mediated signaling pathway|regulation of type 2 immune response|regulation of transcription from RNA polymerase II promoter|inflammatory response|signal transduction|negative regulation of peptidase activity|negative regulation of bone mineralization|biomineral tissue development|positive regulation of I-kappaB kinase/NF-kappaB signaling|positive regulation of angiogenesis|regulation of T cell migration|	protease binding|signal transducer activity|interleukin-2 receptor binding|protein C-terminus binding|enzyme binding|laminin binding|	34	188	9.57e+10	67.2%
-5.956	0.373	0.604	-5.474	-5.396	5.956	5.533	5.246	0.455	0.481	-0.373	-5.533	0.142	-5.055	-5.019	-0.604	-5.246	-0.142	-4.79	-4.791	5.474	-0.455	5.055	4.79	0.023	5.396	-0.481	5.019	4.791	-0.023	Q8VCU2	Q8VCU2	Gpld1	1	206	33	33	Q8VCU2|O70362	MOUSE	94192.4	45.9	61	61.1	501.16	501.16		842	Glycosylphosphatidylinositol specific phospholipase D1	proteinaceous extracellular matrix|extracellular space|intracellular|cytoplasm|lysosomal membrane|intracellular membrane-bounded organelle|extracellular exosome|	cell migration involved in sprouting angiogenesis|complement receptor mediated signaling pathway|GPI anchor release|negative regulation of cell proliferation|insulin receptor signaling pathway|response to glucose|positive regulation of endothelial cell migration|cellular response to insulin stimulus|cellular response to drug|positive regulation of apoptotic process|positive regulation of cytolysis|positive regulation of membrane protein ectodomain proteolysis|cellular response to calcium ion|cellular response to cholesterol|cellular response to triglyceride|cellular response to pH|regulation of cellular response to insulin stimulus|	glycosylphosphatidylinositol phospholipase D activity|phospholipase D activity|protein binding|	33	206	9.89e+10	45.9%
-4.227	0.103	0.426	-6.249	-4.335	4.227	4.215	3.53	-2.722	-0.244	-0.103	-4.215	0.233	-6.169	-4.328	-0.426	-3.53	-0.233	-6.141	-3.923	6.249	2.722	6.169	6.141	2.411	4.335	0.244	4.328	3.923	-2.411	Q19LI2	Q19LI2	A1bg	1	353	30	30	Q19LI2	MOUSE	57237.7	66	62	62.1	495.2	495.2		512	Alpha-1B-glycoprotein	extracellular region|extracellular space|extracellular exosome|blood microparticle|			30	353	1.52e+12	66.0%
-1.51	0.017	2.781	-0.995	-1.677	1.51	0.626	3.449	0.038	-0.376	-0.017	-0.626	2.364	-0.852	-1.088	-2.781	-3.449	-2.364	-3.499	-3.738	0.995	-0.038	0.852	3.499	-0.202	1.677	0.376	1.088	3.738	0.202	Q5XQN5	Q5XQN5	KRT5	1	199	40	26	Q5XQN5|Q922U2|P07744|P11679|Q99M73|Q9DCV7|P19246	BOVIN	63107	42.4	63	63.1	478.52	298.2		601	Keratin, type II cytoskeletal 5				42	199	1.06e+11	42.4%
0.498	0.558	1.003	0.479	-1.098	-0.498	-0.334	2.709	0.006	-0.894	-0.558	0.334	3.567	0.512	-0.984	-1.003	-2.709	-3.567	-1.892	-2.826	-0.479	-0.006	-0.512	1.892	-1.111	1.098	0.894	0.984	2.826	1.111	P50446	P50446	Krt6a	1	16	24	7	P50446|Q9Z331|Q3UV11|Q6IFZ8	MOUSE	59676.4	32.9	63	63.2	288.53	75.09		553	Keratin, type II cytoskeletal 6A	keratin filament|extracellular exosome|	morphogenesis of an epithelium|Wnt signaling pathway|keratinization|wound healing|intermediate filament organization|	structural molecule activity|	7	16	5.58e+09	11.0%
-2.093	-0.05	2.139	-2.111	-1.971	2.093	2.094	3.764	0.163	-0.001	0.05	-2.094	2.063	-1.806	-2.124	-2.139	-3.764	-2.063	-3.361	-3.752	2.111	-0.163	1.806	3.361	0.156	1.971	0.001	2.124	3.752	-0.156	Q3TTY5	Q3TTY5	Krt2	1	74	15	9	Q3TTY5	MOUSE	71377.9	12.3	63	63.3	180.69	106.76		707	Keratin, type II cytoskeletal 2 epidermal	extracellular space|nucleus|Golgi apparatus|membrane|keratin filament|extracellular exosome|	keratinization|keratinocyte activation|keratinocyte proliferation|keratinocyte migration|	structural molecule activity|	9	74	5.26e+10	9.0%
-0.507	1.606	2.974	-0.052	-0.771	0.507	0.483	2.719	0.459	-0.47	-1.606	-0.483	1.916	-0.709	-0.791	-2.974	-2.719	-1.916	-2.956	-3.323	0.052	-0.459	0.709	2.956	-0.41	0.771	0.47	0.791	3.323	0.41	Q3UV17	Q3UV17	Krt76	1	12	12	1	Q3UV17	MOUSE	63357	13.8	63	63.4	157.73	17.6		594	Keratin, type II cytoskeletal 2 oral	nucleus|keratin filament|extracellular exosome|	epidermis development|sebaceous gland development|	structural molecule activity|	1	12	4.93e+10	1.5%
-0.201	1.309	2.544	-0.366	-0.29	0.201	1.124	2.684	0.283	-0.072	-1.309	-1.124	1.54	-1.118	-1.195	-2.544	-2.684	-1.54	-2.365	-2.575	0.366	-0.283	1.118	2.365	-0.169	0.29	0.072	1.195	2.575	0.169	Q8VED5	Q8VED5	Krt79	1	11	10	1	Q8VED5	MOUSE	57836.6	10.3	63	63.5	122.11	19.85		531	Keratin, type II cytoskeletal 79	keratin filament|extracellular exosome|		structural molecule activity|enzyme binding|	1	11	4.71e+09	2.2%
-0.488	2.586	2.359	-0.454	0.171	0.488	2.716	3.433	0.096	0.659	-2.586	-2.716	0.084	-2.814	-2.134	-2.359	-3.433	-0.084	-2.515	-2.143	0.454	-0.096	2.814	2.515	0.528	-0.171	-0.659	2.134	2.143	-0.528	Q6IFZ6	Q6IFZ6	Krt77	1	8	10	5	Q6IFZ6|Q6IFZ9	MOUSE	61414.7	12	63	63.6	120.32	45.95		572	Keratin, type II cytoskeletal 1b	cytoskeleton|keratin filament|extracellular exosome|		structural molecule activity|	5	8	1.01e+09	5.7%
-0.759	1.683	2.961	-0.377	-0.531	0.759	1.16	3.49	0.24	-0.188	-1.683	-1.16	2.363	-1.645	-1.351	-2.961	-3.49	-2.363	-3.593	-3.817	0.377	-0.24	1.645	3.593	-0.121	0.531	0.188	1.351	3.817	0.121	P04104	P04104	Krt1	1	29	9	5	P04104	MOUSE	66118.3	7.2	63	63.7	116.77	67.2		637	Keratin, type II cytoskeletal 1	extracellular space|nucleus|plasma membrane|membrane|extracellular matrix|keratin filament|extracellular exosome|blood microparticle|	complement activation, lectin pathway|retina homeostasis|negative regulation of inflammatory response|establishment of skin barrier|	structural molecule activity|carbohydrate binding|	5	29	8.89e+10	3.9%
-1.032	-0.459	2.483	-0.855	-1.171	1.032	0.172	3.062	0.258	-0.845	0.459	-0.172	2.555	-0.713	-0.851	-2.483	-3.062	-2.555	-3.125	-3.764	0.855	-0.258	0.713	3.125	-1.103	1.171	0.845	0.851	3.764	1.103	Q6NXH9	Q6NXH9	Krt73	1	9	9	3	Q6NXH9	MOUSE	59538	11.1	63	63.8	101.29	24.01		539	Keratin, type II cytoskeletal 73	nucleus|keratin filament|extracellular exosome|	activation of mitophagy in response to mitochondrial depolarization|	structural molecule activity|	3	9	1.71e+10	4.0%
								2.692	1.643												-2.692			-1.049		-1.643			1.049	Q9R0H5	Q9R0H5	Krt71	1	1	7	1	Q9R0H5	MOUSE	57895	10.1	63	63.9	88.05	8.21		524	Keratin, type II cytoskeletal 71	cytoplasm|keratin filament|extracellular exosome|	hair follicle morphogenesis|intermediate filament organization|	structural molecule activity|	1	1	1520000	2.2%
-0.556	1.603	3.288	-0.631	-0.361	0.556	2.109	3.968	-0.075	0.129	-1.603	-2.109	2.097	-2.234	-1.981	-3.288	-3.968	-2.097	-4.099	-4.116	0.631	0.075	2.234	4.099	0.27	0.361	-0.129	1.981	4.116	-0.27	Q6IME9	Q6IME9	Krt72	1	3	5	1	Q6IME9	MOUSE	57262.8	7.3	63	63.1	62.07	15.75		520	Keratin, type II cytoskeletal 72	keratin filament|extracellular exosome|		structural molecule activity|	1	3	8.92e+08	2.3%
-4.505	0.195	0.686	-4.406	-4.246	4.505	4.663	6.06	-0.052	0.287	-0.195	-4.663	0.36	-4.73	-4.439	-0.686	-6.06	-0.36	-6.182	-5.797	4.406	0.052	4.73	6.182	0.314	4.246	-0.287	4.439	5.797	-0.314	Q8BPB5	Q8BPB5	Efemp1	1	190	27	27	Q8BPB5	MOUSE	57234.1	59.2	64	64.1	473.28	473.28		493	EGF-containing fibulin-like extracellular matrix protein 1	proteinaceous extracellular matrix|extracellular space|extracellular exosome|extracellular matrix|	regulation of transcription, DNA-templated|epidermal growth factor receptor signaling pathway|peptidyl-tyrosine phosphorylation|negative regulation of chondrocyte differentiation|	epidermal growth factor-activated receptor activity|epidermal growth factor receptor binding|calcium ion binding|growth factor activity|	27	190	1.32e+11	59.2%
-6.271	-0.234	0.671	-4.978	-4.924	6.271	5.647	5.884	1.274	1.33	0.234	-5.647	0.302	-4.588	-4.45	-0.671	-5.884	-0.302	-4.924	-4.961	4.978	-1.274	4.588	4.924	0.067	4.924	-1.33	4.45	4.961	-0.067	Q9ESB3	Q9ESB3	Hrg	1	282	26	26	A0A0R4J039|Q9ESB3	MOUSE	60131.6	42.8	65	65.1	429.95	429.95		525	Histidine-rich glycoprotein	extracellular region|vesicle|endolysosome|phagolysosome membrane|	angiogenesis|positive regulation of immune response to tumor cell|chemotaxis|negative regulation of cell adhesion|negative regulation of cell proliferation|regulation of gene expression|regulation of platelet activation|negative regulation of lamellipodium assembly|negative regulation of endopeptidase activity|response to organic cyclic compound|heme transport|negative regulation of angiogenesis|platelet activation|regulation of blood coagulation|negative regulation of cell growth|regulation of actin cytoskeleton organization|negative regulation of cell adhesion mediated by integrin|regulation of transcription from RNA polymerase II promoter in response to iron|fibrinolysis|positive regulation of apoptotic process|regulation of protein complex assembly|negative regulation of blood vessel endothelial cell migration|regulation of peptidyl-tyrosine phosphorylation|defense response to fungus|positive regulation of focal adhesion assembly|negative regulation of fibrinolysis|heme export|negative regulation of vascular endothelial growth factor signaling pathway|positive regulation of blood vessel remodeling|negative regulation of endothelial cell chemotaxis|	serine-type endopeptidase inhibitor activity|cysteine-type endopeptidase inhibitor activity|receptor binding|protein binding|heparin binding|zinc ion binding|immunoglobulin binding|heme binding|heparan sulfate proteoglycan binding|metal ion binding|	26	282	7.47e+11	42.8%
-4.76	-0.239	0.969	-5.456	-5.217	4.76	4.278	4.686	-0.568	-0.295	0.239	-4.278	0.985	-4.24	-4.292	-0.969	-4.686	-0.985	-5.144	-5.008	5.456	0.568	4.24	5.144	0.3	5.217	0.295	4.292	5.008	-0.3	Q01279	Q01279	Egfr	1	159	30	30	Q01279|Q9WVF5	MOUSE	138274.2	23.2	66	66.1	411.11	411.11		1210	Epidermal growth factor receptor	Golgi membrane|intracellular|nucleus|cytoplasm|endosome|endoplasmic reticulum membrane|plasma membrane|focal adhesion|cell surface|endosome membrane|membrane|integral component of membrane|basolateral plasma membrane|endocytic vesicle|early endosome membrane|nuclear membrane|receptor complex|membrane raft|perinuclear region of cytoplasm|multivesicular body, internal vesicle lumen|	cell morphogenesis|embryonic placenta development|positive regulation of protein phosphorylation|hair follicle development|signal transduction|cell surface receptor signaling pathway|epidermal growth factor receptor signaling pathway|salivary gland morphogenesis|learning or memory|cell proliferation|positive regulation of cell proliferation|epidermis development|single organismal cell-cell adhesion|peptidyl-tyrosine phosphorylation|cerebral cortex cell migration|signal transduction by protein phosphorylation|positive regulation of cell migration|positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle|positive regulation of catenin import into nucleus|regulation of cell proliferation|negative regulation of protein catabolic process|positive regulation of phosphorylation|negative regulation of apoptotic process|positive regulation of MAP kinase activity|positive regulation of nitric oxide biosynthetic process|positive regulation of DNA repair|positive regulation of DNA replication|positive regulation of transcription from RNA polymerase II promoter|protein autophosphorylation|positive regulation of fibroblast proliferation|digestive tract morphogenesis|positive regulation of epithelial cell proliferation|regulation of peptidyl-tyrosine phosphorylation|regulation of nitric-oxide synthase activity|positive regulation of protein kinase B signaling|morphogenesis of an epithelial fold|response to UV-A|positive regulation of ERK1 and ERK2 cascade|cellular response to amino acid stimulus|cellular response to epidermal growth factor stimulus|cellular response to estradiol stimulus|	chromatin binding|protein tyrosine kinase activity|receptor signaling protein tyrosine kinase activity|signal transducer activity|transmembrane signaling receptor activity|epidermal growth factor-activated receptor activity|protein binding|ATP binding|kinase activity|enzyme binding|protein phosphatase binding|ubiquitin protein ligase binding|identical protein binding|protein heterodimerization activity|actin filament binding|nitric-oxide synthase regulator activity|	30	159	6e+10	23.2%
-4.876	0.403	1.186	-4.417	-4.64	4.876	4.584	5.146	0.347	0.113	-0.403	-4.584	-0.024	-4.303	-4.538	-1.186	-5.146	0.024	-4.672	-5.085	4.417	-0.347	4.303	4.672	-0.221	4.64	-0.113	4.538	5.085	0.221	A2A7A7	A2A7A7	H6pd	1	130	28	28	A2A7A7|Q8CFX1	MOUSE	90478.8	36.2	67	67.1	409.25	409.25		797	GDH/6PGL endoplasmic bifunctional protein	mitochondrion|	glucose metabolic process|pentose-phosphate shunt|oxidation-reduction process|response to alcohol|	glucose-6-phosphate dehydrogenase activity|6-phosphogluconolactonase activity|carbohydrate binding|NADP binding|	28	130	3.57e+10	36.2%
-5.729	-0.335	0.941	-5.326	-5.09	5.729	4.789	5.436	0.447	0.585	0.335	-4.789	0.207	-4.31	-4.213	-0.941	-5.436	-0.207	-4.706	-4.722	5.326	-0.447	4.31	4.706	0.131	5.09	-0.585	4.213	4.722	-0.131	P97290	P97290	Serping1	1	234	27	27	P97290|A2ATR8	MOUSE	55868.8	39.2	68	68.1	405.64	405.64		504	Plasma protease C1 inhibitor	extracellular space|extracellular exosome|blood microparticle|	negative regulation of complement activation, lectin pathway|complement activation, classical pathway|aging|blood coagulation|negative regulation of endopeptidase activity|fibrinolysis|innate immune response|	serine-type endopeptidase inhibitor activity|	27	234	2.22e+11	39.2%
-5.183	0.556	1.481	-5.138	-4.728	5.183	5.192	5.642	0.024	0.419	-0.556	-5.192	-0.187	-5.023	-4.819	-1.481	-5.642	0.187	-5.613	-5.344	5.138	-0.024	5.023	5.613	0.388	4.728	-0.419	4.819	5.344	-0.388	Q8R121	Q8R121	Serpina10	1	155	27	27	Q8R121|Q8R121-2	MOUSE	51910.6	53.7	69	69.1	404.14	404.14		448	Protein Z-dependent protease inhibitor	extracellular space|extracellular exosome|	blood coagulation|negative regulation of endopeptidase activity|	serine-type endopeptidase inhibitor activity|heparin binding|	27	155	7.17e+10	53.7%
-4.974	0.421	0.49	-5.005	-4.886	4.974	5.269	5.157	0.031	0.115	-0.421	-5.269	-0.338	-5.249	-5.127	-0.49	-5.157	0.338	-5.134	-5.125	5.005	-0.031	5.249	5.134	0.066	4.886	-0.115	5.127	5.125	-0.066	Q9JKR6	Q9JKR6	Hyou1	1	127	29	29	Q9JKR6|E0CYZ2	MOUSE	111407.3	31.8	70	70.1	403.28	403.28		999	Hypoxia up-regulated protein 1	extracellular region|endoplasmic reticulum lumen|focal adhesion|membrane|endoplasmic reticulum chaperone complex|extracellular exosome|	response to ischemia|response to endoplasmic reticulum stress|negative regulation of apoptotic process|cellular response to hypoxia|negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway|negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway|	ATP binding|	29	127	1.47e+10	31.8%
-5.706	0.193	0.948	-5.476	-5.008	5.706	5.526	6.387	0.187	0.645	-0.193	-5.526	-0.34	-5.425	-4.965	-0.948	-6.387	0.34	-6.125	-5.662	5.476	-0.187	5.425	6.125	0.476	5.008	-0.645	4.965	5.662	-0.476	Q61247	Q61247	Serpinf2	1	272	25	25	Q61247	MOUSE	55199.1	41.1	71	71.1	402.22	402.22		491	Alpha-2-antiplasmin	fibrinogen complex|extracellular space|cell surface|extracellular exosome|blood microparticle|	regulation of blood vessel size by renin-angiotensin|acute-phase response|response to organic substance|negative regulation of plasminogen activation|negative regulation of endopeptidase activity|collagen fibril organization|positive regulation of collagen biosynthetic process|positive regulation of cell differentiation|positive regulation of transcription from RNA polymerase II promoter|positive regulation of JNK cascade|blood vessel morphogenesis|positive regulation of smooth muscle cell proliferation|positive regulation of stress fiber assembly|negative regulation of fibrinolysis|positive regulation of ERK1 and ERK2 cascade|positive regulation of transforming growth factor beta production|	protease binding|serine-type endopeptidase inhibitor activity|protein homodimerization activity|	25	272	9.06e+11	41.1%
-0.751	3.21	3.355	-3.605	-0.209	0.751	4.412	4.606	-2.721	0.649	-3.21	-4.412	0.85	-6.696	-3.795	-3.355	-4.606	-0.85	-6.781	-4.008	3.605	2.721	6.696	6.781	3.273	0.209	-0.649	3.795	4.008	-3.273	Q3UER8	Q3UER8	Fgg	1	212	28	28	Q3UER8|Q8VCM7|P12799|F1MGU7|Q3SZZ9	MOUSE	51033.2	59.1	72	72.1	401.01	401.01		443	Fibrinogen gamma chain	fibrinogen complex|extracellular space|cell cortex|external side of plasma membrane|cell surface|platelet alpha granule|extracellular exosome|blood microparticle|	cell-matrix adhesion|signal transduction|protein secretion|plasminogen activation|positive regulation of heterotypic cell-cell adhesion|fibrinolysis|cellular protein complex assembly|positive regulation of vasoconstriction|positive regulation of exocytosis|positive regulation of protein secretion|protein polymerization|response to calcium ion|positive regulation of ERK1 and ERK2 cascade|platelet aggregation|blood coagulation, fibrin clot formation|positive regulation of peptide hormone secretion|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|negative regulation of endothelial cell apoptotic process|	receptor binding|structural molecule activity|protein binding, bridging|cell adhesion molecule binding|	28	212	2.37e+11	59.1%
-5.543	0.933	0.949	-5.081	-4.954	5.543	5.44	5.852	0.475	0.647	-0.933	-5.44	-0.418	-4.787	-4.733	-0.949	-5.852	0.418	-5.356	-4.961	5.081	-0.475	4.787	5.356	0.135	4.954	-0.647	4.733	4.961	-0.135	F8VQ07	F8VQ07	5830473C10Rik	1	120	30	30	F8VQ07|A0A0J9YV75	MOUSE	72340.4	41.7	73	73.1	396.62	396.62		620	RIKEN cDNA 5830473C10 gene	extracellular space|	transport|		30	120	1.59e+10	41.7%
-3.229	0.862	1.219	-5.184	-2.18	3.229	4.415	4.991	-2.22	0.906	-0.862	-4.415	1.045	-6.258	-3.494	-1.219	-4.991	-1.045	-6.16	-4.077	5.184	2.22	6.258	6.16	3.115	2.18	-0.906	3.494	4.077	-3.115	Q8BH61	Q8BH61	F13a1	1	148	26	26	Q8BH61	MOUSE	83719.2	32.9	74	74.1	392.34	392.34		732	Coagulation factor XIII A chain	cytoplasm|blood microparticle|	blood coagulation|peptide cross-linking|	protein-glutamine gamma-glutamyltransferase activity|metal ion binding|	26	148	3e+10	32.9%
-4.129	0.421	1.07	-4.653	-3.947	4.129	4.298	4.634	-0.847	0.139	-0.421	-4.298	0.837	-4.656	-4.302	-1.07	-4.634	-0.837	-5.155	-4.386	4.653	0.847	4.656	5.155	0.871	3.947	-0.139	4.302	4.386	-0.871	Q9QWK4	Q9QWK4	Cd5l	1	209	26	26	Q9QWK4	MOUSE	40345.4	60.7	75	75.1	390.37	390.37		352	CD5 antigen-like	membrane|extracellular exosome|blood microparticle|	receptor-mediated endocytosis|apoptotic process|	scavenger receptor activity|	26	209	4.57e+11	60.7%
-4.801	0.522	0.939	-4.782	-4.585	4.801	4.856	5.226	0.131	0.315	-0.522	-4.856	0.305	-4.699	-4.581	-0.939	-5.226	-0.305	-4.975	-4.893	4.782	-0.131	4.699	4.975	0.14	4.585	-0.315	4.581	4.893	-0.14	Q8BHN3-2	Q8BHN3-2	Ganab	1	112	33	33	Q8BHN3-2|Q8BHN3|Q8BHN3-3	MOUSE	109858.4	33.6	76	76.1	387.82	387.82		944	Isoform 2 of Neutral alpha-glucosidase AB	endoplasmic reticulum|Golgi apparatus|membrane|glucosidase II complex|melanosome|extracellular exosome|	N-glycan processing|	protein binding|glucosidase activity|carbohydrate binding|glucan 1,3-alpha-glucosidase activity|poly(A) RNA binding|	33	112	1.58e+10	33.6%
-5.625	-0.214	1.255	-4.943	-4.797	5.625	4.657	5.948	0.609	0.722	0.214	-4.657	0.559	-4.16	-4.17	-1.255	-5.948	-0.559	-5.237	-5.272	4.943	-0.609	4.16	5.237	0.15	4.797	-0.722	4.17	5.272	-0.15	P49182	P49182	Serpind1	1	210	26	26	P49182	MOUSE	54781	49.3	77	77.1	384.86	384.86		478	Heparin cofactor 2	extracellular space|extracellular exosome|	blood coagulation|negative regulation of endopeptidase activity|	serine-type endopeptidase inhibitor activity|heparin binding|	26	210	2.02e+11	49.3%
-5.302	0.549	0.379	-4.949	-5.104	5.302	4.746	5.065	0.368	0.404	-0.549	-4.746	0.604	-4.256	-4.278	-0.379	-5.065	-0.604	-4.637	-5.056	4.949	-0.368	4.256	4.637	0.068	5.104	-0.404	4.278	5.056	-0.068	P26928	P26928	Mst1	1	138	29	29	P26928|E0CXN0	MOUSE	83185.1	40	78	78.1	378.2	378.2		716	Hepatocyte growth factor-like protein	extracellular exosome|	proteolysis|spermatogenesis|embryo implantation|sperm motility|	serine-type endopeptidase activity|	29	138	3.13e+10	40.0%
-5.666	0.341	1.117	-5.197	-4.884	5.666	5.545	5.987	0.535	0.82	-0.341	-5.545	-0.25	-5.055	-5.034	-1.117	-5.987	0.25	-5.454	-5.248	5.197	-0.535	5.055	5.454	0.251	4.884	-0.82	5.034	5.248	-0.251	A2AS37	A2AS37	AI182371	1	158	23	23	A2AS37	MOUSE	40887.3	52.2	79	79.1	374.1	374.1		356	Expressed sequence AI182371	extracellular region|	inflammatory response|complement activation|negative regulation of endopeptidase activity|	endopeptidase inhibitor activity|	23	158	1.61e+11	52.2%
