"Ilia_newDatabase, 126:127, NoBirA_6:BirA/Cre_3"	"Ilia_newDatabase, 126:128, NoBirA_6:NoBirA_4"	"Ilia_newDatabase, 126:129, NoBirA_6:NoBirA_5"	"Ilia_newDatabase, 126:130, NoBirA_6:BirA/Cre_2"	"Ilia_newDatabase, 126:131, NoBirA_6:BirA/Cre_1"	"Ilia_newDatabase, 127:126, BirA/Cre_3:NoBirA_6"	"Ilia_newDatabase, 127:128, BirA/Cre_3:NoBirA_4"	"Ilia_newDatabase, 127:129, BirA/Cre_3:NoBirA_5"	"Ilia_newDatabase, 127:130, BirA/Cre_3:BirA/Cre_2"	"Ilia_newDatabase, 127:131, BirA/Cre_3:BirA/Cre_1"	"Ilia_newDatabase, 128:126, NoBirA_4:NoBirA_6"	"Ilia_newDatabase, 128:127, NoBirA_4:BirA/Cre_3"	"Ilia_newDatabase, 128:129, NoBirA_4:NoBirA_5"	"Ilia_newDatabase, 128:130, NoBirA_4:BirA/Cre_2"	"Ilia_newDatabase, 128:131, NoBirA_4:BirA/Cre_1"	"Ilia_newDatabase, 129:126, NoBirA_5:NoBirA_6"	"Ilia_newDatabase, 129:127, NoBirA_5:BirA/Cre_3"	"Ilia_newDatabase, 129:128, NoBirA_5:NoBirA_4"	"Ilia_newDatabase, 129:130, NoBirA_5:BirA/Cre_2"	"Ilia_newDatabase, 129:131, NoBirA_5:BirA/Cre_1"	"Ilia_newDatabase, 130:126, BirA/Cre_2:NoBirA_6"	"Ilia_newDatabase, 130:127, BirA/Cre_2:BirA/Cre_3"	"Ilia_newDatabase, 130:128, BirA/Cre_2:NoBirA_4"	"Ilia_newDatabase, 130:129, BirA/Cre_2:NoBirA_5"	"Ilia_newDatabase, 130:131, BirA/Cre_2:BirA/Cre_1"	"Ilia_newDatabase, 131:126, BirA/Cre_1:NoBirA_6"	"Ilia_newDatabase, 131:127, BirA/Cre_1:BirA/Cre_3"	"Ilia_newDatabase, 131:128, BirA/Cre_1:NoBirA_4"	"Ilia_newDatabase, 131:129, BirA/Cre_1:NoBirA_5"	"Ilia_newDatabase, 131:130, BirA/Cre_1:BirA/Cre_2"	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	Ilia_newDatabase unique_peptides	Ilia_newDatabase numSpectra	Ilia_newDatabase totalIntensity	Ilia_newDatabase pct_cov
-5.808	-0.112	1.17	-5.732	-5.069	5.808	4.986	6.391	0.095	0.623	0.112	-4.986	0.304	-5.095	-4.317	-1.17	-6.391	-0.304	-6.266	-5.67	5.732	-0.095	5.095	6.266	0.542	5.069	-0.623	4.317	5.67	-0.542	Q61247	Q61247	Serpinf2	1	138	24	24	Q61247	MOUSE	55199.1	41.1	65	65.1	378.44	378.44		491	Alpha-2-antiplasmin	fibrinogen complex|extracellular space|cell surface|extracellular exosome|blood microparticle|	regulation of blood vessel size by renin-angiotensin|acute-phase response|response to organic substance|negative regulation of plasminogen activation|negative regulation of endopeptidase activity|collagen fibril organization|positive regulation of collagen biosynthetic process|positive regulation of cell differentiation|positive regulation of transcription from RNA polymerase II promoter|positive regulation of JNK cascade|blood vessel morphogenesis|positive regulation of smooth muscle cell proliferation|positive regulation of stress fiber assembly|negative regulation of fibrinolysis|positive regulation of ERK1 and ERK2 cascade|positive regulation of transforming growth factor beta production|	protease binding|serine-type endopeptidase inhibitor activity|protein homodimerization activity|	24	138	5.31E+11	41.10%
-4.963	-0.38	0.772	-5.61	-5.288	4.963	4.098	4.769	-0.637	-0.263	0.38	-4.098	1.121	-3.906	-3.945	-0.772	-4.769	-1.121	-5.148	-5.059	5.61	0.637	3.906	5.148	0.342	5.288	0.263	3.945	5.059	-0.342	Q01279	Q01279	Egfr	1	82	28	28	Q01279|Q9WVF5	MOUSE	138274.2	23.1	66	66.1	375.09	375.09		1210	Epidermal growth factor receptor	"Golgi membrane|intracellular|nucleus|cytoplasm|endosome|endoplasmic reticulum membrane|plasma membrane|focal adhesion|cell surface|endosome membrane|membrane|integral component of membrane|basolateral plasma membrane|endocytic vesicle|early endosome membrane|nuclear membrane|receptor complex|membrane raft|perinuclear region of cytoplasm|multivesicular body, internal vesicle lumen|"	cell morphogenesis|embryonic placenta development|positive regulation of protein phosphorylation|hair follicle development|signal transduction|cell surface receptor signaling pathway|epidermal growth factor receptor signaling pathway|salivary gland morphogenesis|learning or memory|cell proliferation|positive regulation of cell proliferation|epidermis development|single organismal cell-cell adhesion|peptidyl-tyrosine phosphorylation|cerebral cortex cell migration|signal transduction by protein phosphorylation|positive regulation of cell migration|positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle|positive regulation of catenin import into nucleus|regulation of cell proliferation|negative regulation of protein catabolic process|positive regulation of phosphorylation|negative regulation of apoptotic process|positive regulation of MAP kinase activity|positive regulation of nitric oxide biosynthetic process|positive regulation of DNA repair|positive regulation of DNA replication|positive regulation of transcription from RNA polymerase II promoter|protein autophosphorylation|positive regulation of fibroblast proliferation|digestive tract morphogenesis|positive regulation of epithelial cell proliferation|regulation of peptidyl-tyrosine phosphorylation|regulation of nitric-oxide synthase activity|positive regulation of protein kinase B signaling|morphogenesis of an epithelial fold|response to UV-A|positive regulation of ERK1 and ERK2 cascade|cellular response to amino acid stimulus|cellular response to epidermal growth factor stimulus|cellular response to estradiol stimulus|	chromatin binding|protein tyrosine kinase activity|receptor signaling protein tyrosine kinase activity|signal transducer activity|transmembrane signaling receptor activity|epidermal growth factor-activated receptor activity|protein binding|ATP binding|kinase activity|enzyme binding|protein phosphatase binding|ubiquitin protein ligase binding|identical protein binding|protein heterodimerization activity|actin filament binding|nitric-oxide synthase regulator activity|	28	82	2.94E+10	23.10%
-5.75	-0.29	0.822	-5.508	-5.262	5.75	4.753	5.034	0.408	0.563	0.29	-4.753	0.179	-4.348	-4.299	-0.822	-5.034	-0.179	-4.649	-4.686	5.508	-0.408	4.348	4.649	0.17	5.262	-0.563	4.299	4.686	-0.17	P97290	P97290	Serping1	1	124	26	26	P97290|A2ATR8	MOUSE	55868.8	38	67	67.1	369.92	369.92		504	Plasma protease C1 inhibitor	extracellular space|extracellular exosome|blood microparticle|	"negative regulation of complement activation, lectin pathway|complement activation, classical pathway|aging|blood coagulation|negative regulation of endopeptidase activity|fibrinolysis|innate immune response|"	serine-type endopeptidase inhibitor activity|	26	124	1.30E+11	38.00%
-4.269	0.082	0.902	-4.812	-4.068	4.269	3.763	4.371	-0.875	0.126	-0.082	-3.763	0.712	-4.706	-3.552	-0.902	-4.371	-0.712	-4.567	-4.039	4.812	0.875	4.706	4.567	0.883	4.068	-0.126	3.552	4.039	-0.883	Q9QWK4	Q9QWK4	Cd5l	1	108	25	25	Q9QWK4	MOUSE	40345.4	60.5	68	68.1	367.63	367.63		352	CD5 antigen-like	membrane|extracellular exosome|blood microparticle|	receptor-mediated endocytosis|apoptotic process|	scavenger receptor activity|	25	108	2.75E+11	60.50%
-4.965	0.398	0.815	-5.039	-4.946	4.965	5.226	5.186	-0.03	0.097	-0.398	-5.226	-0.338	-5.249	-5.06	-0.815	-5.186	0.338	-5.269	-5.234	5.039	0.03	5.249	5.269	0.078	4.946	-0.097	5.06	5.234	-0.078	Q9JKR6	Q9JKR6	Hyou1	1	62	26	26	Q9JKR6|E0CYZ2	MOUSE	111407.3	29.6	69	69.1	366.11	366.11		999	Hypoxia up-regulated protein 1	extracellular region|endoplasmic reticulum lumen|focal adhesion|membrane|endoplasmic reticulum chaperone complex|extracellular exosome|	response to ischemia|response to endoplasmic reticulum stress|negative regulation of apoptotic process|cellular response to hypoxia|negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway|negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway|	ATP binding|	26	62	8.24E+09	29.60%
-5.148	0.364	1.199	-5.254	-4.813	5.148	4.755	5.788	-0.042	0.358	-0.364	-4.755	0.003	-4.741	-4.377	-1.199	-5.788	-0.003	-5.757	-5.595	5.254	0.042	4.741	5.757	0.377	4.813	-0.358	4.377	5.595	-0.377	Q8R121	Q8R121	Serpina10	1	76	24	24	Q8R121|Q8R121-2	MOUSE	51910.6	47.7	70	70.1	363.6	363.6		448	Protein Z-dependent protease inhibitor	extracellular space|extracellular exosome|	blood coagulation|negative regulation of endopeptidase activity|	serine-type endopeptidase inhibitor activity|heparin binding|	24	76	4.65E+10	47.70%
-6.087	0.733	0.634	-5.735	-5.562	6.087	4.478	5.149	0.401	0.395	-0.733	-4.478	0.307	-4.395	-4.561	-0.634	-5.149	-0.307	-4.896	-4.871	5.735	-0.401	4.395	4.896	-0.018	5.562	-0.395	4.561	4.871	0.018	Q8VCU2	Q8VCU2	Gpld1	1	86	26	26	Q8VCU2|O70362	MOUSE	94192.4	29	71	71.1	358.4	358.4		842	Glycosylphosphatidylinositol specific phospholipase D1	proteinaceous extracellular matrix|extracellular space|intracellular|cytoplasm|lysosomal membrane|intracellular membrane-bounded organelle|extracellular exosome|	cell migration involved in sprouting angiogenesis|complement receptor mediated signaling pathway|GPI anchor release|negative regulation of cell proliferation|insulin receptor signaling pathway|response to glucose|positive regulation of endothelial cell migration|cellular response to insulin stimulus|cellular response to drug|positive regulation of apoptotic process|positive regulation of cytolysis|positive regulation of membrane protein ectodomain proteolysis|cellular response to calcium ion|cellular response to cholesterol|cellular response to triglyceride|cellular response to pH|regulation of cellular response to insulin stimulus|	glycosylphosphatidylinositol phospholipase D activity|phospholipase D activity|protein binding|	26	86	3.58E+10	29.00%
-3.619	0.322	1.018	-5.917	-2.769	3.619	3.847	5.131	-2.21	0.899	-0.322	-3.847	1.18	-5.766	-3.251	-1.018	-5.131	-1.18	-6.18	-3.998	5.917	2.21	5.766	6.18	3.158	2.769	-0.899	3.251	3.998	-3.158	Q8BH61	Q8BH61	F13a1	1	74	26	26	Q8BH61	MOUSE	83719.2	32.9	72	72.1	353.61	353.61		732	Coagulation factor XIII A chain	cytoplasm|blood microparticle|	blood coagulation|peptide cross-linking|	protein-glutamine gamma-glutamyltransferase activity|metal ion binding|	26	74	1.55E+10	32.90%
-5.365	-0.04	1.339	-4.839	-4.696	5.365	4.316	5.823	0.512	0.636	0.04	-4.316	0.559	-4.365	-4.164	-1.339	-5.823	-0.559	-5.237	-5.269	4.839	-0.512	4.365	5.237	0.142	4.696	-0.636	4.164	5.269	-0.142	P49182	P49182	Serpind1	1	102	24	24	P49182	MOUSE	54781	43.7	73	73.1	341.25	341.25		478	Heparin cofactor 2	extracellular space|extracellular exosome|	blood coagulation|negative regulation of endopeptidase activity|	serine-type endopeptidase inhibitor activity|heparin binding|	24	102	1.05E+11	43.70%
-6.348	0.429	1.084	-6.173	-5.96	6.348	5.072	6.957	0.223	0.365	-0.429	-5.072	0.046	-4.886	-4.791	-1.084	-6.957	-0.046	-6.627	-6.555	6.173	-0.223	4.886	6.627	0.064	5.96	-0.365	4.791	6.555	-0.064	P14211	P14211	Calr	1	72	24	24	P14211	MOUSE	48164.8	52.8	74	74.1	338.1	338.1		416	Calreticulin	acrosomal vesicle|extracellular region|extracellular space|nucleus|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|Golgi apparatus|cytosol|polysome|focal adhesion|external side of plasma membrane|membrane|extracellular matrix|sarcoplasmic reticulum lumen|MHC class I peptide loading complex|phagocytic vesicle|perinuclear region of cytoplasm|extracellular exosome|	"negative regulation of transcription from RNA polymerase II promoter|peptide antigen assembly with MHC class I protein complex|protein export from nucleus|cell cycle arrest|spermatogenesis|positive regulation of cell proliferation|positive regulation of gene expression|negative regulation of translation|cortical actin cytoskeleton organization|response to estradiol|negative regulation of intracellular steroid hormone receptor signaling pathway|response to testosterone|protein localization to nucleus|regulation of meiotic nuclear division|response to drug|negative regulation of neuron differentiation|positive regulation of DNA replication|positive regulation of cell cycle|negative regulation of transcription, DNA-templated|negative regulation of retinoic acid receptor signaling pathway|positive regulation of phagocytosis|protein stabilization|cardiac muscle cell differentiation|chaperone-mediated protein folding|cellular response to lithium ion|cellular response to organic substance|cellular senescence|positive regulation of substrate adhesion-dependent cell spreading|positive regulation of dendritic cell chemotaxis|"	glycoprotein binding|mRNA binding|integrin binding|iron ion binding|calcium ion binding|protein binding|carbohydrate binding|ubiquitin protein ligase binding|peptide binding|hormone binding|poly(A) RNA binding|androgen receptor binding|unfolded protein binding|	24	72	4.75E+10	52.80%
-1.345	2.415	2.916	-4.018	-0.708	1.345	4.531	3.923	-2.487	0.688	-2.415	-4.531	0.971	-6.668	-3.972	-2.916	-3.923	-0.971	-6.664	-3.158	4.018	2.487	6.668	6.664	3.064	0.708	-0.688	3.972	3.158	-3.064	Q3UER8	Q3UER8	Fgg	1	106	24	24	Q3UER8|Q8VCM7|P12799|F1MGU7|Q3SZZ9	MOUSE	51033.2	54.4	75	75.1	336.53	336.53		443	Fibrinogen gamma chain	fibrinogen complex|extracellular space|cell cortex|external side of plasma membrane|cell surface|platelet alpha granule|extracellular exosome|blood microparticle|	"cell-matrix adhesion|signal transduction|protein secretion|plasminogen activation|positive regulation of heterotypic cell-cell adhesion|fibrinolysis|cellular protein complex assembly|positive regulation of vasoconstriction|positive regulation of exocytosis|positive regulation of protein secretion|protein polymerization|response to calcium ion|positive regulation of ERK1 and ERK2 cascade|platelet aggregation|blood coagulation, fibrin clot formation|positive regulation of peptide hormone secretion|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|negative regulation of endothelial cell apoptotic process|"	"receptor binding|structural molecule activity|protein binding, bridging|cell adhesion molecule binding|"	24	106	1.23E+11	54.40%
-5.315	0.321	0.762	-5.073	-5.058	5.315	4.588	5.397	0.234	0.422	-0.321	-4.588	1.072	-4.084	-3.88	-0.762	-5.397	-1.072	-5.339	-5.505	5.073	-0.234	4.084	5.339	0.17	5.058	-0.422	3.88	5.505	-0.17	P26928	P26928	Mst1	1	71	26	26	P26928|E0CXN0	MOUSE	83185.1	37.4	76	76.1	330.64	330.64		716	Hepatocyte growth factor-like protein	extracellular exosome|	proteolysis|spermatogenesis|embryo implantation|sperm motility|	serine-type endopeptidase activity|	26	71	1.79E+10	37.40%
-5.344	0.549	0.814	-5.245	-4.916	5.344	5.091	5.727	0.017	0.364	-0.549	-5.091	-0.798	-5.216	-4.78	-0.814	-5.727	0.798	-5.721	-5.358	5.245	-0.017	5.216	5.721	0.33	4.916	-0.364	4.78	5.358	-0.33	Q8BK48	Q8BK48	Ces2e	1	70	22	17	Q8BK48|F6Z9B9|Q08ED5|Q149K3	MOUSE	62716	40.6	77	77.1	328.85	258.69		559	Pyrethroid hydrolase Ces2e	endoplasmic reticulum|	metabolic process|	carboxylic ester hydrolase activity|	22	70	1.83E+10	40.60%
-5.843	-5.351	-0.665	-4.987	-5.178	5.843	2.102	5.545	0.47	0.576	5.351	-2.102	3.947	-1.254	-1.23	0.665	-5.545	-3.947	-4.859	-5.488	4.987	-0.47	1.254	4.859	0.043	5.178	-0.576	1.23	5.488	-0.043	Q91WG0	Q91WG0	Ces2c	1	15	15	8	Q91WG0|Q6PDB7	MOUSE	62753.8	29.9	77	77.2	225.65	122.3		561	Acylcarnitine hydrolase	endoplasmic reticulum|intracellular membrane-bounded organelle|	metabolic process|	acylcarnitine hydrolase activity|	8	15	4.91E+08	14.70%
-5.118	-0.896	0.188	-5.128	-5.157	5.118	4.257	4.963	0.366	0.45	0.896	-4.257	1.28	-4.211	-3.807	-0.188	-4.963	-1.28	-4.456	-4.528	5.128	-0.366	4.211	4.456	-0.029	5.157	-0.45	3.807	4.528	0.029	Q8QZR3	Q8QZR3	Ces2a	1	11	10	5	Q8QZR3|Q8QZR3-2	MOUSE	62395.6	17.7	77	77.3	139.71	70.99		558	Pyrethroid hydrolase Ces2a			carboxylic ester hydrolase activity|	5	11	5.45E+08	10.20%
-4.748	-0.915		-4.449	-4.505	4.748	3.833		0.321	0.364	0.915	-3.833		-3.534	-3.59						4.449	-0.321	3.534		0.043	4.505	-0.364	3.59		-0.043	E9PV38	E9PV38	Ces2g	1	2	8	2	E9PV38	MOUSE	63005	17.1	77	77.4	104	16.61		560	Carboxylic ester hydrolase		metabolic process|	hydrolase activity|	2	2	3.17E+08	4.60%
-5.298	-0.166	1.282	-5.242	-5.14	5.298	4.863	5.561	0.063	0.307	0.166	-4.863	1.047	-4.562	-4.956	-1.282	-5.561	-1.047	-5.327	-5.272	5.242	-0.063	4.562	5.327	0.14	5.14	-0.307	4.956	5.272	-0.14	P39039	P39039	Mbl1	1	107	21	21	P39039|P39039-2|A0A2C9F2B6	MOUSE	25852	64	78	78.1	326.15	326.15		239	Mannose-binding protein A	collagen trimer|extracellular space|	"complement activation, lectin pathway|complement activation, classical pathway|negative regulation of growth of symbiont in host|positive regulation of phagocytosis|defense response to Gram-positive bacterium|protein homotetramerization|killing by host of symbiont cells|protein homotrimerization|"	protease binding|calcium ion binding|mannose binding|polysaccharide binding|protein homodimerization activity|calcium-dependent protein binding|phosphatidylinositol-4-phosphate binding|	21	107	8.00E+11	64.00%
-4.452	0.532	1.186	-4.36	-4.447	4.452	4.584	4.717	0.275	0.084	-0.532	-4.584	0.177	-4.323	-4.553	-1.186	-4.717	-0.177	-4.462	-5.085	4.36	-0.275	4.323	4.462	-0.213	4.447	-0.084	4.553	5.085	0.213	A2A7A7	A2A7A7	H6pd	1	59	25	25	A2A7A7|Q8CFX1	MOUSE	90478.8	31.6	79	79.1	325.26	325.26		797	GDH/6PGL endoplasmic bifunctional protein	mitochondrion|	glucose metabolic process|pentose-phosphate shunt|oxidation-reduction process|response to alcohol|	glucose-6-phosphate dehydrogenase activity|6-phosphogluconolactonase activity|carbohydrate binding|NADP binding|	25	59	2.03E+10	31.60%
-5.592	0.832	0.592	-5.179	-5.002	5.592	5.154	5.991	0.411	0.639	-0.832	-5.154	-0.589	-4.787	-4.733	-0.592	-5.991	0.589	-5.571	-5.058	5.179	-0.411	4.787	5.571	0.152	5.002	-0.639	4.733	5.058	-0.152	F8VQ07	F8VQ07	5830473C10Rik	1	57	26	26	F8VQ07|A0A0J9YV75	MOUSE	72340.4	34.3	80	80.1	324.4	324.4		620	RIKEN cDNA 5830473C10 gene	extracellular space|	transport|		26	57	9.41E+09	34.30%
-4.905	0.766	1.036	-4.619	-4.871	4.905	5.909	5.971	0.268	0.166	-0.766	-5.909	0.744	-5.135	-5.753	-1.036	-5.971	-0.744	-5.415	-5.464	4.619	-0.268	5.135	5.415	-0.135	4.871	-0.166	5.753	5.464	0.135	P00920	P00920	Ca2	1	57	18	18	P00920|A0A0A6YX78|P00921	MOUSE	29146.1	57.6	81	81.1	321.76	321.76		260	Carbonic anhydrase 2	extracellular space|cytoplasm|cytosol|plasma membrane|microvillus|basolateral plasma membrane|axon|myelin sheath|apical part of cell|extracellular exosome|	"kidney development|morphogenesis of an epithelium|one-carbon metabolic process|regulation of pH|response to pH|response to zinc ion|carbon dioxide transport|positive regulation of synaptic transmission, GABAergic|positive regulation of cellular pH reduction|angiotensin-activated signaling pathway|odontogenesis of dentin-containing tooth|response to estrogen|regulation of anion transport|positive regulation of osteoclast differentiation|positive regulation of bone resorption|secretion|regulation of intracellular pH|cellular response to fluid shear stress|positive regulation of dipeptide transmembrane transport|regulation of chloride transport|"	arylesterase activity|carbonate dehydratase activity|zinc ion binding|	18	57	1.78E+10	57.60%
-5.611	-0.005	0.992	-5.2	-4.845	5.611	5.03	5.923	0.47	0.805	0.005	-5.03	-0.187	-4.565	-4.859	-0.992	-5.923	0.187	-5.607	-5.248	5.2	-0.47	4.565	5.607	0.337	4.845	-0.805	4.859	5.248	-0.337	A2AS37	A2AS37	AI182371	1	76	20	20	A2AS37	MOUSE	40887.3	50.8	82	82.1	312.65	312.65		356	Expressed sequence AI182371	extracellular region|	inflammatory response|complement activation|negative regulation of endopeptidase activity|	endopeptidase inhibitor activity|	20	76	8.38E+10	50.80%
-4.773	0.522	0.361	-4.807	-4.577	4.773	4.835	4.931	0.06	0.28	-0.522	-4.835	0.725	-4.636	-4.581	-0.361	-4.931	-0.725	-4.735	-4.652	4.807	-0.06	4.636	4.735	0.119	4.577	-0.28	4.581	4.652	-0.119	Q8BHN3-2	Q8BHN3-2	Ganab	1	58	28	28	Q8BHN3-2|Q8BHN3|Q8BHN3-3	MOUSE	109858.4	28.7	83	83.1	303.22	303.22		944	Isoform 2 of Neutral alpha-glucosidase AB	endoplasmic reticulum|Golgi apparatus|membrane|glucosidase II complex|melanosome|extracellular exosome|	N-glycan processing|	"protein binding|glucosidase activity|carbohydrate binding|glucan 1,3-alpha-glucosidase activity|poly(A) RNA binding|"	28	58	9.73E+09	28.70%
-4.694	0.935	1.535	-4.402	-4.113	4.694	5.571	5.151	0.417	0.581	-0.935	-5.571	0.471	-5.127	-5.172	-1.535	-5.151	-0.471	-4.813	-4.773	4.402	-0.417	5.127	4.813	0.15	4.113	-0.581	5.172	4.773	-0.15	Q61704	Q61704	Itih3	1	68	22	22	Q61704	MOUSE	99698.3	25.1	84	84.1	296.38	296.38		889	Inter-alpha-trypsin inhibitor heavy chain H3	extracellular exosome|	negative regulation of endopeptidase activity|hyaluronan metabolic process|	serine-type endopeptidase inhibitor activity|	22	68	2.85E+10	25.10%
-5.524	-0.167	1.498	-5.412	-4.951	5.524	5.327	6.433	0.246	0.598	0.167	-5.327	1.036	-5.13	-4.64	-1.498	-6.433	-1.036	-6.238	-6.169	5.412	-0.246	5.13	6.238	0.272	4.951	-0.598	4.64	6.169	-0.272	Q07456	Q07456	Ambp	1	64	18	18	Q07456	MOUSE	39941.4	48.4	85	85.1	296.14	296.14		349	Protein AMBP	extracellular space|plasma membrane|cell surface|intracellular membrane-bounded organelle|extracellular exosome|blood microparticle|	negative regulation of endopeptidase activity|protein-chromophore linkage|protein catabolic process|protein maturation|	serine-type endopeptidase inhibitor activity|IgA binding|heme binding|small molecule binding|protein homodimerization activity|	18	64	7.93E+10	48.40%
-4.985	0.229	0.662	-4.902	-4.94	4.985	3.974	5.311	0.338	0.243	-0.229	-3.974	0.916	-3.645	-3.798	-0.662	-5.311	-0.916	-4.998	-5.024	4.902	-0.338	3.645	4.998	-0.085	4.94	-0.243	3.798	5.024	0.085	O70570	O70570	Pigr	1	42	21	21	O70570	MOUSE	86309.5	30	86	86.1	293.74	293.74		771	Polymeric immunoglobulin receptor	extracellular space|plasma membrane|integral component of membrane|receptor complex|extracellular exosome|	detection of chemical stimulus involved in sensory perception of bitter taste|retina homeostasis|immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor|epidermal growth factor receptor signaling pathway|Fc receptor signaling pathway|receptor clustering|	polymeric immunoglobulin receptor activity|	21	42	1.04E+10	30.00%
-5.877	-0.902	1.005	-5.441	-5.452	5.877	4.905	5.86	0.453	0.447	0.902	-4.905	0.813	-4.541	-4.459	-1.005	-5.86	-0.813	-6.097	-5.576	5.441	-0.453	4.541	6.097	0.031	5.452	-0.447	4.459	5.576	-0.031	P23953	P23953	Ces1c	1	57	21	13	P23953|Q8VCT4|E9PYP1	MOUSE	61339.9	35.3	87	87.1	292.8	192.44		554	Carboxylesterase 1C	extracellular space|endoplasmic reticulum lumen|	metabolic process|	"hydrolase activity, acting on ester bonds|carboxylic ester hydrolase activity|"	21	57	2.49E+10	35.30%
-4.898	0.155	0.693	-4.575	-4.386	4.898	3.436	5.304	0.351	0.451	-0.155	-3.436	1.108	-2.734	-2.743	-0.693	-5.304	-1.108	-5.084	-4.969	4.575	-0.351	2.734	5.084	0.021	4.386	-0.451	2.743	4.969	-0.021	D3Z5G7	D3Z5G7	Ces1b	1	21	17	9	D3Z5G7|Q8VCC2	MOUSE	62538.2	33.1	87	87.2	237.99	137.63		567	Carboxylic ester hydrolase		metabolic process|	hydrolase activity|	9	21	1.39E+09	21.80%
-4.625	-0.211	1.162	-4.808	-4.356	4.625	4.056	5.107	-0.108	0.196	0.211	-4.056	1.269	-4.105	-3.863	-1.162	-5.107	-1.269	-5.011	-4.798	4.808	0.108	4.105	5.011	0.277	4.356	-0.196	3.863	4.798	-0.277	P35917	P35917	Flt4	1	35	23	23	P35917	MOUSE	155124.7	17.8	88	88.1	292.48	292.48		1363	Vascular endothelial growth factor receptor 3	nucleus|cytoplasm|plasma membrane|integral component of plasma membrane|receptor complex|	positive regulation of protein phosphorylation|positive regulation of endothelial cell proliferation|vasculature development|lymph vessel development|lymphangiogenesis|sprouting angiogenesis|positive regulation of cell proliferation|positive regulation of vascular endothelial growth factor production|positive regulation of endothelial cell migration|peptidyl-tyrosine phosphorylation|cellular response to vascular endothelial growth factor stimulus|vascular endothelial growth factor signaling pathway|negative regulation of apoptotic process|positive regulation of MAPK cascade|positive regulation of JNK cascade|protein autophosphorylation|vascular endothelial growth factor receptor signaling pathway|blood vessel morphogenesis|regulation of blood vessel remodeling|positive regulation of ERK1 and ERK2 cascade|positive regulation of protein kinase C signaling|	transmembrane receptor protein tyrosine kinase activity|vascular endothelial growth factor-activated receptor activity|protein binding|ATP binding|growth factor binding|protein phosphatase binding|	23	35	4.47E+09	17.80%
-5.597	0.829	1.224	-5.649	-5.246	5.597	5.78	5.993	0.138	0.179	-0.829	-5.78	0.925	-5.808	-5.663	-1.224	-5.993	-0.925	-5.588	-5.652	5.649	-0.138	5.808	5.588	0.085	5.246	-0.179	5.663	5.652	-0.085	Q9DBB9	Q9DBB9	Cpn2	1	74	18	18	Q9DBB9	MOUSE	61333.9	43.6	89	89.1	288.7	288.7		547	Carboxypeptidase N subunit 2	extracellular exosome|blood microparticle|			18	74	6.65E+10	43.60%
-3.721	1.005	2.299	-4.028	-3.246	3.721	5.774	6.044	-0.239	0.451	-1.005	-5.774	1.713	-5.862	-5.202	-2.299	-6.044	-1.713	-6.159	-5.674	4.028	0.239	5.862	6.159	0.674	3.246	-0.451	5.202	5.674	-0.674	Q8CG19	Q8CG19	Ltbp1	1	35	20	20	Q8CG19|Q8CG19-2|Q8CG19-3|Q61810|F8VQ06|Q61810-2	MOUSE	195158.2	14.4	90	90.1	287.91	287.91		1712	Latent-transforming growth factor beta-binding protein 1	microfibril|proteinaceous extracellular matrix|extracellular matrix|protein complex|extracellular matrix|	transforming growth factor beta receptor signaling pathway|	calcium ion binding|transforming growth factor beta binding|microfibril binding|	20	35	2.72E+09	14.40%
-6.024	0.138	0.835	-5.826	-5.796	6.024	5.552	6.242	0.278	0.294	-0.138	-5.552	1.839	-5.273	-5.236	-0.835	-6.242	-1.839	-6.292	-6.307	5.826	-0.278	5.273	6.292	0.009	5.796	-0.294	5.236	6.307	-0.009	A11111	A11111		1	53	18	18	A11111|P06709	MOUSE	39099.5	57	91	91.1	287.06	287.06			BirAG3ER				18	53	2.21E+11	57.00%
