id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,Ilia_newDatabase..126.126.127.128.129.130.131..NoBirA_6.multimedian,Ilia_newDatabase..128.126.127.128.129.130.131..NoBirA_4.multimedian,Ilia_newDatabase..129.126.127.128.129.130.131..NoBirA_5.multimedian,Ilia_newDatabase..127.126.127.128.129.130.131..BirA.Cre_3.multimedian,Ilia_newDatabase..130.126.127.128.129.130.131..BirA.Cre_2.multimedian,Ilia_newDatabase..131.126.127.128.129.130.131..BirA.Cre_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Ilia_newDatabase.unique_peptides,Ilia_newDatabase.numSpectra,Ilia_newDatabase.totalIntensity,Ilia_newDatabase.pct_cov
P97290,0.91535326,0.149583333,0.70355304,-0.1215,0.850441992,-0.19679387,-0.674,-0.3165,1.6215,0.264,0.004,-0.0015,P97290,Serping1,P97290_Serping1,P97290,Serping1,1,124,26,26,P97290|A2ATR8,MOUSE,55868.8,38,67,67.1,369.92,369.92,,504,Plasma protease C1 inhibitor,extracellular space|extracellular exosome|blood microparticle|,"negative regulation of complement activation, lectin pathway|complement activation, classical pathway|aging|blood coagulation|negative regulation of endopeptidase activity|fibrinolysis|innate immune response|",serine-type endopeptidase inhibitor activity|,26,124,1.3E+11,38.0%
Q9QWK4,0.881241581,0.29575,0.998197315,-0.1005,0.794658016,-0.271730559,0.27,-0.0525,0.8205,-0.093,0.818,0.0115,Q9QWK4,Cd5l,Q9QWK4_Cd5l,Q9QWK4,Cd5l,1,108,25,25,Q9QWK4,MOUSE,40345.4,60.5,68,68.1,367.63,367.63,,352,CD5 antigen-like,membrane|extracellular exosome|blood microparticle|,receptor-mediated endocytosis|apoptotic process|,scavenger receptor activity|,25,108,2.75E+11,60.5%
Q9JKR6,0.482514848,-0.204583333,6.390791299,0.308166667,0.229573032,1.332619301,-0.405,-0.1225,-0.5485,-0.159,-0.018,0.0255,Q9JKR6,Hyou1,Q9JKR6_Hyou1,Q9JKR6,Hyou1,1,62,26,26,Q9JKR6|E0CYZ2,MOUSE,111407.3,29.6,69,69.1,366.11,366.11,,999,Hypoxia up-regulated protein 1,extracellular region|endoplasmic reticulum lumen|focal adhesion|membrane|endoplasmic reticulum chaperone complex|extracellular exosome|,response to ischemia|response to endoplasmic reticulum stress|negative regulation of apoptotic process|cellular response to hypoxia|negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway|negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway|,ATP binding|,26,62,8240000000,29.6%
Q8R121,0.729414454,0.026416667,2.722256461,0.166833333,0.534286688,0.657873019,-0.352,-0.0735,0.2545,0.11,0.23,-0.0105,Q8R121,Serpina10,Q8R121_Serpina10,Q8R121,Serpina10,1,76,24,24,Q8R121|Q8R121-2,MOUSE,51910.6,47.7,70,70.1,363.6,363.6,,448,Protein Z-dependent protease inhibitor,extracellular space|extracellular exosome|,blood coagulation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|heparin binding|,24,76,46500000000,47.7%
Q8VCU2,0.953312195,-0.012083333,0.384647125,0.0665,0.915240622,0.110962339,-0.852,-0.6095,1.3255,0.176,-0.138,0.0255,Q8VCU2,Gpld1,Q8VCU2_Gpld1,Q8VCU2,Gpld1,1,86,26,26,Q8VCU2|O70362,MOUSE,94192.4,29,71,71.1,358.4,358.4,,842,Glycosylphosphatidylinositol specific phospholipase D1,proteinaceous extracellular matrix|extracellular space|intracellular|cytoplasm|lysosomal membrane|intracellular membrane-bounded organelle|extracellular exosome|,cell migration involved in sprouting angiogenesis|complement receptor mediated signaling pathway|GPI anchor release|negative regulation of cell proliferation|insulin receptor signaling pathway|response to glucose|positive regulation of endothelial cell migration|cellular response to insulin stimulus|cellular response to drug|positive regulation of apoptotic process|positive regulation of cytolysis|positive regulation of membrane protein ectodomain proteolysis|cellular response to calcium ion|cellular response to cholesterol|cellular response to triglyceride|cellular response to pH|regulation of cellular response to insulin stimulus|,glycosylphosphatidylinositol phospholipase D activity|phospholipase D activity|protein binding|,26,86,35800000000,29.0%
Q8BH61,0.859645788,0.967583333,1.186922027,0.283833333,0.760865334,0.318448726,1.498,1.1145,-0.1355,0.609,2.942,-0.2225,Q8BH61,F13a1,Q8BH61_F13a1,Q8BH61,F13a1,1,74,26,26,Q8BH61,MOUSE,83719.2,32.9,72,72.1,353.61,353.61,,732,Coagulation factor XIII A chain,cytoplasm|blood microparticle|,blood coagulation|peptide cross-linking|,protein-glutamine gamma-glutamyltransferase activity|metal ion binding|,26,74,15500000000,32.9%
P49182,0.298450194,-0.210416667,10.78664419,0.679166667,0.083432562,2.061235148,-0.154,-0.3785,-1.1175,0.407,-0.025,0.0055,P49182,Serpind1,P49182_Serpind1,P49182,Serpind1,1,102,24,24,P49182,MOUSE,54781,43.7,73,73.1,341.25,341.25,,478,Heparin cofactor 2,extracellular space|extracellular exosome|,blood coagulation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|heparin binding|,24,102,1.05E+11,43.7%
P14211,0.133471994,-0.45175,19.55180839,0.9405,0.011087131,3.575601962,-1.156,-0.5245,-1.0855,0.119,-0.076,0.0125,P14211,Calr,P14211_Calr,P14211,Calr,1,72,24,24,P14211,MOUSE,48164.8,52.8,74,74.1,338.1,338.1,,416,Calreticulin,acrosomal vesicle|extracellular region|extracellular space|nucleus|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|Golgi apparatus|cytosol|polysome|focal adhesion|external side of plasma membrane|membrane|extracellular matrix|sarcoplasmic reticulum lumen|MHC class I peptide loading complex|phagocytic vesicle|perinuclear region of cytoplasm|extracellular exosome|,"negative regulation of transcription from RNA polymerase II promoter|peptide antigen assembly with MHC class I protein complex|protein export from nucleus|cell cycle arrest|spermatogenesis|positive regulation of cell proliferation|positive regulation of gene expression|negative regulation of translation|cortical actin cytoskeleton organization|response to estradiol|negative regulation of intracellular steroid hormone receptor signaling pathway|response to testosterone|protein localization to nucleus|regulation of meiotic nuclear division|response to drug|negative regulation of neuron differentiation|positive regulation of DNA replication|positive regulation of cell cycle|negative regulation of transcription, DNA-templated|negative regulation of retinoic acid receptor signaling pathway|positive regulation of phagocytosis|protein stabilization|cardiac muscle cell differentiation|chaperone-mediated protein folding|cellular response to lithium ion|cellular response to organic substance|cellular senescence|positive regulation of substrate adhesion-dependent cell spreading|positive regulation of dendritic cell chemotaxis|",glycoprotein binding|mRNA binding|integrin binding|iron ion binding|calcium ion binding|protein binding|carbohydrate binding|ubiquitin protein ligase binding|peptide binding|hormone binding|poly(A) RNA binding|androgen receptor binding|unfolded protein binding|,24,72,47500000000,52.8%
Q3UER8,0.705987939,1.05525,2.94564538,-0.8175,0.507499317,-0.7042508,3.341,0.1915,0.8595,-0.035,2.668,-0.6935,Q3UER8,Fgg,Q3UER8_Fgg,Q3UER8,Fgg,1,106,24,24,Q3UER8|Q8VCM7|P12799|F1MGU7|Q3SZZ9,MOUSE,51033.2,54.4,75,75.1,336.53,336.53,,443,Fibrinogen gamma chain,fibrinogen complex|extracellular space|cell cortex|external side of plasma membrane|cell surface|platelet alpha granule|extracellular exosome|blood microparticle|,"cell-matrix adhesion|signal transduction|protein secretion|plasminogen activation|positive regulation of heterotypic cell-cell adhesion|fibrinolysis|cellular protein complex assembly|positive regulation of vasoconstriction|positive regulation of exocytosis|positive regulation of protein secretion|protein polymerization|response to calcium ion|positive regulation of ERK1 and ERK2 cascade|platelet aggregation|blood coagulation, fibrin clot formation|positive regulation of peptide hormone secretion|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|negative regulation of endothelial cell apoptotic process|","receptor binding|structural molecule activity|protein binding, bridging|cell adhesion molecule binding|",24,106,1.23E+11,54.4%
P26928,0.279286999,-0.30875,11.57399016,0.7225,0.069598677,2.19060617,-0.317,-0.3855,-1.3075,0.151,0.002,0.0045,P26928,Mst1,P26928_Mst1,P26928,Mst1,1,71,26,26,P26928|E0CXN0,MOUSE,83185.1,37.4,76,76.1,330.64,330.64,,716,Hepatocyte growth factor-like protein,extracellular exosome|,proteolysis|spermatogenesis|embryo implantation|sperm motility|,serine-type endopeptidase activity|,26,71,17900000000,37.4%
Q8BK48,0.998370587,0.094083333,0.007082223,0.000833333,0.998370587,0.002126502,-0.37,-0.2665,0.9175,0.108,0.179,-0.0035,Q8BK48,Ces2e,Q8BK48_Ces2e,Q8BK48,Ces2e,1,70,22,17,Q8BK48|F6Z9B9|Q08ED5|Q149K3,MOUSE,62716,40.6,77,77.1,328.85,258.69,,559,Pyrethroid hydrolase Ces2e,endoplasmic reticulum|,metabolic process|,carboxylic ester hydrolase activity|,22,70,18300000000,40.6%
Q91WG0,0.853173903,0.009916667,1.22811639,0.097833333,0.753682378,0.328043861,-0.474,0.0265,0.3305,0.326,-0.125,-0.0245,Q91WG0,Ces2c,Q91WG0_Ces2c,Q91WG0,Ces2c,1,15,15,8,Q91WG0|Q6PDB7,MOUSE,62753.8,29.9,77,77.2,225.65,122.3,,561,Acylcarnitine hydrolase,endoplasmic reticulum|intracellular membrane-bounded organelle|,metabolic process|,acylcarnitine hydrolase activity|,8,15,491000000,14.7%
Q8QZR3,0.524685888,-0.224916667,5.470373396,0.3055,0.283767504,1.173391086,-0.551,0.0095,-0.5915,0.004,-0.185,-0.0355,Q8QZR3,Ces2a,Q8QZR3_Ces2a,Q8QZR3,Ces2a,1,11,10,5,Q8QZR3|Q8QZR3-2,MOUSE,62395.6,17.7,77,77.3,139.71,70.99,,558,Pyrethroid hydrolase Ces2a,,,carboxylic ester hydrolase activity|,5,11,545000000,10.2%
E9PV38,0.853173903,-0.0336,1.233596138,-0.093083333,0.752732012,-0.33218843,-0.178,0.2225,,0.044,-0.179,-0.0775,E9PV38,Ces2g,E9PV38_Ces2g,E9PV38,Ces2g,1,2,8,2,E9PV38,MOUSE,63005,17.1,77,77.4,104,16.61,,560,Carboxylic ester hydrolase,,metabolic process|,hydrolase activity|,2,2,317000000,4.6%
P39039,0.44969573,-0.11175,7.18023877,0.347833333,0.191415068,1.466256969,-0.577,-0.0725,-0.2075,0.098,0.055,0.0335,P39039,Mbl1,P39039_Mbl1,P39039,Mbl1,1,107,21,21,P39039|P39039-2|A0A2C9F2B6,MOUSE,25852,64,78,78.1,326.15,326.15,,239,Mannose-binding protein A,collagen trimer|extracellular space|,"complement activation, lectin pathway|complement activation, classical pathway|negative regulation of growth of symbiont in host|positive regulation of phagocytosis|defense response to Gram-positive bacterium|protein homotetramerization|killing by host of symbiont cells|protein homotrimerization|",protease binding|calcium ion binding|mannose binding|polysaccharide binding|protein homodimerization activity|calcium-dependent protein binding|phosphatidylinositol-4-phosphate binding|,21,107,8E+11,64.0%
A2A7A7,0.754501111,0.005583333,2.449724512,-0.136833333,0.568889016,-0.601436246,0.139,0.1575,-0.0745,-0.074,-0.235,0.1205,A2A7A7,H6pd,A2A7A7_H6pd,A2A7A7,H6pd,1,59,25,25,A2A7A7|Q8CFX1,MOUSE,90478.8,31.6,79,79.1,325.26,325.26,,797,GDH/6PGL endoplasmic bifunctional protein,mitochondrion|,glucose metabolic process|pentose-phosphate shunt|oxidation-reduction process|response to alcohol|,glucose-6-phosphate dehydrogenase activity|6-phosphogluconolactonase activity|carbohydrate binding|NADP binding|,25,59,20300000000,31.6%
F8VQ07,0.339465731,-0.09225,9.702309196,0.442166667,0.107094972,1.883443855,-0.441,-0.3255,-0.1735,0.376,0.014,-0.0035,F8VQ07,5830473C10Rik,F8VQ07_5830473C10Rik,F8VQ07,5830473C10Rik,1,57,26,26,F8VQ07|A0A0J9YV75,MOUSE,72340.4,34.3,80,80.1,324.4,324.4,,620,RIKEN cDNA 5830473C10 gene,extracellular space|,transport|,,26,57,9410000000,34.3%
P00920,0.917768271,0.012416667,0.655709086,-0.0525,0.859862663,-0.184034658,-0.129,-0.2525,0.4975,0.031,-0.187,0.1145,P00920,Car2,P00920_Car2,P00920,Ca2,1,57,18,18,P00920|A0A0A6YX78|P00921,MOUSE,29146.1,57.6,81,81.1,321.76,321.76,,260,Carbonic anhydrase 2,extracellular space|cytoplasm|cytosol|plasma membrane|microvillus|basolateral plasma membrane|axon|myelin sheath|apical part of cell|extracellular exosome|,"kidney development|morphogenesis of an epithelium|one-carbon metabolic process|regulation of pH|response to pH|response to zinc ion|carbon dioxide transport|positive regulation of synaptic transmission, GABAergic|positive regulation of cellular pH reduction|angiotensin-activated signaling pathway|odontogenesis of dentin-containing tooth|response to estrogen|regulation of anion transport|positive regulation of osteoclast differentiation|positive regulation of bone resorption|secretion|regulation of intracellular pH|cellular response to fluid shear stress|positive regulation of dipeptide transmembrane transport|regulation of chloride transport|",arylesterase activity|carbonate dehydratase activity|zinc ion binding|,18,57,17800000000,57.6%
A2AS37,0.852172906,0.277416667,1.280592847,-0.1725,0.744630319,-0.340917815,-0.43,0.0965,1.4245,0.487,0.126,-0.0395,A2AS37,AI182371,A2AS37_AI182371,A2AS37,AI182371,1,76,20,20,A2AS37,MOUSE,40887.3,50.8,82,82.1,312.65,312.65,,356,Expressed sequence AI182371,extracellular region|,inflammatory response|complement activation|negative regulation of endopeptidase activity|,endopeptidase inhibitor activity|,20,76,83800000000,50.8%
Q8BHN3-2,0.762754224,-0.09475,2.352362987,0.127166667,0.581786583,0.580935529,-0.132,-0.0015,-0.3415,-0.005,-0.067,-0.0215,Q8BHN3,Ganab,Q8BHN3-2_Ganab,Q8BHN3-2,Ganab,1,58,28,28,Q8BHN3-2|Q8BHN3|Q8BHN3-3,MOUSE,109858.4,28.7,83,83.1,303.22,303.22,,944,Isoform 2 of Neutral alpha-glucosidase AB,endoplasmic reticulum|Golgi apparatus|membrane|glucosidase II complex|melanosome|extracellular exosome|,N-glycan processing|,"protein binding|glucosidase activity|carbohydrate binding|glucan 1,3-alpha-glucosidase activity|poly(A) RNA binding|",28,58,9730000000,28.7%
Q61704,0.573841572,-0.23025,4.621025044,0.6235,0.345062286,1.024027184,0.331,-0.0355,-1.9215,0.313,-0.044,-0.0245,Q61704,Itih3,Q61704_Itih3,Q61704,Itih3,1,68,22,22,Q61704,MOUSE,99698.3,25.1,84,84.1,296.38,296.38,,889,Inter-alpha-trypsin inhibitor heavy chain H3,extracellular exosome|,negative regulation of endopeptidase activity|hyaluronan metabolic process|,serine-type endopeptidase inhibitor activity|,22,68,28500000000,25.1%
Q07456,0.255097963,-0.242416667,13.21681481,0.789166667,0.047678054,2.462752729,-0.443,-0.2585,-1.2095,0.342,0.117,-0.0025,Q07456,Ambp,Q07456_Ambp,Q07456,Ambp,1,64,18,18,Q07456,MOUSE,39941.4,48.4,85,85.1,296.14,296.14,,349,Protein AMBP,extracellular space|plasma membrane|cell surface|intracellular membrane-bounded organelle|extracellular exosome|blood microparticle|,negative regulation of endopeptidase activity|protein-chromophore linkage|protein catabolic process|protein maturation|,serine-type endopeptidase inhibitor activity|IgA binding|heme binding|small molecule binding|protein homodimerization activity|,18,64,79300000000,48.4%
O70570,0.756676622,-0.151083333,2.428028761,0.1405,0.571738087,0.59688401,-0.266,0.0115,-0.4095,0.02,-0.24,-0.0225,O70570,Pigr,O70570_Pigr,O70570,Pigr,1,42,21,21,O70570,MOUSE,86309.5,30,86,86.1,293.74,293.74,,771,Polymeric immunoglobulin receptor,extracellular space|plasma membrane|integral component of membrane|receptor complex|extracellular exosome|,detection of chemical stimulus involved in sensory perception of bitter taste|retina homeostasis|immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor|epidermal growth factor receptor signaling pathway|Fc receptor signaling pathway|receptor clustering|,polymeric immunoglobulin receptor activity|,21,42,10400000000,30.0%
P23953,0.441723111,-0.187916667,7.504939569,0.438166667,0.177625798,1.52063535,-0.871,-0.1845,-0.1655,0.222,-0.133,0.0045,P23953,Ces1c,P23953_Ces1c,P23953,Ces1c,1,57,21,13,P23953|Q8VCT4|E9PYP1,MOUSE,61339.9,35.3,87,87.1,292.8,192.44,,554,Carboxylesterase 1C,extracellular space|endoplasmic reticulum lumen|,metabolic process|,"hydrolase activity, acting on ester bonds|carboxylic ester hydrolase activity|",21,57,24900000000,35.3%
D3Z5G7,0.881241581,0.053916667,0.986629208,-0.0875,0.796777532,-0.268846101,0.076,-0.4065,0.6235,0.198,-0.173,0.0055,D3Z5G7,Ces1b,D3Z5G7_Ces1b,D3Z5G7,Ces1b,1,21,17,9,D3Z5G7|Q8VCC2,MOUSE,62538.2,33.1,87,87.2,237.99,137.63,,567,Carboxylic ester hydrolase,,metabolic process|,hydrolase activity|,9,21,1390000000,21.8%
P35917,0.933745622,0.02375,0.521945747,0.036833333,0.886758633,0.148375212,0.081,-0.2915,0.2265,-0.073,0.213,-0.0135,P35917,Flt4,P35917_Flt4,P35917,Flt4,1,35,23,23,P35917,MOUSE,155124.7,17.8,88,88.1,292.48,292.48,,1363,Vascular endothelial growth factor receptor 3,nucleus|cytoplasm|plasma membrane|integral component of plasma membrane|receptor complex|,positive regulation of protein phosphorylation|positive regulation of endothelial cell proliferation|vasculature development|lymph vessel development|lymphangiogenesis|sprouting angiogenesis|positive regulation of cell proliferation|positive regulation of vascular endothelial growth factor production|positive regulation of endothelial cell migration|peptidyl-tyrosine phosphorylation|cellular response to vascular endothelial growth factor stimulus|vascular endothelial growth factor signaling pathway|negative regulation of apoptotic process|positive regulation of MAPK cascade|positive regulation of JNK cascade|protein autophosphorylation|vascular endothelial growth factor receptor signaling pathway|blood vessel morphogenesis|regulation of blood vessel remodeling|positive regulation of ERK1 and ERK2 cascade|positive regulation of protein kinase C signaling|,transmembrane receptor protein tyrosine kinase activity|vascular endothelial growth factor-activated receptor activity|protein binding|ATP binding|growth factor binding|protein phosphatase binding|,23,35,4470000000,17.8%
Q9DBB9,0.46334768,-0.21475,6.893077715,0.409833333,0.20449949,1.417901942,-0.894,-0.3415,-0.0235,-0.019,-0.049,0.0385,Q9DBB9,Cpn2,Q9DBB9_Cpn2,Q9DBB9,Cpn2,1,74,18,18,Q9DBB9,MOUSE,61333.9,43.6,89,89.1,288.7,288.7,,547,Carboxypeptidase N subunit 2,extracellular exosome|blood microparticle|,,,18,74,66500000000,43.6%
Q8CG19,0.519628152,0.42075,5.696264914,-0.447166667,0.269385061,-1.212881816,1.083,-0.0405,0.8905,0.174,0.488,-0.0705,Q8CG19,Ltbp1,Q8CG19_Ltbp1,Q8CG19,Ltbp1,1,35,20,20,Q8CG19|Q8CG19-2|Q8CG19-3|Q61810|F8VQ06|Q61810-2,MOUSE,195158.2,14.4,90,90.1,287.91,287.91,,1712,Latent-transforming growth factor beta-binding protein 1,microfibril|proteinaceous extracellular matrix|extracellular matrix|protein complex|extracellular matrix|,transforming growth factor beta receptor signaling pathway|,calcium ion binding|transforming growth factor beta binding|microfibril binding|,20,35,2720000000,14.4%
A11111,0.339465731,-0.292,9.648024033,0.667916667,0.108442019,1.936171356,-1.103,-0.2825,,0.061,-0.138,0.0025,A11111,NotFound,A11111_NotFound,A11111,,1,53,18,18,A11111|P06709,MOUSE,39099.5,57,91,91.1,287.06,287.06,,,BirAG3ER,,,,18,53,2.21E+11,57.0%
P60710,0.608254328,-0.28725,4.028947162,0.5915,0.395462478,0.914544456,0.057,0.2525,-2.0585,0.099,-0.298,0.2245,P60710,Actb,P60710_Actb,P60710,Actb,1,57,20,1,P60710|E9Q1F2|V9GXQ2,MOUSE,42078.3,51.4,92,92.1,285.76,21.03,,375,"Actin, cytoplasmic 1",nuclear chromatin|extracellular space|cytosol|plasma membrane|focal adhesion|membrane|ribonucleoprotein complex|cortical cytoskeleton|NuA4 histone acetyltransferase complex|cytoplasmic ribonucleoprotein granule|myelin sheath|protein complex|extracellular exosome|MLL5-L complex|blood microparticle|dense body|,retina homeostasis|substantia nigra development|ATP-dependent chromatin remodeling|platelet aggregation|,protein binding|ATP binding|kinesin binding|Tat protein binding|identical protein binding|nitric-oxide synthase binding|RNA polymerase II core promoter proximal region sequence-specific DNA binding|RNA polymerase II distal enhancer sequence-specific DNA binding|nucleosomal DNA binding|,20,57,21900000000,51.4%
P63260,0.500924078,0.285,5.98491872,-0.587333333,0.252062435,-1.327205152,,0.7255,,0.358,-0.254,0.3105,P63260,Actg1,P63260_Actg1,P63260,Actg1,1,2,20,1,P63260|G3UYG0|B1ATY1,MOUSE,42134.4,51.4,92,92.2,285.65,20.92,,375,"Actin, cytoplasmic 2",extracellular space|nucleus|cytosol|plasma membrane|focal adhesion|actin cytoskeleton|membrane|myofibril|filamentous actin|costamere|myelin sheath|extracellular exosome|blood microparticle|dense body|,retina homeostasis|sarcomere organization|response to calcium ion|platelet aggregation|,structural constituent of cytoskeleton|protein binding|ATP binding|ubiquitin protein ligase binding|identical protein binding|,1,2,20200000,4.5%
P68134,0.642142641,-0.06225,3.677665417,0.355,0.428778952,0.875067192,,-0.3285,,0.203,-0.27,0.1465,P68134,Acta1,P68134_Acta1,P68134,Acta1,1,2,16,1,P68134|P68033|P62737|P63268,MOUSE,42392.6,33.9,92,92.3,208.68,11.26,,377,"Actin, alpha skeletal muscle",stress fiber|extracellular space|cytoplasm|striated muscle thin filament|actin filament|actin cytoskeleton|sarcomere|lamellipodium|filopodium|protein complex|cell body|extracellular exosome|blood microparticle|,response to mechanical stimulus|response to extracellular stimulus|response to lithium ion|positive regulation of gene expression|cell growth|skeletal muscle thin filament assembly|skeletal muscle fiber adaptation|response to steroid hormone|skeletal muscle fiber development|mesenchyme migration|,protein binding|ATP binding|,1,2,714000000,4.2%
Q8BFZ3,0.662037385,0.1132,3.444982829,0.35075,0.452378251,0.812546148,-0.626,0.4315,,0.304,0.554,-0.0975,Q8BFZ3,Actbl2,Q8BFZ3_Actbl2,Q8BFZ3,Actbl2,1,1,9,1,Q8BFZ3,MOUSE,42345.8,18.8,92,92.4,101.11,4.65,,376,Beta-actin-like protein 2,extracellular space|cytoplasm|cytoskeleton|extracellular exosome|,,ATP binding|,1,1,11900000,3.7%
P41317,0.23713653,-0.55325,14.08738647,1.2495,0.039017672,2.620795981,-1.241,-0.2315,-2.0615,0.212,0.001,0.0015,P41317,Mbl2,P41317_Mbl2,P41317,Mbl2,1,91,17,17,P41317,MOUSE,26356,60.2,93,93.1,285.71,285.71,,244,Mannose-binding protein C,collagen trimer|extracellular space|,"complement activation, lectin pathway|complement activation, classical pathway|negative regulation of growth of symbiont in host|innate immune response|negative regulation of viral process|positive regulation of phagocytosis|defense response to Gram-positive bacterium|killing by host of symbiont cells|",receptor binding|calcium ion binding|mannose binding|calcium-dependent protein binding|,17,91,2.49E+11,60.2%
Q02819,0.376897582,-0.341583333,8.864333911,0.742166667,0.129887276,1.74771653,-0.443,-0.1045,-1.5905,-0.191,0.163,0.1165,Q02819,Nucb1,Q02819_Nucb1,Q02819,Nucb1,1,39,23,23,Q02819|A0A1C7CYU3,MOUSE,53407.7,48.1,94,94.1,284.14,284.14,,459,Nucleobindin-1,extracellular space|nucleus|early endosome|rough endoplasmic reticulum|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|Golgi-associated vesicle|cis-Golgi network|trans-Golgi network|microtubule cytoskeleton|membrane|Golgi cisterna membrane|extracellular exosome|extrinsic component of Golgi membrane|lumenal side of Golgi membrane|,response to cisplatin|regulation of protein targeting|,G-protein alpha-subunit binding|DNA binding|calcium ion binding|,23,39,4890000000,48.1%
P16294,0.295352914,-0.177,10.98346369,0.66375,0.079735851,2.173431437,-0.854,-0.2965,,0.255,-0.001,0.0115,P16294,F9,P16294_F9,P16294,F9,1,58,18,18,P16294,MOUSE,54289.1,43.7,95,95.1,283.53,283.53,,471,Coagulation factor IX,extracellular space|extracellular exosome|,proteolysis|blood coagulation|zymogen activation|,endopeptidase activity|serine-type endopeptidase activity|calcium ion binding|peptidase activity|,18,58,45300000000,43.7%
Q64726,0.519628152,0.029583333,5.650549573,0.429166667,0.272235679,1.204913538,-0.056,0.2845,-0.7835,0.587,0.18,-0.0345,Q64726,Azgp1,Q64726_Azgp1,Q64726,Azgp1,1,62,20,20,Q64726,MOUSE,35559.5,53.7,96,96.1,281.83,281.83,,307,Zinc-alpha-2-glycoprotein,extracellular space|nucleus|plasma membrane|MHC class I protein complex|extracellular exosome|,detection of chemical stimulus involved in sensory perception of bitter taste|retina homeostasis|antigen processing and presentation of peptide antigen via MHC class I|immune response|cell adhesion|regulation of multicellular organism growth|,glycoprotein binding|peptide antigen binding|,20,62,32000000000,53.7%
P29699,0.339465731,-0.20225,9.769483165,0.558833333,0.105451238,1.894459783,-0.989,-0.1885,-0.2675,0.23,0.003,-0.0015,P29699,Ahsg,P29699_Ahsg,P29699,Ahsg,1,81,17,17,P29699,MOUSE,38123.7,62,97,97.1,277.39,277.39,,345,Alpha-2-HS-glycoprotein,extracellular space|extracellular exosome|blood microparticle|,ossification|acute-phase response|negative regulation of endopeptidase activity|negative regulation of bone mineralization|regulation of inflammatory response|positive regulation of phagocytosis|,cysteine-type endopeptidase inhibitor activity|,17,81,2.69E+11,62.0%
P97298,0.246733887,-0.27525,13.62952847,0.726166667,0.043355795,2.531812178,-0.586,-0.2485,-1.0805,0.228,0.032,0.0035,P97298,Serpinf1,P97298_Serpinf1,P97298,Serpinf1,1,61,17,17,P97298|E9PWS2,MOUSE,46290.3,48.2,98,98.1,276.78,276.78,,417,Pigment epithelium-derived factor,extracellular region|basement membrane|extracellular space|melanosome|axon hillock|perinuclear region of cytoplasm|extracellular exosome|extracellular matrix|,kidney development|aging|short-term memory|response to acidic pH|negative regulation of endothelial cell migration|negative regulation of gene expression|negative regulation of endopeptidase activity|positive regulation of neuron projection development|negative regulation of angiogenesis|ovulation cycle|response to arsenic-containing substance|negative regulation of inflammatory response|positive regulation of neurogenesis|retina development in camera-type eye|negative regulation of epithelial cell proliferation involved in prostate gland development|cellular response to cobalt ion|cellular response to retinoic acid|cellular response to glucose stimulus|cellular response to dexamethasone stimulus|negative regulation of neuron death|,serine-type endopeptidase inhibitor activity|,17,61,17600000000,48.2%
P70375,0.339465731,-0.21425,9.697377483,0.5295,0.107216654,1.88263504,-0.927,-0.4095,-0.1005,0.061,0.075,0.0155,P70375,F7,P70375_F7,P70375,F7,1,64,20,20,P70375,MOUSE,51701.8,40.3,99,99.1,273.76,273.76,,446,Coagulation factor VII,extracellular region|extracellular space|vesicle|,positive regulation of leukocyte chemotaxis|proteolysis|blood coagulation|circadian rhythm|positive regulation of platelet-derived growth factor receptor signaling pathway|positive regulation of blood coagulation|organ regeneration|response to vitamin K|response to estrogen|positive regulation of positive chemotaxis|positive regulation of protein kinase B signaling|response to growth hormone|,glycoprotein binding|serine-type endopeptidase activity|receptor binding|calcium ion binding|,20,64,51100000000,40.3%
Q06194,0.363785285,-0.333583333,9.167824502,0.636166667,0.121120471,1.795716248,-0.305,-0.2885,-1.3615,-0.132,0.096,-0.0105,Q06194,F8,Q06194_F8,Q06194,F8,1,36,21,21,Q06194|B2RRC9,MOUSE,267560.2,8.3,100,100.1,270.95,270.95,,2319,Coagulation factor VIII,extracellular space|,acute-phase response|platelet activation|oxidation-reduction process|,copper ion binding|oxidoreductase activity|,21,36,2610000000,8.3%
