id,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Liver_Searched..126.126.127.128.129.130.131..No_BirA_4.multimedian,Liver_Searched..127.126.127.128.129.130.131..No_BirA_5.multimedian,Liver_Searched..129.126.127.128.129.130.131..No_BirA_6.multimedian,Liver_Searched..128.126.127.128.129.130.131..XBirA_2.multimedian,Liver_Searched..130.126.127.128.129.130.131..XBirA_3.multimedian,Liver_Searched..131.126.127.128.129.130.131..XBirA_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Liver_Searched.unique_peptides,Liver_Searched.numSpectra,Liver_Searched.totalIntensity,Liver_Searched.pct_cov
O35423-2,0.820260214,-0.083833333,2.788439325,0.149666667,0.526206329,0.668872062,0.066,0.152,-0.694,0.056,-0.028,-0.055,O35423,Agxt,O35423-2_Agxt,O35423-2,Agxt,1,140,28,28,O35423-2|O35423,MOUSE,43918.9,59.9,287,287.1,403.23,403.23,,414,"Isoform Peroxisomal of Serine--pyruvate aminotransferase, mitochondrial",mitochondrion|mitochondrial matrix|peroxisome|peroxisomal matrix|,"Notch signaling pathway|glyoxylate catabolic process|glycine biosynthetic process, by transamination of glyoxylate|L-cysteine catabolic process|L-alanine catabolic process|pyruvate biosynthetic process|glyoxylate metabolic process|oxalic acid secretion|response to glucocorticoid|response to cAMP|",serine-pyruvate transaminase activity|receptor binding|alanine-glyoxylate transaminase activity|transaminase activity|amino acid binding|pyridoxal phosphate binding|protein homodimerization activity|,28,140,2.54E+11,59.9%
O54749,0.374561053,-0.0045,10.92931985,-0.165,0.080736146,-2.055241536,0.103,0.047,0.084,-0.033,-0.104,-0.124,O54749,Cyp2j5,O54749_Cyp2j5,O54749,Cyp2j5,1,106,30,30,O54749|O54750|Q924D1|A0A140T8U1|Q3UNV2|Q3UNV4|G3UXT0|G3UZ38,MOUSE,58068.2,57.6,288,288.1,401.44,401.44,,501,Cytochrome P450 2J5,cytoplasm|endoplasmic reticulum membrane|intracellular membrane-bounded organelle|,regulation of systemic arterial blood pressure by hormone|angiotensin mediated vasoconstriction involved in regulation of systemic arterial blood pressure|xenobiotic metabolic process|arachidonic acid metabolic process|exogenous drug catabolic process|oxidation-reduction process|renal tubular secretion|positive regulation of estrogen secretion|,"iron ion binding|arachidonic acid epoxygenase activity|steroid hydroxylase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen|oxygen binding|heme binding|aromatase activity|",30,106,1.14E+11,57.6%
P29341,0.532602769,-0.011,7.550050806,0.327333333,0.175790305,1.515737012,-0.378,-0.41,0.264,0.011,0.015,0.432,P29341,Pabpc1,P29341_Pabpc1,P29341,Pabpc1,1,78,31,21,P29341|Q9D4E6|Q62029|A2A5N3|Q8C7D3,MOUSE,70897.8,45.5,289,289.1,400.81,244.42,,636,Polyadenylate-binding protein 1,nucleus|cytoplasm|focal adhesion|cytoplasmic stress granule|membrane|ribonucleoprotein complex|cytoplasmic ribonucleoprotein granule|extracellular exosome|catalytic step 2 spliceosome|,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay|mRNA processing|RNA splicing|gene silencing by RNA|positive regulation of nuclear-transcribed mRNA poly(A) tail shortening|positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay|negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay|",nucleotide binding|mRNA binding|protein binding|protein C-terminus binding|poly(A) binding|poly(U) RNA binding|poly(A) RNA binding|,32,78,25600000000,45.5%
Q6PHQ9,0.919416995,-0.002,1.237264564,0.03,0.752096458,0.329148953,-0.108,0.084,-0.027,0.031,-0.05,0.058,Q6PHQ9,Pabpc4,Q6PHQ9_Pabpc4,Q6PHQ9,Pabpc4,1,8,16,5,Q6PHQ9|A3KFU8|A3KFU5|Q91YZ8|D3Z5M2|V9GXG3,MOUSE,72583.5,26.6,289,289.2,227.33,66.11,,660,Polyadenylate-binding protein,nucleus|cytoplasm|cytoplasmic stress granule|ribonucleoprotein complex|,,nucleotide binding|poly(A) binding|poly(U) RNA binding|poly(A) RNA binding|poly(C) RNA binding|,5,8,1910000000,9.6%
Q8VBT2,0.50362478,-0.029666667,8.150802754,-0.181333333,0.153080448,-1.612525781,0.113,0.097,-0.027,-0.054,0.005,-0.312,Q8VBT2,Sds,Q8VBT2_Sds,Q8VBT2,Sds,1,161,24,24,Q8VBT2,MOUSE,34992,90.5,290,290.1,400.35,400.35,,327,L-serine dehydratase/L-threonine deaminase,cytoplasm|mitochondrion|,gluconeogenesis|L-serine catabolic process|threonine catabolic process|pyruvate biosynthetic process|,L-serine ammonia-lyase activity|L-threonine ammonia-lyase activity|pyridoxal phosphate binding|protein homodimerization activity|,24,161,2.66E+11,90.5%
A0A087WSP5,0.586445778,0.040166667,6.556909942,-0.277666667,0.220957631,-1.351296288,0.128,-0.177,0.586,0.021,-0.31,-0.007,A0A087WSP5,Stat1,A0A087WSP5_Stat1,A0A087WSP5,Stat1,1,90,27,27,A0A087WSP5|Q8C3V4|P42225|Q99K94,MOUSE,88658.5,43.3,291,291.1,399.77,399.77,,755,Signal transducer and activator of transcription,nuclear chromatin|nucleus|nucleoplasm|nucleolus|cytoplasm|perinuclear region of cytoplasm|,"negative regulation of endothelial cell proliferation|transcription, DNA-templated|JAK-STAT cascade|response to bacterium|negative regulation of angiogenesis|cytokine-mediated signaling pathway|lipopolysaccharide-mediated signaling pathway|response to lipopolysaccharide|tumor necrosis factor-mediated signaling pathway|negative regulation of macrophage fusion|cellular response to interferon-beta|negative regulation of I-kappaB kinase/NF-kappaB signaling|response to exogenous dsRNA|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|negative regulation by virus of viral protein levels in host cell|interferon-gamma-mediated signaling pathway|renal tubule development|cellular response to lipopolysaccharide|",RNA polymerase II core promoter proximal region sequence-specific DNA binding|RNA polymerase II core promoter sequence-specific DNA binding|RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity|double-stranded DNA binding|sequence-specific DNA binding transcription factor activity|signal transducer activity|tumor necrosis factor receptor binding|enzyme binding|identical protein binding|protein homodimerization activity|,27,90,32000000000,43.3%
Q9EQH2,0.042592507,-0.020166667,24.47519094,0.349,0.003568461,4.386368445,-0.178,-0.177,-0.229,0.133,0.201,0.129,Q9EQH2,Erap1,Q9EQH2_Erap1,Q9EQH2,Erap1,1,84,32,32,Q9EQH2,MOUSE,107167.8,35.6,292,292.1,399.21,399.21,,930,Endoplasmic reticulum aminopeptidase 1,extracellular region|extracellular space|cytoplasm|endoplasmic reticulum lumen|endoplasmic reticulum membrane|membrane|integral component of membrane|extracellular exosome|,immune system process|proteolysis|membrane protein ectodomain proteolysis|positive regulation of angiogenesis|,aminopeptidase activity|interleukin-6 receptor binding|tumor necrosis factor receptor binding|peptidase activity|metalloexopeptidase activity|zinc ion binding|,32,84,64100000000,35.6%
Q8BIJ6,0.919577834,-0.049333333,1.20335046,0.055333333,0.757992579,0.321156439,0.15,0.064,-0.445,0.1,-0.016,-0.149,Q8BIJ6,Iars2,Q8BIJ6_Iars2,Q8BIJ6,Iars2,1,89,29,29,Q8BIJ6|E9PWN2|E9PWN3,MOUSE,113943.3,35.3,293,293.1,396.41,396.41,,1012,"Isoleucine--tRNA ligase, mitochondrial",cytoplasm|mitochondrion|mitochondrial matrix|cytosol|,isoleucyl-tRNA aminoacylation|regulation of translational fidelity|mitochondrial translation|,aminoacyl-tRNA editing activity|isoleucine-tRNA ligase activity|ATP binding|,29,89,31100000000,35.3%
Q9EQF5,0.275720668,-0.039833333,13.48667936,0.259666667,0.044805576,2.463787231,-0.004,-0.217,-0.288,0.055,0.046,0.169,Q9EQF5,Dpys,Q9EQF5_Dpys,Q9EQF5,Dpys,1,76,26,26,Q9EQF5,MOUSE,57237.3,57.4,294,294.1,395.97,395.97,,519,Dihydropyrimidinase,cytosol|extracellular exosome|,pyrimidine nucleobase catabolic process|thymine catabolic process|uracil catabolic process|beta-alanine metabolic process|protein homooligomerization|protein homotetramerization|,uracil binding|thymine binding|dihydropyrimidinase activity|zinc ion binding|amino acid binding|phosphoprotein binding|,26,76,45600000000,57.4%
Q7TPV4,0.994928853,-0.014333333,0.094109467,0.002666667,0.978563591,0.027888847,0.055,0.047,-0.149,0.051,-0.06,-0.03,Q7TPV4,Mybbp1a,Q7TPV4_Mybbp1a,Q7TPV4,Mybbp1a,1,57,32,32,Q7TPV4,MOUSE,152947.1,29.6,295,295.1,394.54,394.54,,1344,Myb-binding protein 1A,nucleus|nucleolus|cytoplasm|membrane|NLS-dependent protein nuclear import complex|intracellular membrane-bounded organelle|,"osteoblast differentiation|transcription, DNA-templated|nucleocytoplasmic transport|respiratory electron transport chain|circadian regulation of gene expression|cellular response to glucose starvation|negative regulation of transcription, DNA-templated|positive regulation of cell cycle arrest|DNA biosynthetic process|intrinsic apoptotic signaling pathway by p53 class mediator|positive regulation of anoikis|",core promoter binding|transcription corepressor activity|DNA-directed DNA polymerase activity|protein binding|transcription factor binding|zinc ion binding|sequence-specific DNA binding|poly(A) RNA binding|,32,57,4970000000,29.6%
A0A0J9YUI8,0.924368294,-0.078833333,1.119002785,0.058333333,0.772858026,0.300711908,0.125,0.08,-0.529,0.038,0.045,-0.232,A0A0J9YUI8,Gckr,A0A0J9YUI8_Gckr,A0A0J9YUI8,Gckr,1,83,25,25,A0A0J9YUI8|Q91X44,MOUSE,69176.4,48.3,296,296.1,392.31,392.31,,623,Glucokinase regulatory protein,,,,25,83,49000000000,48.3%
Q91VR2,0.581377911,0.012666667,6.694234601,-0.202666667,0.214080219,-1.374256842,0.22,0.308,-0.186,-0.087,0.011,-0.19,Q91VR2,Atp5c1,Q91VR2_Atp5c1,Q91VR2,Atp5c1,1,181,25,2,Q91VR2|Q8C2Q8,MOUSE,32999.4,62.4,297,297.1,391.65,31.67,,298,"ATP synthase subunit gamma, mitochondrial","mitochondrion|mitochondrial inner membrane|mitochondrial proton-transporting ATP synthase complex|membrane|myelin sheath|proton-transporting ATP synthase complex, catalytic core F(1)|extracellular exosome|",ATP synthesis coupled proton transport|,"poly(A) RNA binding|proton-transporting ATP synthase activity, rotational mechanism|proton-transporting ATPase activity, rotational mechanism|ATPase activity|",25,181,5.78E+11,62.4%
A2AKU9,0.935669179,-0.073833333,0.928381051,0.068333333,0.807536005,0.25355102,0.266,0.141,-0.731,0.107,0.032,-0.258,A2AKU9,Atp5c1,A2AKU9_Atp5c1,A2AKU9,Atp5c1,1,3,24,2,A2AKU9,MOUSE,32884.3,62.2,297,297.2,367.91,20.7,,297,ATP synthase subunit gamma,"mitochondrion|mitochondrial inner membrane|mitochondrial proton-transporting ATP synthase complex|membrane|proton-transporting ATP synthase complex, catalytic core F(1)|extracellular exosome|",ATP synthesis coupled proton transport|,"poly(A) RNA binding|proton-transporting ATP synthase activity, rotational mechanism|proton-transporting ATPase activity, rotational mechanism|ATPase activity|",2,3,8880000000,11.1%
O08795-2,4.99445E-05,-0.670333333,69.17615451,3.134,1.20888E-07,23.65416487,-2.043,-2.172,-2.497,0.848,0.874,0.968,O08795,Prkcsh,O08795-2_Prkcsh,O08795-2,Prkcsh,1,143,25,25,O08795-2|O08795,MOUSE,60528.5,41.6,298,298.1,391.14,391.14,,521,Isoform 2 of Glucosidase 2 subunit beta,endoplasmic reticulum|,in utero embryonic development|liver development|N-glycan processing|nitrogen compound metabolic process|negative regulation of neuron projection development|protein heterooligomerization|renal system development|,RNA binding|protein kinase C binding|calcium ion binding|protein binding|ion channel binding|phosphoprotein binding|,25,143,3.41E+11,41.6%
Q7TNG8,0.372990895,-0.033833333,10.96456156,-0.203,0.080083647,-2.060865672,0.071,0.062,0.07,0.025,-0.203,-0.228,Q7TNG8,Ldhd,Q7TNG8_Ldhd,Q7TNG8,Ldhd,1,125,23,23,Q7TNG8,MOUSE,52531.6,62.3,299,299.1,390.85,390.85,,484,"Probable D-lactate dehydrogenase, mitochondrial",mitochondrion|mitochondrial inner membrane|,ATP biosynthetic process|oxidation-reduction process|,D-lactate dehydrogenase (cytochrome) activity|protein binding|D-lactate dehydrogenase activity|UDP-N-acetylmuramate dehydrogenase activity|flavin adenine dinucleotide binding|,23,125,1.07E+11,62.3%
P12382,0.972248418,-0.013666667,0.399574014,-0.012666667,0.9121003,-0.114642419,0.141,0.022,-0.185,0.033,0.006,-0.099,P12382,Pfkl,P12382_Pfkl,P12382,Pfkl,1,85,27,22,P12382,MOUSE,86157.1,42.6,300,300.1,390.76,316.45,,780,"ATP-dependent 6-phosphofructokinase, liver type",cytosol|6-phosphofructokinase complex|membrane|extracellular exosome|,"fructose 6-phosphate metabolic process|glycolytic process|response to glucose|fructose 1,6-bisphosphate metabolic process|negative regulation of insulin secretion|carbohydrate phosphorylation|protein oligomerization|protein homotetramerization|",6-phosphofructokinase activity|ATP binding|kinase binding|identical protein binding|metal ion binding|fructose binding|fructose-6-phosphate binding|6-phosphofructokinase activity|,27,85,31500000000,42.6%
P47857-3,0.797504707,-0.042833333,3.121173297,0.104333333,0.487396796,0.735276947,0.087,-0.007,-0.365,0.131,0.008,-0.111,P47857,Pfkm,P47857-3_Pfkm,P47857-3,Pfkm,1,43,24,19,P47857-3|P47857-2|P47857,MOUSE,103523.5,35.7,300,300.2,327.47,264.67,,780,"Isoform 3 of ATP-dependent 6-phosphofructokinase, muscle type",cytosol|6-phosphofructokinase complex|apical plasma membrane|extracellular exosome|sperm principal piece|,fructose 6-phosphate metabolic process|glycolytic process|positive regulation of insulin secretion|glucose homeostasis|muscle cell cellular homeostasis|carbohydrate phosphorylation|protein oligomerization|glycolytic process through fructose-6-phosphate|,6-phosphofructokinase activity|protein binding|ATP binding|protein C-terminus binding|phosphofructokinase activity|kinase binding|identical protein binding|protein homodimerization activity|metal ion binding|fructose binding|,19,43,3950000000,31.0%
Q8C605,0.463450011,0.028833333,9.017358916,-0.198333333,0.125390348,-1.752221003,0.084,0.008,0.292,-0.027,-0.202,0.018,Q8C605,Pfkp,Q8C605_Pfkp,Q8C605,Pfkp,1,4,8,4,Q8C605|Q9WUA3|Q9WUA3-2,MOUSE,86686.7,12.3,300,300.3,100.8,45.48,,784,ATP-dependent 6-phosphofructokinase,nucleus|cytosol|6-phosphofructokinase complex|membrane|extracellular exosome|,fructose 6-phosphate metabolic process|glycolytic process|carbohydrate phosphorylation|activation of mitophagy in response to mitochondrial depolarization|,6-phosphofructokinase activity|ATP binding|protein complex binding|metal ion binding|,4,4,62500000,6.8%
Q9D8W5,0.919416995,-0.009333333,1.23173272,-0.038666667,0.753055055,-0.327953838,0.183,0.016,-0.169,0.061,-0.014,-0.133,Q9D8W5,Psmd12,Q9D8W5_Psmd12,Q9D8W5,Psmd12,1,81,31,31,Q9D8W5|B1AT36|Q3TRH2,MOUSE,53293.7,62.9,301,301.1,390.53,390.53,,456,26S proteasome non-ATPase regulatory subunit 12,proteasome complex|proteasome regulatory particle|membrane|proteasome accessory complex|extracellular exosome|,,,31,81,30300000000,62.9%
Q3TQC7,0.011175942,-0.202166667,31.63087571,1.664333333,0.00068693,5.973777966,-0.702,-0.738,-1.663,0.533,0.909,0.448,Q3TQC7,Entpd5,Q3TQC7_Entpd5,Q3TQC7,Entpd5,1,120,25,25,Q3TQC7|Q9WUZ9,MOUSE,50293.2,63.7,302,302.1,389.11,389.11,,452,Ectonucleoside triphosphate diphosphohydrolase 5,extracellular exosome|,metabolic process|,hydrolase activity|,25,120,1.34E+11,63.7%
Q99LC3,0.593471457,0.013,6.437769763,-0.209333333,0.22710308,-1.331309615,0.08,0.403,-0.13,-0.215,0.074,-0.134,Q99LC3,Ndufa10,Q99LC3_Ndufa10,Q99LC3,Ndufa10,1,104,24,24,Q99LC3,MOUSE,40887.9,67.8,303,303.1,388.15,388.15,,355,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",mitochondrion|mitochondrial respiratory chain complex I|mitochondrial matrix|myelin sheath|,"mitochondrial electron transport, NADH to ubiquinone|nucleotide biosynthetic process|response to drug|",ATP binding|NADH dehydrogenase (ubiquinone) activity|nucleoside kinase activity|,24,104,73200000000,67.8%
Q6GT24,0.126018988,-0.127666667,18.58093769,0.502666667,0.013864564,3.319115848,-0.046,-0.556,-0.535,0.074,0.166,0.131,Q6GT24,Prdx6,Q6GT24_Prdx6,Q6GT24,Prdx6,1,91,24,24,Q6GT24|D3Z0Y2|O08709|Q8BG37,MOUSE,24940.3,75,304,304.1,386.79,386.79,,224,Peroxiredoxin-6,extracellular space|cytoplasm|mitochondrion|cytosol|membrane|extracellular exosome|,response to reactive oxygen species|response to oxidative stress|phospholipid catabolic process|bleb assembly|oxidation-reduction process|,peroxidase activity|phospholipase A2 activity|ubiquitin protein ligase binding|peroxiredoxin activity|,24,91,67000000000,75.0%
P27612,0.875832617,-0.029333333,2.003969248,0.060666667,0.630380942,0.50432455,0.082,0.031,-0.292,0.056,-0.025,-0.028,P27612,Plaa,P27612_Plaa,P27612,Plaa,1,84,29,29,P27612,MOUSE,88645.9,43.9,305,305.1,385.99,385.99,,794,Phospholipase A-2-activating protein,extracellular exosome|,inflammatory response|positive regulation of catalytic activity|,protein binding|phospholipase A2 activator activity|,29,84,17200000000,43.9%
Q91WN4,0.777827379,-0.037666667,3.422432741,-0.146,0.454733266,-0.793960176,0.17,0.258,-0.322,0.079,-0.084,-0.327,Q91WN4,Kmo,Q91WN4_Kmo,Q91WN4,Kmo,1,117,26,26,Q91WN4|Q91WN4-2|Q3V0K6,MOUSE,55101.1,62,306,306.1,383.79,383.79,,479,Kynurenine 3-monooxygenase,mitochondrion|mitochondrial outer membrane|mitochondrial inner membrane|integral component of membrane|extracellular exosome|,response to salt stress|tryptophan catabolic process to kynurenine|NAD metabolic process|quinolinate biosynthetic process|'de novo' NAD biosynthetic process from tryptophan|anthranilate metabolic process|secondary metabolite biosynthetic process|oxidation-reduction process|kynurenine metabolic process|,kynurenine 3-monooxygenase activity|NAD(P)H oxidase activity|flavin adenine dinucleotide binding|,26,117,62000000000,62.0%
F8VPN4,0.397447791,0.043666667,10.47820189,0.31,0.089573555,1.987457115,-0.219,0.055,-0.17,0.266,0.425,-0.095,F8VPN4,Agl,F8VPN4_Agl,F8VPN4,Agl,1,62,34,34,F8VPN4|A0A0G2JGI9|E0CYU6,MOUSE,176737.4,27.8,307,307.1,383.65,383.65,,1532,"Amylo-1,6-glucosidase, 4-alpha-glucanotransferase",nucleus|nucleoplasm|cytoplasm|inclusion body|sarcoplasmic reticulum|,glycogen metabolic process|glycogen biosynthetic process|glycogen catabolic process|response to nutrient|response to glucocorticoid|,"glycogen debranching enzyme activity|4-alpha-glucanotransferase activity|amylo-alpha-1,6-glucosidase activity|protein binding|polysaccharide binding|polyubiquitin binding|",34,62,16400000000,27.8%
Q9CW42,0.961523652,-0.032,0.570168633,-0.029333333,0.876966769,-0.160906667,0.078,0.283,-0.413,0.019,-0.006,-0.153,Q9CW42,Marc1,Q9CW42_Marc1,Q9CW42,Marc1,1,146,22,22,Q9CW42|D3YZZ3|A0A087WPC2,MOUSE,38548.7,68.2,308,308.1,383.03,383.03,,340,Mitochondrial amidoxime-reducing component 1,mitochondrion|mitochondrial outer membrane|mitochondrial inner membrane|integral component of membrane|,nitrate metabolic process|oxidation-reduction process|,nitrate reductase activity|molybdenum ion binding|pyridoxal phosphate binding|molybdopterin cofactor binding|,22,146,2.91E+11,68.2%
Q91YH5,0.942257231,-0.035666667,0.834917495,-0.033333333,0.82510316,-0.229910622,0.188,0.062,-0.307,0.012,-0.003,-0.166,Q91YH5,Atl3,Q91YH5_Atl3,Q91YH5,Atl3,1,108,25,22,Q91YH5|E9PYT3|Q91YH5-2,MOUSE,61030.4,49.3,309,309.1,382.76,345.69,,541,Atlastin-3,endoplasmic reticulum|endoplasmic reticulum membrane|membrane|integral component of membrane|,endoplasmic reticulum organization|Golgi organization|metabolic process|protein homooligomerization|,GTPase activity|GTP binding|identical protein binding|,25,108,69100000000,49.3%
Q6PA06,0.911411213,-0.061833333,1.425880974,0.081,0.720131656,0.373947412,0.208,0.067,-0.582,0.165,-0.084,-0.145,Q6PA06,Atl2,Q6PA06_Atl2,Q6PA06,Atl2,1,71,20,18,Q6PA06|E9QND8|Q6PA06-2|Q8BH66,MOUSE,66850.5,33.6,309,309.2,275.69,252.32,,583,Atlastin-2,endoplasmic reticulum|endoplasmic reticulum membrane|membrane|integral component of membrane|,endoplasmic reticulum organization|Golgi organization|metabolic process|protein homooligomerization|,GTPase activity|protein binding|GTP binding|identical protein binding|,18,71,40100000000,31.7%
Q91Y97,0.599637454,0.039333333,6.359403384,0.192666667,0.231238243,1.318127923,-0.011,-0.056,-0.104,-0.094,0.44,0.061,Q91Y97,Aldob,Q91Y97_Aldob,Q91Y97,Aldob,1,100,26,26,Q91Y97,MOUSE,39962.7,75.2,310,310.1,381.86,381.86,,364,Fructose-bisphosphate aldolase B,nucleus|lysosome|microtubule organizing center|cytosol|plasma membrane|rough endoplasmic reticulum membrane|smooth endoplasmic reticulum membrane|centriolar satellite|perinuclear region of cytoplasm|extracellular exosome|,"liver development|fructose metabolic process|glycolytic process|NADH oxidation|response to fructose|response to zinc ion|fructose 1,6-bisphosphate metabolic process|cellular response to extracellular stimulus|positive regulation of ATPase activity|cellular response to insulin stimulus|response to drug|response to starvation|response to amino acid|response to copper ion|response to glucocorticoid|response to cAMP|vacuolar proton-transporting V-type ATPase complex assembly|response to interleukin-6|",fructose-bisphosphate aldolase activity|cytoskeletal protein binding|phosphatidylcholine binding|identical protein binding|ATPase binding|fructose-1-phosphate aldolase activity|fructose binding|,26,100,56200000000,75.2%
Q9DBG7,0.924329621,-0.011,1.120760646,0.027333333,0.772545266,0.300998244,0.006,0.028,-0.108,0.095,-0.064,-0.023,Q9DBG7,Srpr,Q9DBG7_Srpr,Q9DBG7,Srpra,1,87,27,27,Q9DBG7|F6VF36,MOUSE,70078,44.3,311,311.1,381.47,381.47,,636,Signal recognition particle receptor subunit alpha,signal recognition particle receptor complex|membrane|extracellular exosome|,SRP-dependent cotranslational protein targeting to membrane|metabolic process|,GTPase activity|signal recognition particle binding|GTP binding|poly(A) RNA binding|,27,87,39400000000,44.3%
Q3TNA1,0.759841,0.0025,3.713679447,-0.070333333,0.425237989,-0.84889914,0.047,0.101,-0.035,-0.041,-0.007,-0.05,Q3TNA1,Xylb,Q3TNA1_Xylb,Q3TNA1,Xylb,1,111,24,24,Q3TNA1|A0A1L1SUA8,MOUSE,60341.5,54.9,312,312.1,381.36,381.36,,551,Xylulose kinase,cytoplasm|extracellular exosome|,xylulose metabolic process|D-xylose metabolic process|carbohydrate phosphorylation|,xylulokinase activity|ATP binding|,24,111,70300000000,54.9%
Q99LC9,0.915850537,-0.0105,1.310002627,0.038333333,0.739604828,0.346538365,0.117,-0.019,-0.187,0.115,-0.068,-0.021,Q99LC9,Pex6,Q99LC9_Pex6,Q99LC9,Pex6,1,55,27,27,Q99LC9,MOUSE,105744.8,40.2,313,313.1,381.23,381.23,,981,Peroxisome assembly factor 2,cytoplasm|peroxisome|peroxisomal membrane|cytosol|,"protein targeting to peroxisome|peroxisome organization|metabolic process|protein import into peroxisome matrix, translocation|protein stabilization|","protein binding|ATP binding|protein C-terminus binding|ATPase activity|protein complex binding|ATPase activity, coupled|",27,55,16600000000,40.2%
P09411,0.967029453,-0.023333333,0.442437658,0.018666667,0.903142405,0.126434094,-0.217,0.068,0.051,-0.254,0.211,0.001,P09411,Pgk1,P09411_Pgk1,P09411,Pgk1,1,84,28,28,P09411|S4R2M7|P09041,MOUSE,44949.1,73.3,314,314.1,380.57,380.57,,417,Phosphoglycerate kinase 1,cytoplasm|,glycolytic process|phosphorylation|,phosphoglycerate kinase activity|ATP binding|,28,84,60000000000,73.3%
Q8BK64,0.842315612,-0.012833333,2.47943071,-0.093,0.565011034,-0.605512272,0.244,0.145,-0.288,0.038,-0.147,-0.069,Q8BK64,Ahsa1,Q8BK64_Ahsa1,Q8BK64,Ahsa1,1,90,26,26,Q8BK64,MOUSE,38344.6,78.9,315,315.1,379.9,379.9,,338,Activator of 90 kDa heat shock protein ATPase homolog 1,cytoplasm|endoplasmic reticulum|cytosol|extracellular exosome|,protein folding|response to stress|positive regulation of ATPase activity|,ATPase activator activity|chaperone binding|,26,90,75200000000,78.9%
P52792-2,0.951421295,-0.139666667,0.745423461,0.052,0.84228226,0.206933598,0.037,0.156,-0.69,-0.004,0.089,-0.426,P52792,Gck,P52792-2_Gck,P52792-2,Gck,1,86,24,24,P52792-2|P52792,MOUSE,52570,50.7,316,316.1,378.23,378.23,,465,Isoform 2 of Glucokinase,nucleus|mitochondrion|cytosol|,cellular glucose homeostasis|glucose metabolic process|glycolytic process|NADP metabolic process|endocrine pancreas development|positive regulation of insulin secretion|glucose homeostasis|regulation of potassium ion transport|negative regulation of gluconeogenesis|positive regulation of glycogen biosynthetic process|carbohydrate phosphorylation|regulation of insulin secretion|glucose 6-phosphate metabolic process|detection of glucose|calcium ion import|,glucokinase activity|hexokinase activity|protein binding|ATP binding|glucose binding|fructokinase activity|mannokinase activity|,24,86,45900000000,50.7%
Q99L04,0.742168174,-0.003166667,3.935117656,-0.111,0.404099427,-0.891100685,0.02,0.253,-0.116,-0.193,0.024,-0.007,Q99L04,Dhrs1,Q99L04_Dhrs1,Q99L04,Dhrs1,1,142,23,23,Q99L04,MOUSE,34518.1,71.8,317,317.1,376.61,376.61,,313,Dehydrogenase/reductase SDR family member 1,mitochondrion|mitochondrial inner membrane|endoplasmic reticulum|,oxidation-reduction process|,oxidoreductase activity|,23,142,2.25E+11,71.8%
Q9R0P5,0.634404848,0.002166667,5.730524639,-0.095,0.267268352,-1.209951646,0.082,0.055,0.012,-0.025,-0.044,-0.067,Q9R0P5,Dstn,Q9R0P5_Dstn,Q9R0P5,Dstn,1,136,26,24,Q9R0P5,MOUSE,18863.6,95.1,318,318.1,376.24,350.47,,165,Destrin,cytoplasm|cortical actin cytoskeleton|extracellular exosome|,actin filament depolymerization|positive regulation of actin filament depolymerization|actin filament severing|,actin binding|,26,136,2.25E+11,95.1%
P18760,0.546002425,-0.006333333,7.360324103,-0.143333333,0.183640129,-1.482602141,0.148,0.06,-0.012,0.03,-0.082,-0.182,P18760,Cfl1,P18760_Cfl1,P18760,Cfl1,1,95,20,16,P18760|F8WGL3,MOUSE,18787.4,86.1,318,318.2,325.32,268.61,,166,Cofilin-1,extracellular region|extracellular space|cytoplasm|cytosol|cell-cell junction|focal adhesion|membrane|nuclear matrix|cortical actin cytoskeleton|lamellipodium membrane|vesicle|ruffle membrane|extracellular exosome|,mitotic cytokinesis|neural crest cell migration|neural fold formation|protein phosphorylation|cytoskeleton organization|actin filament organization|regulation of cell morphogenesis|establishment of cell polarity|cell projection organization|actin filament depolymerization|positive regulation of actin filament depolymerization|response to amino acid|negative regulation of cell size|regulation of dendritic spine morphogenesis|,actin binding|,16,95,2E+11,72.8%
