Liver_Searched, 126:127, No_BirA_4:No_BirA_5	Liver_Searched, 126:128, No_BirA_4:XBirA_2	Liver_Searched, 126:129, No_BirA_4:No_BirA_6	Liver_Searched, 126:130, No_BirA_4:XBirA_3	Liver_Searched, 126:131, No_BirA_4:XBirA_1	Liver_Searched, 127:126, No_BirA_5:No_BirA_4	Liver_Searched, 127:128, No_BirA_5:XBirA_2	Liver_Searched, 127:129, No_BirA_5:No_BirA_6	Liver_Searched, 127:130, No_BirA_5:XBirA_3	Liver_Searched, 127:131, No_BirA_5:XBirA_1	Liver_Searched, 128:126, XBirA_2:No_BirA_4	Liver_Searched, 128:127, XBirA_2:No_BirA_5	Liver_Searched, 128:129, XBirA_2:No_BirA_6	Liver_Searched, 128:130, XBirA_2:XBirA_3	Liver_Searched, 128:131, XBirA_2:XBirA_1	Liver_Searched, 129:126, No_BirA_6:No_BirA_4	Liver_Searched, 129:127, No_BirA_6:No_BirA_5	Liver_Searched, 129:128, No_BirA_6:XBirA_2	Liver_Searched, 129:130, No_BirA_6:XBirA_3	Liver_Searched, 129:131, No_BirA_6:XBirA_1	Liver_Searched, 130:126, XBirA_3:No_BirA_4	Liver_Searched, 130:127, XBirA_3:No_BirA_5	Liver_Searched, 130:128, XBirA_3:XBirA_2	Liver_Searched, 130:129, XBirA_3:No_BirA_6	Liver_Searched, 130:131, XBirA_3:XBirA_1	Liver_Searched, 131:126, XBirA_1:No_BirA_4	Liver_Searched, 131:127, XBirA_1:No_BirA_5	Liver_Searched, 131:128, XBirA_1:XBirA_2	Liver_Searched, 131:129, XBirA_1:No_BirA_6	Liver_Searched, 131:130, XBirA_1:XBirA_3	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	Liver_Searched unique_peptides	Liver_Searched numSpectra	Liver_Searched totalIntensity	Liver_Searched pct_cov
0.036	-1.1525	0.191	-1.341	-1.4715	-0.036	-1.122	0.143	-1.386	-1.4705	1.1525	1.122	1.237	-0.26	-0.3455	-0.191	-0.143	-1.237	-1.379	-1.5475	1.341	1.386	0.26	1.379	-0.093	1.4715	1.4705	0.3455	1.5475	0.093	P70302	P70302	Stim1	1	42	20	20	A0A1B0GRA5|P70302|A0A1B0GR78	MOUSE	77850.5	30.3	640	640.1	220.17	220.17		685	Stromal interaction molecule 1	endoplasmic reticulum|microtubule|integral component of plasma membrane|integral component of endoplasmic reticulum membrane|cortical endoplasmic reticulum|protein complex|	store-operated calcium entry|detection of calcium ion|cation transport|myotube differentiation|activation of store-operated calcium channel activity|regulation of calcium ion transport|enamel mineralization|	protease binding|calcium channel regulator activity|calcium ion binding|protein binding|identical protein binding|microtubule plus-end binding|	20	42	9.35e+09	30.3%
0.067	0.0665	-0.124	0.138	0.2255	-0.067	-0.001	-0.129	0.024	0.1185	-0.0665	0.001	-0.181	0.062	0.2065	0.124	0.129	0.181	0.179	0.3185	-0.138	-0.024	-0.062	-0.179	0.055	-0.2255	-0.1185	-0.2065	-0.3185	-0.055	Q6P5F9	Q6P5F9	Xpo1	1	34	15	15	Q6P5F9	MOUSE	124231.5	16.6	641	641.1	220.16	220.16		1071	Exportin-1	kinetochore|nucleus|annulate lamellae|nucleoplasm|nucleolus|cytoplasm|Cajal body|membrane|ribonucleoprotein complex|nuclear membrane|intracellular membrane-bounded organelle|	ribosomal large subunit export from nucleus|ribosomal small subunit export from nucleus|negative regulation of transcription from RNA polymerase II promoter|protein export from nucleus|regulation of centrosome duplication|protein localization to nucleus|regulation of protein catabolic process|response to drug|regulation of protein export from nucleus|mRNA transport|	RNA binding|nucleocytoplasmic transporter activity|protein binding|Ran GTPase binding|protein transporter activity|protein domain specific binding|	15	34	1.01e+10	16.6%
0.071	-0.5025	0.083	-0.333	-0.6515	-0.071	-0.578	0.038	-0.598	-0.7535	0.5025	0.578	0.563	0.013	-0.1215	-0.083	-0.038	-0.563	-0.505	-0.6665	0.333	0.598	-0.013	0.505	-0.162	0.6515	0.7535	0.1215	0.6665	0.162	P58871	P58871	Tnks1bp1	1	29	20	20	P58871|Z4YJL4	MOUSE	183133.9	17.9	642	642.1	220.04	220.04		1720	182 kDa tankyrase-1-binding protein	nucleoplasm|chromosome|cytoplasm|cytoskeleton|plasma membrane|CCR4-NOT complex|			20	29	5.02e+09	17.9%
-0.044	0.0955	0.214	-0.09	0.0545	0.044	0.17	0.174	-0.041	0.0525	-0.0955	-0.17	0.074	-0.21	-0.1545	-0.214	-0.174	-0.074	-0.319	-0.1185	0.09	0.041	0.21	0.319	0.124	-0.0545	-0.0525	0.1545	0.1185	-0.124	O08715-4	O08715-4	Akap1	1	37	16	16	O08715-4|O08715|O08715-6|O08715-3|O08715-5|O08715-2	MOUSE	96907.2	22.6	643	643.1	219.63	219.63		857	Isoform 4 of A-kinase anchor protein 1, mitochondrial	mitochondrion|mitochondrial outer membrane|mitochondrial matrix|endoplasmic reticulum|lipid particle|membrane|integral component of membrane|mitochondrial crista|neuromuscular junction|postsynaptic membrane|	negative regulation of cardiac muscle hypertrophy|negative regulation of protein dephosphorylation|negative regulation of NFAT protein import into nucleus|cellular response to cAMP|cellular response to peptide hormone stimulus|	protein binding|microtubule binding|protein kinase binding|protein domain specific binding|protein phosphatase 2B binding|protein complex scaffold|protein kinase A regulatory subunit binding|poly(A) RNA binding|beta-tubulin binding|	16	37	4.7e+09	22.6%
-0.091	0.0865	-0.088	0.048	-0.0075	0.091	0.108	-0.033	0.04	0.0815	-0.0865	-0.108	-0.179	-0.05	-0.0165	0.088	0.033	0.179	0.106	0.0285	-0.048	-0.04	0.05	-0.106	-0.017	0.0075	-0.0815	0.0165	-0.0285	0.017	Q78IK4	Q78IK4	Apool	1	39	14	14	Q78IK4|B1AV14	MOUSE	29374.3	69	644	644.1	219.4	219.4		265	MICOS complex subunit Mic27	mitochondrion|mitochondrial inner membrane|integral component of membrane|			14	39	2.06e+10	69.0%
-0.217	-0.0125	0.056	-0.591	-0.2475	0.217	0.181	0.197	-0.45	-0.1185	0.0125	-0.181	0.028	-0.535	-0.2555	-0.056	-0.197	-0.028	-0.666	-0.3345	0.591	0.45	0.535	0.666	0.28	0.2475	0.1185	0.2555	0.3345	-0.28	Q8BW75	Q8BW75	Maob	1	47	17	17	Q8BW75|E9Q3X6|E9PVL9	MOUSE	59070.2	33.8	645	645.1	219.01	219.01		520	Amine oxidase [flavin-containing] B	mitochondrion|mitochondrial outer membrane|mitochondrial inner membrane|integral component of membrane|extracellular exosome|	response to toxic substance|response to aluminum ion|response to selenium ion|negative regulation of serotonin secretion|substantia nigra development|response to lipopolysaccharide|response to drug|response to ethanol|positive regulation of dopamine metabolic process|response to corticosterone|oxidation-reduction process|	oxidoreductase activity|protein homodimerization activity|flavin adenine dinucleotide binding|	17	47	8.93e+09	33.8%
0.026	0.0255	-0.014	0.027	0.0565	-0.026	-0.03	-0.012	0.036	0.0635	-0.0255	0.03	-0.069	0.081	0.1735	0.014	0.012	0.069	0.069	0.0635	-0.027	-0.036	-0.081	-0.069	-0.017	-0.0565	-0.0635	-0.1735	-0.0635	0.017	E9PV45	E9PV45	Usp24	1	26	23	23	E9PV45|B1AY13|B1AY13-2	MOUSE	297090.7	11.7	646	646.1	218.36	218.36		2618	Ubiquitin carboxyl-terminal hydrolase 24		protein deubiquitination|proteasome-mediated ubiquitin-dependent protein catabolic process|regulation of proteasomal protein catabolic process|	cysteine-type endopeptidase activity|ubiquitin-specific protease activity|	23	26	3.03e+09	11.7%
0.118	-0.00950000000000001	-0.028	0.092	0.1205	-0.118	-0.071	-0.165	-0.051	5e-04	0.00950000000000001	0.071	-0.15	0.074	0.0685	0.028	0.165	0.15	0.171	0.1075	-0.092	0.051	-0.074	-0.171	0.064	-0.1205	-5e-04	-0.0685	-0.1075	-0.064	E9QP62	E9QP62	Lims1	1	61	15	10	E9QP62|A0A0R4J005|Q99JW4|Q9D7B2	MOUSE	46336.3	47	647	647.1	218.32	144.41		387	LIM and senescent cell antigen-like-containing domain protein	cell-cell junction|focal adhesion|perinuclear region of cytoplasm|focal adhesion|	cell-matrix adhesion|establishment or maintenance of cell polarity|positive regulation of gene expression|positive regulation of cell-substrate adhesion|single organismal cell-cell adhesion|chordate embryonic development|negative regulation of apoptotic process|positive regulation of GTPase activity|establishment of protein localization|cell-cell junction organization|negative regulation of transcription, DNA-templated|negative regulation of epithelial cell proliferation|positive regulation of focal adhesion assembly|positive regulation of substrate adhesion-dependent cell spreading|negative regulation of neural precursor cell proliferation|negative regulation of hepatocyte proliferation|positive regulation of integrin-mediated signaling pathway|	protein binding|zinc ion binding|protein kinase binding|	15	61	1.67e+10	47.0%
0.245	0.0305	0.083	0.206	0.2385	-0.245	-0.055	-0.27	-0.022	-0.0275	-0.0305	0.055	0.07	0.177	0.1985	-0.083	0.27	-0.07	0.194	0.1825	-0.206	0.022	-0.177	-0.194	0.021	-0.2385	0.0275	-0.1985	-0.1825	-0.021	Q91XD2	Q91XD2	Lims2	1	19	12	7	Q91XD2	MOUSE	40970.5	42.2	647	647.2	163.11	89.2		341	LIM and senescent cell antigen-like-containing domain protein 2	plasma membrane|focal adhesion|	single organismal cell-cell adhesion|negative regulation of apoptotic process|cell-cell junction organization|negative regulation of epithelial cell proliferation|negative regulation of neural precursor cell proliferation|negative regulation of hepatocyte proliferation|positive regulation of integrin-mediated signaling pathway|	zinc ion binding|	7	19	4.66e+09	28.4%
-0.411	-0.1755	-0.559	-0.084	-0.3555	0.411	0.238	-0.162	0.268	0.0135	0.1755	-0.238	-0.335	0.091	-0.1825	0.559	0.162	0.335	0.461	0.1365	0.084	-0.268	-0.091	-0.461	-0.244	0.3555	-0.0135	0.1825	-0.1365	0.244	H7BX95	H7BX95	Srsf1	1	50	18	17	H7BX95|Q6PDM2|Q6PDM2-2|Q6PDM2-3	MOUSE	28442.8	58.1	648	648.1	218.18	212.07		253	Serine/arginine-rich-splicing factor 1	nucleus|nucleoplasm|nuclear speck|extracellular exosome|catalytic step 2 spliceosome|exon-exon junction complex|	mRNA 5'-splice site recognition|in utero embryonic development|regulation of transcription, DNA-templated|regulation of translation|RNA splicing|regulation of mRNA stability|regulation of mRNA splicing, via spliceosome|cardiac muscle contraction|	nucleotide binding|RNA binding|mRNA binding|poly(A) RNA binding|RS domain binding|	17	50	1.58e+10	57.3%
0.059	0.0325	0.042	0.181	0.1875	-0.059	-0.024	-0.038	0.085	0.1715	-0.0325	0.024	-0.114	0.101	0.1125	-0.042	0.038	0.114	0.075	0.1625	-0.181	-0.085	-0.101	-0.075	0.062	-0.1875	-0.1715	-0.1125	-0.1625	-0.062	Q99PU8	Q99PU8	Dhx30	1	30	19	19	Q99PU8|Q99PU8-3|Q99PU8-2|A0A0G2JGL8	MOUSE	137806.9	20.7	649	649.1	218.03	218.03		1217	Putative ATP-dependent RNA helicase DHX30	cytoplasm|mitochondrion|mitochondrial nucleoid|	RNA processing|	chromatin binding|double-stranded RNA binding|ATP-dependent RNA helicase activity|ATP binding|poly(A) RNA binding|	19	30	3.42e+09	20.7%
0.131	-0.0195	0.218	0.156	0.1245	-0.131	-0.223	0.039	-0.00600000000000001	-0.0125	0.0195	0.223	0.282	0.279	0.2395	-0.218	-0.039	-0.282	-0.03	-0.0605	-0.156	0.00600000000000001	-0.279	0.03	0.001	-0.1245	0.0125	-0.2395	0.0605	-0.001	P11531	P11531	Dmd	1	56	19	19	P11531|A2A9Z2|A2A9Z1	MOUSE	427934.9	5.3	650	650.1	217.63	217.63		3678	Dystrophin	nucleus|cytoskeleton|plasma membrane|cell surface|dystrophin-associated glycoprotein complex|Z disc|cell-substrate junction|filopodium|filopodium membrane|sarcolemma|costamere|protein complex|neuron projection terminus|membrane raft|synapse|postsynaptic membrane|	positive regulation of cell-matrix adhesion|regulation of heart rate|regulation of transcription, DNA-templated|muscle organ development|skeletal muscle tissue development|establishment of blood-nerve barrier|regulation of gene expression|regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum|regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion|positive regulation of neuron projection development|regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion|regulation of skeletal muscle contraction|myotube cell development|muscle attachment|olfactory nerve structural organization|negative regulation of peptidyl-serine phosphorylation|cellular protein localization|response to muscle stretch|regulation of membrane potential|peptide biosynthetic process|cellular protein complex assembly|neurotransmitter receptor metabolic process|positive regulation of neuron differentiation|muscle cell cellular homeostasis|muscle fiber development|nucleus localization|cardiac muscle contraction|regulation of ryanodine-sensitive calcium-release channel activity|establishment of glial blood-brain barrier|negative regulation of ERK1 and ERK2 cascade|cardiac muscle cell action potential|regulation of cellular response to growth factor stimulus|regulation of voltage-gated calcium channel activity|negative regulation of peptidyl-cysteine S-nitrosylation|positive regulation of sodium ion transmembrane transporter activity|	dystroglycan binding|actin binding|structural constituent of cytoskeleton|protein binding|zinc ion binding|structural constituent of muscle|myosin binding|vinculin binding|nitric-oxide synthase binding|	19	56	6.64e+09	5.3%
0.018	0.1675	-0.279	0.231	0.1855	-0.018	0.192	-0.272	0.185	0.1495	-0.1675	-0.192	-0.391	0.064	0.0145	0.279	0.272	0.391	0.506	0.3885	-0.231	-0.185	-0.064	-0.506	-0.072	-0.1855	-0.1495	-0.0145	-0.3885	0.072	Q7TMB8	Q7TMB8	Cyfip1	1	50	18	18	Q7TMB8|Q7TMB8-2|A0A0R4J119|Q5SQX6	MOUSE	146893.4	17.6	651	651.1	217.45	217.45		1253	Cytoplasmic FMR1-interacting protein 1	ruffle|mRNA cap binding complex|focal adhesion|lamellipodium|SCAR complex|neuron projection|synapse|perinuclear region of cytoplasm|extracellular exosome|	regulation of cell shape|Rac protein signal transduction|lamellipodium assembly|ruffle organization|axon extension|cognition|positive regulation of Arp2/3 complex-mediated actin nucleation|	protein binding|profilin binding|protein complex binding|Rac GTPase binding|actin filament binding|Rac GTPase binding|	19	50	1.28e+10	17.6%
0.127	-0.5395	0.194	-0.65	-0.7815	-0.127	-0.691	0.041	-0.664	-0.7965	0.5395	0.691	0.725	-0.132	-0.2195	-0.194	-0.041	-0.725	-0.847	-0.9665	0.65	0.664	0.132	0.847	-0.138	0.7815	0.7965	0.2195	0.9665	0.138	G3X977	G3X977	Itih2	1	37	16	16	G3X977|Q61703	MOUSE	106758.8	24.9	652	652.1	216.08	216.08		950	Inter-alpha trypsin inhibitor, heavy chain 2	extracellular exosome|blood microparticle|	negative regulation of endopeptidase activity|hyaluronan metabolic process|	serine-type endopeptidase inhibitor activity|	16	37	8.5e+09	24.9%
0.313	-0.00750000000000001	0.548	0.246	0.2315	-0.313	-0.292	0.218	-0.088	-0.1325	0.00750000000000001	0.292	0.482	0.244	0.2175	-0.548	-0.218	-0.482	-0.322	-0.3995	-0.246	0.088	-0.244	0.322	0.025	-0.2315	0.1325	-0.2175	0.3995	-0.025	Q9R008	Q9R008	Mvk	1	50	13	13	Q9R008|Q3UEB4|A0A0G2JEG0|A0A0G2JFX8	MOUSE	42333.1	45.3	653	653.1	215.69	215.69		395	Mevalonate kinase	cytosol|extracellular exosome|	cholesterol biosynthetic process|isoprenoid biosynthetic process|phosphorylation|isopentenyl diphosphate biosynthetic process, mevalonate pathway|negative regulation of inflammatory response|	mevalonate kinase activity|ATP binding|identical protein binding|	13	50	2.27e+10	45.3%
0.226	-0.2035	0.265	0.019	-0.0185	-0.226	-0.371	0.044	-0.21	-0.3065	0.2035	0.371	0.381	0.16	0.1425	-0.265	-0.044	-0.381	-0.17	-0.2485	-0.019	0.21	-0.16	0.17	-0.034	0.0185	0.3065	-0.1425	0.2485	0.034	P30416	P30416	Fkbp4	1	40	17	17	P30416	MOUSE	51970.8	42.3	654	654.1	215.67	215.67		458	Peptidyl-prolyl cis-trans isomerase FKBP4	nucleus|nucleoplasm|cytoplasm|mitochondrion|endoplasmic reticulum membrane|cytosol|microtubule|neuronal cell body|axonal growth cone|perinuclear region of cytoplasm|extracellular exosome|	protein peptidyl-prolyl isomerization|steroid hormone receptor complex assembly|copper ion transport|embryo implantation|negative regulation of neuron projection development|androgen receptor signaling pathway|prostate gland development|negative regulation of microtubule polymerization or depolymerization|negative regulation of microtubule polymerization|protein complex localization|male sex differentiation|reproductive structure development|chaperone-mediated protein folding|	peptidyl-prolyl cis-trans isomerase activity|protein binding|ATP binding|GTP binding|FK506 binding|heat shock protein binding|copper-dependent protein binding|glucocorticoid receptor binding|poly(A) RNA binding|tau protein binding|phosphoprotein binding|	17	40	7.7e+09	42.3%
-0.344	-0.1165	-0.042	-0.112	-0.1035	0.344	0.24	0.226	0.259	0.2715	0.1165	-0.24	0.011	0.052	0.0495	0.042	-0.226	-0.011	0.065	0.0565	0.112	-0.259	-0.052	-0.065	0.04	0.1035	-0.2715	-0.0495	-0.0565	-0.04	Q9DC69	Q9DC69	Ndufa9	1	52	15	15	Q9DC69|A0A0R3P9C8	MOUSE	42638.5	44	655	655.1	215.46	215.46		377	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	nucleus|mitochondrion|mitochondrial inner membrane|mitochondrial respiratory chain complex I|mitochondrial matrix|mitochondrial membrane|	response to glucose|oxidation-reduction process|ubiquinone-6 biosynthetic process|	NADH dehydrogenase activity|protein complex binding|	15	52	1.53e+10	44.0%
0.052	-1.9085	0.161	-1.902	-1.8765	-0.052	-1.947	0.146	-1.858	-1.8735	1.9085	1.947	1.947	0.088	0.0905	-0.161	-0.146	-1.947	-1.947	-1.9165	1.902	1.858	-0.088	1.947	0.004	1.8765	1.8735	-0.0905	1.9165	-0.004	P09055	P09055	Itgb1	1	56	16	16	P09055|P09055-2|Q9Z0T9|B1AYG6	MOUSE	91481.9	21.8	656	656.1	215.28	215.28		798	Integrin beta-1	cytoplasm|plasma membrane|focal adhesion|external side of plasma membrane|cell surface|intercalated disc|membrane|lamellipodium|filopodium|neuromuscular junction|integrin alpha1-beta1 complex|integrin alpha2-beta1 complex|integrin alpha3-beta1 complex|integrin alpha7-beta1 complex|integrin alpha10-beta1 complex|integrin alpha11-beta1 complex|myelin sheath abaxonal region|sarcolemma|melanosome|dendritic spine|receptor complex|membrane raft|synapse|recycling endosome|extracellular exosome|invadopodium membrane|synaptic membrane|plasma membrane|cytoplasmic vesicle|ruffle membrane|perinuclear region of cytoplasm|	G1/S transition of mitotic cell cycle|in utero embryonic development|cell fate specification|cell migration involved in sprouting angiogenesis|leukocyte cell-cell adhesion|cell-matrix adhesion|calcium-independent cell-matrix adhesion|integrin-mediated signaling pathway|positive regulation of cell proliferation|germ cell migration|visual learning|regulation of collagen catabolic process|cell migration|formation of radial glial scaffolds|neuron projection development|cell-substrate adhesion|cell-cell adhesion mediated by integrin|heterotypic cell-cell adhesion|negative regulation of Rho protein signal transduction|positive regulation of apoptotic process|sarcomere organization|negative regulation of cell differentiation|mesodermal cell differentiation|axon extension|cardiac muscle tissue development|dendrite morphogenesis|leukocyte tethering or rolling|regulation of cell cycle|cardiac muscle cell differentiation|positive regulation of establishment of protein localization to plasma membrane|negative regulation of anoikis|transforming growth factor beta receptor signaling pathway|stress fiber assembly|	fibronectin binding|protease binding|actin binding|receptor activity|integrin binding|protein binding|metal ion binding|protein heterodimerization activity|cell adhesion molecule binding|collagen binding involved in cell-matrix adhesion|laminin binding|	16	56	1.42e+10	21.8%
0.047	0.0155	0.222	0.081	0.2645	-0.047	0.001	0.124	0.024	0.1415	-0.0155	-0.001	0.166	0.102	0.2145	-0.222	-0.124	-0.166	-0.11	-0.0115	-0.081	-0.024	-0.102	0.11	0.115	-0.2645	-0.1415	-0.2145	0.0115	-0.115	O09110	O09110	Map2k3	1	49	17	14	O09110|O09110-2|A0A0R4J1Q6	MOUSE	39638	59.3	657	657.1	214.78	176.49		347	Dual specificity mitogen-activated protein kinase kinase 3	cytoplasm|membrane|	MAPK cascade|activation of MAPK activity|inflammatory response|regulation of mitotic cell cycle|peptidyl-tyrosine phosphorylation|stress-activated protein kinase signaling cascade|regulation of cytokine biosynthetic process|regulation of apoptotic process|positive regulation of protein kinase activity|positive regulation of transcription, DNA-templated|cardiac muscle contraction|	protein serine/threonine kinase activity|MAP kinase kinase activity|protein tyrosine kinase activity|protein binding|ATP binding|protein kinase binding|	17	49	1.66e+10	59.3%
0.017	0.0455	0.504	0.023	0.3075	-0.017	0.004	0.598	-0.08	0.2165	-0.0455	-0.004	0.545	0.014	0.2215	-0.504	-0.598	-0.545	-0.654	-0.4575	-0.023	0.08	-0.014	0.654	0.294	-0.3075	-0.2165	-0.2215	0.4575	-0.294	P70236	P70236	Map2k6	1	12	6	4	P70236|A2AGS2	MOUSE	37773.9	21.2	657	657.2	70.13	40.27		334	Dual specificity mitogen-activated protein kinase kinase 6	nucleus|cytoplasm|cytosol|cytoskeleton|	MAPK cascade|activation of MAPK activity|response to ischemia|transcription, DNA-templated|regulation of transcription, DNA-templated|protein phosphorylation|apoptotic process|regulation of mitotic cell cycle|peptidyl-tyrosine phosphorylation|ovulation cycle process|stress-activated protein kinase signaling cascade|positive regulation of prostaglandin secretion|response to drug|regulation of apoptotic process|positive regulation of apoptotic process|positive regulation of nitric-oxide synthase biosynthetic process|cardiac muscle contraction|cellular response to sorbitol|	protein serine/threonine kinase activity|MAP kinase kinase activity|protein tyrosine kinase activity|protein binding|ATP binding|protein kinase binding|	4	12	9.99e+08	16.4%
0.243	0.0935	0.131	0.254	0.2445	-0.243	-0.163	-0.178	0.012	-0.0415	-0.0935	0.163	0.063	0.191	0.1905	-0.131	0.178	-0.063	0.177	0.1615	-0.254	-0.012	-0.191	-0.177	0.00700000000000001	-0.2445	0.0415	-0.1905	-0.1615	-0.00700000000000001	Q8R1Q8	Q8R1Q8	Dync1li1	1	46	19	19	Q8R1Q8	MOUSE	56898.5	44.3	658	658.1	214.65	214.65		523	Cytoplasmic dynein 1 light intermediate chain 1	kinetochore|condensed chromosome kinetochore|spindle pole|cytoplasm|centrosome|cytoplasmic dynein complex|microtubule|plasma membrane|membrane|	transport|microtubule-based movement|mitotic nuclear division|metabolic process|cell division|positive regulation of mitotic cell cycle spindle assembly checkpoint|	microtubule motor activity|ATP binding|poly(A) RNA binding|	19	46	7.35e+09	44.3%
-0.268	0.3725	-0.356	0.224	0.2305	0.268	0.671	-0.113	0.485	0.4275	-0.3725	-0.671	-0.799	-0.12	-0.1525	0.356	0.113	0.799	0.585	0.5405	-0.224	-0.485	0.12	-0.585	-0.024	-0.2305	-0.4275	0.1525	-0.5405	0.024	P35550	P35550	Fbl	1	42	16	16	P35550|Q80WS3	MOUSE	34420.3	49.2	659	659.1	214.5	214.5		327	rRNA 2'-O-methyltransferase fibrillarin	dense fibrillar component|granular component|nucleus|nucleolus|Cajal body|membrane|box C/D snoRNP complex|small-subunit processome|extracellular exosome|	box C/D snoRNA 3'-end processing|osteoblast differentiation|tRNA processing|snoRNA metabolic process|rRNA methylation|histone glutamine methylation|	RNA binding|rRNA methyltransferase activity|poly(A) RNA binding|histone-glutamine methyltransferase activity|	17	42	1.45e+10	49.2%
0.277	0.1315	0.152	-0.316	-0.1665	-0.277	-0.212	-0.099	-0.633	-0.4635	-0.1315	0.212	0.026	-0.501	-0.2965	-0.152	0.099	-0.026	-0.427	-0.3045	0.316	0.633	0.501	0.427	0.184	0.1665	0.4635	0.2965	0.3045	-0.184	Q920E5	Q920E5	Fdps	1	63	15	15	Q920E5|A0A0G2JEA5	MOUSE	40923.1	42.4	660	660.1	214.48	214.48		353	Farnesyl pyrophosphate synthase	nucleoplasm|cytoplasm|mitochondrion|	cholesterol biosynthetic process|geranyl diphosphate biosynthetic process|farnesyl diphosphate biosynthetic process|	dimethylallyltranstransferase activity|geranyltranstransferase activity|poly(A) RNA binding|metal ion binding|	15	63	4.14e+10	42.4%
-0.2	0.2505	0.155	-0.046	0.0195	0.2	0.474	0.386	0.233	0.2065	-0.2505	-0.474	-0.091	-0.226	-0.2155	-0.155	-0.386	0.091	-0.2	-0.0685	0.046	-0.233	0.226	0.2	0.049	-0.0195	-0.2065	0.2155	0.0685	-0.049	Q8K2I3	Q8K2I3	Fmo2	1	49	18	18	Q8K2I3	MOUSE	61429.8	39.2	661	661.1	214.39	214.39		535	Dimethylaniline monooxygenase [N-oxide-forming] 2	endoplasmic reticulum membrane|membrane|integral component of membrane|	organic acid metabolic process|NADP metabolic process|xenobiotic metabolic process|toxin metabolic process|drug metabolic process|oxidation-reduction process|NADPH oxidation|oxygen metabolic process|	monooxygenase activity|N,N-dimethylaniline monooxygenase activity|flavin adenine dinucleotide binding|NADP binding|	18	49	1.99e+10	39.2%
-0.342	0.4775	0.019	0.177	0.0715	0.342	0.801	0.397	0.49	0.3725	-0.4775	-0.801	-0.549	-0.345	-0.4845	-0.019	-0.397	0.549	0.191	0.0535	-0.177	-0.49	0.345	-0.191	-0.153	-0.0715	-0.3725	0.4845	-0.0535	0.153	Q3UW66	Q3UW66	Mpst	1	41	15	15	Q3UW66|Q99J99	MOUSE	33324.9	51.1	662	662.1	213.92	213.92		297	Sulfurtransferase	mitochondrion|mitochondrial inner membrane|cytosol|extracellular exosome|	kidney development|liver development|transsulfuration|spinal cord development|	thiosulfate sulfurtransferase activity|3-mercaptopyruvate sulfurtransferase activity|identical protein binding|	15	41	6.14e+09	51.1%
-0.084	-1.5685	-0.091	-1.524	-1.7925	0.084	-1.547	-0.096	-1.471	-1.7655	1.5685	1.547	1.505	0.012	-0.1605	0.091	0.096	-1.505	-1.333	-1.5995	1.524	1.471	-0.012	1.333	-0.188	1.7925	1.7655	0.1605	1.5995	0.188	Q9D1Q6	Q9D1Q6	Erp44	1	53	19	19	Q9D1Q6	MOUSE	47251.5	35.2	663	663.1	213.29	213.29		406	Endoplasmic reticulum resident protein 44	endoplasmic reticulum lumen|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|cell surface|extracellular exosome|	protein folding|response to unfolded protein|glycoprotein metabolic process|response to endoplasmic reticulum stress|cell redox homeostasis|	protein disulfide isomerase activity|protein binding|	19	53	2.17e+10	35.2%
0.095	0.3185	0.217	0.06	0.3535	-0.095	0.323	0.102	-0.053	0.2205	-0.3185	-0.323	-0.051	-0.309	-0.0625	-0.217	-0.102	0.051	-0.234	0.0345	-0.06	0.053	0.309	0.234	0.252	-0.3535	-0.2205	0.0625	-0.0345	-0.252	P63242	P63242	Eif5a	1	55	12	12	P63242|J3QPS8|Q8BGY2	MOUSE	17060.2	72	664	664.1	213.05	213.05		154	Eukaryotic translation initiation factor 5A-1	nucleus|annulate lamellae|nuclear pore|cytoplasm|endoplasmic reticulum membrane|membrane|dendrite|neuronal cell body|extracellular exosome|	mRNA export from nucleus|translational frameshifting|protein export from nucleus|apoptotic process|aging|positive regulation of cell proliferation|positive regulation of apoptotic process|negative regulation of apoptotic process|positive regulation of translational elongation|positive regulation of translational termination|positive regulation of muscle cell differentiation|	RNA binding|translation elongation factor activity|U6 snRNA binding|ribosome binding|poly(A) RNA binding|protein N-terminus binding|	12	55	3.51e+10	72.0%
